"year","pgisced97","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2008","in school","Male","","","","","","","","",""
"2008","inadequately","Female","","","","","","","","",""
"2008","inadequately","Male","","","","","","","","",""
"2008","middle vocational","Female","","","","","","","","",""
"2008","middle vocational","Male","","","","","","","","",""
"2008","vocational + Abi","Female","","","","","","","","",""
"2008","vocational + Abi","Male","","","","","","","","",""
"2009","general elemantary","Female","5.59","5.67","1244","5.54","5.64","4.33333349227905","5","6.33333349227905","7"
"2009","general elemantary","Male","5.1","5","558","5.02","5.18","4","4.66666650772095","5.66666650772095","6.33333349227905"
"2009","higher education","Female","5.39","5.33","1852","5.35","5.43","4","4.66666650772095","6","6.66666650772095"
"2009","higher education","Male","5.2","5.33","2183","5.16","5.24","4","4.66666650772095","6","6.33333349227905"
"2009","higher vocational","Female","5.54","5.67","549","5.46","5.62","4.33333349227905","5","6.33333349227905","6.66666650772095"
"2009","higher vocational","Male","5.05","5","781","4.98","5.12","4","4.33333349227905","5.66666650772095","6.33333349227905"
"2009","in school","Female","5.45","5.33","144","5.3","5.6","4.33333349227905","5","6","6.66666650772095"
"2009","in school","Male","5.2","5.33","168","5.06","5.34","4","4.33333349227905","6","6.33333349227905"
"2009","inadequately","Female","5.46","5.67","97","5.24","5.68","3.66666674613953","4.66666650772095","6.33333349227905","7"
"2009","inadequately","Male","5","5","70","4.73","5.27","3.66666674613953","4.33333349227905","6","6.33333349227905"
"2009","middle vocational","Female","5.45","5.67","4796","5.42","5.48","4","4.66666650772095","6.33333349227905","6.66666650772095"
"2009","middle vocational","Male","5.14","5","4282","5.11","5.17","4","4.33333349227905","6","6.33333349227905"
"2009","vocational + Abi","Female","5.44","5.67","607","5.37","5.51","4","4.66666650772095","6","6.66666650772095"
"2009","vocational + Abi","Male","5.05","5","392","4.95","5.15","3.33333325386047","4.33333349227905","5.66666650772095","6.33333349227905"
"2010","general elemantary","Female","","","","","","","","",""
"2010","general elemantary","Male","","","","","","","","",""
"2010","higher education","Female","","","","","","","","",""
"2010","higher education","Male","","","","","","","","",""
"2010","higher vocational","Female","","","","","","","","",""
"2010","higher vocational","Male","","","","","","","","",""
"2010","in school","Female","","","","","","","","",""
"2010","in school","Male","","","","","","","","",""
"2010","inadequately","Female","","","","","","","","",""
"2010","inadequately","Male","","","","","","","","",""
"2010","middle vocational","Female","","","","","","","","",""
"2010","middle vocational","Male","","","","","","","","",""
"2010","vocational + Abi","Female","","","","","","","","",""
"2010","vocational + Abi","Male","","","","","","","","",""
"2011","general elemantary","Female","","","","","","","","",""
"2011","general elemantary","Male","","","","","","","","",""
"2011","higher education","Female","","","","","","","","",""
"2011","higher education","Male","","","","","","","","",""
"2011","higher vocational","Female","","","","","","","","",""
"2011","higher vocational","Male","","","","","","","","",""
"2011","in school","Female","","","","","","","","",""
"2011","in school","Male","","","","","","","","",""
"2011","inadequately","Female","","","","","","","","",""
"2011","inadequately","Male","","","","","","","","",""
"2011","middle vocational","Female","","","","","","","","",""
"2011","middle vocational","Male","","","","","","","","",""
"2011","vocational + Abi","Female","","","","","","","","",""
"2011","vocational + Abi","Male","","","","","","","","",""
"2012","general elemantary","Female","5.48","5.67","486","5.39","5.57","4","5","6.33333349227905","6.66666650772095"
"2012","general elemantary","Male","5.25","5.33","295","5.13","5.37","3.66666674613953","4.66666650772095","6","6.66666650772095"
"2012","higher education","Female","5.51","5.67","810","5.45","5.57","4.33333349227905","5","6","6.66666650772095"
"2012","higher education","Male","5.37","5.33","686","5.3","5.44","4.33333349227905","4.66666650772095","6","6.33333349227905"
"2012","higher vocational","Female","5.45","5.67","144","5.29","5.61","4.33333349227905","4.66666650772095","6","6.33333349227905"
"2012","higher vocational","Male","5.24","5.33","221","5.12","5.36","4","4.66666650772095","6","6.33333349227905"
"2012","in school","Female","5.3","5.33","99","5.11","5.49","3.66666674613953","4.66666650772095","6","6.66666650772095"
"2012","in school","Male","5.33","5.33","91","5.16","5.5","4.33333349227905","4.66666650772095","6","6.33333349227905"
"2012","inadequately","Female","5.35","5.33","92","5.12","5.58","4","4.66666650772095","6.33333349227905","7"
"2012","inadequately","Male","5.29","5.33","65","5.02","5.56","4","4.33333349227905","6","6.66666650772095"
"2012","middle vocational","Female","5.6","5.67","1993","5.56","5.64","4.33333349227905","5","6.33333349227905","6.66666650772095"
"2012","middle vocational","Male","5.2","5.33","1259","5.15","5.25","4","4.66666650772095","6","6.33333349227905"
"2012","vocational + Abi","Female","5.49","5.67","542","5.42","5.56","4.33333349227905","5","6","6.66666650772095"
"2012","vocational + Abi","Male","5.26","5.33","216","5.14","5.38","4","4.33333349227905","6","6.33333349227905"
"2013","general elemantary","Female","5.58","5.67","1266","5.53","5.63","4.33333349227905","5","6.33333349227905","7"
"2013","general elemantary","Male","5.21","5.33","579","5.13","5.29","4","4.33333349227905","6","6.66666650772095"
"2013","higher education","Female","5.47","5.67","2116","5.43","5.51","4.33333349227905","5","6","6.66666650772095"
"2013","higher education","Male","5.29","5.33","2351","5.25","5.33","4","4.66666650772095","6","6.33333349227905"
"2013","higher vocational","Female","5.61","5.67","505","5.53","5.69","4.33333349227905","5","6.33333349227905","6.66666650772095"
"2013","higher vocational","Male","5.16","5","824","5.09","5.23","4","4.5","6","6.66666650772095"
"2013","in school","Female","5.31","5.33","138","5.15","5.47","4","5","6","6.66666650772095"
"2013","in school","Male","5.05","5","121","4.89","5.21","3.66666674613953","4.33333349227905","5.66666650772095","6.33333349227905"
"2013","inadequately","Female","5.45","5.33","109","5.23","5.67","4.33333349227905","4.66666650772095","6.33333349227905","7"
"2013","inadequately","Male","5.33","5.33","85","5.1","5.56","4","4.66666650772095","6","7"
"2013","middle vocational","Female","5.54","5.67","5107","5.51","5.57","4.33333349227905","5","6.33333349227905","6.66666650772095"
"2013","middle vocational","Male","5.18","5.33","4324","5.15","5.21","4","4.66666650772095","6","6.33333349227905"
"2013","vocational + Abi","Female","5.54","5.67","680","5.47","5.61","4.33333349227905","5","6","6.66666650772095"
"2013","vocational + Abi","Male","5.27","5.33","420","5.18","5.36","4","4.66666650772095","6","6.66666650772095"
"2014","general elemantary","Female","","","","","","","","",""
"2014","general elemantary","Male","","","","","","","","",""
"2014","higher education","Female","","","","","","","","",""
"2014","higher education","Male","","","","","","","","",""
"2014","higher vocational","Female","","","","","","","","",""
"2014","higher vocational","Male","","","","","","","","",""
"2014","in school","Female","","","","","","","","",""
"2014","in school","Male","","","","","","","","",""
"2014","inadequately","Female","","","","","","","","",""
"2014","inadequately","Male","","","","","","","","",""
"2014","middle vocational","Female","","","","","","","","",""
"2014","middle vocational","Male","","","","","","","","",""
"2014","vocational + Abi","Female","","","","","","","","",""
"2014","vocational + Abi","Male","","","","","","","","",""
"2015","general elemantary","Female","","","","","","","","",""
"2015","general elemantary","Male","","","","","","","","",""
"2015","higher education","Female","","","","","","","","",""
"2015","higher education","Male","","","","","","","","",""
"2015","higher vocational","Female","","","","","","","","",""
"2015","higher vocational","Male","","","","","","","","",""
"2015","in school","Female","","","","","","","","",""
"2015","in school","Male","","","","","","","","",""
"2015","inadequately","Female","","","","","","","","",""
"2015","inadequately","Male","","","","","","","","",""
"2015","middle vocational","Female","","","","","","","","",""
"2015","middle vocational","Male","","","","","","","","",""
"2015","vocational + Abi","Female","","","","","","","","",""
"2015","vocational + Abi","Male","","","","","","","","",""
"2016","general elemantary","Female","","","","","","","","",""
"2016","general elemantary","Male","","","","","","","","",""
"2016","higher education","Female","","","","","","","","",""
"2016","higher education","Male","","","","","","","","",""
"2016","higher vocational","Female","","","","","","","","",""
"2016","higher vocational","Male","","","","","","","","",""
"2016","in school","Female","","","","","","","","",""
"2016","in school","Male","","","","","","","","",""
"2016","inadequately","Female","","","","","","","","",""
"2016","inadequately","Male","","","","","","","","",""
"2016","middle vocational","Female","","","","","","","","",""
"2016","middle vocational","Male","","","","","","","","",""
"2016","vocational + Abi","Female","","","","","","","","",""
"2016","vocational + Abi","Male","","","","","","","","",""
"2017","general elemantary","Female","5.59","5.67","1877","5.54","5.64","4.33333349227905","5","6.33333349227905","7"
"2017","general elemantary","Male","5.35","5.33","1415","5.29","5.41","4","4.66666650772095","6.33333349227905","6.66666650772095"
"2017","higher education","Female","5.48","5.67","3432","5.45","5.51","4.33333349227905","5","6","6.66666650772095"
"2017","higher education","Male","5.29","5.33","3590","5.26","5.32","4","4.66666650772095","6","6.33333349227905"
"2017","higher vocational","Female","5.48","5.67","596","5.41","5.55","4.33333349227905","5","6","6.66666650772095"
"2017","higher vocational","Male","5.16","5.08","948","5.1","5.22","3.66666674613953","4.66666650772095","6","6.33333349227905"
"2017","in school","Female","5.43","5.67","219","5.3","5.56","4","4.66666650772095","6.33333349227905","6.66666650772095"
"2017","in school","Male","5.14","5","194","5.01","5.27","3.66666674613953","4.33333349227905","6","6.33333349227905"
"2017","inadequately","Female","5.75","6","632","5.67","5.83","4","5","6.66666650772095","7"
"2017","inadequately","Male","5.5","5.45","743","5.43","5.57","4","4.66666650772095","6.33333349227905","7"
"2017","middle vocational","Female","5.52","5.67","6790","5.5","5.54","4.33333349227905","5","6.33333349227905","6.66666650772095"
"2017","middle vocational","Male","5.21","5.33","5793","5.18","5.24","4","4.66666650772095","6","6.33333349227905"
"2017","vocational + Abi","Female","5.48","5.67","1421","5.43","5.53","4","5","6.33333349227905","6.66666650772095"
"2017","vocational + Abi","Male","5.3","5.33","868","5.24","5.36","4.33333349227905","4.66666650772095","6","6.33333349227905"
"2018","general elemantary","Female","","","","","","","","",""
"2018","general elemantary","Male","","","","","","","","",""
"2018","higher education","Female","","","","","","","","",""
"2018","higher education","Male","","","","","","","","",""
"2018","higher vocational","Female","","","","","","","","",""
"2018","higher vocational","Male","","","","","","","","",""
"2018","in school","Female","","","","","","","","",""
"2018","in school","Male","","","","","","","","",""
"2018","inadequately","Female","","","","","","","","",""
"2018","inadequately","Male","","","","","","","","",""
"2018","middle vocational","Female","","","","","","","","",""
"2018","middle vocational","Male","","","","","","","","",""
"2018","vocational + Abi","Female","","","","","","","","",""
"2018","vocational + Abi","Male","","","","","","","","",""
"2019","general elemantary","Female","5.55","5.67","1422","5.5","5.6","4","5","6.33333349227905","7"
"2019","general elemantary","Male","5.35","5.33","989","5.29","5.41","4","4.66666650772095","6","7"
"2019","higher education","Female","5.49","5.67","3345","5.46","5.52","4.33333349227905","5","6","6.66666650772095"
"2019","higher education","Male","5.32","5.33","3664","5.29","5.35","4","4.66666650772095","6","6.33333349227905"
"2019","higher vocational","Female","5.5","5.67","589","5.43","5.57","4","5","6","6.66666650772095"
"2019","higher vocational","Male","5.2","5.33","1081","5.14","5.26","4","4.66666650772095","6","6.33333349227905"
"2019","in school","Female","5.44","5.6","161","5.28","5.6","4","5","6","6.66666650772095"
"2019","in school","Male","5.35","5.33","168","5.19","5.51","4","5","6","6.66666650772095"
"2019","inadequately","Female","5.73","6","217","5.59","5.87","4.33333349227905","5","6.66666650772095","7"
"2019","inadequately","Male","5.38","5.33","173","5.2","5.56","4","4.66666650772095","6.33333349227905","7"
"2019","middle vocational","Female","5.52","5.67","6053","5.5","5.54","4.33333349227905","5","6.33333349227905","6.66666650772095"
"2019","middle vocational","Male","5.25","5.33","5059","5.22","5.28","4","4.66666650772095","6","6.66666650772095"
"2019","vocational + Abi","Female","5.52","5.67","1339","5.47","5.57","4.33333349227905","5","6.33333349227905","6.66666650772095"
"2019","vocational + Abi","Male","5.36","5.33","830","5.29","5.43","4","4.66666650772095","6","6.66666650772095"
