"transab_cat","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","1985","Employed","Male","106","0.0198261015653368","0.0155232332094087","0.024128969921265","2"
"No transfer dependency","1985","Not Employed","Male","605","0.621791622345913","0.594388295995215","0.649194948696611","0"
"No transfer dependency","1985","Not Employed","Female","1206","0.550756659018664","0.532668443445505","0.568844874591822","0"
"No transfer dependency","1985","Employed","Male","1338","0.39482928592049","0.379741293401551","0.409917278439428","0"
"No transfer dependency","1985","Employed","Female","969","0.453022404360874","0.433536725833432","0.472508082888316","0"
"Very high transfer dependency","1985","Not Employed","Female","37","0.0118902418020427","0.00794863807357774","0.0158318455305077","4"
"Very high transfer dependency","1985","Not Employed","Male","24","","","","4"
"Very high transfer dependency","1985","Employed","Male","8","","","","4"
"Very high transfer dependency","1985","Employed","Female","2","","","","4"
"Very low transfer dependency","1985","Not Employed","Female","1447","0.378366948940393","0.360731006706039","0.396002891174747","1"
"Very low transfer dependency","1985","Not Employed","Male","433","0.281461212039279","0.256048579153046","0.306873844925511","1"
"Very low transfer dependency","1985","Employed","Female","1433","0.506093587968804","0.486522783691235","0.525664392246374","1"
"Very low transfer dependency","1985","Employed","Male","2555","0.577177342083076","0.561929036311366","0.592425647854786","1"
"Complete transfer dependency","1986","Not Employed","Male","36","0.0283677104769164","0.0187303350420433","0.0380050859117896","5"
"Complete transfer dependency","1986","Not Employed","Female","51","0.0172053042350465","0.0122757097871949","0.0221348986828982","5"
"Complete transfer dependency","1986","Employed","Male","","","","","5"
"Complete transfer dependency","1986","Employed","Female","","","","","5"
"High transfer dependency","1986","Not Employed","Male","24","","","","3"
"High transfer dependency","1986","Not Employed","Female","47","0.0156479732122911","0.0109430463303942","0.0203529000941881","3"
"High transfer dependency","1986","Employed","Male","29","","","","3"
"High transfer dependency","1986","Employed","Female","22","","","","3"
"Low transfer dependency","1986","Not Employed","Male","54","0.03520859546669","0.0245097545862073","0.0459074363471728","2"
"Low transfer dependency","1986","Not Employed","Female","95","0.0250588723408363","0.0191334601157495","0.030984284565923","2"
"Low transfer dependency","1986","Employed","Male","112","0.0268941220792848","0.0217979364453256","0.0319903077132439","2"
"Low transfer dependency","1986","Employed","Female","68","0.0267224811511146","0.0203817165537629","0.0330632457484664","2"
"No transfer dependency","1986","Not Employed","Male","568","0.619114620230731","0.590925706103476","0.647303534357985","0"
"No transfer dependency","1986","Not Employed","Female","1101","0.558382518025881","0.539557402648534","0.577207633403228","0"
"No transfer dependency","1986","Employed","Male","1347","0.405478664961119","0.390011730990688","0.42094559893155","0"
"No transfer dependency","1986","Employed","Female","1001","0.466836001565924","0.44722058782581","0.486451415306037","0"
"Very high transfer dependency","1986","Not Employed","Male","22","","","","4"
"Very high transfer dependency","1986","Not Employed","Female","33","0.0121091767955907","0.00796287989334998","0.0162554736978314","4"
"Very high transfer dependency","1986","Employed","Male","5","","","","4"
"Very high transfer dependency","1986","Employed","Female","8","","","","4"
"Very low transfer dependency","1986","Not Employed","Female","1346","0.371596155390354","0.353277076439167","0.389915234341542","1"
"Very low transfer dependency","1986","Not Employed","Male","436","0.290086237902398","0.263743432367382","0.316429043437414","1"
"Very low transfer dependency","1986","Employed","Female","1386","0.494167451473101","0.474510084352671","0.51382481859353","1"
"Very low transfer dependency","1986","Employed","Male","2378","0.558303322201581","0.542659831160241","0.573946813242922","1"
"Complete transfer dependency","1987","Not Employed","Male","31","0.0253243830890532","0.0160315869679342","0.0346171792101722","5"
"Complete transfer dependency","1987","Not Employed","Female","43","0.0146711586901102","0.0100254603871739","0.0193168569930465","5"
"Complete transfer dependency","1987","Employed","Male","","","","","5"
"Complete transfer dependency","1987","Employed","Female","","","","","5"
"High transfer dependency","1987","Not Employed","Female","38","0.00920977256057567","0.00551877712875386","0.0129007679923975","3"
"High transfer dependency","1987","Not Employed","Male","26","","","","3"
"High transfer dependency","1987","Employed","Female","19","","","","3"
"High transfer dependency","1987","Employed","Male","30","0.00722064345937718","0.00453783339023871","0.00990345352851565","3"
"Low transfer dependency","1987","Not Employed","Female","110","0.0332601550074887","0.0263315605552046","0.0401887494597729","2"
"Low transfer dependency","1987","Not Employed","Male","57","0.0429622354919428","0.0309684881934234","0.0549559827904621","2"
"Low transfer dependency","1987","Employed","Female","74","0.0315564298441408","0.0247106123401028","0.0384022473481788","2"
"Low transfer dependency","1987","Employed","Male","101","0.021668943966208","0.0170553709170871","0.0262825170153289","2"
"No transfer dependency","1987","Not Employed","Male","565","0.64406273555154","0.615742442938821","0.67238302816426","0"
"No transfer dependency","1987","Not Employed","Female","1081","0.574273931150676","0.55516867471577","0.593379187585583","0"
"No transfer dependency","1987","Employed","Male","1359","0.426704712471679","0.411032564852544","0.442376860090815","0"
"No transfer dependency","1987","Employed","Female","1019","0.47721629038672","0.457656559321089","0.496776021452351","0"
"Very high transfer dependency","1987","Not Employed","Female","28","","","","4"
"Very high transfer dependency","1987","Not Employed","Male","23","","","","4"
"Very high transfer dependency","1987","Employed","Male","5","","","","4"
"Very high transfer dependency","1987","Employed","Female","8","","","","4"
"Very low transfer dependency","1987","Not Employed","Female","1273","0.357868392019454","0.339345794377202","0.376390989661706","1"
"Very low transfer dependency","1987","Not Employed","Male","396","0.249625448630207","0.224026012549941","0.275224884710472","1"
"Very low transfer dependency","1987","Employed","Female","1385","0.478521376464087","0.458959381046672","0.498083371881502","1"
"Very low transfer dependency","1987","Employed","Male","2331","0.54308322144664","0.52729884776194","0.558867595131341","1"
"Complete transfer dependency","1988","Not Employed","Male","25","","","","5"
"Complete transfer dependency","1988","Not Employed","Female","42","0.0145231773944463","0.00973691506049482","0.0193094397283979","5"
"Complete transfer dependency","1988","Employed","Male","","","","","5"
"Complete transfer dependency","1988","Employed","Female","","","","","5"
"High transfer dependency","1988","Not Employed","Male","24","","","","3"
"High transfer dependency","1988","Not Employed","Female","27","","","","3"
"High transfer dependency","1988","Employed","Male","15","","","","3"
"High transfer dependency","1988","Employed","Female","19","","","","3"
"Low transfer dependency","1988","Not Employed","Male","53","0.0297869365228647","0.0194550910925399","0.0401187819531895","2"
"Low transfer dependency","1988","Not Employed","Female","91","0.0277097696476915","0.0211429227831376","0.0342766165122454","2"
"Low transfer dependency","1988","Employed","Female","68","0.0289703731672907","0.0222838084728461","0.0356569378617352","2"
"Low transfer dependency","1988","Employed","Male","91","0.0215928386673774","0.0168566554874831","0.0263290218472716","2"
"No transfer dependency","1988","Not Employed","Male","564","0.666560948284174","0.637908641964836","0.695213254603512","0"
"No transfer dependency","1988","Not Employed","Female","1022","0.583919047796426","0.564199011556959","0.603639084035893","0"
"No transfer dependency","1988","Employed","Male","1328","0.452917642637395","0.43669768245773","0.469137602817059","0"
"No transfer dependency","1988","Employed","Female","993","0.492047957733481","0.47211715282953","0.511978762637431","0"
"Very high transfer dependency","1988","Not Employed","Male","25","","","","4"
"Very high transfer dependency","1988","Not Employed","Female","35","0.0138983822926193","0.00921472152077699","0.0185820430644616","4"
"Very high transfer dependency","1988","Employed","Male","8","","","","4"
"Very high transfer dependency","1988","Employed","Female","8","","","","4"
"Very low transfer dependency","1988","Not Employed","Female","1183","0.34867824223452","0.329612545211859","0.367743939257182","1"
"Very low transfer dependency","1988","Not Employed","Male","349","0.246385851781948","0.220197158708142","0.272574544855754","1"
"Very low transfer dependency","1988","Employed","Female","1329","0.467296401942637","0.447405760007147","0.487187043878127","1"
"Very low transfer dependency","1988","Employed","Male","2176","0.5192990467174","0.50301883441076","0.535579259024041","1"
"Complete transfer dependency","1989","Not Employed","Male","36","0.0290044281772026","0.0187507145927122","0.039258141761693","5"
"Complete transfer dependency","1989","Not Employed","Female","45","0.0199277621807135","0.0141938824348953","0.0256616419265317","5"
"Complete transfer dependency","1989","Employed","Male","","","","","5"
"Complete transfer dependency","1989","Employed","Female","","","","","5"
"High transfer dependency","1989","Not Employed","Female","36","0.013268138053409","0.00857357866148671","0.0179626974453313","3"
"High transfer dependency","1989","Not Employed","Male","22","","","","3"
"High transfer dependency","1989","Employed","Female","22","","","","3"
"High transfer dependency","1989","Employed","Male","22","","","","3"
"Low transfer dependency","1989","Not Employed","Female","85","0.0263313995416233","0.0197618918591129","0.0329009072241336","2"
"Low transfer dependency","1989","Not Employed","Male","52","0.0277927024509378","0.0177491990515326","0.037836205850343","2"
"Low transfer dependency","1989","Employed","Female","65","0.0239634281870853","0.0178435822891092","0.0300832740850615","2"
"Low transfer dependency","1989","Employed","Male","88","0.0201329068094032","0.0154609904299683","0.024804823188838","2"
"No transfer dependency","1989","Not Employed","Male","541","0.648084127793459","0.618904783810235","0.677263471776682","0"
"No transfer dependency","1989","Not Employed","Female","983","0.587131861746612","0.566931284504244","0.60733243898898","0"
"No transfer dependency","1989","Employed","Male","1326","0.460688938239768","0.444109042736274","0.477268833743263","0"
"No transfer dependency","1989","Employed","Female","1019","0.501600531293913","0.481592666390696","0.521608396197129","0"
"Very high transfer dependency","1989","Not Employed","Female","26","","","","4"
"Very high transfer dependency","1989","Not Employed","Male","20","","","","4"
"Very high transfer dependency","1989","Employed","Male","3","","","","4"
"Very high transfer dependency","1989","Employed","Female","7","","","","4"
"Very low transfer dependency","1989","Not Employed","Female","1107","0.341460797688672","0.322004889289301","0.360916706088043","1"
"Very low transfer dependency","1989","Not Employed","Male","358","0.26321923120326","0.236312040761321","0.2901264216452","1"
"Very low transfer dependency","1989","Employed","Female","1286","0.459669896136707","0.439727121544046","0.479612670729368","1"
"Very low transfer dependency","1989","Employed","Male","2033","0.511040265943337","0.494412942646086","0.527667589240588","1"
"Complete transfer dependency","1990","Not Employed","Male","23","","","","5"
"Complete transfer dependency","1990","Not Employed","Female","30","0.0142661590735101","0.00928817837246838","0.0192441397745518","5"
"Complete transfer dependency","1990","Employed","Male","","","","","5"
"Complete transfer dependency","1990","Employed","Female","","","","","5"
"High transfer dependency","1990","Not Employed","Male","24","","","","3"
"High transfer dependency","1990","Not Employed","Female","30","0.0125434170264402","0.00787158973242876","0.0172152443204517","3"
"High transfer dependency","1990","Employed","Male","21","","","","3"
"High transfer dependency","1990","Employed","Female","24","","","","3"
"Low transfer dependency","1990","Not Employed","Male","40","0.0260314542986293","0.0162163663660259","0.0358465422312328","2"
"Low transfer dependency","1990","Not Employed","Female","84","0.0286898482794682","0.0216823510631072","0.0356973454958293","2"
"Low transfer dependency","1990","Employed","Male","78","0.0194566367085633","0.0147842400183461","0.0241290333987805","2"
"Low transfer dependency","1990","Employed","Female","45","0.0190366982886609","0.0135057593845948","0.024567637192727","2"
"No transfer dependency","1990","Not Employed","Male","572","0.679548308200208","0.650783335552501","0.708313280847916","0"
"No transfer dependency","1990","Not Employed","Female","996","0.592663034444266","0.57203771534901","0.613288353539522","0"
"No transfer dependency","1990","Employed","Male","1360","0.482300551954217","0.465397304441792","0.499203799466642","0"
"No transfer dependency","1990","Employed","Female","1049","0.524614574435124","0.504402086448567","0.54482706242168","0"
"Very high transfer dependency","1990","Not Employed","Male","18","","","","4"
"Very high transfer dependency","1990","Not Employed","Female","18","","","","4"
"Very high transfer dependency","1990","Employed","Male","6","","","","4"
"Very high transfer dependency","1990","Employed","Female","5","","","","4"
"Very low transfer dependency","1990","Not Employed","Female","1022","0.344844578173754","0.324891784345522","0.364797372001986","1"
"Very low transfer dependency","1990","Not Employed","Male","334","0.245296081864493","0.218774090996336","0.271818072732651","1"
"Very low transfer dependency","1990","Employed","Male","1892","0.488034975923226","0.471125971398377","0.504943980448074","1"
"Very low transfer dependency","1990","Employed","Female","1222","0.444664733469144","0.424552021325011","0.464777445613277","1"
"Complete transfer dependency","1991","Not Employed","Male","28","","","","5"
"Complete transfer dependency","1991","Not Employed","Female","30","0.0125900572195226","0.00784948001538419","0.0173306344236611","5"
"Complete transfer dependency","1991","Employed","Male","","","","","5"
"Complete transfer dependency","1991","Employed","Female","","","","","5"
"High transfer dependency","1991","Not Employed","Female","34","0.0166373374340035","0.0111989844390512","0.0220756904289558","3"
"High transfer dependency","1991","Not Employed","Male","22","","","","3"
"High transfer dependency","1991","Employed","Female","20","","","","3"
"High transfer dependency","1991","Employed","Male","15","","","","3"
"Low transfer dependency","1991","Not Employed","Male","51","0.0316146412693126","0.0207263309121995","0.0425029516264257","2"
"Low transfer dependency","1991","Not Employed","Female","90","0.0340432526612228","0.0263330998066543","0.0417534055157913","2"
"Low transfer dependency","1991","Employed","Male","82","0.0223834669332442","0.0173516249402315","0.0274153089262568","2"
"Low transfer dependency","1991","Employed","Female","57","0.0198273343631611","0.0141993645605248","0.0254553041657974","2"
"No transfer dependency","1991","Not Employed","Male","572","0.703517242146364","0.675096896942386","0.731937587350341","0"
"No transfer dependency","1991","Not Employed","Female","1005","0.60798220308996","0.587225090116623","0.628739316063296","0"
"No transfer dependency","1991","Employed","Male","1403","0.492626473030214","0.475620486758868","0.509632459301559","0"
"No transfer dependency","1991","Employed","Female","1101","0.533841989872297","0.513702835045796","0.553981144698798","0"
"Very high transfer dependency","1991","Not Employed","Male","16","","","","4"
"Very high transfer dependency","1991","Not Employed","Female","16","","","","4"
"Very high transfer dependency","1991","Employed","Male","3","","","","4"
"Very high transfer dependency","1991","Employed","Female","6","","","","4"
"Very low transfer dependency","1991","Not Employed","Female","950","0.321300854930148","0.301446160137187","0.341155549723109","1"
"Very low transfer dependency","1991","Not Employed","Male","303","0.213717228732616","0.188207760714002","0.239226696751231","1"
"Very low transfer dependency","1991","Employed","Female","1173","0.4359406725238","0.415921579975885","0.455959765071714","1"
"Very low transfer dependency","1991","Employed","Male","1817","0.479429526083904","0.462436089953885","0.496422962213924","1"
"Complete transfer dependency","1992","Not Employed","Male","25","","","","5"
"Complete transfer dependency","1992","Not Employed","Female","29","","","","5"
"Complete transfer dependency","1992","Employed","Male","","","","","5"
"Complete transfer dependency","1992","Employed","Female","","","","","5"
"High transfer dependency","1992","Not Employed","Male","40","0.0224517714878763","0.0143798792362118","0.0305236637395408","3"
"High transfer dependency","1992","Not Employed","Female","48","0.0140390490652297","0.00962249177131197","0.0184556063591475","3"
"High transfer dependency","1992","Employed","Male","34","0.00725066978162781","0.00483691532491023","0.00966442423834539","3"
"High transfer dependency","1992","Employed","Female","46","0.0121548117832403","0.0086411235787315","0.0156684999877492","3"
"Low transfer dependency","1992","Not Employed","Female","165","0.0341458071324341","0.0273285505257314","0.0409630637391368","2"
"Low transfer dependency","1992","Not Employed","Male","83","0.0320461264715455","0.022449997967625","0.041642254975466","2"
"Low transfer dependency","1992","Employed","Female","165","0.0328043811107504","0.0270926501602324","0.0385161120612683","2"
"Low transfer dependency","1992","Employed","Male","229","0.037073183208567","0.0316977830028183","0.0424485834143157","2"
"No transfer dependency","1992","Not Employed","Male","742","0.68328176300651","0.657935297707041","0.708628228305979","0"
"No transfer dependency","1992","Not Employed","Female","1251","0.585903844561351","0.567413332498412","0.60439435662429","0"
"No transfer dependency","1992","Employed","Male","1750","0.452546300135014","0.438385446597909","0.466707153672119","0"
"No transfer dependency","1992","Employed","Female","1416","0.471967056342397","0.455959279939923","0.487974832744871","0"
"Very high transfer dependency","1992","Not Employed","Female","35","0.0144323561802084","0.00995525403374588","0.018909458326671","4"
"Very high transfer dependency","1992","Not Employed","Male","24","","","","4"
"Very high transfer dependency","1992","Employed","Male","10","","","","4"
"Very high transfer dependency","1992","Employed","Female","11","","","","4"
"Very low transfer dependency","1992","Not Employed","Male","380","0.224729046116372","0.201986592711192","0.247471499521553","1"
"Very low transfer dependency","1992","Not Employed","Female","1198","0.341375347058079","0.323575337563091","0.359175356553066","1"
"Very low transfer dependency","1992","Employed","Male","2723","0.501467049342532","0.48724204659334","0.515692052091724","1"
"Very low transfer dependency","1992","Employed","Female","2098","0.480305177911958","0.464284625525355","0.496325730298561","1"
"Complete transfer dependency","1993","Not Employed","Male","20","","","","5"
"Complete transfer dependency","1993","Not Employed","Female","37","0.0119290699342182","0.00796813889735924","0.0158900009710771","5"
"Complete transfer dependency","1993","Employed","Male","","","","","5"
"Complete transfer dependency","1993","Employed","Female","","","","","5"
"High transfer dependency","1993","Not Employed","Female","65","0.0153727945234355","0.0108841805777717","0.0198614084690992","3"
"High transfer dependency","1993","Not Employed","Male","44","0.022955714762991","0.0151962670950426","0.0307151624309393","3"
"High transfer dependency","1993","Employed","Male","60","0.0113437445754557","0.00831355382562538","0.014373935325286","3"
"High transfer dependency","1993","Employed","Female","43","0.0115847951774098","0.00810327837447585","0.0150663119803438","3"
"Low transfer dependency","1993","Not Employed","Male","112","0.0461623373514157","0.0352903383775466","0.0570343363252847","2"
"Low transfer dependency","1993","Not Employed","Female","239","0.0485912743201368","0.040746821829509","0.0564357268107645","2"
"Low transfer dependency","1993","Employed","Male","266","0.0407187544259324","0.0350636671931925","0.0463738416586723","2"
"Low transfer dependency","1993","Employed","Female","167","0.0351923344087599","0.0291971987130324","0.0411874701044874","2"
"No transfer dependency","1993","Not Employed","Male","800","0.666116510420738","0.641682157340845","0.69055086350063","0"
"No transfer dependency","1993","Not Employed","Female","1272","0.570718696145426","0.552660184035122","0.58877720825573","0"
"No transfer dependency","1993","Employed","Male","1698","0.449185707924736","0.434953094475511","0.463418321373962","0"
"No transfer dependency","1993","Employed","Female","1408","0.481445127219583","0.465188690250951","0.497701564188216","0"
"Very high transfer dependency","1993","Not Employed","Male","38","0.0233908138743174","0.0155599199123361","0.0312217078362988","4"
"Very high transfer dependency","1993","Not Employed","Female","48","0.015461206150807","0.0109599054125694","0.0199625068890445","4"
"Very high transfer dependency","1993","Employed","Male","18","","","","4"
"Very high transfer dependency","1993","Employed","Female","16","","","","4"
"Very low transfer dependency","1993","Not Employed","Female","1225","0.337926958925976","0.320669998635229","0.355183919216723","1"
"Very low transfer dependency","1993","Not Employed","Male","417","0.224951082763215","0.20331708028928","0.24658508523715","1"
"Very low transfer dependency","1993","Employed","Male","2650","0.496227761037208","0.481921480618195","0.510534041456221","1"
"Very low transfer dependency","1993","Employed","Female","1995","0.46830935994946","0.452074425725729","0.484544294173192","1"
"Complete transfer dependency","1994","Not Employed","Male","36","0.0252410357829153","0.017255092998503","0.0332269785673276","5"
"Complete transfer dependency","1994","Not Employed","Female","40","0.0132160636463874","0.00910275798215436","0.0173293693106205","5"
"Complete transfer dependency","1994","Employed","Male","","","","","5"
"Complete transfer dependency","1994","Employed","Female","","","","","5"
"High transfer dependency","1994","Not Employed","Male","52","0.0244259602312649","0.0165667314793448","0.0322851889831851","3"
"High transfer dependency","1994","Not Employed","Female","74","0.01905126122406","0.0141273080992102","0.0239752143489098","3"
"High transfer dependency","1994","Employed","Female","45","0.0117018118965928","0.00813601012340768","0.0152676136697779","3"
"High transfer dependency","1994","Employed","Male","58","0.0135061533890098","0.0101310046933681","0.0168813020846516","3"
"Low transfer dependency","1994","Not Employed","Female","239","0.0454732435775694","0.0379691039322347","0.0529773832229042","2"
"Low transfer dependency","1994","Not Employed","Male","114","0.0465366875833513","0.0358122699911254","0.0572611051755771","2"
"Low transfer dependency","1994","Employed","Female","167","0.0358826725246558","0.0297153881310088","0.0420499569183028","2"
"Low transfer dependency","1994","Employed","Male","257","0.0433270048698179","0.0373739350910094","0.0492800746486264","2"
"No transfer dependency","1994","Not Employed","Male","826","0.660743982620955","0.636639135729221","0.68484882951269","0"
"No transfer dependency","1994","Not Employed","Female","1355","0.585824243168396","0.568082148401184","0.603566337935608","0"
"No transfer dependency","1994","Employed","Male","1645","0.444977487473057","0.430446196436704","0.45950877850941","0"
"No transfer dependency","1994","Employed","Female","1386","0.488010670658792","0.471436501971571","0.504584839346012","0"
"Very high transfer dependency","1994","Not Employed","Female","53","0.0174141030410162","0.0127025432643652","0.0221256628176673","4"
"Very high transfer dependency","1994","Not Employed","Male","36","0.0208792073710833","0.0135997479450691","0.0281586667970975","4"
"Very high transfer dependency","1994","Employed","Female","21","","","","4"
"Very high transfer dependency","1994","Employed","Male","17","","","","4"
"Very low transfer dependency","1994","Not Employed","Male","418","0.22217312641043","0.201008469911194","0.243337782909666","1"
"Very low transfer dependency","1994","Not Employed","Female","1200","0.319021085342571","0.302232835880834","0.335809334804307","1"
"Very low transfer dependency","1994","Employed","Male","2516","0.492629686459215","0.478011190303896","0.507248182614534","1"
"Very low transfer dependency","1994","Employed","Female","1875","0.458309041587068","0.441787839382567","0.474830243791569","1"
"Complete transfer dependency","1995","Not Employed","Male","58","0.0416169124714067","0.0317538380274066","0.0514799869154068","5"
"Complete transfer dependency","1995","Not Employed","Female","64","0.0220284293173602","0.0168541071026099","0.0272027515321105","5"
"Complete transfer dependency","1995","Employed","Male","","","","","5"
"Complete transfer dependency","1995","Employed","Female","","","","","5"
"High transfer dependency","1995","Not Employed","Female","90","0.0201829020723531","0.0152254000295649","0.0251404041151413","3"
"High transfer dependency","1995","Not Employed","Male","55","0.0297387614343718","0.0213496958164293","0.0381278270523144","3"
"High transfer dependency","1995","Employed","Female","46","0.0121105017165039","0.00852152269066927","0.0156994807423386","3"
"High transfer dependency","1995","Employed","Male","57","0.0108746849176825","0.00787332747113199","0.0138760423642331","3"
"Low transfer dependency","1995","Not Employed","Male","127","0.0504882769341844","0.0396751014234403","0.0613014524449284","2"
"Low transfer dependency","1995","Not Employed","Female","222","0.0427028008679984","0.0355750885427889","0.049830513193208","2"
"Low transfer dependency","1995","Employed","Male","246","0.0447383710250945","0.0387558398410165","0.0507209022091725","2"
"Low transfer dependency","1995","Employed","Female","172","0.0391618956935648","0.0327969803720304","0.0455268110150992","2"
"No transfer dependency","1995","Not Employed","Male","849","0.653296925742584","0.629792915618188","0.67680093586698","0"
"No transfer dependency","1995","Not Employed","Female","1421","0.593973691325418","0.576661211489899","0.611286171160937","0"
"No transfer dependency","1995","Employed","Female","1417","0.488954327193995","0.472552218982109","0.505356435405881","0"
"No transfer dependency","1995","Employed","Male","1718","0.453066969903871","0.438661348468458","0.467472591339285","0"
"Very high transfer dependency","1995","Not Employed","Male","53","0.0326892914636205","0.0239072888206631","0.041471294106578","4"
"Very high transfer dependency","1995","Not Employed","Female","86","0.0219410128086288","0.0167767367691067","0.0271052888481508","4"
"Very high transfer dependency","1995","Employed","Male","22","","","","4"
"Very high transfer dependency","1995","Employed","Female","18","","","","4"
"Very low transfer dependency","1995","Not Employed","Male","433","0.192169831953833","0.172711283014931","0.211628380892734","1"
"Very low transfer dependency","1995","Not Employed","Female","1208","0.299171163608242","0.283028899995306","0.315313427221177","1"
"Very low transfer dependency","1995","Employed","Male","2544","0.487861866676522","0.473396624311831","0.502327109041212","1"
"Very low transfer dependency","1995","Employed","Female","1915","0.454667454081484","0.438328911632074","0.471005996530894","1"
"Complete transfer dependency","1996","Not Employed","Male","46","0.0359684494673564","0.0266225812850815","0.0453143176496313","5"
"Complete transfer dependency","1996","Not Employed","Female","60","0.0192227083553915","0.0142936995680045","0.0241517171427786","5"
"Complete transfer dependency","1996","Employed","Male","","","","","5"
"Complete transfer dependency","1996","Employed","Female","","","","","5"
"High transfer dependency","1996","Not Employed","Female","106","0.0275194268647054","0.0216468695702851","0.0333919841591257","3"
"High transfer dependency","1996","Not Employed","Male","67","0.0323877203939333","0.0235027896804997","0.0412726511073669","3"
"High transfer dependency","1996","Employed","Female","64","0.0178327364256036","0.0135041896890821","0.0221612831621251","3"
"High transfer dependency","1996","Employed","Male","69","0.0116835502788489","0.00855882277213991","0.0148082777855579","3"
"Low transfer dependency","1996","Not Employed","Female","248","0.0532550917232644","0.0451945512948126","0.0613156321517162","2"
"Low transfer dependency","1996","Not Employed","Male","152","0.0692515154672866","0.0565093283330157","0.0819937026015576","2"
"Low transfer dependency","1996","Employed","Female","182","0.042682202293731","0.036070826172231","0.049293578415231","2"
"Low transfer dependency","1996","Employed","Male","254","0.0454393117923031","0.0393831932485004","0.0514954303361058","2"
"No transfer dependency","1996","Not Employed","Male","758","0.617993750027042","0.593607757023379","0.642379743030704","0"
"No transfer dependency","1996","Not Employed","Female","1331","0.585658573760831","0.567975061246971","0.603342086274691","0"
"No transfer dependency","1996","Employed","Male","1682","0.438400425610502","0.423971779184441","0.452829072036564","0"
"No transfer dependency","1996","Employed","Female","1368","0.454407721547455","0.438122362148742","0.470693080946167","0"
"Very high transfer dependency","1996","Not Employed","Female","90","0.022610966005195","0.0172744183432948","0.0279475136670953","4"
"Very high transfer dependency","1996","Not Employed","Male","63","0.0284755076354994","0.0201276355919744","0.0368233796790243","4"
"Very high transfer dependency","1996","Employed","Male","18","","","","4"
"Very high transfer dependency","1996","Employed","Female","14","","","","4"
