"transab_cat","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1986","66 and older","Urban Area","77","0.0912235747385127","0.0709523817011035","0.111494767775922"
"Very low transfer dependency","1986","66 and older","Rural Area","26","","",""
"Low transfer dependency","1986","16-34 y.","Urban Area","119","0.0350880538095203","0.0286315966185453","0.0415445110004952"
"Low transfer dependency","1986","16-34 y.","Rural Area","42","0.0526243388491889","0.0369748862010547","0.0682737914973232"
"Low transfer dependency","1986","35-65 y.","Urban Area","119","0.0249827026627406","0.0202490791249437","0.0297163262005374"
"Low transfer dependency","1986","35-65 y.","Rural Area","41","0.0332607969436355","0.0224557602066879","0.0440658336805831"
"Low transfer dependency","1986","66 and older","Urban Area","6","","",""
"Low transfer dependency","1986","66 and older","Rural Area","2","","",""
"High transfer dependency","1986","16-34 y.","Urban Area","44","0.0124331723237854","0.00854500436278021","0.0163213402847906"
"High transfer dependency","1986","16-34 y.","Rural Area","12","","",""
"High transfer dependency","1986","35-65 y.","Urban Area","42","0.00770630275316092","0.00505407389674667","0.0103585316095752"
"High transfer dependency","1986","35-65 y.","Rural Area","16","","",""
"High transfer dependency","1986","66 and older","Urban Area","8","","",""
"High transfer dependency","1986","66 and older","Rural Area","","","",""
"Very high transfer dependency","1986","16-34 y.","Urban Area","30","0.0108844708907304","0.00724366131036172","0.0145252804710992"
"Very high transfer dependency","1986","16-34 y.","Rural Area","4","","",""
"Very high transfer dependency","1986","35-65 y.","Urban Area","32","0.00817527871580843","0.00544418505396967","0.0109063723776472"
"Very high transfer dependency","1986","35-65 y.","Rural Area","1","","",""
"Very high transfer dependency","1986","66 and older","Urban Area","","","",""
"Very high transfer dependency","1986","66 and older","Rural Area","1","","",""
"Complete transfer dependency","1986","16-34 y.","Urban Area","36","0.0136691440859202","0.00959484633197458","0.0177434418398658"
"Complete transfer dependency","1986","16-34 y.","Rural Area","9","","",""
"Complete transfer dependency","1986","35-65 y.","Urban Area","30","0.00869967778287114","0.00588309802688745","0.0115162575388548"
"Complete transfer dependency","1986","35-65 y.","Rural Area","11","","",""
"Complete transfer dependency","1986","66 and older","Urban Area","","","",""
"Complete transfer dependency","1986","66 and older","Rural Area","1","","",""
"No transfer dependency","1987","16-34 y.","Urban Area","949","0.385305545691246","0.368056636813875","0.402554454568616"
"No transfer dependency","1987","16-34 y.","Rural Area","183","0.265596513844802","0.234422017049626","0.296771010639978"
"No transfer dependency","1987","35-65 y.","Urban Area","1608","0.485842694935437","0.470482142023223","0.501203247847651"
"No transfer dependency","1987","35-65 y.","Rural Area","350","0.399783470060548","0.369853464596069","0.429713475525028"
"No transfer dependency","1987","66 and older","Urban Area","713","0.882816043216133","0.860734039727312","0.904898046704955"
"No transfer dependency","1987","66 and older","Rural Area","221","0.872590472811198","0.832216300624618","0.912964644997778"
"Very low transfer dependency","1987","16-34 y.","Urban Area","1896","0.54719001557174","0.529547665724567","0.564832365418914"
"Very low transfer dependency","1987","16-34 y.","Rural Area","518","0.644195678728116","0.610402004373451","0.67798935308278"
"Very low transfer dependency","1987","35-65 y.","Urban Area","2228","0.460151056834567","0.444833223337703","0.475468890331431"
"Very low transfer dependency","1987","35-65 y.","Rural Area","620","0.539627182816519","0.509173336680367","0.570081028952672"
"Very low transfer dependency","1987","66 and older","Urban Area","87","0.0981426402998098","0.0777174043447726","0.118567876254847"
"Very low transfer dependency","1987","66 and older","Rural Area","36","0.102919867182574","0.0661270812846309","0.139712653080518"
"Low transfer dependency","1987","16-34 y.","Urban Area","126","0.0374428715540388","0.0307142332766318","0.0441715098314458"
"Low transfer dependency","1987","16-34 y.","Rural Area","44","0.0521360255517111","0.0364445830029491","0.0678274681004731"
"Low transfer dependency","1987","35-65 y.","Urban Area","127","0.0289038764564377","0.0237549088307275","0.0340528440821478"
"Low transfer dependency","1987","35-65 y.","Rural Area","31","0.0280525099087767","0.0179635204758282","0.0381414993417251"
"Low transfer dependency","1987","66 and older","Urban Area","10","","",""
"Low transfer dependency","1987","66 and older","Rural Area","4","","",""
"High transfer dependency","1987","16-34 y.","Urban Area","37","0.0100268041736812","0.00649560401753629","0.0135580043298261"
"High transfer dependency","1987","16-34 y.","Rural Area","11","","",""
"High transfer dependency","1987","35-65 y.","Urban Area","48","0.00932161465670809","0.00636821022962239","0.0122750190837938"
"High transfer dependency","1987","35-65 y.","Rural Area","13","","",""
"High transfer dependency","1987","66 and older","Urban Area","4","","",""
"High transfer dependency","1987","66 and older","Rural Area","","","",""
"Very high transfer dependency","1987","16-34 y.","Urban Area","22","","",""
"Very high transfer dependency","1987","16-34 y.","Rural Area","11","","",""
"Very high transfer dependency","1987","35-65 y.","Urban Area","23","","",""
"Very high transfer dependency","1987","35-65 y.","Rural Area","8","","",""
"Very high transfer dependency","1987","66 and older","Urban Area","","","",""
"Very high transfer dependency","1987","66 and older","Rural Area","","","",""
"Complete transfer dependency","1987","16-34 y.","Urban Area","28","","",""
"Complete transfer dependency","1987","16-34 y.","Rural Area","4","","",""
"Complete transfer dependency","1987","35-65 y.","Urban Area","33","0.00864971046806036","0.00580377296331268","0.0114956479728081"
"Complete transfer dependency","1987","35-65 y.","Rural Area","7","","",""
"Complete transfer dependency","1987","66 and older","Urban Area","1","","",""
"Complete transfer dependency","1987","66 and older","Rural Area","1","","",""
"No transfer dependency","1988","16-34 y.","Urban Area","911","0.397984153744011","0.380202840205232","0.415765467282791"
"No transfer dependency","1988","16-34 y.","Rural Area","187","0.286806546186619","0.253702070250476","0.319911022122763"
"No transfer dependency","1988","35-65 y.","Urban Area","1553","0.50795029423769","0.492108998400861","0.523791590074519"
"No transfer dependency","1988","35-65 y.","Rural Area","348","0.42773923867621","0.396604246989995","0.458874230362425"
"No transfer dependency","1988","66 and older","Urban Area","700","0.885294878442599","0.863267873600086","0.907321883285111"
"No transfer dependency","1988","66 and older","Rural Area","208","0.873586293610382","0.832143444700449","0.915029142520315"
"Very low transfer dependency","1988","16-34 y.","Urban Area","1812","0.54242384308123","0.524325947956212","0.560521738206248"
"Very low transfer dependency","1988","16-34 y.","Rural Area","475","0.636501741514182","0.601293893680458","0.671709589347907"
"Very low transfer dependency","1988","35-65 y.","Urban Area","2063","0.439810896938233","0.424082808983249","0.455538984893217"
"Very low transfer dependency","1988","35-65 y.","Rural Area","558","0.50306204266412","0.471597307253096","0.534526778075145"
"Very low transfer dependency","1988","66 and older","Urban Area","91","0.0989292749136729","0.0782915452297433","0.119567004597602"
"Very low transfer dependency","1988","66 and older","Rural Area","38","0.12140422410643","0.0806745374725649","0.162133910740294"
"Low transfer dependency","1988","16-34 y.","Urban Area","107","0.0328023359997594","0.0263318486243048","0.039272823375214"
"Low transfer dependency","1988","16-34 y.","Rural Area","34","0.0445053484996373","0.0294111955485079","0.0595995014507668"
"Low transfer dependency","1988","35-65 y.","Urban Area","122","0.0259587529944627","0.0209201957718137","0.0309973102171116"
"Low transfer dependency","1988","35-65 y.","Rural Area","35","0.0353542424524723","0.0237326157559461","0.0469758691489985"
"Low transfer dependency","1988","66 and older","Urban Area","5","","",""
"Low transfer dependency","1988","66 and older","Rural Area","","","",""
"High transfer dependency","1988","16-34 y.","Urban Area","33","0.0120595764195517","0.0080944376310328","0.0160247152080705"
"High transfer dependency","1988","16-34 y.","Rural Area","6","","",""
"High transfer dependency","1988","35-65 y.","Urban Area","26","","",""
"High transfer dependency","1988","35-65 y.","Rural Area","15","","",""
"High transfer dependency","1988","66 and older","Urban Area","5","","",""
"High transfer dependency","1988","66 and older","Rural Area","","","",""
"Very high transfer dependency","1988","16-34 y.","Urban Area","26","","",""
"Very high transfer dependency","1988","16-34 y.","Rural Area","11","","",""
"Very high transfer dependency","1988","35-65 y.","Urban Area","27","","",""
"Very high transfer dependency","1988","35-65 y.","Rural Area","9","","",""
"Very high transfer dependency","1988","66 and older","Urban Area","3","","",""
"Very high transfer dependency","1988","66 and older","Rural Area","","","",""
"Complete transfer dependency","1988","16-34 y.","Urban Area","22","","",""
"Complete transfer dependency","1988","16-34 y.","Rural Area","4","","",""
"Complete transfer dependency","1988","35-65 y.","Urban Area","35","0.0116262797467622","0.0082295844710516","0.0150229750224728"
"Complete transfer dependency","1988","35-65 y.","Rural Area","5","","",""
"Complete transfer dependency","1988","66 and older","Urban Area","","","",""
"Complete transfer dependency","1988","66 and older","Rural Area","1","","",""
"No transfer dependency","1989","16-34 y.","Urban Area","941","0.404731801166777","0.386808563337531","0.422655038996022"
"No transfer dependency","1989","16-34 y.","Rural Area","182","0.28701402535402","0.252632168993191","0.321395881714849"
"No transfer dependency","1989","35-65 y.","Urban Area","1537","0.513286775588018","0.497203379886445","0.529370171289591"
"No transfer dependency","1989","35-65 y.","Rural Area","329","0.436053767466444","0.403745574150833","0.468361960782055"
"No transfer dependency","1989","66 and older","Urban Area","685","0.893504998471098","0.871829385005112","0.915180611937085"
"No transfer dependency","1989","66 and older","Rural Area","195","0.833578847547835","0.786749019876973","0.880408675218696"
"Very low transfer dependency","1989","16-34 y.","Urban Area","1738","0.527202374539358","0.508971698064044","0.545433051014672"
"Very low transfer dependency","1989","16-34 y.","Rural Area","445","0.648095996968132","0.611799138214717","0.684392855721548"
"Very low transfer dependency","1989","35-65 y.","Urban Area","1962","0.436372047486584","0.420413775616842","0.452330319356326"
"Very low transfer dependency","1989","35-65 y.","Rural Area","516","0.495057239859515","0.462483127931263","0.527631351787768"
"Very low transfer dependency","1989","66 and older","Urban Area","81","0.09236012949898","0.0720151460117379","0.112705112986222"
"Very low transfer dependency","1989","66 and older","Rural Area","42","0.143898285007358","0.0997681306258356","0.188028439388881"
"Low transfer dependency","1989","16-34 y.","Urban Area","115","0.0318470211591676","0.025435178404034","0.0382588639143012"
"Low transfer dependency","1989","16-34 y.","Rural Area","17","","",""
"Low transfer dependency","1989","35-65 y.","Urban Area","118","0.0254217845690082","0.0203568655851674","0.0304867035528491"
"Low transfer dependency","1989","35-65 y.","Rural Area","29","","",""
"Low transfer dependency","1989","66 and older","Urban Area","8","","",""
"Low transfer dependency","1989","66 and older","Rural Area","3","","",""
"High transfer dependency","1989","16-34 y.","Urban Area","45","0.0192060325163876","0.0141943426886241","0.0242177223441511"
"High transfer dependency","1989","16-34 y.","Rural Area","7","","",""
"High transfer dependency","1989","35-65 y.","Urban Area","36","0.00748226048094722","0.00470928080356736","0.0102552401583271"
"High transfer dependency","1989","35-65 y.","Rural Area","10","","",""
"High transfer dependency","1989","66 and older","Urban Area","3","","",""
"High transfer dependency","1989","66 and older","Rural Area","1","","",""
"Very high transfer dependency","1989","16-34 y.","Urban Area","19","","",""
"Very high transfer dependency","1989","16-34 y.","Rural Area","5","","",""
"Very high transfer dependency","1989","35-65 y.","Urban Area","20","","",""
"Very high transfer dependency","1989","35-65 y.","Rural Area","10","","",""
"Very high transfer dependency","1989","66 and older","Urban Area","1","","",""
"Very high transfer dependency","1989","66 and older","Rural Area","1","","",""
"Complete transfer dependency","1989","16-34 y.","Urban Area","23","","",""
"Complete transfer dependency","1989","16-34 y.","Rural Area","9","","",""
"Complete transfer dependency","1989","35-65 y.","Urban Area","37","0.0122716003227902","0.00872893188773913","0.0158142687578412"
"Complete transfer dependency","1989","35-65 y.","Rural Area","11","","",""
"Complete transfer dependency","1989","66 and older","Urban Area","","","",""
"Complete transfer dependency","1989","66 and older","Rural Area","1","","",""
"No transfer dependency","1990","16-34 y.","Urban Area","966","0.432279984330208","0.413645694732571","0.450914273927846"
"No transfer dependency","1990","16-34 y.","Rural Area","217","0.33682162253366","0.301350815928808","0.372292429138511"
"No transfer dependency","1990","35-65 y.","Urban Area","1540","0.523187283305504","0.506789628190409","0.5395849384206"
"No transfer dependency","1990","35-65 y.","Rural Area","348","0.467127919213335","0.434182917649219","0.500072920777451"
"No transfer dependency","1990","66 and older","Urban Area","701","0.890229769296547","0.868648652501976","0.911810886091117"
"No transfer dependency","1990","66 and older","Rural Area","205","0.8576971695156","0.813951123389877","0.901443215641323"
"Very low transfer dependency","1990","16-34 y.","Urban Area","1582","0.507018488508385","0.48821275020798","0.525824226808791"
"Very low transfer dependency","1990","16-34 y.","Rural Area","427","0.59592813344334","0.559099792507203","0.632756474379477"
"Very low transfer dependency","1990","35-65 y.","Urban Area","1845","0.432348976268827","0.416084608966043","0.44861334357161"
"Very low transfer dependency","1990","35-65 y.","Rural Area","492","0.48575853055684","0.452755493813528","0.518761567300152"
"Very low transfer dependency","1990","66 and older","Urban Area","91","0.0989569738038503","0.0783422966449037","0.119571650962797"
"Very low transfer dependency","1990","66 and older","Rural Area","33","0.11143723480431","0.0720346903642046","0.150839779244416"
"Low transfer dependency","1990","16-34 y.","Urban Area","97","0.0319159878926303","0.025304124930316","0.0385278508549446"
"Low transfer dependency","1990","16-34 y.","Rural Area","28","","",""
"Low transfer dependency","1990","35-65 y.","Urban Area","85","0.0176071500747876","0.013289311789728","0.0219249883598472"
"Low transfer dependency","1990","35-65 y.","Rural Area","25","","",""
"Low transfer dependency","1990","66 and older","Urban Area","8","","",""
"Low transfer dependency","1990","66 and older","Rural Area","4","","",""
"High transfer dependency","1990","16-34 y.","Urban Area","39","0.0163505678679135","0.0115802231093166","0.0211209126265103"
"High transfer dependency","1990","16-34 y.","Rural Area","3","","",""
"High transfer dependency","1990","35-65 y.","Urban Area","42","0.0102973973439876","0.00698307049460312","0.0136117241933722"
"High transfer dependency","1990","35-65 y.","Rural Area","7","","",""
"High transfer dependency","1990","66 and older","Urban Area","5","","",""
"High transfer dependency","1990","66 and older","Rural Area","3","","",""
"Very high transfer dependency","1990","16-34 y.","Urban Area","18","","",""
"Very high transfer dependency","1990","16-34 y.","Rural Area","2","","",""
"Very high transfer dependency","1990","35-65 y.","Urban Area","24","","",""
"Very high transfer dependency","1990","35-65 y.","Rural Area","2","","",""
"Very high transfer dependency","1990","66 and older","Urban Area","1","","",""
"Very high transfer dependency","1990","66 and older","Rural Area","","","",""
"Complete transfer dependency","1990","16-34 y.","Urban Area","13","","",""
"Complete transfer dependency","1990","16-34 y.","Rural Area","5","","",""
"Complete transfer dependency","1990","35-65 y.","Urban Area","28","","",""
"Complete transfer dependency","1990","35-65 y.","Rural Area","7","","",""
"Complete transfer dependency","1990","66 and older","Urban Area","","","",""
"Complete transfer dependency","1990","66 and older","Rural Area","","","",""
"No transfer dependency","1991","16-34 y.","Urban Area","962","0.43333986101675","0.414455125598676","0.452224596434825"
"No transfer dependency","1991","16-34 y.","Rural Area","234","0.351013825114997","0.315807104481004","0.38622054574899"
"No transfer dependency","1991","35-65 y.","Urban Area","1571","0.536528317154965","0.519972347323123","0.553084286986806"
"No transfer dependency","1991","35-65 y.","Rural Area","363","0.4601601005303","0.427452202624985","0.492867998435615"
"No transfer dependency","1991","66 and older","Urban Area","736","0.906652135298468","0.886776514067988","0.926527756528949"
"No transfer dependency","1991","66 and older","Rural Area","215","0.890669948277546","0.851434995827682","0.92990490072741"
"Very low transfer dependency","1991","16-34 y.","Urban Area","1515","0.50226230151733","0.483207658725338","0.521316944309322"
"Very low transfer dependency","1991","16-34 y.","Rural Area","421","0.581058058819833","0.544663838044018","0.617452279595649"
"Very low transfer dependency","1991","35-65 y.","Urban Area","1730","0.414848148740746","0.398490323289246","0.431205974192245"
"Very low transfer dependency","1991","35-65 y.","Rural Area","484","0.492853302976982","0.460044430899601","0.525662175054363"
"Very low transfer dependency","1991","66 and older","Urban Area","70","0.0791580333264077","0.0607126271470672","0.0976034395057481"
"Very low transfer dependency","1991","66 and older","Rural Area","23","","",""
"Low transfer dependency","1991","16-34 y.","Urban Area","102","0.0388949014326164","0.0315266059931481","0.0462631968720848"
"Low transfer dependency","1991","16-34 y.","Rural Area","31","0.0378694438716122","0.0237892962559567","0.0519495914872678"
"Low transfer dependency","1991","35-65 y.","Urban Area","111","0.0264676394901086","0.0211382249657594","0.0317970540144577"
"Low transfer dependency","1991","35-65 y.","Rural Area","24","","",""
"Low transfer dependency","1991","66 and older","Urban Area","11","","",""
"Low transfer dependency","1991","66 and older","Rural Area","1","","",""
"High transfer dependency","1991","16-34 y.","Urban Area","32","0.0113043514911124","0.00727542456455246","0.0153332784176724"
"High transfer dependency","1991","16-34 y.","Rural Area","7","","",""
"High transfer dependency","1991","35-65 y.","Urban Area","33","0.00795600320760895","0.00500642686526101","0.0109055795499569"
"High transfer dependency","1991","35-65 y.","Rural Area","11","","",""
"High transfer dependency","1991","66 and older","Urban Area","5","","",""
"High transfer dependency","1991","66 and older","Rural Area","3","","",""
"Very high transfer dependency","1991","16-34 y.","Urban Area","17","","",""
"Very high transfer dependency","1991","16-34 y.","Rural Area","4","","",""
"Very high transfer dependency","1991","35-65 y.","Urban Area","13","","",""
"Very high transfer dependency","1991","35-65 y.","Rural Area","5","","",""
"Very high transfer dependency","1991","66 and older","Urban Area","1","","",""
"Very high transfer dependency","1991","66 and older","Rural Area","1","","",""
"Complete transfer dependency","1991","16-34 y.","Urban Area","17","","",""
"Complete transfer dependency","1991","16-34 y.","Rural Area","9","","",""
"Complete transfer dependency","1991","35-65 y.","Urban Area","27","","",""
"Complete transfer dependency","1991","35-65 y.","Rural Area","5","","",""
"Complete transfer dependency","1991","66 and older","Urban Area","","","",""
"Complete transfer dependency","1991","66 and older","Rural Area","","","",""
"No transfer dependency","1992","16-34 y.","Urban Area","1058","0.407491982078098","0.390155667460064","0.424828296696131"
"No transfer dependency","1992","16-34 y.","Rural Area","309","0.256649552759952","0.234947023315241","0.278352082204662"
"No transfer dependency","1992","35-65 y.","Urban Area","1846","0.528533191284522","0.513356677652859","0.543709704916185"
"No transfer dependency","1992","35-65 y.","Rural Area","753","0.435444185363777","0.414539655840084","0.456348714887471"
"No transfer dependency","1992","66 and older","Urban Area","803","0.863447331882387","0.84157771764069","0.885316946124083"
"No transfer dependency","1992","66 and older","Rural Area","373","0.822254354953378","0.78823079150876","0.856277918397996"
"Very low transfer dependency","1992","16-34 y.","Urban Area","1761","0.514327407621166","0.496693776074924","0.531961039167408"
"Very low transfer dependency","1992","16-34 y.","Rural Area","1028","0.614613764856174","0.590431747119828","0.638795782592521"
"Very low transfer dependency","1992","35-65 y.","Urban Area","2062","0.421677198032774","0.406663573929062","0.436690822136486"
"Very low transfer dependency","1992","35-65 y.","Rural Area","1226","0.492753298095038","0.471674536425929","0.513832059764147"
"Very low transfer dependency","1992","66 and older","Urban Area","129","0.129556711513652","0.108168557634754","0.15094486539255"
"Very low transfer dependency","1992","66 and older","Rural Area","109","0.167150638832794","0.133944798861755","0.200356478803832"
"Low transfer dependency","1992","16-34 y.","Urban Area","167","0.0404129940669253","0.0334651058443529","0.0473608822894978"
"Low transfer dependency","1992","16-34 y.","Rural Area","174","0.0932330345788902","0.0787860885734708","0.10767998058431"
"Low transfer dependency","1992","35-65 y.","Urban Area","153","0.0267330363292725","0.0218290363814614","0.0316370362770836"
"Low transfer dependency","1992","35-65 y.","Rural Area","133","0.0457199193985476","0.0369132566587547","0.0545265821383405"
"Low transfer dependency","1992","66 and older","Urban Area","7","","",""
"Low transfer dependency","1992","66 and older","Rural Area","","","",""
"High transfer dependency","1992","16-34 y.","Urban Area","51","0.0194428414805897","0.0145712994363165","0.0243143835248629"
"High transfer dependency","1992","16-34 y.","Rural Area","25","","",""
"High transfer dependency","1992","35-65 y.","Urban Area","49","0.00923652766882426","0.00632815749202837","0.0121448978456202"
"High transfer dependency","1992","35-65 y.","Rural Area","33","0.0145225823341851","0.00947868811838898","0.0195664765499811"
"High transfer dependency","1992","66 and older","Urban Area","6","","",""
"High transfer dependency","1992","66 and older","Rural Area","2","","",""
"Very high transfer dependency","1992","16-34 y.","Urban Area","27","","",""
"Very high transfer dependency","1992","16-34 y.","Rural Area","17","","",""
"Very high transfer dependency","1992","35-65 y.","Urban Area","22","","",""
"Very high transfer dependency","1992","35-65 y.","Rural Area","12","","",""
"Very high transfer dependency","1992","66 and older","Urban Area","1","","",""
"Very high transfer dependency","1992","66 and older","Rural Area","1","","",""
"Complete transfer dependency","1992","16-34 y.","Urban Area","22","","",""
"Complete transfer dependency","1992","16-34 y.","Rural Area","3","","",""
"Complete transfer dependency","1992","35-65 y.","Urban Area","24","","",""
"Complete transfer dependency","1992","35-65 y.","Rural Area","4","","",""
"Complete transfer dependency","1992","66 and older","Urban Area","1","","",""
"Complete transfer dependency","1992","66 and older","Rural Area","","","",""
"No transfer dependency","1993","16-34 y.","Urban Area","1091","0.415390927363224","0.39817652269077","0.432605332035679"
"No transfer dependency","1993","16-34 y.","Rural Area","330","0.268103641148337","0.246114858683206","0.290092423613468"
"No transfer dependency","1993","35-65 y.","Urban Area","1786","0.499693126609695","0.484675019928741","0.514711233290649"
"No transfer dependency","1993","35-65 y.","Rural Area","743","0.445080859606551","0.424233285097892","0.46592843411521"
"No transfer dependency","1993","66 and older","Urban Area","829","0.874509131039932","0.853757846634595","0.895260415445269"
"No transfer dependency","1993","66 and older","Rural Area","399","0.811820888198233","0.777932301370626","0.84570947502584"
"Very low transfer dependency","1993","16-34 y.","Urban Area","1752","0.502833726684806","0.485367714506998","0.520299738862615"
"Very low transfer dependency","1993","16-34 y.","Rural Area","945","0.565519363956213","0.54091376244537","0.590124965467057"
"Very low transfer dependency","1993","35-65 y.","Urban Area","2160","0.438379971207565","0.423476346426082","0.453283595989048"
"Very low transfer dependency","1993","35-65 y.","Rural Area","1196","0.468868048018882","0.447934263165636","0.489801832872129"
"Very low transfer dependency","1993","66 and older","Urban Area","132","0.117337986302267","0.0971787869835624","0.137497185620971"
"Very low transfer dependency","1993","66 and older","Rural Area","102","0.163125634813719","0.131090328512286","0.195160941115152"
"Low transfer dependency","1993","16-34 y.","Urban Area","187","0.0480741808319788","0.0406012970402947","0.0555470646236629"
"Low transfer dependency","1993","16-34 y.","Rural Area","203","0.104723423431542","0.0895240543863664","0.119922792476717"
"Low transfer dependency","1993","35-65 y.","Urban Area","187","0.031449984962104","0.0262077496731065","0.0366922202511016"
"Low transfer dependency","1993","35-65 y.","Rural Area","188","0.0626833779609279","0.052515259934633","0.0728514959872228"
"Low transfer dependency","1993","66 and older","Urban Area","13","","",""
"Low transfer dependency","1993","66 and older","Rural Area","6","","",""
"High transfer dependency","1993","16-34 y.","Urban Area","59","0.0154388081731188","0.011131965857827","0.0197456504884107"
"High transfer dependency","1993","16-34 y.","Rural Area","45","0.0341962485726998","0.0251751649198228","0.0432173322255768"
"High transfer dependency","1993","35-65 y.","Urban Area","65","0.0141090645777927","0.0105665731345745","0.0176515560210109"
"High transfer dependency","1993","35-65 y.","Rural Area","38","0.0146935445427654","0.00964611605934168","0.0197409730261891"
"High transfer dependency","1993","66 and older","Urban Area","3","","",""
"High transfer dependency","1993","66 and older","Rural Area","2","","",""
"Very high transfer dependency","1993","16-34 y.","Urban Area","36","0.00748616107263985","0.00447503736485573","0.010497284780424"
"Very high transfer dependency","1993","16-34 y.","Rural Area","25","","",""
"Very high transfer dependency","1993","35-65 y.","Urban Area","42","0.011065022247217","0.00792302878466538","0.0142070157097685"
"Very high transfer dependency","1993","35-65 y.","Rural Area","13","","",""
"Very high transfer dependency","1993","66 and older","Urban Area","2","","",""
"Very high transfer dependency","1993","66 and older","Rural Area","2","","",""
"Complete transfer dependency","1993","16-34 y.","Urban Area","23","","",""
"Complete transfer dependency","1993","16-34 y.","Rural Area","11","","",""
"Complete transfer dependency","1993","35-65 y.","Urban Area","18","","",""
"Complete transfer dependency","1993","35-65 y.","Rural Area","5","","",""
