"plb0195_h","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Partly, partly","1984","(Married) couple without C. ","indirect migration background","","","",""
"Partly, partly","1984","Single parent ","no migration background","23","","",""
"Partly, partly","1984","Single parent ","direct migration background","3","","",""
"Partly, partly","1984","Single parent ","indirect migration background","","","",""
"Partly, partly","1984","Couple + C. LE 16 ","no migration background","114","0.12802703103688","0.10608829579046","0.1499657662833"
"Partly, partly","1984","Couple + C. LE 16 ","direct migration background","32","0.0943412618748012","0.0667454873864332","0.121937036363169"
"Partly, partly","1984","Couple + C. LE 16 ","indirect migration background","","","",""
"Partly, partly","1984","Couple + C. GT 16 ","no migration background","58","0.102627011596606","0.077379479250094","0.127874543943117"
"Partly, partly","1984","Couple + C. GT 16 ","direct migration background","23","","",""
"Partly, partly","1984","Couple + C. GT 16 ","indirect migration background","","","",""
"Partly, partly","1984","Couple + C. LE and GT 16","no migration background","47","0.11814261238476","0.0867069190775373","0.149578305691982"
"Partly, partly","1984","Couple + C. LE and GT 16","direct migration background","11","","",""
"Partly, partly","1984","Couple + C. LE and GT 16","indirect migration background","","","",""
"Paid","1984","1-pers.-HH","no migration background","101","0.32137355021324","0.270206125605938","0.372540974820543"
"Paid","1984","1-pers.-HH","direct migration background","54","0.488270761818317","0.382006041516639","0.594535482119995"
"Paid","1984","1-pers.-HH","indirect migration background","","","",""
"Paid","1984","(Married) couple without C. ","no migration background","228","0.318595272048671","0.284749483570442","0.3524410605269"
"Paid","1984","(Married) couple without C. ","direct migration background","115","0.565142802847103","0.48832877625303","0.641956829441177"
"Paid","1984","(Married) couple without C. ","indirect migration background","","","",""
"Paid","1984","Single parent ","no migration background","49","0.321960136316653","0.247437487559653","0.396482785073654"
"Paid","1984","Single parent ","direct migration background","22","","",""
"Paid","1984","Single parent ","indirect migration background","2","","",""
"Paid","1984","Couple + C. LE 16 ","no migration background","315","0.357134543210376","0.325672623857937","0.388596462562815"
"Paid","1984","Couple + C. LE 16 ","direct migration background","301","0.551282094793031","0.504326959168281","0.598237230417781"
"Paid","1984","Couple + C. LE 16 ","indirect migration background","1","","",""
"Paid","1984","Couple + C. GT 16 ","no migration background","193","0.349400045817802","0.309733891928883","0.389066199706721"
"Paid","1984","Couple + C. GT 16 ","direct migration background","93","0.652540774314158","0.575566576010097","0.72951497261822"
"Paid","1984","Couple + C. GT 16 ","indirect migration background","7","","",""
"Paid","1984","Couple + C. LE and GT 16","no migration background","142","0.353102441462022","0.306555762980496","0.399649119943548"
"Paid","1984","Couple + C. LE and GT 16","direct migration background","146","0.663230090046665","0.597234680383","0.72922549971033"
"Paid","1984","Couple + C. LE and GT 16","indirect migration background","3","","",""
"Not paid","1984","1-pers.-HH","no migration background","80","0.243682186445934","0.196645452541737","0.290718920350131"
"Not paid","1984","1-pers.-HH","direct migration background","8","","",""
"Not paid","1984","1-pers.-HH","indirect migration background","","","",""
"Not paid","1984","(Married) couple without C. ","no migration background","194","0.273750516302215","0.241361124491151","0.306139908113279"
"Not paid","1984","(Married) couple without C. ","direct migration background","20","","",""
"Not paid","1984","(Married) couple without C. ","indirect migration background","3","","",""
"Not paid","1984","Single parent ","no migration background","30","0.200248342269009","0.136418810793113","0.264077873744904"
"Not paid","1984","Single parent ","direct migration background","3","","",""
"Not paid","1984","Single parent ","indirect migration background","1","","",""
"Not paid","1984","Couple + C. LE 16 ","no migration background","233","0.260621421026228","0.231797854006136","0.289444988046321"
"Not paid","1984","Couple + C. LE 16 ","direct migration background","51","0.157891475627272","0.123466564357678","0.192316386896866"
"Not paid","1984","Couple + C. LE 16 ","indirect migration background","2","","",""
"Not paid","1984","Couple + C. GT 16 ","no migration background","141","0.259571397072028","0.223098386678321","0.296044407465735"
"Not paid","1984","Couple + C. GT 16 ","direct migration background","16","","",""
"Not paid","1984","Couple + C. GT 16 ","indirect migration background","2","","",""
"Not paid","1984","Couple + C. LE and GT 16","no migration background","97","0.238453419474586","0.196951269738294","0.279955569210878"
"Not paid","1984","Couple + C. LE and GT 16","direct migration background","11","","",""
"Not paid","1984","Couple + C. LE and GT 16","indirect migration background","","","",""
"Acclaimed","1985","1-pers.-HH","no migration background","108","0.39357848496791","0.335942127618953","0.451214842316867"
"Acclaimed","1985","1-pers.-HH","direct migration background","9","","",""
"Acclaimed","1985","1-pers.-HH","indirect migration background","","","",""
"Acclaimed","1985","(Married) couple without C. ","no migration background","196","0.307930494519597","0.271825317752956","0.344035671286239"
"Acclaimed","1985","(Married) couple without C. ","direct migration background","16","","",""
"Acclaimed","1985","(Married) couple without C. ","indirect migration background","","","",""
"Acclaimed","1985","Single parent ","no migration background","43","0.315749525263967","0.237915997642657","0.393583052885277"
"Acclaimed","1985","Single parent ","direct migration background","4","","",""
"Acclaimed","1985","Single parent ","indirect migration background","2","","",""
"Acclaimed","1985","Couple + C. LE 16 ","no migration background","160","0.211866846227358","0.18264151634596","0.241092176108756"
"Acclaimed","1985","Couple + C. LE 16 ","direct migration background","36","0.189027340451363","0.144423972402128","0.233630708500598"
"Acclaimed","1985","Couple + C. LE 16 ","indirect migration background","","","",""
"Acclaimed","1985","Couple + C. GT 16 ","no migration background","179","0.298126069089348","0.26140168726737","0.334850450911325"
"Acclaimed","1985","Couple + C. GT 16 ","direct migration background","16","","",""
"Acclaimed","1985","Couple + C. GT 16 ","indirect migration background","2","","",""
"Acclaimed","1985","Couple + C. LE and GT 16","no migration background","65","0.203301759716811","0.159068185940485","0.247535333493137"
"Acclaimed","1985","Couple + C. LE and GT 16","direct migration background","20","","",""
"Acclaimed","1985","Couple + C. LE and GT 16","indirect migration background","2","","",""
"Partly, partly","1985","1-pers.-HH","no migration background","39","0.140560545372469","0.0995559141565817","0.181565176588356"
"Partly, partly","1985","1-pers.-HH","direct migration background","1","","",""
"Partly, partly","1985","1-pers.-HH","indirect migration background","","","",""
"Partly, partly","1985","(Married) couple without C. ","no migration background","72","0.10929244122568","0.0848901333899298","0.13369474906143"
"Partly, partly","1985","(Married) couple without C. ","direct migration background","11","","",""
"Partly, partly","1985","(Married) couple without C. ","indirect migration background","","","",""
"Partly, partly","1985","Single parent ","no migration background","18","","",""
"Partly, partly","1985","Single parent ","direct migration background","2","","",""
"Partly, partly","1985","Single parent ","indirect migration background","","","",""
"Partly, partly","1985","Couple + C. LE 16 ","no migration background","80","0.105575348152678","0.0835976975910667","0.127552998714288"
"Partly, partly","1985","Couple + C. LE 16 ","direct migration background","32","0.171296467194768","0.128374854265994","0.214218080123542"
"Partly, partly","1985","Couple + C. LE 16 ","indirect migration background","2","","",""
"Partly, partly","1985","Couple + C. GT 16 ","no migration background","70","0.11795175598694","0.0920563135011092","0.143847198472771"
"Partly, partly","1985","Couple + C. GT 16 ","direct migration background","8","","",""
"Partly, partly","1985","Couple + C. GT 16 ","indirect migration background","1","","",""
"Partly, partly","1985","Couple + C. LE and GT 16","no migration background","41","0.125931109280778","0.08946630581573","0.162395912745826"
"Partly, partly","1985","Couple + C. LE and GT 16","direct migration background","12","","",""
"Partly, partly","1985","Couple + C. LE and GT 16","indirect migration background","1","","",""
"Paid","1985","1-pers.-HH","no migration background","54","0.206970454206159","0.159174359786193","0.254766548626124"
"Paid","1985","1-pers.-HH","direct migration background","48","0.59341466995791","0.47579886605851","0.71103047385731"
"Paid","1985","1-pers.-HH","indirect migration background","1","","",""
"Paid","1985","(Married) couple without C. ","no migration background","178","0.290906135406272","0.255384203825065","0.32642806698748"
"Paid","1985","(Married) couple without C. ","direct migration background","77","0.505050757107431","0.413671627676303","0.596429886538559"
"Paid","1985","(Married) couple without C. ","indirect migration background","2","","",""
"Paid","1985","Single parent ","no migration background","45","0.337244972194213","0.258079270627208","0.416410673761219"
"Paid","1985","Single parent ","direct migration background","19","","",""
"Paid","1985","Single parent ","indirect migration background","2","","",""
"Paid","1985","Couple + C. LE 16 ","no migration background","281","0.379145156549422","0.344445440936783","0.413844872162061"
"Paid","1985","Couple + C. LE 16 ","direct migration background","198","0.492785541262705","0.435831174651192","0.549739907874218"
"Paid","1985","Couple + C. LE 16 ","indirect migration background","1","","",""
"Paid","1985","Couple + C. GT 16 ","no migration background","181","0.309337397735169","0.272228834018907","0.346445961451431"
"Paid","1985","Couple + C. GT 16 ","direct migration background","83","0.701304606516418","0.620747314876629","0.781861898156206"
"Paid","1985","Couple + C. GT 16 ","indirect migration background","2","","",""
"Paid","1985","Couple + C. LE and GT 16","no migration background","116","0.363777161991925","0.31090137144646","0.416652952537389"
"Paid","1985","Couple + C. LE and GT 16","direct migration background","120","0.661677384423245","0.588593131250875","0.734761637595616"
"Paid","1985","Couple + C. LE and GT 16","indirect migration background","3","","",""
"Not paid","1985","1-pers.-HH","no migration background","75","0.258890515453463","0.207214049472279","0.310566981434646"
"Not paid","1985","1-pers.-HH","direct migration background","9","","",""
"Not paid","1985","1-pers.-HH","indirect migration background","1","","",""
"Not paid","1985","(Married) couple without C. ","no migration background","182","0.291870928848451","0.256314355441627","0.327427502255275"
"Not paid","1985","(Married) couple without C. ","direct migration background","11","","",""
"Not paid","1985","(Married) couple without C. ","indirect migration background","2","","",""
"Not paid","1985","Single parent ","no migration background","31","0.219731270157979","0.150395739824424","0.289066800491534"
"Not paid","1985","Single parent ","direct migration background","1","","",""
"Not paid","1985","Single parent ","indirect migration background","1","","",""
"Not paid","1985","Couple + C. LE 16 ","no migration background","230","0.303412649070542","0.270532577390064","0.33629272075102"
"Not paid","1985","Couple + C. LE 16 ","direct migration background","30","0.146890651091164","0.106563117275335","0.187218184906992"
"Not paid","1985","Couple + C. LE 16 ","indirect migration background","1","","",""
"Not paid","1985","Couple + C. GT 16 ","no migration background","166","0.274584777188543","0.238753975779016","0.310415578598071"
"Not paid","1985","Couple + C. GT 16 ","direct migration background","17","","",""
"Not paid","1985","Couple + C. GT 16 ","indirect migration background","","","",""
"Not paid","1985","Couple + C. LE and GT 16","no migration background","96","0.306989969010486","0.256294822331223","0.357685115689749"
"Not paid","1985","Couple + C. LE and GT 16","direct migration background","9","","",""
"Not paid","1985","Couple + C. LE and GT 16","indirect migration background","1","","",""
"Acclaimed","1986","1-pers.-HH","no migration background","106","0.394710239363885","0.336834884139739","0.452585594588031"
"Acclaimed","1986","1-pers.-HH","direct migration background","12","","",""
"Acclaimed","1986","1-pers.-HH","indirect migration background","","","",""
"Acclaimed","1986","(Married) couple without C. ","no migration background","217","0.324436189694851","0.288555808262023","0.360316571127679"
"Acclaimed","1986","(Married) couple without C. ","direct migration background","24","","",""
"Acclaimed","1986","(Married) couple without C. ","indirect migration background","2","","",""
"Acclaimed","1986","Single parent ","no migration background","43","0.336340419730025","0.253183295236046","0.419497544224005"
"Acclaimed","1986","Single parent ","direct migration background","3","","",""
"Acclaimed","1986","Single parent ","indirect migration background","1","","",""
"Acclaimed","1986","Couple + C. LE 16 ","no migration background","177","0.26868636897927","0.234556451405703","0.302816286552836"
"Acclaimed","1986","Couple + C. LE 16 ","direct migration background","38","0.198237318920192","0.152352954681607","0.244121683158777"
"Acclaimed","1986","Couple + C. LE 16 ","indirect migration background","2","","",""
"Acclaimed","1986","Couple + C. GT 16 ","no migration background","173","0.315380519330578","0.275969331826271","0.354791706834884"
"Acclaimed","1986","Couple + C. GT 16 ","direct migration background","21","","",""
"Acclaimed","1986","Couple + C. GT 16 ","indirect migration background","3","","",""
"Acclaimed","1986","Couple + C. LE and GT 16","no migration background","76","0.298889266886949","0.243031096587144","0.354747437186754"
"Acclaimed","1986","Couple + C. LE and GT 16","direct migration background","22","","",""
"Acclaimed","1986","Couple + C. LE and GT 16","indirect migration background","1","","",""
"Partly, partly","1986","1-pers.-HH","no migration background","37","0.132358723874821","0.092233340258716","0.172484107490925"
"Partly, partly","1986","1-pers.-HH","direct migration background","5","","",""
"Partly, partly","1986","1-pers.-HH","indirect migration background","1","","",""
"Partly, partly","1986","(Married) couple without C. ","no migration background","83","0.123878494380702","0.0986297755291744","0.149127213232229"
"Partly, partly","1986","(Married) couple without C. ","direct migration background","9","","",""
"Partly, partly","1986","(Married) couple without C. ","indirect migration background","1","","",""
"Partly, partly","1986","Single parent ","no migration background","11","","",""
"Partly, partly","1986","Single parent ","direct migration background","2","","",""
"Partly, partly","1986","Single parent ","indirect migration background","1","","",""
"Partly, partly","1986","Couple + C. LE 16 ","no migration background","70","0.106872753099844","0.0830851460327292","0.130660360166959"
"Partly, partly","1986","Couple + C. LE 16 ","direct migration background","27","","",""
"Partly, partly","1986","Couple + C. LE 16 ","indirect migration background","2","","",""
"Partly, partly","1986","Couple + C. GT 16 ","no migration background","74","0.140682794576579","0.111192798853078","0.17017279030008"
"Partly, partly","1986","Couple + C. GT 16 ","direct migration background","10","","",""
"Partly, partly","1986","Couple + C. GT 16 ","indirect migration background","","","",""
"Partly, partly","1986","Couple + C. LE and GT 16","no migration background","25","","",""
"Partly, partly","1986","Couple + C. LE and GT 16","direct migration background","16","","",""
"Partly, partly","1986","Couple + C. LE and GT 16","indirect migration background","","","",""
"Paid","1986","1-pers.-HH","no migration background","64","0.241601307337795","0.190917265884404","0.292285348791186"
"Paid","1986","1-pers.-HH","direct migration background","59","0.537189141887397","0.430560511560987","0.643817772213806"
"Paid","1986","1-pers.-HH","indirect migration background","2","","",""
"Paid","1986","(Married) couple without C. ","no migration background","202","0.312650566128031","0.277122005256005","0.348179127000057"
"Paid","1986","(Married) couple without C. ","direct migration background","71","0.489400212513419","0.398821206239908","0.579979218786931"
"Paid","1986","(Married) couple without C. ","indirect migration background","2","","",""
"Paid","1986","Single parent ","no migration background","47","0.396976430149861","0.31085985431141","0.483093005988311"
"Paid","1986","Single parent ","direct migration background","20","","",""
"Paid","1986","Single parent ","indirect migration background","2","","",""
"Paid","1986","Couple + C. LE 16 ","no migration background","252","0.400310822144725","0.36258642055624","0.438035223733209"
"Paid","1986","Couple + C. LE 16 ","direct migration background","203","0.594964899553628","0.538465856119595","0.651463942987661"
"Paid","1986","Couple + C. LE 16 ","indirect migration background","1","","",""
"Paid","1986","Couple + C. GT 16 ","no migration background","177","0.346259612427943","0.305906128101916","0.386613096753969"
"Paid","1986","Couple + C. GT 16 ","direct migration background","96","0.645744867466436","0.567077887861262","0.724411847071609"
"Paid","1986","Couple + C. GT 16 ","indirect migration background","6","","",""
"Paid","1986","Couple + C. LE and GT 16","no migration background","103","0.399936027107983","0.34015927994366","0.459712774272306"
"Paid","1986","Couple + C. LE and GT 16","direct migration background","97","0.543435980375515","0.463723284407342","0.623148676343688"
"Paid","1986","Couple + C. LE and GT 16","indirect migration background","4","","",""
"Not paid","1986","1-pers.-HH","no migration background","67","0.231329729423499","0.181400073095697","0.281259385751301"
"Not paid","1986","1-pers.-HH","direct migration background","8","","",""
"Not paid","1986","1-pers.-HH","indirect migration background","1","","",""
"Not paid","1986","(Married) couple without C. ","no migration background","152","0.239034749796416","0.206347969043328","0.271721530549505"
"Not paid","1986","(Married) couple without C. ","direct migration background","13","","",""
"Not paid","1986","(Married) couple without C. ","indirect migration background","1","","",""
"Not paid","1986","Single parent ","no migration background","23","","",""
"Not paid","1986","Single parent ","direct migration background","4","","",""
"Not paid","1986","Single parent ","indirect migration background","2","","",""
"Not paid","1986","Couple + C. LE 16 ","no migration background","149","0.224130055776162","0.192022658489255","0.256237453063069"
"Not paid","1986","Couple + C. LE 16 ","direct migration background","22","","",""
"Not paid","1986","Couple + C. LE 16 ","indirect migration background","2","","",""
"Not paid","1986","Couple + C. GT 16 ","no migration background","110","0.197677073664901","0.163899362684834","0.231454784644968"
"Not paid","1986","Couple + C. GT 16 ","direct migration background","15","","",""
"Not paid","1986","Couple + C. GT 16 ","indirect migration background","2","","",""
"Not paid","1986","Couple + C. LE and GT 16","no migration background","54","0.200171137935245","0.151346671835518","0.248995604034971"
"Not paid","1986","Couple + C. LE and GT 16","direct migration background","15","","",""
"Not paid","1986","Couple + C. LE and GT 16","indirect migration background","2","","",""
"Acclaimed","1987","1-pers.-HH","no migration background","","","",""
"Acclaimed","1987","1-pers.-HH","direct migration background","","","",""
"Acclaimed","1987","1-pers.-HH","indirect migration background","","","",""
"Acclaimed","1987","(Married) couple without C. ","no migration background","","","",""
"Acclaimed","1987","(Married) couple without C. ","direct migration background","","","",""
"Acclaimed","1987","(Married) couple without C. ","indirect migration background","","","",""
"Acclaimed","1987","Single parent ","no migration background","","","",""
"Acclaimed","1987","Single parent ","direct migration background","","","",""
"Acclaimed","1987","Single parent ","indirect migration background","","","",""
"Acclaimed","1987","Couple + C. LE 16 ","no migration background","","","",""
"Acclaimed","1987","Couple + C. LE 16 ","direct migration background","","","",""
"Acclaimed","1987","Couple + C. LE 16 ","indirect migration background","","","",""
"Acclaimed","1987","Couple + C. GT 16 ","no migration background","","","",""
"Acclaimed","1987","Couple + C. GT 16 ","direct migration background","","","",""
"Acclaimed","1987","Couple + C. GT 16 ","indirect migration background","","","",""
"Acclaimed","1987","Couple + C. LE and GT 16","no migration background","","","",""
"Acclaimed","1987","Couple + C. LE and GT 16","direct migration background","","","",""
"Acclaimed","1987","Couple + C. LE and GT 16","indirect migration background","","","",""
"Partly, partly","1987","1-pers.-HH","no migration background","","","",""
"Partly, partly","1987","1-pers.-HH","direct migration background","","","",""
"Partly, partly","1987","1-pers.-HH","indirect migration background","","","",""
"Partly, partly","1987","(Married) couple without C. ","no migration background","","","",""
"Partly, partly","1987","(Married) couple without C. ","direct migration background","","","",""
"Partly, partly","1987","(Married) couple without C. ","indirect migration background","","","",""
"Partly, partly","1987","Single parent ","no migration background","","","",""
"Partly, partly","1987","Single parent ","direct migration background","","","",""
"Partly, partly","1987","Single parent ","indirect migration background","","","",""
"Partly, partly","1987","Couple + C. LE 16 ","no migration background","","","",""
"Partly, partly","1987","Couple + C. LE 16 ","direct migration background","","","",""
"Partly, partly","1987","Couple + C. LE 16 ","indirect migration background","","","",""
"Partly, partly","1987","Couple + C. GT 16 ","no migration background","","","",""
"Partly, partly","1987","Couple + C. GT 16 ","direct migration background","","","",""
"Partly, partly","1987","Couple + C. GT 16 ","indirect migration background","","","",""
"Partly, partly","1987","Couple + C. LE and GT 16","no migration background","","","",""
"Partly, partly","1987","Couple + C. LE and GT 16","direct migration background","","","",""
"Partly, partly","1987","Couple + C. LE and GT 16","indirect migration background","","","",""
"Paid","1987","1-pers.-HH","no migration background","","","",""
"Paid","1987","1-pers.-HH","direct migration background","","","",""
"Paid","1987","1-pers.-HH","indirect migration background","","","",""
"Paid","1987","(Married) couple without C. ","no migration background","","","",""
"Paid","1987","(Married) couple without C. ","direct migration background","","","",""
"Paid","1987","(Married) couple without C. ","indirect migration background","","","",""
"Paid","1987","Single parent ","no migration background","","","",""
"Paid","1987","Single parent ","direct migration background","","","",""
"Paid","1987","Single parent ","indirect migration background","","","",""
"Paid","1987","Couple + C. LE 16 ","no migration background","","","",""
"Paid","1987","Couple + C. LE 16 ","direct migration background","","","",""
"Paid","1987","Couple + C. LE 16 ","indirect migration background","","","",""
"Paid","1987","Couple + C. GT 16 ","no migration background","","","",""
"Paid","1987","Couple + C. GT 16 ","direct migration background","","","",""
"Paid","1987","Couple + C. GT 16 ","indirect migration background","","","",""
"Paid","1987","Couple + C. LE and GT 16","no migration background","","","",""
"Paid","1987","Couple + C. LE and GT 16","direct migration background","","","",""
"Paid","1987","Couple + C. LE and GT 16","indirect migration background","","","",""
"Not paid","1987","1-pers.-HH","no migration background","","","",""
"Not paid","1987","1-pers.-HH","direct migration background","","","",""
"Not paid","1987","1-pers.-HH","indirect migration background","","","",""
"Not paid","1987","(Married) couple without C. ","no migration background","","","",""
"Not paid","1987","(Married) couple without C. ","direct migration background","","","",""
"Not paid","1987","(Married) couple without C. ","indirect migration background","","","",""
"Not paid","1987","Single parent ","no migration background","","","",""
"Not paid","1987","Single parent ","direct migration background","","","",""
"Not paid","1987","Single parent ","indirect migration background","","","",""
"Not paid","1987","Couple + C. LE 16 ","no migration background","","","",""
"Not paid","1987","Couple + C. LE 16 ","direct migration background","","","",""
"Not paid","1987","Couple + C. LE 16 ","indirect migration background","","","",""
"Not paid","1987","Couple + C. GT 16 ","no migration background","","","",""
"Not paid","1987","Couple + C. GT 16 ","direct migration background","","","",""
"Not paid","1987","Couple + C. GT 16 ","indirect migration background","","","",""
"Not paid","1987","Couple + C. LE and GT 16","no migration background","","","",""
"Not paid","1987","Couple + C. LE and GT 16","direct migration background","","","",""
"Not paid","1987","Couple + C. LE and GT 16","indirect migration background","","","",""
"Acclaimed","1988","1-pers.-HH","no migration background","86","0.363999504068801","0.302999724775764","0.424999283361838"
"Acclaimed","1988","1-pers.-HH","direct migration background","12","","",""
"Acclaimed","1988","1-pers.-HH","indirect migration background","1","","",""
"Acclaimed","1988","(Married) couple without C. ","no migration background","230","0.357770960507497","0.320517463525206","0.395024457489787"
"Acclaimed","1988","(Married) couple without C. ","direct migration background","26","","",""
"Acclaimed","1988","(Married) couple without C. ","indirect migration background","3","","",""
"Acclaimed","1988","Single parent ","no migration background","55","0.407188194279463","0.32337408454634","0.491002304012586"
"Acclaimed","1988","Single parent ","direct migration background","8","","",""
"Acclaimed","1988","Single parent ","indirect migration background","2","","",""
"Acclaimed","1988","Couple + C. LE 16 ","no migration background","191","0.293585848429668","0.258303672734769","0.328868024124567"
"Acclaimed","1988","Couple + C. LE 16 ","direct migration background","37","0.170990002010215","0.12787985303207","0.21410015098836"
"Acclaimed","1988","Couple + C. LE 16 ","indirect migration background","8","","",""
"Acclaimed","1988","Couple + C. GT 16 ","no migration background","209","0.34992558062494","0.311440582518842","0.388410578731038"
"Acclaimed","1988","Couple + C. GT 16 ","direct migration background","25","","",""
"Acclaimed","1988","Couple + C. GT 16 ","indirect migration background","5","","",""
"Acclaimed","1988","Couple + C. LE and GT 16","no migration background","54","0.268922905021707","0.205371848719145","0.332473961324269"
"Acclaimed","1988","Couple + C. LE and GT 16","direct migration background","25","","",""
"Acclaimed","1988","Couple + C. LE and GT 16","indirect migration background","4","","",""
"Partly, partly","1988","1-pers.-HH","no migration background","32","0.138356782854536","0.0945830982085216","0.18213046750055"
"Partly, partly","1988","1-pers.-HH","direct migration background","6","","",""
"Partly, partly","1988","1-pers.-HH","indirect migration background","1","","",""
"Partly, partly","1988","(Married) couple without C. ","no migration background","104","0.159844991867885","0.131364416389904","0.188325567345865"
"Partly, partly","1988","(Married) couple without C. ","direct migration background","7","","",""
"Partly, partly","1988","(Married) couple without C. ","indirect migration background","1","","",""
"Partly, partly","1988","Single parent ","no migration background","15","","",""
"Partly, partly","1988","Single parent ","direct migration background","5","","",""
"Partly, partly","1988","Single parent ","indirect migration background","","","",""
"Partly, partly","1988","Couple + C. LE 16 ","no migration background","83","0.12489250124646","0.0992797053692234","0.150505297123696"
"Partly, partly","1988","Couple + C. LE 16 ","direct migration background","33","0.130431585218563","0.0918697632372818","0.168993407199845"
"Partly, partly","1988","Couple + C. LE 16 ","indirect migration background","","","",""
"Partly, partly","1988","Couple + C. GT 16 ","no migration background","65","0.109980235114383","0.0847350108716179","0.135225459357148"
"Partly, partly","1988","Couple + C. GT 16 ","direct migration background","12","","",""
"Partly, partly","1988","Couple + C. GT 16 ","indirect migration background","2","","",""
"Partly, partly","1988","Couple + C. LE and GT 16","no migration background","19","","",""
"Partly, partly","1988","Couple + C. LE and GT 16","direct migration background","14","","",""
"Partly, partly","1988","Couple + C. LE and GT 16","indirect migration background","2","","",""
"Paid","1988","1-pers.-HH","no migration background","57","0.237318316387803","0.18338136096926","0.291255271806345"
"Paid","1988","1-pers.-HH","direct migration background","39","0.577097843400843","0.453124632624944","0.701071054176742"
"Paid","1988","1-pers.-HH","indirect migration background","1","","",""
"Paid","1988","(Married) couple without C. ","no migration background","176","0.278571475956583","0.243730965398705","0.313411986514461"
"Paid","1988","(Married) couple without C. ","direct migration background","94","0.547395869221639","0.464349899177681","0.630441839265596"
"Paid","1988","(Married) couple without C. ","indirect migration background","2","","",""
"Paid","1988","Single parent ","no migration background","46","0.373446299116806","0.290927223343287","0.455965374890325"
"Paid","1988","Single parent ","direct migration background","20","","",""
"Paid","1988","Single parent ","indirect migration background","3","","",""
"Paid","1988","Couple + C. LE 16 ","no migration background","219","0.347864474148412","0.31096398925869","0.384764959038135"
"Paid","1988","Couple + C. LE 16 ","direct migration background","205","0.597120761180732","0.54096002262406","0.653281499737404"
"Paid","1988","Couple + C. LE 16 ","indirect migration background","2","","",""
"Paid","1988","Couple + C. GT 16 ","no migration background","209","0.363481616585388","0.324669369615971","0.402293863554806"
"Paid","1988","Couple + C. GT 16 ","direct migration background","81","0.518348651948547","0.43343067340635","0.603266630490743"
"Paid","1988","Couple + C. GT 16 ","indirect migration background","9","","",""
"Paid","1988","Couple + C. LE and GT 16","no migration background","76","0.413343801124615","0.342764909447075","0.483922692802155"
"Paid","1988","Couple + C. LE and GT 16","direct migration background","106","0.565537093771791","0.488000777462798","0.643073410080784"
"Paid","1988","Couple + C. LE and GT 16","indirect migration background","3","","",""
"Not paid","1988","1-pers.-HH","no migration background","64","0.26032539668886","0.204693000818839","0.315957792558881"
"Not paid","1988","1-pers.-HH","direct migration background","4","","",""
"Not paid","1988","1-pers.-HH","indirect migration background","1","","",""
"Not paid","1988","(Married) couple without C. ","no migration background","126","0.203812571668036","0.172505483555121","0.235119659780951"
"Not paid","1988","(Married) couple without C. ","direct migration background","11","","",""
"Not paid","1988","(Married) couple without C. ","indirect migration background","1","","",""
"Not paid","1988","Single parent ","no migration background","16","","",""
"Not paid","1988","Single parent ","direct migration background","3","","",""
"Not paid","1988","Single parent ","indirect migration background","","","",""
"Not paid","1988","Couple + C. LE 16 ","no migration background","147","0.23365717617546","0.200873382080208","0.266440970270713"
"Not paid","1988","Couple + C. LE 16 ","direct migration background","18","","",""
"Not paid","1988","Couple + C. LE 16 ","indirect migration background","","","",""
