"ple0053","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","1984","Part Time","higher education","155","0.935873887283909","0.898494494611409","0.973253279956408"
"No","1984","Not Working","in school","169","0.957130948330009","0.927373498668194","0.986888397991824"
"No","1984","Not Working","inadequately","325","0.90005211223022","0.869895890307795","0.930208334152645"
"No","1984","Not Working","general elemantary","1542","0.870632256390618","0.854935272460488","0.886329240320748"
"No","1984","Not Working","middle vocational","1638","0.869952108175644","0.854771940193812","0.885132276157477"
"No","1984","Not Working","vocational + Abi","75","0.944686501944681","0.894905343497075","0.994467660392286"
"No","1984","Not Working","higher vocational","154","0.823655208920111","0.768884840596494","0.878425577243729"
"No","1984","Not Working","higher education","144","0.900527547504692","0.85385951822734","0.947195576782044"
"Yes","1985","Full Time","in school","","","",""
"Yes","1985","Full Time","inadequately","46","0.109391132789571","0.0789924233239277","0.139789842255214"
"Yes","1985","Full Time","general elemantary","100","0.0883760361355951","0.0708012780378383","0.105950794233352"
"Yes","1985","Full Time","middle vocational","212","0.0798842844067621","0.069400503466368","0.0903680653471562"
"Yes","1985","Full Time","vocational + Abi","11","","",""
"Yes","1985","Full Time","higher vocational","36","0.101995142009992","0.07015225468119","0.133838029338793"
"Yes","1985","Full Time","higher education","30","0.0648811497259413","0.0424206312282112","0.0873416682236714"
"Yes","1985","Part Time","in school","","","",""
"Yes","1985","Part Time","inadequately","12","","",""
"Yes","1985","Part Time","general elemantary","54","0.0812411111617646","0.0581122419405589","0.10436998038297"
"Yes","1985","Part Time","middle vocational","128","0.134853438668546","0.112538140615717","0.157168736721375"
"Yes","1985","Part Time","vocational + Abi","8","","",""
"Yes","1985","Part Time","higher vocational","16","","",""
"Yes","1985","Part Time","higher education","19","","",""
"Yes","1985","Not Working","in school","14","","",""
"Yes","1985","Not Working","inadequately","49","0.166640094704375","0.127145188135872","0.206135001272878"
"Yes","1985","Not Working","general elemantary","214","0.145418576153805","0.127760346375146","0.163076805932463"
"Yes","1985","Not Working","middle vocational","246","0.142633810526951","0.126112211617315","0.159155409436587"
"Yes","1985","Not Working","vocational + Abi","7","","",""
"Yes","1985","Not Working","higher vocational","28","","",""
"Yes","1985","Not Working","higher education","23","","",""
"No","1985","Full Time","in school","","","",""
"No","1985","Full Time","inadequately","359","0.890608867210429","0.860210157744786","0.921007576676072"
"No","1985","Full Time","general elemantary","902","0.911623963864405","0.894049205766648","0.929198721962162"
"No","1985","Full Time","middle vocational","2357","0.920115715593238","0.909631934652844","0.930599496533632"
"No","1985","Full Time","vocational + Abi","140","0.958593877157197","0.926817145550605","0.990370608763789"
"No","1985","Full Time","higher vocational","311","0.898004857990008","0.866161970661207","0.92984774531881"
"No","1985","Full Time","higher education","432","0.935118850274059","0.912658331776329","0.957579368771789"
"No","1985","Part Time","in school","7","","",""
"No","1985","Part Time","inadequately","89","0.922328324103717","0.870129404411745","0.974527243795689"
"No","1985","Part Time","general elemantary","482","0.918758888838235","0.89563001961703","0.941887758059441"
"No","1985","Part Time","middle vocational","772","0.865146561331454","0.842831263278625","0.887461859384283"
"No","1985","Part Time","vocational + Abi","42","0.863120410483098","0.767847785931763","0.958393035034433"
"No","1985","Part Time","higher vocational","89","0.860784434010695","0.794571239300823","0.926997628720566"
"No","1985","Part Time","higher education","126","0.869242264460747","0.814368064361261","0.924116464560233"
"No","1985","Not Working","in school","166","0.922420458700389","0.883340877081055","0.961500040319724"
"No","1985","Not Working","inadequately","293","0.833359905295625","0.793864998727122","0.872854811864128"
"No","1985","Not Working","general elemantary","1317","0.854581423846195","0.836923194067537","0.872239653624854"
"No","1985","Not Working","middle vocational","1475","0.857366189473049","0.840844590563413","0.873887788382685"
"No","1985","Not Working","vocational + Abi","72","0.918414293382501","0.858052671281267","0.978775915483734"
"No","1985","Not Working","higher vocational","140","0.842750928130121","0.78770348958372","0.897798366676522"
"No","1985","Not Working","higher education","127","0.838827283616808","0.779985680260309","0.897668886973308"
"Yes","1986","Full Time","in school","","","",""
"Yes","1986","Full Time","inadequately","39","0.0842383322861485","0.0554674825899002","0.113009181982397"
"Yes","1986","Full Time","general elemantary","104","0.102507698502252","0.0837831466428352","0.121232250361668"
"Yes","1986","Full Time","middle vocational","217","0.0820711721253338","0.0712990891743405","0.0928432550763271"
"Yes","1986","Full Time","vocational + Abi","15","","",""
"Yes","1986","Full Time","higher vocational","33","0.0997739477588491","0.0668859740793651","0.132661921438333"
"Yes","1986","Full Time","higher education","35","0.073240860006887","0.0498114451281022","0.0966702748856718"
"Yes","1986","Part Time","in school","","","",""
"Yes","1986","Part Time","inadequately","21","","",""
"Yes","1986","Part Time","general elemantary","63","0.111125990195577","0.0844192918716957","0.137832688519458"
"Yes","1986","Part Time","middle vocational","127","0.145848733508553","0.122528898110568","0.169168568906538"
"Yes","1986","Part Time","vocational + Abi","4","","",""
"Yes","1986","Part Time","higher vocational","18","","",""
"Yes","1986","Part Time","higher education","18","","",""
"Yes","1986","Not Working","in school","15","","",""
"Yes","1986","Not Working","inadequately","51","0.158190889537159","0.118455897456511","0.197925881617807"
"Yes","1986","Not Working","general elemantary","198","0.140833487864805","0.122454122459339","0.159212853270271"
"Yes","1986","Not Working","middle vocational","274","0.17374880080785","0.15534371485095","0.192153886764749"
"Yes","1986","Not Working","vocational + Abi","12","","",""
"Yes","1986","Not Working","higher vocational","22","","",""
"Yes","1986","Not Working","higher education","21","","",""
"No","1986","Full Time","in school","","","",""
"No","1986","Full Time","inadequately","319","0.915761667713851","0.886990818017603","0.9445325174101"
"No","1986","Full Time","general elemantary","904","0.897492301497748","0.878767749638332","0.916216853357165"
"No","1986","Full Time","middle vocational","2277","0.917928827874666","0.907156744923673","0.928700910825659"
"No","1986","Full Time","vocational + Abi","137","0.935337816714463","0.896241510638782","0.974434122790144"
"No","1986","Full Time","higher vocational","286","0.900226052241151","0.867338078561667","0.933114025920635"
"No","1986","Full Time","higher education","440","0.926759139993113","0.903329725114328","0.950188554871898"
"No","1986","Part Time","in school","5","","",""
"No","1986","Part Time","inadequately","85","0.812848429576027","0.738598391320385","0.887098467831668"
"No","1986","Part Time","general elemantary","469","0.888874009804423","0.862167311480542","0.915580708128304"
"No","1986","Part Time","middle vocational","753","0.854151266491447","0.830831431093462","0.877471101889432"
"No","1986","Part Time","vocational + Abi","48","0.931047371205939","0.862180917036766","0.999913825375112"
"No","1986","Part Time","higher vocational","80","0.819871616465976","0.74378661473549","0.895956618196462"
"No","1986","Part Time","higher education","114","0.848646670817433","0.78750735556151","0.909785986073355"
"No","1986","Not Working","in school","168","0.918714584056982","0.879121514976917","0.958307653137047"
"No","1986","Not Working","inadequately","273","0.841809110462841","0.802074118382193","0.881544102543489"
"No","1986","Not Working","general elemantary","1178","0.859166512135195","0.840787146729729","0.877545877540661"
"No","1986","Not Working","middle vocational","1354","0.826251199192151","0.807846113235251","0.84465628514905"
"No","1986","Not Working","vocational + Abi","60","0.875174442892871","0.798829387822665","0.951519497963077"
"No","1986","Not Working","higher vocational","142","0.860489339809929","0.807461661724363","0.913517017895495"
"No","1986","Not Working","higher education","122","0.832758524632587","0.771592309073994","0.893924740191181"
"Yes","1987","Full Time","in school","","","",""
"Yes","1987","Full Time","inadequately","38","0.105325993236062","0.0733030732743501","0.137348913197774"
"Yes","1987","Full Time","general elemantary","99","0.107588017671002","0.0885255237080007","0.126650511634003"
"Yes","1987","Full Time","middle vocational","223","0.0891240169131594","0.0780587824587837","0.100189251367535"
"Yes","1987","Full Time","vocational + Abi","11","","",""
"Yes","1987","Full Time","higher vocational","28","","",""
"Yes","1987","Full Time","higher education","32","0.0752308398461955","0.0509416172938894","0.0995200623985015"
"Yes","1987","Part Time","in school","1","","",""
"Yes","1987","Part Time","inadequately","14","","",""
"Yes","1987","Part Time","general elemantary","69","0.119274097272605","0.0915760805718257","0.146972113973384"
"Yes","1987","Part Time","middle vocational","120","0.13409027288292","0.110894664268032","0.157285881497808"
"Yes","1987","Part Time","vocational + Abi","4","","",""
"Yes","1987","Part Time","higher vocational","20","","",""
"Yes","1987","Part Time","higher education","21","","",""
"Yes","1987","Not Working","in school","14","","",""
"Yes","1987","Not Working","inadequately","43","0.167992029303991","0.125037429408113","0.210946629199869"
"Yes","1987","Not Working","general elemantary","188","0.151975094873218","0.132519938130415","0.171430251616022"
"Yes","1987","Not Working","middle vocational","245","0.162230706463091","0.144121254480306","0.180340158445877"
"Yes","1987","Not Working","vocational + Abi","10","","",""
"Yes","1987","Not Working","higher vocational","24","","",""
"Yes","1987","Not Working","higher education","27","","",""
"No","1987","Full Time","in school","","","",""
"No","1987","Full Time","inadequately","315","0.894674006763938","0.862651086802226","0.92669692672565"
"No","1987","Full Time","general elemantary","916","0.892411982328998","0.873349488365997","0.911474476291999"
"No","1987","Full Time","middle vocational","2324","0.910875983086841","0.899810748632465","0.921941217541216"
"No","1987","Full Time","vocational + Abi","145","0.927114139362199","0.88632222969172","0.967906049032678"
"No","1987","Full Time","higher vocational","275","0.916308690256543","0.88512784659585","0.947489533917237"
"No","1987","Full Time","higher education","421","0.924769160153805","0.900479937601498","0.949058382706111"
"No","1987","Part Time","in school","11","","",""
"No","1987","Part Time","inadequately","103","0.926850161317992","0.879669218904463","0.974031103731521"
"No","1987","Part Time","general elemantary","457","0.880725902727395","0.853027886026616","0.908423919428174"
"No","1987","Part Time","middle vocational","709","0.86590972711708","0.842714118502192","0.889105335731968"
"No","1987","Part Time","vocational + Abi","46","0.925596481201846","0.85285692048615","0.998336041917541"
"No","1987","Part Time","higher vocational","83","0.820592048595727","0.746492770922258","0.894691326269196"
"No","1987","Part Time","higher education","126","0.844510339844889","0.785931243690716","0.903089435999063"
"No","1987","Not Working","in school","165","0.918804587061415","0.878791791024564","0.958817383098266"
"No","1987","Not Working","inadequately","248","0.832007970696009","0.789053370800131","0.874962570591887"
"No","1987","Not Working","general elemantary","1120","0.848024905126782","0.828569748383978","0.867480061869585"
"No","1987","Not Working","middle vocational","1347","0.837769293536909","0.819659841554123","0.855878745519694"
"No","1987","Not Working","vocational + Abi","62","0.812095927459355","0.721865377268444","0.902326477650265"
"No","1987","Not Working","higher vocational","137","0.858613371247774","0.804794058664965","0.912432683830582"
"No","1987","Not Working","higher education","116","0.78548058096638","0.718201336667975","0.852759825264784"
"Yes","1988","Full Time","in school","","","",""
"Yes","1988","Full Time","inadequately","36","0.127784901942722","0.09006970192647","0.165500101958975"
"Yes","1988","Full Time","general elemantary","103","0.115120844208805","0.0948676806937667","0.135374007723843"
"Yes","1988","Full Time","middle vocational","198","0.0821906713878261","0.0712160947068842","0.0931652480687681"
"Yes","1988","Full Time","vocational + Abi","9","","",""
"Yes","1988","Full Time","higher vocational","33","0.10614779165707","0.0708780221710146","0.141417561143125"
"Yes","1988","Full Time","higher education","28","","",""
"Yes","1988","Part Time","in school","","","",""
"Yes","1988","Part Time","inadequately","19","","",""
"Yes","1988","Part Time","general elemantary","69","0.119288682768238","0.0926797734653578","0.145897592071118"
"Yes","1988","Part Time","middle vocational","117","0.149132765375726","0.124971354607115","0.173294176144337"
"Yes","1988","Part Time","vocational + Abi","9","","",""
"Yes","1988","Part Time","higher vocational","16","","",""
"Yes","1988","Part Time","higher education","19","","",""
"Yes","1988","Not Working","in school","17","","",""
"Yes","1988","Not Working","inadequately","38","0.122274497248179","0.0850792662261037","0.159469728270255"
"Yes","1988","Not Working","general elemantary","193","0.158580370464626","0.137972861864655","0.179187879064598"
"Yes","1988","Not Working","middle vocational","226","0.15869284794141","0.140195765077116","0.177189930805705"
"Yes","1988","Not Working","vocational + Abi","10","","",""
"Yes","1988","Not Working","higher vocational","33","0.222961918280804","0.156572920077597","0.289350916484012"
"Yes","1988","Not Working","higher education","20","","",""
"No","1988","Full Time","in school","","","",""
"No","1988","Full Time","inadequately","265","0.872215098057277","0.834499898041025","0.90993029807353"
"No","1988","Full Time","general elemantary","851","0.884879155791195","0.864625992276157","0.905132319306233"
"No","1988","Full Time","middle vocational","2208","0.917809328612174","0.906834751931232","0.928783905293116"
"No","1988","Full Time","vocational + Abi","134","0.945935661157747","0.908870463566315","0.983000858749179"
"No","1988","Full Time","higher vocational","260","0.89385220834293","0.858582438856875","0.929121977828985"
"No","1988","Full Time","higher education","399","0.934385675276254","0.910900350454698","0.957871000097811"
"No","1988","Part Time","in school","8","","",""
"No","1988","Part Time","inadequately","81","0.820797973110356","0.745629160953774","0.895966785266938"
"No","1988","Part Time","general elemantary","501","0.880711317231762","0.854102407928882","0.907320226534642"
"No","1988","Part Time","middle vocational","718","0.850867234624274","0.826705823855663","0.875028645392885"
"No","1988","Part Time","vocational + Abi","48","0.84579153485749","0.752036103224938","0.939546966490043"
"No","1988","Part Time","higher vocational","79","0.840156618207782","0.766465737929061","0.913847498486503"
"No","1988","Part Time","higher education","125","0.869512831573779","0.814496865164848","0.92452879798271"
"No","1988","Not Working","in school","137","0.873386015635525","0.820865172983863","0.925906858287188"
"No","1988","Not Working","inadequately","260","0.877725502751821","0.840530271729745","0.914920733773896"
"No","1988","Not Working","general elemantary","1014","0.841419629535374","0.820812120935402","0.862027138135345"
"No","1988","Not Working","middle vocational","1273","0.84130715205859","0.822810069194295","0.859804234922884"
"No","1988","Not Working","vocational + Abi","61","0.909416165233958","0.84265473952858","0.976177590939337"
"No","1988","Not Working","higher vocational","118","0.777038081719196","0.710649083515988","0.843427079922403"
"No","1988","Not Working","higher education","110","0.813943412702161","0.747048044791354","0.880838780612968"
"Yes","1989","Full Time","in school","","","",""
"Yes","1989","Full Time","inadequately","30","0.120247321422024","0.0813795217727678","0.15911512107128"
"Yes","1989","Full Time","general elemantary","90","0.095786156789744","0.0770718718163749","0.114500441763113"
"Yes","1989","Full Time","middle vocational","210","0.0858393788021895","0.0745875547826287","0.0970912028217503"
"Yes","1989","Full Time","vocational + Abi","10","","",""
"Yes","1989","Full Time","higher vocational","19","","",""
"Yes","1989","Full Time","higher education","16","","",""
"Yes","1989","Part Time","in school","","","",""
"Yes","1989","Part Time","inadequately","23","","",""
"Yes","1989","Part Time","general elemantary","64","0.126268203596901","0.0967380281233467","0.155798379070454"
"Yes","1989","Part Time","middle vocational","135","0.165302557559699","0.139498031614158","0.191107083505241"
"Yes","1989","Part Time","vocational + Abi","9","","",""
"Yes","1989","Part Time","higher vocational","15","","",""
"Yes","1989","Part Time","higher education","18","","",""
"Yes","1989","Not Working","in school","10","","",""
"Yes","1989","Not Working","inadequately","39","0.148719707213508","0.107554747633622","0.189884666793394"
"Yes","1989","Not Working","general elemantary","184","0.162294781155969","0.140946954383269","0.18364260792867"
"Yes","1989","Not Working","middle vocational","208","0.157730337323815","0.1389437826932","0.176516891954431"
"Yes","1989","Not Working","vocational + Abi","12","","",""
"Yes","1989","Not Working","higher vocational","25","","",""
"Yes","1989","Not Working","higher education","17","","",""
"No","1989","Full Time","in school","","","",""
"No","1989","Full Time","inadequately","239","0.879752678577976","0.84088487892872","0.918620478227232"
"No","1989","Full Time","general elemantary","860","0.904213843210256","0.885499558236887","0.922928128183625"
"No","1989","Full Time","middle vocational","2171","0.91416062119781","0.90290879717825","0.925412445217371"
"No","1989","Full Time","vocational + Abi","146","0.909778492887384","0.864820318913489","0.954736666861279"
"No","1989","Full Time","higher vocational","269","0.944869973245115","0.918510788576865","0.971229157913366"
"No","1989","Full Time","higher education","419","0.966287233654437","0.949326142869717","0.983248324439157"
"No","1989","Part Time","in school","19","","",""
"No","1989","Part Time","inadequately","77","0.821526622203994","0.746477497154257","0.896575747253731"
"No","1989","Part Time","general elemantary","422","0.873731796403099","0.844201620929546","0.903261971876653"
"No","1989","Part Time","middle vocational","661","0.834697442440301","0.808892916494759","0.860501968385842"
"No","1989","Part Time","vocational + Abi","47","0.861346604573001","0.770834157777489","0.951859051368514"
"No","1989","Part Time","higher vocational","71","0.795968062100813","0.710796274232226","0.881139849969401"
"No","1989","Part Time","higher education","120","0.822878280158981","0.759182265860862","0.8865742944571"
"No","1989","Not Working","in school","144","0.937587315646747","0.899381451843473","0.975793179450021"
"No","1989","Not Working","inadequately","248","0.851280292786492","0.810115333206606","0.892445252366378"
"No","1989","Not Working","general elemantary","962","0.837705218844031","0.81635739207133","0.859053045616731"
"No","1989","Not Working","middle vocational","1238","0.842269662676185","0.823483108045569","0.8610562173068"
"No","1989","Not Working","vocational + Abi","66","0.88515438718827","0.814397697330298","0.955911077046242"
"No","1989","Not Working","higher vocational","115","0.823271343388291","0.760087060529277","0.886455626247305"
"No","1989","Not Working","higher education","107","0.832846532597791","0.767174957247861","0.89851810794772"
"Yes","1990","Full Time","in school","","","",""
"Yes","1990","Full Time","inadequately","","","",""
"Yes","1990","Full Time","general elemantary","","","",""
"Yes","1990","Full Time","middle vocational","","","",""
"Yes","1990","Full Time","vocational + Abi","","","",""
"Yes","1990","Full Time","higher vocational","","","",""
"Yes","1990","Full Time","higher education","","","",""
"Yes","1990","Part Time","in school","","","",""
"Yes","1990","Part Time","inadequately","","","",""
"Yes","1990","Part Time","general elemantary","","","",""
"Yes","1990","Part Time","middle vocational","","","",""
"Yes","1990","Part Time","vocational + Abi","","","",""
"Yes","1990","Part Time","higher vocational","","","",""
"Yes","1990","Part Time","higher education","","","",""
"Yes","1990","Not Working","in school","","","",""
"Yes","1990","Not Working","inadequately","","","",""
"Yes","1990","Not Working","general elemantary","","","",""
"Yes","1990","Not Working","middle vocational","","","",""
"Yes","1990","Not Working","vocational + Abi","","","",""
"Yes","1990","Not Working","higher vocational","","","",""
"Yes","1990","Not Working","higher education","","","",""
"No","1990","Full Time","in school","","","",""
"No","1990","Full Time","inadequately","","","",""
"No","1990","Full Time","general elemantary","","","",""
"No","1990","Full Time","middle vocational","","","",""
"No","1990","Full Time","vocational + Abi","","","",""
"No","1990","Full Time","higher vocational","","","",""
"No","1990","Full Time","higher education","","","",""
"No","1990","Part Time","in school","","","",""
"No","1990","Part Time","inadequately","","","",""
"No","1990","Part Time","general elemantary","","","",""
"No","1990","Part Time","middle vocational","","","",""
"No","1990","Part Time","vocational + Abi","","","",""
"No","1990","Part Time","higher vocational","","","",""
"No","1990","Part Time","higher education","","","",""
"No","1990","Not Working","in school","","","",""
"No","1990","Not Working","inadequately","","","",""
"No","1990","Not Working","general elemantary","","","",""
"No","1990","Not Working","middle vocational","","","",""
"No","1990","Not Working","vocational + Abi","","","",""
"No","1990","Not Working","higher vocational","","","",""
"No","1990","Not Working","higher education","","","",""
"Yes","1991","Full Time","in school","","","",""
"Yes","1991","Full Time","inadequately","25","","",""
"Yes","1991","Full Time","general elemantary","88","0.0984415375166695","0.0792224226821919","0.117660652351147"
"Yes","1991","Full Time","middle vocational","187","0.0816158198513324","0.070444006672345","0.0927876330303198"
"Yes","1991","Full Time","vocational + Abi","14","","",""
"Yes","1991","Full Time","higher vocational","27","","",""
"Yes","1991","Full Time","higher education","28","","",""
"Yes","1991","Part Time","in school","1","","",""
"Yes","1991","Part Time","inadequately","17","","",""
"Yes","1991","Part Time","general elemantary","63","0.150537749198107","0.117424344631646","0.183651153764568"
"Yes","1991","Part Time","middle vocational","122","0.151716944270624","0.127147599211829","0.17628628932942"
"Yes","1991","Part Time","vocational + Abi","14","","",""
"Yes","1991","Part Time","higher vocational","18","","",""
"Yes","1991","Part Time","higher education","22","","",""
"Yes","1991","Not Working","in school","7","","",""
"Yes","1991","Not Working","inadequately","26","","",""
"Yes","1991","Not Working","general elemantary","175","0.17901285539922","0.15573598867772","0.20228972212072"
"Yes","1991","Not Working","middle vocational","251","0.185736245537346","0.165466221242739","0.206006269831954"
"Yes","1991","Not Working","vocational + Abi","22","","",""
"Yes","1991","Not Working","higher vocational","27","","",""
"Yes","1991","Not Working","higher education","21","","",""
"No","1991","Full Time","in school","","","",""
"No","1991","Full Time","inadequately","230","0.904978919807415","0.868986817561394","0.940971022053436"
"No","1991","Full Time","general elemantary","835","0.901558462483331","0.882339347648853","0.920777577317808"
"No","1991","Full Time","middle vocational","2120","0.918384180148668","0.90721236696968","0.929555993327655"
"No","1991","Full Time","vocational + Abi","138","0.897544417625113","0.849336087843711","0.945752747406514"
"No","1991","Full Time","higher vocational","263","0.913227239925631","0.880828342822503","0.94562613702876"
"No","1991","Full Time","higher education","406","0.939411370559936","0.916966004286381","0.961856736833491"
"No","1991","Part Time","in school","17","","",""
"No","1991","Part Time","inadequately","92","0.752207945482828","0.671158977621917","0.833256913343738"
"No","1991","Part Time","general elemantary","385","0.849462250801893","0.816348846235432","0.882575655368354"
"No","1991","Part Time","middle vocational","697","0.848283055729376","0.82371371067058","0.872852400788172"
"No","1991","Part Time","vocational + Abi","66","0.853289107771407","0.775756859528238","0.930821356014575"
"No","1991","Part Time","higher vocational","71","0.851666378164873","0.777823666000342","0.925509090329403"
"No","1991","Part Time","higher education","124","0.821275316074965","0.759130012050888","0.883420620099042"
"No","1991","Not Working","in school","125","0.919961020153612","0.873670015028504","0.96625202527872"
"No","1991","Not Working","inadequately","232","0.857568417730778","0.814922665754244","0.900214169707312"
"No","1991","Not Working","general elemantary","867","0.82098714460078","0.79771027787928","0.84426401132228"
"No","1991","Not Working","middle vocational","1163","0.814263754462654","0.793993730168046","0.834533778757261"
"No","1991","Not Working","vocational + Abi","53","0.706845341817462","0.603823796687037","0.809866886947888"
"No","1991","Not Working","higher vocational","112","0.821337441109027","0.757655209160594","0.88501967305746"
"No","1991","Not Working","higher education","120","0.841409643805357","0.781114731944079","0.901704555666636"
"Yes","1992","Full Time","in school","","","",""
"Yes","1992","Full Time","inadequately","24","","",""
"Yes","1992","Full Time","general elemantary","90","0.0923992187079482","0.0742961203038311","0.110502317112065"
"Yes","1992","Full Time","middle vocational","277","0.0806551733621971","0.0716351561054815","0.0896751906189128"
"Yes","1992","Full Time","vocational + Abi","14","","",""
"Yes","1992","Full Time","higher vocational","34","0.073164229121287","0.0497952524251809","0.0965332058173932"
"Yes","1992","Full Time","higher education","56","0.0430504684849047","0.0307969377731676","0.0553039991966418"
"Yes","1992","Part Time","in school","2","","",""
"Yes","1992","Part Time","inadequately","10","","",""
"Yes","1992","Part Time","general elemantary","76","0.132357582320871","0.103722281231453","0.160992883410288"
"Yes","1992","Part Time","middle vocational","190","0.147341850733958","0.127969686572645","0.166714014895271"
"Yes","1992","Part Time","vocational + Abi","10","","",""
"Yes","1992","Part Time","higher vocational","23","","",""
"Yes","1992","Part Time","higher education","42","0.13485827357718","0.0978930279440618","0.171823519210298"
"Yes","1992","Not Working","in school","13","","",""
"Yes","1992","Not Working","inadequately","29","","",""
"Yes","1992","Not Working","general elemantary","178","0.154762955285356","0.134910429572456","0.174615480998255"
"Yes","1992","Not Working","middle vocational","309","0.176851498762696","0.159873335936955","0.193829661588437"
"Yes","1992","Not Working","vocational + Abi","16","","",""
"Yes","1992","Not Working","higher vocational","31","0.173570526446965","0.116637467397796","0.230503585496133"
"Yes","1992","Not Working","higher education","52","0.212454578184948","0.163663876766215","0.26124527960368"
"No","1992","Full Time","in school","9","","",""
"No","1992","Full Time","inadequately","229","0.923183615205753","0.890369642956409","0.955997587455098"
"No","1992","Full Time","general elemantary","893","0.907600781292052","0.889497682887935","0.925703879696169"
"No","1992","Full Time","middle vocational","3224","0.919344826637803","0.910324809381087","0.928364843894518"
"No","1992","Full Time","vocational + Abi","192","0.916018811769023","0.878143371948905","0.95389425158914"
"No","1992","Full Time","higher vocational","443","0.926835770878713","0.903466794182607","0.950204747574819"
"No","1992","Full Time","higher education","998","0.956949531515095","0.944696000803358","0.969203062226832"
"No","1992","Part Time","in school","18","","",""
"No","1992","Part Time","inadequately","93","0.902355654622944","0.845030940201031","0.959680369044856"
"No","1992","Part Time","general elemantary","462","0.867642417679129","0.839007116589712","0.896277718768547"
"No","1992","Part Time","middle vocational","1096","0.852658149266042","0.833285985104729","0.872030313427355"
"No","1992","Part Time","vocational + Abi","68","0.895788702655617","0.827983818012241","0.963593587298994"
"No","1992","Part Time","higher vocational","98","0.820062285782737","0.751617569879807","0.888507001685666"
"No","1992","Part Time","higher education","286","0.86514172642282","0.828176480789702","0.902106972055938"
"No","1992","Not Working","in school","145","0.921618793717341","0.879710384091269","0.963527203343413"
"No","1992","Not Working","inadequately","245","0.903187040846442","0.868174114852349","0.938199966840534"
"No","1992","Not Working","general elemantary","1097","0.845237044714644","0.825384519001744","0.865089570427544"
"No","1992","Not Working","middle vocational","1631","0.823148501237304","0.806170338411563","0.840126664063045"
"No","1992","Not Working","vocational + Abi","85","0.780184645388986","0.69942114819544","0.860948142582531"
"No","1992","Not Working","higher vocational","139","0.826429473553035","0.769496414503867","0.883362532602204"
"No","1992","Not Working","higher education","218","0.787545421815052","0.73875472039632","0.836336123233785"
"Yes","1993","Full Time","in school","","","",""
"Yes","1993","Full Time","inadequately","","","",""
"Yes","1993","Full Time","general elemantary","","","",""
"Yes","1993","Full Time","middle vocational","","","",""
"Yes","1993","Full Time","vocational + Abi","","","",""
"Yes","1993","Full Time","higher vocational","","","",""
"Yes","1993","Full Time","higher education","","","",""
"Yes","1993","Part Time","in school","","","",""
"Yes","1993","Part Time","inadequately","","","",""
"Yes","1993","Part Time","general elemantary","","","",""
"Yes","1993","Part Time","middle vocational","","","",""
