"plj0589","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Never","2015","16-34 y.","direct migration background","","","",""
"Never","2015","16-34 y.","indirect migration background","","","",""
"Never","2015","35-65 y.","no migration background","","","",""
"Never","2015","35-65 y.","direct migration background","","","",""
"Never","2015","35-65 y.","indirect migration background","","","",""
"Never","2015","66 and older","no migration background","","","",""
"Never","2015","66 and older","direct migration background","","","",""
"Never","2015","66 and older","indirect migration background","","","",""
"Very often","2016","16-34 y.","no migration background","","","",""
"Very often","2016","16-34 y.","direct migration background","174","0.0842964971526489","0.0732453858812555","0.0953476084240424"
"Very often","2016","16-34 y.","indirect migration background","","","",""
"Very often","2016","35-65 y.","no migration background","","","",""
"Very often","2016","35-65 y.","direct migration background","138","0.105897489009118","0.0917060738063269","0.120088904211909"
"Very often","2016","35-65 y.","indirect migration background","","","",""
"Very often","2016","66 and older","no migration background","","","",""
"Very often","2016","66 and older","direct migration background","3","","",""
"Very often","2016","66 and older","indirect migration background","","","",""
"Often","2016","16-34 y.","no migration background","","","",""
"Often","2016","16-34 y.","direct migration background","322","0.174590998783371","0.159491265544329","0.189690732022413"
"Often","2016","16-34 y.","indirect migration background","","","",""
"Often","2016","35-65 y.","no migration background","","","",""
"Often","2016","35-65 y.","direct migration background","249","0.170444968181592","0.153102779326686","0.187787157036497"
"Often","2016","35-65 y.","indirect migration background","","","",""
"Often","2016","66 and older","no migration background","","","",""
"Often","2016","66 and older","direct migration background","1","","",""
"Often","2016","66 and older","indirect migration background","","","",""
"Sometimes","2016","16-34 y.","no migration background","","","",""
"Sometimes","2016","16-34 y.","direct migration background","560","0.2264221159773","0.209775146060176","0.243069085894425"
"Sometimes","2016","16-34 y.","indirect migration background","","","",""
"Sometimes","2016","35-65 y.","no migration background","","","",""
"Sometimes","2016","35-65 y.","direct migration background","397","0.244658426730462","0.224832157397258","0.264484696063666"
"Sometimes","2016","35-65 y.","indirect migration background","","","",""
"Sometimes","2016","66 and older","no migration background","","","",""
"Sometimes","2016","66 and older","direct migration background","10","","",""
"Sometimes","2016","66 and older","indirect migration background","","","",""
"Rarely ","2016","16-34 y.","no migration background","","","",""
"Rarely ","2016","16-34 y.","direct migration background","426","0.184317829732522","0.168894863471314","0.19974079599373"
"Rarely ","2016","16-34 y.","indirect migration background","","","",""
"Rarely ","2016","35-65 y.","no migration background","","","",""
"Rarely ","2016","35-65 y.","direct migration background","318","0.15103266408456","0.13451798457277","0.16754734359635"
"Rarely ","2016","35-65 y.","indirect migration background","","","",""
"Rarely ","2016","66 and older","no migration background","","","",""
"Rarely ","2016","66 and older","direct migration background","4","","",""
"Rarely ","2016","66 and older","indirect migration background","","","",""
"Never","2016","16-34 y.","no migration background","","","",""
"Never","2016","16-34 y.","direct migration background","946","0.330372558354158","0.3116639124809","0.349081204227415"
"Never","2016","16-34 y.","indirect migration background","","","",""
"Never","2016","35-65 y.","no migration background","","","",""
"Never","2016","35-65 y.","direct migration background","704","0.327966451994269","0.306314382833514","0.349618521155024"
"Never","2016","35-65 y.","indirect migration background","","","",""
"Never","2016","66 and older","no migration background","","","",""
"Never","2016","66 and older","direct migration background","7","","",""
"Never","2016","66 and older","indirect migration background","","","",""
"Very often","2017","16-34 y.","no migration background","36","0.0110472021493008","0.00783956547252699","0.0142548388260746"
"Very often","2017","16-34 y.","direct migration background","140","0.0205632924821711","0.0154984384096543","0.0256281465546879"
"Very often","2017","16-34 y.","indirect migration background","13","","",""
"Very often","2017","35-65 y.","no migration background","107","0.0104377931519305","0.00859143414129214","0.0122841521625689"
"Very often","2017","35-65 y.","direct migration background","146","0.022615128594607","0.0180025947678564","0.0272276624213576"
"Very often","2017","35-65 y.","indirect migration background","11","","",""
"Very often","2017","66 and older","no migration background","30","0.00788101400552733","0.00531593568519895","0.0104460923258557"
"Very often","2017","66 and older","direct migration background","18","","",""
"Very often","2017","66 and older","indirect migration background","","","",""
"Often","2017","16-34 y.","no migration background","169","0.0401993081348811","0.0341713384857832","0.0462272777839789"
"Often","2017","16-34 y.","direct migration background","287","0.0656213246508167","0.0567840901775459","0.0744585591240874"
"Often","2017","16-34 y.","indirect migration background","56","0.0531816381793091","0.0390820683672816","0.0672812079913365"
"Often","2017","35-65 y.","no migration background","386","0.0324647388939799","0.0292449335649705","0.0356845442229892"
"Often","2017","35-65 y.","direct migration background","306","0.0638699742836643","0.0562837848125022","0.0714561637548265"
"Often","2017","35-65 y.","indirect migration background","25","","",""
"Often","2017","66 and older","no migration background","110","0.0274455462878024","0.0227061764163093","0.0321849161592954"
"Often","2017","66 and older","direct migration background","32","0.0649172208931817","0.0425953725257822","0.0872390692605813"
"Often","2017","66 and older","indirect migration background","1","","",""
"Sometimes","2017","16-34 y.","no migration background","451","0.0987989113961925","0.089641806863626","0.107956015928759"
"Sometimes","2017","16-34 y.","direct migration background","614","0.154408340032652","0.14151254431297","0.167304135752334"
"Sometimes","2017","16-34 y.","indirect migration background","124","0.126162176047424","0.105299420181306","0.147024931913541"
"Sometimes","2017","35-65 y.","no migration background","1032","0.0909034176913135","0.0856808343960109","0.096126000986616"
"Sometimes","2017","35-65 y.","direct migration background","691","0.156675443846472","0.145398145574766","0.167952742118178"
"Sometimes","2017","35-65 y.","indirect migration background","72","0.0917272922984771","0.0706731811495711","0.112781403447383"
"Sometimes","2017","66 and older","no migration background","373","0.0998141262609919","0.0911187215235998","0.108509530998384"
"Sometimes","2017","66 and older","direct migration background","81","0.161453175989623","0.128117280956455","0.194789071022791"
"Sometimes","2017","66 and older","indirect migration background","","","",""
"Rarely ","2017","16-34 y.","no migration background","1083","0.269655619306251","0.256036788580596","0.283274450031906"
"Rarely ","2017","16-34 y.","direct migration background","658","0.289138745487762","0.272958765115571","0.305318725859953"
"Rarely ","2017","16-34 y.","indirect migration background","249","0.27441535778351","0.246377816994144","0.302452898572876"
"Rarely ","2017","35-65 y.","no migration background","3068","0.267706468287177","0.259662649312195","0.27575028726216"
"Rarely ","2017","35-65 y.","direct migration background","1002","0.26672357042181","0.253003011985942","0.280444128857678"
"Rarely ","2017","35-65 y.","indirect migration background","192","0.270172837644799","0.237782882565605","0.302562792723993"
"Rarely ","2017","66 and older","no migration background","1207","0.258082744320837","0.245389141062448","0.270776347579227"
"Rarely ","2017","66 and older","direct migration background","130","0.288610170703209","0.247558124763886","0.329662216642532"
"Rarely ","2017","66 and older","indirect migration background","4","","",""
"Never","2017","16-34 y.","no migration background","2340","0.580298959013374","0.565154032955871","0.595443885070878"
"Never","2017","16-34 y.","direct migration background","1317","0.470268297346598","0.452455453698222","0.488081140994974"
"Never","2017","16-34 y.","indirect migration background","531","0.53671831387959","0.505386362465409","0.568050265293772"
"Never","2017","35-65 y.","no migration background","7046","0.598487581975599","0.589581897183969","0.607393266767229"
"Never","2017","35-65 y.","direct migration background","1846","0.490115882853447","0.474606577114877","0.505625188592017"
"Never","2017","35-65 y.","indirect migration background","422","0.593504872757048","0.557677141437475","0.629332604076622"
"Never","2017","66 and older","no migration background","2845","0.606776569124841","0.592606831941495","0.620946306308187"
"Never","2017","66 and older","direct migration background","207","0.459563846043613","0.414412542882573","0.504715149204654"
"Never","2017","66 and older","indirect migration background","11","","",""
"Very often","2018","16-34 y.","no migration background","","","",""
"Very often","2018","16-34 y.","direct migration background","12","","",""
"Very often","2018","16-34 y.","indirect migration background","","","",""
"Very often","2018","35-65 y.","no migration background","","","",""
"Very often","2018","35-65 y.","direct migration background","14","","",""
"Very often","2018","35-65 y.","indirect migration background","","","",""
"Very often","2018","66 and older","no migration background","","","",""
"Very often","2018","66 and older","direct migration background","1","","",""
"Very often","2018","66 and older","indirect migration background","","","",""
"Often","2018","16-34 y.","no migration background","","","",""
"Often","2018","16-34 y.","direct migration background","21","","",""
"Often","2018","16-34 y.","indirect migration background","","","",""
"Often","2018","35-65 y.","no migration background","","","",""
"Often","2018","35-65 y.","direct migration background","18","","",""
"Often","2018","35-65 y.","indirect migration background","","","",""
"Often","2018","66 and older","no migration background","","","",""
"Often","2018","66 and older","direct migration background","1","","",""
"Often","2018","66 and older","indirect migration background","","","",""
"Sometimes","2018","16-34 y.","no migration background","","","",""
"Sometimes","2018","16-34 y.","direct migration background","58","0.237982622935202","0.185817147567459","0.290148098302945"
"Sometimes","2018","16-34 y.","indirect migration background","","","",""
"Sometimes","2018","35-65 y.","no migration background","","","",""
"Sometimes","2018","35-65 y.","direct migration background","35","0.223375717329362","0.159237919171358","0.287513515487365"
"Sometimes","2018","35-65 y.","indirect migration background","","","",""
"Sometimes","2018","66 and older","no migration background","","","",""
"Sometimes","2018","66 and older","direct migration background","","","",""
"Sometimes","2018","66 and older","indirect migration background","","","",""
"Rarely ","2018","16-34 y.","no migration background","","","",""
"Rarely ","2018","16-34 y.","direct migration background","46","0.18030024292874","0.133207534621371","0.227392951236108"
"Rarely ","2018","16-34 y.","indirect migration background","","","",""
"Rarely ","2018","35-65 y.","no migration background","","","",""
"Rarely ","2018","35-65 y.","direct migration background","24","","",""
"Rarely ","2018","35-65 y.","indirect migration background","","","",""
"Rarely ","2018","66 and older","no migration background","","","",""
"Rarely ","2018","66 and older","direct migration background","1","","",""
"Rarely ","2018","66 and older","indirect migration background","","","",""
"Never","2018","16-34 y.","no migration background","","","",""
"Never","2018","16-34 y.","direct migration background","119","0.467995586858933","0.40687231342087","0.529118860296995"
"Never","2018","16-34 y.","indirect migration background","","","",""
"Never","2018","35-65 y.","no migration background","","","",""
"Never","2018","35-65 y.","direct migration background","71","0.462170932862905","0.385396956819601","0.538944908906208"
"Never","2018","35-65 y.","indirect migration background","","","",""
"Never","2018","66 and older","no migration background","","","",""
"Never","2018","66 and older","direct migration background","1","","",""
"Never","2018","66 and older","indirect migration background","","","",""
"Very often","2019","16-34 y.","no migration background","","","",""
"Very often","2019","16-34 y.","direct migration background","3","","",""
"Very often","2019","16-34 y.","indirect migration background","","","",""
"Very often","2019","35-65 y.","no migration background","","","",""
"Very often","2019","35-65 y.","direct migration background","4","","",""
"Very often","2019","35-65 y.","indirect migration background","","","",""
"Very often","2019","66 and older","no migration background","","","",""
"Very often","2019","66 and older","direct migration background","1","","",""
"Very often","2019","66 and older","indirect migration background","","","",""
"Often","2019","16-34 y.","no migration background","","","",""
"Often","2019","16-34 y.","direct migration background","11","","",""
"Often","2019","16-34 y.","indirect migration background","","","",""
"Often","2019","35-65 y.","no migration background","","","",""
"Often","2019","35-65 y.","direct migration background","10","","",""
"Often","2019","35-65 y.","indirect migration background","","","",""
"Often","2019","66 and older","no migration background","","","",""
"Often","2019","66 and older","direct migration background","","","",""
"Often","2019","66 and older","indirect migration background","","","",""
"Sometimes","2019","16-34 y.","no migration background","","","",""
"Sometimes","2019","16-34 y.","direct migration background","27","","",""
"Sometimes","2019","16-34 y.","indirect migration background","","","",""
"Sometimes","2019","35-65 y.","no migration background","","","",""
"Sometimes","2019","35-65 y.","direct migration background","34","0.206824768706464","0.135821403904272","0.277828133508656"
"Sometimes","2019","35-65 y.","indirect migration background","","","",""
"Sometimes","2019","66 and older","no migration background","","","",""
"Sometimes","2019","66 and older","direct migration background","","","",""
"Sometimes","2019","66 and older","indirect migration background","","","",""
"Rarely ","2019","16-34 y.","no migration background","","","",""
"Rarely ","2019","16-34 y.","direct migration background","19","","",""
"Rarely ","2019","16-34 y.","indirect migration background","","","",""
"Rarely ","2019","35-65 y.","no migration background","","","",""
"Rarely ","2019","35-65 y.","direct migration background","31","0.342054958654885","0.258890868811433","0.425219048498336"
"Rarely ","2019","35-65 y.","indirect migration background","","","",""
"Rarely ","2019","66 and older","no migration background","","","",""
"Rarely ","2019","66 and older","direct migration background","2","","",""
"Rarely ","2019","66 and older","indirect migration background","","","",""
"Never","2019","16-34 y.","no migration background","","","",""
"Never","2019","16-34 y.","direct migration background","85","0.581337497335622","0.501038468862573","0.661636525808672"
"Never","2019","16-34 y.","indirect migration background","","","",""
"Never","2019","35-65 y.","no migration background","","","",""
"Never","2019","35-65 y.","direct migration background","46","0.358679058377148","0.274600780879112","0.442757335875185"
"Never","2019","35-65 y.","indirect migration background","","","",""
"Never","2019","66 and older","no migration background","","","",""
"Never","2019","66 and older","direct migration background","3","","",""
"Never","2019","66 and older","indirect migration background","","","",""
