"plj0014_v3","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"No","1996","Lower Saxony","Employed","76","0.0559863033927047","0.0386174718399721","0.0733551349454373"
"No","1996","Bremen","Not Employed","4","","",""
"No","1996","Bremen","Employed","11","","",""
"No","1996","North Rhine-Westphalia","Not Employed","224","0.0985666916582413","0.0793988980380268","0.117734485278456"
"No","1996","North Rhine-Westphalia","Employed","347","0.102325559229621","0.0876438964494531","0.11700722200979"
"No","1996","Hesse","Not Employed","88","0.112347385498257","0.0778013211063391","0.146893449890174"
"No","1996","Hesse","Employed","178","0.155460333919491","0.126321330613265","0.184599337225717"
"No","1996","Rhineland-Palatinate,Saarland","Not Employed","32","0.0789962453381095","0.046999876622694","0.110992614053525"
"No","1996","Rhineland-Palatinate,Saarland","Employed","63","0.0829229638114436","0.0566433956276117","0.109202531995276"
"No","1996","Baden-Württemberg","Not Employed","210","0.113754325607349","0.0882633777020396","0.139245273512659"
"No","1996","Baden-Württemberg","Employed","402","0.156702588241452","0.135450901580311","0.177954274902593"
"No","1996","Bavaria","Not Employed","102","0.0824817904562399","0.0595741902689524","0.105389390643527"
"No","1996","Bavaria","Employed","218","0.115710073524846","0.0969176222671956","0.134502524782496"
"No","1996","Berlin","Not Employed","31","0.118599986578628","0.0733364064373353","0.163863566719921"
"No","1996","Berlin","Employed","36","0.0880872197114659","0.0584370191597902","0.117737420263142"
"No","1996","Brandenburg","Not Employed","1","","",""
"No","1996","Brandenburg","Employed","1","","",""
"No","1996","Mecklenburg-Western Pomerania","Not Employed","","","",""
"No","1996","Mecklenburg-Western Pomerania","Employed","","","",""
"No","1996","Saxony","Not Employed","","","",""
"No","1996","Saxony","Employed","5","","",""
"No","1996","Saxony-Anhalt","Not Employed","","","",""
"No","1996","Saxony-Anhalt","Employed","","","",""
"No","1996","Thuringia","Not Employed","1","","",""
"No","1996","Thuringia","Employed","2","","",""
"Yes","1997","Schleswig-Holstein","Not Employed","98","0.966572975468063","0.931689946435171","1.00145600450096"
"Yes","1997","Schleswig-Holstein","Employed","164","0.983362478334934","0.964134892273952","1.00259006439592"
"Yes","1997","Hamburg","Not Employed","39","0.923192568305173","0.85011050931814","0.996274627292206"
"Yes","1997","Hamburg","Employed","61","0.902271138272183","0.834614224357529","0.969928052186837"
"Yes","1997","Lower Saxony","Not Employed","340","0.93189899977956","0.907055618121224","0.956742381437896"
"Yes","1997","Lower Saxony","Employed","577","0.948725413739381","0.931769829370715","0.965680998108048"
"Yes","1997","Bremen","Not Employed","42","0.907242095924285","0.824307406598899","0.990176785249671"
"Yes","1997","Bremen","Employed","39","0.780298743602626","0.661927588360201","0.89866989884505"
"Yes","1997","North Rhine-Westphalia","Not Employed","712","0.886965165250307","0.866669573458498","0.907260757042115"
"Yes","1997","North Rhine-Westphalia","Employed","1282","0.912612612745619","0.898718614542548","0.92650661094869"
"Yes","1997","Hesse","Not Employed","227","0.849164982393209","0.809952870855838","0.88837709393058"
"Yes","1997","Hesse","Employed","385","0.834129134953905","0.802639516657035","0.865618753250776"
"Yes","1997","Rhineland-Palatinate,Saarland","Not Employed","258","0.938758137174923","0.911396748431856","0.966119525917989"
"Yes","1997","Rhineland-Palatinate,Saarland","Employed","360","0.913655980294426","0.886794439031703","0.940517521557149"
"Yes","1997","Baden-Württemberg","Not Employed","395","0.875059932753438","0.849158088270412","0.900961777236463"
"Yes","1997","Baden-Württemberg","Employed","720","0.839303499124365","0.817590892118823","0.861016106129907"
"Yes","1997","Bavaria","Not Employed","453","0.909107488681591","0.88499603256044","0.933218944802742"
"Yes","1997","Bavaria","Employed","883","0.885209991433529","0.866251299215544","0.904168683651514"
"Yes","1997","Berlin","Not Employed","155","0.885679939097055","0.838934664276577","0.932425213917533"
"Yes","1997","Berlin","Employed","308","0.907099331970229","0.876013497540845","0.938185166399613"
"Yes","1997","Brandenburg","Not Employed","229","0.983741146175857","0.967432140544869","1.00005015180684"
"Yes","1997","Brandenburg","Employed","368","0.996484456268967","0.990445436870873","1.00252347566706"
"Yes","1997","Mecklenburg-Western Pomerania","Not Employed","144","1","1","1"
"Yes","1997","Mecklenburg-Western Pomerania","Employed","247","1","1","1"
"Yes","1997","Saxony","Not Employed","400","1","1","1"
"Yes","1997","Saxony","Employed","688","0.990147172500815","0.982793372925295","0.997500972076334"
"Yes","1997","Saxony-Anhalt","Not Employed","238","1","1","1"
"Yes","1997","Saxony-Anhalt","Employed","431","1","1","1"
"Yes","1997","Thuringia","Not Employed","242","0.993514246520326","0.983421433619918","1.00360705942074"
"Yes","1997","Thuringia","Employed","417","0.996515208302564","0.990872709744682","1.00215770686045"
"No","1997","Schleswig-Holstein","Not Employed","4","","",""
"No","1997","Schleswig-Holstein","Employed","6","","",""
"No","1997","Hamburg","Not Employed","12","","",""
"No","1997","Hamburg","Employed","13","","",""
"No","1997","Lower Saxony","Not Employed","55","0.0681010002204398","0.0432576185621037","0.0929443818787759"
"No","1997","Lower Saxony","Employed","73","0.0512745862606187","0.0343190018919524","0.0682301706292849"
"No","1997","Bremen","Not Employed","5","","",""
"No","1997","Bremen","Employed","8","","",""
"No","1997","North Rhine-Westphalia","Not Employed","223","0.113034834749693","0.0927392429578846","0.133330426541502"
"No","1997","North Rhine-Westphalia","Employed","305","0.087387387254381","0.0734933890513102","0.101281385457452"
"No","1997","Hesse","Not Employed","93","0.150835017606791","0.11162290606942","0.190047129144162"
"No","1997","Hesse","Employed","151","0.165870865046095","0.134381246749224","0.197360483342965"
"No","1997","Rhineland-Palatinate,Saarland","Not Employed","37","0.0612418628250775","0.0338804740820115","0.0886032515681436"
"No","1997","Rhineland-Palatinate,Saarland","Employed","60","0.0863440197055739","0.0594824784428507","0.113205560968297"
"No","1997","Baden-Württemberg","Not Employed","231","0.124940067246562","0.099038222763537","0.150841911729588"
"No","1997","Baden-Württemberg","Employed","379","0.160696500875635","0.138983893870093","0.182409107881177"
"No","1997","Bavaria","Not Employed","93","0.0908925113184088","0.0667810551972578","0.11500396743956"
"No","1997","Bavaria","Employed","203","0.114790008566471","0.0958313163484861","0.133748700784456"
"No","1997","Berlin","Not Employed","23","","",""
"No","1997","Berlin","Employed","27","","",""
"No","1997","Brandenburg","Not Employed","2","","",""
"No","1997","Brandenburg","Employed","1","","",""
"No","1997","Mecklenburg-Western Pomerania","Not Employed","","","",""
"No","1997","Mecklenburg-Western Pomerania","Employed","","","",""
"No","1997","Saxony","Not Employed","","","",""
"No","1997","Saxony","Employed","5","","",""
"No","1997","Saxony-Anhalt","Not Employed","","","",""
"No","1997","Saxony-Anhalt","Employed","","","",""
"No","1997","Thuringia","Not Employed","1","","",""
"No","1997","Thuringia","Employed","2","","",""
"Yes","1998","Schleswig-Holstein","Not Employed","131","0.953575460883439","0.918722842832072","0.988428078934807"
"Yes","1998","Schleswig-Holstein","Employed","205","0.964803062629469","0.940228092997243","0.989378032261694"
"Yes","1998","Hamburg","Not Employed","49","0.91135612704107","0.840029515357263","0.982682738724876"
"Yes","1998","Hamburg","Employed","82","0.952708259894712","0.909568350451598","0.995848169337826"
"Yes","1998","Lower Saxony","Not Employed","418","0.949981184937397","0.930082616649237","0.969879753225556"
"Yes","1998","Lower Saxony","Employed","677","0.942712717471326","0.926014103810415","0.959411331132237"
"Yes","1998","Bremen","Not Employed","43","0.865517525928818","0.769991693852527","0.961043358005109"
"Yes","1998","Bremen","Employed","46","0.837851596921188","0.737670378807982","0.938032815034394"
"Yes","1998","North Rhine-Westphalia","Not Employed","898","0.890811153311591","0.872472264225422","0.90915004239776"
"Yes","1998","North Rhine-Westphalia","Employed","1462","0.899781339542953","0.885699985226504","0.913862693859403"
"Yes","1998","Hesse","Not Employed","278","0.864476356216781","0.829313714626625","0.899638997806938"
"Yes","1998","Hesse","Employed","448","0.838758155295614","0.809058753585365","0.868457557005862"
"Yes","1998","Rhineland-Palatinate,Saarland","Not Employed","299","0.934550438472011","0.908145334367586","0.960955542576436"
"Yes","1998","Rhineland-Palatinate,Saarland","Employed","415","0.9107284998677","0.884950451030648","0.936506548704752"
"Yes","1998","Baden-Württemberg","Not Employed","465","0.869109026584723","0.843777199545834","0.894440853623613"
"Yes","1998","Baden-Württemberg","Employed","791","0.834526740242126","0.813049265815568","0.856004214668684"
"Yes","1998","Bavaria","Not Employed","609","0.927640726898462","0.908406767123294","0.94687468667363"
"Yes","1998","Bavaria","Employed","992","0.870655228756801","0.851524262858857","0.889786194654746"
"Yes","1998","Berlin","Not Employed","176","0.918380856566007","0.879755112009501","0.957006601122513"
"Yes","1998","Berlin","Employed","313","0.898102989331512","0.865900307986409","0.930305670676615"
"Yes","1998","Brandenburg","Not Employed","229","0.971160562904112","0.949579093553193","0.992742032255031"
"Yes","1998","Brandenburg","Employed","392","0.997200806203191","0.991977330128479","1.0024242822779"
"Yes","1998","Mecklenburg-Western Pomerania","Not Employed","141","1","1","1"
"Yes","1998","Mecklenburg-Western Pomerania","Employed","270","1","1","1"
"Yes","1998","Saxony","Not Employed","425","1","1","1"
"Yes","1998","Saxony","Employed","760","0.995605729345651","0.990912487686712","1.00029897100459"
"Yes","1998","Saxony-Anhalt","Not Employed","268","0.994816935887552","0.986235957136174","1.00339791463893"
"Yes","1998","Saxony-Anhalt","Employed","424","1","1","1"
"Yes","1998","Thuringia","Not Employed","278","0.996159642812722","0.988901988630917","1.00341729699453"
"Yes","1998","Thuringia","Employed","454","0.997647580146669","0.99320114804984","1.0020940122435"
"No","1998","Schleswig-Holstein","Not Employed","9","","",""
"No","1998","Schleswig-Holstein","Employed","11","","",""
"No","1998","Hamburg","Not Employed","12","","",""
"No","1998","Hamburg","Employed","11","","",""
"No","1998","Lower Saxony","Not Employed","43","0.0500188150626032","0.0301202467744438","0.0699173833507626"
"No","1998","Lower Saxony","Employed","67","0.057287282528674","0.0405886688677629","0.0739858961895852"
"No","1998","Bremen","Not Employed","6","","",""
"No","1998","Bremen","Employed","6","","",""
"No","1998","North Rhine-Westphalia","Not Employed","213","0.109188846688409","0.0908499576022401","0.127527735774578"
"No","1998","North Rhine-Westphalia","Employed","285","0.100218660457047","0.0861373061405969","0.114300014773496"
"No","1998","Hesse","Not Employed","86","0.135523643783219","0.100361002193062","0.170686285373376"
"No","1998","Hesse","Employed","141","0.161241844704386","0.131542442994138","0.190941246414635"
"No","1998","Rhineland-Palatinate,Saarland","Not Employed","38","0.0654495615279887","0.0390444574235637","0.0918546656324136"
"No","1998","Rhineland-Palatinate,Saarland","Employed","55","0.0892715001323003","0.063493451295248","0.115049548969353"
"No","1998","Baden-Württemberg","Not Employed","216","0.130890973415277","0.105559146376387","0.156222800454166"
"No","1998","Baden-Württemberg","Employed","359","0.165473259757874","0.143995785331316","0.186950734184432"
"No","1998","Bavaria","Not Employed","88","0.0723592731015376","0.0531253133263696","0.0915932328767055"
"No","1998","Bavaria","Employed","190","0.129344771243199","0.110213805345254","0.148475737141143"
"No","1998","Berlin","Not Employed","17","","",""
"No","1998","Berlin","Employed","26","","",""
"No","1998","Brandenburg","Not Employed","2","","",""
"No","1998","Brandenburg","Employed","1","","",""
"No","1998","Mecklenburg-Western Pomerania","Not Employed","","","",""
"No","1998","Mecklenburg-Western Pomerania","Employed","","","",""
"No","1998","Saxony","Not Employed","","","",""
"No","1998","Saxony","Employed","3","","",""
"No","1998","Saxony-Anhalt","Not Employed","1","","",""
"No","1998","Saxony-Anhalt","Employed","","","",""
"No","1998","Thuringia","Not Employed","1","","",""
"No","1998","Thuringia","Employed","2","","",""
"Yes","1999","Schleswig-Holstein","Not Employed","104","0.964505063554477","0.930390145947899","0.998619981161056"
"Yes","1999","Schleswig-Holstein","Employed","207","0.958829200976549","0.932393946351933","0.985264455601165"
"Yes","1999","Hamburg","Not Employed","34","0.882090797226924","0.788894282307532","0.975287312146316"
"Yes","1999","Hamburg","Employed","81","0.924224099458604","0.870725999022432","0.977722199894775"
"Yes","1999","Lower Saxony","Not Employed","369","0.952661730389488","0.932106056846672","0.973217403932304"
"Yes","1999","Lower Saxony","Employed","703","0.939914058890738","0.923084830165794","0.956743287615682"
"Yes","1999","Bremen","Not Employed","43","0.968635090631067","0.917708576323756","1.01956160493838"
"Yes","1999","Bremen","Employed","39","0.861150794893139","0.758978521902227","0.96332306788405"
"Yes","1999","North Rhine-Westphalia","Not Employed","797","0.894585284717232","0.875427247625116","0.913743321809348"
"Yes","1999","North Rhine-Westphalia","Employed","1463","0.902365005761171","0.888382228746402","0.916347782775941"
"Yes","1999","Hesse","Not Employed","263","0.882724890133464","0.848219219850873","0.917230560416056"
"Yes","1999","Hesse","Employed","451","0.855416314290624","0.826469220270031","0.884363408311217"
"Yes","1999","Rhineland-Palatinate,Saarland","Not Employed","271","0.9360251901271","0.908426219151205","0.963624161102995"
"Yes","1999","Rhineland-Palatinate,Saarland","Employed","425","0.93163515171122","0.908867593680017","0.954402709742422"
"Yes","1999","Baden-Württemberg","Not Employed","410","0.840153385224131","0.811469014087971","0.868837756360292"
"Yes","1999","Baden-Württemberg","Employed","775","0.819883645542132","0.79732758024114","0.842439710843125"
"Yes","1999","Bavaria","Not Employed","535","0.937323020341361","0.918135602843494","0.956510437839228"
"Yes","1999","Bavaria","Employed","1017","0.866628754562","0.847320640266196","0.885936868857804"
"Yes","1999","Berlin","Not Employed","175","0.921409732334496","0.883146463237306","0.959673001431685"
"Yes","1999","Berlin","Employed","302","0.912603384408921","0.881946526849694","0.943260241968148"
"Yes","1999","Brandenburg","Not Employed","228","0.9928904221699","0.982008567613374","1.00377227672643"
"Yes","1999","Brandenburg","Employed","373","1","1","1"
"Yes","1999","Mecklenburg-Western Pomerania","Not Employed","134","1","1","1"
"Yes","1999","Mecklenburg-Western Pomerania","Employed","268","1","1","1"
"Yes","1999","Saxony","Not Employed","406","1","1","1"
"Yes","1999","Saxony","Employed","746","0.99157084597619","0.98503228780338","0.998109404149"
"Yes","1999","Saxony-Anhalt","Not Employed","267","0.990639841140417","0.979111144834864","1.00216853744597"
"Yes","1999","Saxony-Anhalt","Employed","426","1","1","1"
"Yes","1999","Thuringia","Not Employed","263","0.995880105860565","0.988153430163503","1.00360678155763"
"Yes","1999","Thuringia","Employed","458","0.99904045659758","0.996207984777194","1.00187292841797"
"No","1999","Schleswig-Holstein","Not Employed","9","","",""
"No","1999","Schleswig-Holstein","Employed","10","","",""
"No","1999","Hamburg","Not Employed","12","","",""
"No","1999","Hamburg","Employed","13","","",""
"No","1999","Lower Saxony","Not Employed","41","0.0473382696105122","0.0267825960676961","0.0678939431533283"
"No","1999","Lower Saxony","Employed","63","0.0600859411092621","0.0432567123843181","0.0769151698342061"
"No","1999","Bremen","Not Employed","2","","",""
"No","1999","Bremen","Employed","5","","",""
"No","1999","North Rhine-Westphalia","Not Employed","190","0.105414715282768","0.0862566781906515","0.124572752374884"
"No","1999","North Rhine-Westphalia","Employed","268","0.0976349942388287","0.0836522172240593","0.111617771253598"
"No","1999","Hesse","Not Employed","71","0.117275109866535","0.0827694395839439","0.151780780149127"
"No","1999","Hesse","Employed","116","0.144583685709376","0.115636591688783","0.173530779729969"
"No","1999","Rhineland-Palatinate,Saarland","Not Employed","31","0.0639748098729","0.0363758388970047","0.0915737808487953"
"No","1999","Rhineland-Palatinate,Saarland","Employed","47","0.0683648482887805","0.0455972902575781","0.0911324063199829"
"No","1999","Baden-Württemberg","Not Employed","217","0.159846614775869","0.131162243639708","0.188530985912029"
"No","1999","Baden-Württemberg","Employed","340","0.180116354457868","0.157560289156875","0.20267241975886"
"No","1999","Bavaria","Not Employed","78","0.0626769796586392","0.0434895621607721","0.0818643971565063"
"No","1999","Bavaria","Employed","174","0.133371245438","0.114063131142196","0.152679359733804"
"No","1999","Berlin","Not Employed","15","","",""
"No","1999","Berlin","Employed","24","","",""
"No","1999","Brandenburg","Not Employed","1","","",""
"No","1999","Brandenburg","Employed","","","",""
"No","1999","Mecklenburg-Western Pomerania","Not Employed","","","",""
"No","1999","Mecklenburg-Western Pomerania","Employed","","","",""
"No","1999","Saxony","Not Employed","","","",""
"No","1999","Saxony","Employed","5","","",""
"No","1999","Saxony-Anhalt","Not Employed","1","","",""
"No","1999","Saxony-Anhalt","Employed","","","",""
"No","1999","Thuringia","Not Employed","1","","",""
"No","1999","Thuringia","Employed","1","","",""
"Yes","2000","Schleswig-Holstein","Not Employed","256","0.951716456487494","0.92605188300645","0.977381029968538"
"Yes","2000","Schleswig-Holstein","Employed","426","0.947210251553526","0.926480584797011","0.967939918310041"
"Yes","2000","Hamburg","Not Employed","100","0.917528032229776","0.866808911199608","0.968247153259944"
"Yes","2000","Hamburg","Employed","177","0.963311466174563","0.93636661241573","0.990256319933395"
"Yes","2000","Lower Saxony","Not Employed","714","0.953349136956263","0.93840491863301","0.968293355279517"
"Yes","2000","Lower Saxony","Employed","1182","0.935806030153951","0.922342035645534","0.949270024662368"
"Yes","2000","Bremen","Not Employed","77","0.931067094266115","0.876233723159171","0.985900465373059"
"Yes","2000","Bremen","Employed","97","0.894290408989192","0.83575864116766","0.952822176810723"
"Yes","2000","North Rhine-Westphalia","Not Employed","1722","0.900362669009826","0.887179903817835","0.913545434201817"
"Yes","2000","North Rhine-Westphalia","Employed","2827","0.900513759007787","0.890135145318318","0.910892372697255"
"Yes","2000","Hesse","Not Employed","513","0.848223032629231","0.820138171118666","0.876307894139797"
"Yes","2000","Hesse","Employed","894","0.857215601914988","0.836134628131446","0.878296575698531"
"Yes","2000","Rhineland-Palatinate,Saarland","Not Employed","548","0.942358688786776","0.923616085454608","0.961101292118944"
"Yes","2000","Rhineland-Palatinate,Saarland","Employed","796","0.913150222626824","0.894458672576478","0.93184177267717"
"Yes","2000","Baden-Württemberg","Not Employed","809","0.861228544471333","0.840377615374919","0.882079473567747"
"Yes","2000","Baden-Württemberg","Employed","1475","0.826349984655347","0.809397115335552","0.843302853975142"
"Yes","2000","Bavaria","Not Employed","1082","0.930657660214595","0.916199934855725","0.945115385573464"
"Yes","2000","Bavaria","Employed","1997","0.901671361919994","0.889265654508198","0.914077069331791"
"Yes","2000","Berlin","Not Employed","272","0.927790220646173","0.898203466014062","0.957376975278283"
"Yes","2000","Berlin","Employed","493","0.913421034150417","0.889456888188052","0.937385180112782"
"Yes","2000","Brandenburg","Not Employed","387","0.99536151480962","0.988600517893245","1.002122511726"
"Yes","2000","Brandenburg","Employed","634","1","1","1"
"Yes","2000","Mecklenburg-Western Pomerania","Not Employed","190","0.993707864022667","0.982523124104667","1.00489260394067"
"Yes","2000","Mecklenburg-Western Pomerania","Employed","376","1","1","1"
"Yes","2000","Saxony","Not Employed","683","0.994842005521323","0.989489324475486","1.00019468656716"
"Yes","2000","Saxony","Employed","1091","0.993525266049588","0.988783395796019","0.998267136303158"
"Yes","2000","Saxony-Anhalt","Not Employed","429","0.993893713178457","0.986530414198893","1.00125701215802"
"Yes","2000","Saxony-Anhalt","Employed","633","1","1","1"
"Yes","2000","Thuringia","Not Employed","400","0.993604175116993","0.985821111971656","1.00138723826233"
"Yes","2000","Thuringia","Employed","653","0.998140890870197","0.994841940312552","1.00143984142784"
"No","2000","Schleswig-Holstein","Not Employed","12","","",""
"No","2000","Schleswig-Holstein","Employed","21","","",""
"No","2000","Hamburg","Not Employed","13","","",""
"No","2000","Hamburg","Employed","10","","",""
"No","2000","Lower Saxony","Not Employed","51","0.0466508630437365","0.0317066447204827","0.0615950813669904"
"No","2000","Lower Saxony","Employed","91","0.0641939698460491","0.0507299753376321","0.0776579643544661"
"No","2000","Bremen","Not Employed","5","","",""
"No","2000","Bremen","Employed","9","","",""
"No","2000","North Rhine-Westphalia","Not Employed","261","0.0996373309901741","0.0864545657981829","0.112820096182165"
"No","2000","North Rhine-Westphalia","Employed","368","0.0994862409922133","0.0891076273027448","0.109864854681682"
"No","2000","Hesse","Not Employed","114","0.151776967370769","0.123692105860203","0.179861828881334"
"No","2000","Hesse","Employed","164","0.142784398085012","0.121703424301469","0.163865371868554"
"No","2000","Rhineland-Palatinate,Saarland","Not Employed","46","0.0576413112132243","0.0388987078810561","0.0763839145453924"
"No","2000","Rhineland-Palatinate,Saarland","Employed","76","0.0868497773731759","0.0681582273228298","0.105541327423522"
"No","2000","Baden-Württemberg","Not Employed","247","0.138771455528667","0.117920526432253","0.159622384625081"
"No","2000","Baden-Württemberg","Employed","443","0.173650015344653","0.156697146024858","0.190602884664448"
"No","2000","Bavaria","Not Employed","104","0.0693423397854051","0.0548846144265356","0.0838000651442745"
"No","2000","Bavaria","Employed","216","0.0983286380800057","0.0859229306682092","0.110734345491802"
"No","2000","Berlin","Not Employed","22","","",""
"No","2000","Berlin","Employed","36","0.086578965849583","0.0626148198872184","0.110543111811948"
"No","2000","Brandenburg","Not Employed","1","","",""
"No","2000","Brandenburg","Employed","","","",""
"No","2000","Mecklenburg-Western Pomerania","Not Employed","2","","",""
"No","2000","Mecklenburg-Western Pomerania","Employed","","","",""
"No","2000","Saxony","Not Employed","5","","",""
"No","2000","Saxony","Employed","8","","",""
"No","2000","Saxony-Anhalt","Not Employed","1","","",""
"No","2000","Saxony-Anhalt","Employed","","","",""
"No","2000","Thuringia","Not Employed","3","","",""
"No","2000","Thuringia","Employed","2","","",""
"Yes","2001","Schleswig-Holstein","Not Employed","226","0.970122872656382","0.948355954164327","0.991889791148437"
"Yes","2001","Schleswig-Holstein","Employed","400","0.942946633368311","0.920711274377143","0.965181992359479"
"Yes","2001","Hamburg","Not Employed","92","0.90832972318251","0.853136027363974","0.963523419001047"
"Yes","2001","Hamburg","Employed","159","0.954360323213978","0.922987680889079","0.985732965538878"
"Yes","2001","Lower Saxony","Not Employed","643","0.950402117096719","0.934202348437393","0.966601885756045"
"Yes","2001","Lower Saxony","Employed","1089","0.93621393400159","0.922223385402827","0.950204482600354"
"Yes","2001","Bremen","Not Employed","54","0.931645496176846","0.866133689703589","0.997157302650104"
"Yes","2001","Bremen","Employed","90","0.835962412964784","0.763743247482032","0.908181578447535"
"Yes","2001","North Rhine-Westphalia","Not Employed","1539","0.894331132049623","0.880054070455012","0.908608193644235"
"Yes","2001","North Rhine-Westphalia","Employed","2571","0.90310017247727","0.892329858475254","0.913870486479285"
"Yes","2001","Hesse","Not Employed","441","0.876560114220974","0.848395678419345","0.904724550022603"
"Yes","2001","Hesse","Employed","812","0.842771464877008","0.819851877334906","0.86569105241911"
"Yes","2001","Rhineland-Palatinate,Saarland","Not Employed","506","0.938004231416459","0.917814002882083","0.958194459950834"
"Yes","2001","Rhineland-Palatinate,Saarland","Employed","741","0.914671597824463","0.895396760244411","0.933946435404514"
"Yes","2001","Baden-Württemberg","Not Employed","703","0.877060671613409","0.855535849632574","0.898585493594244"
"Yes","2001","Baden-Württemberg","Employed","1332","0.828226878232166","0.810453200396046","0.846000556068287"
"Yes","2001","Bavaria","Not Employed","943","0.92799261129136","0.91222125538229","0.94376396720043"
"Yes","2001","Bavaria","Employed","1831","0.909314556838752","0.896816572465776","0.921812541211728"
"Yes","2001","Berlin","Not Employed","259","0.910811550315187","0.877247313344911","0.944375787285462"
"Yes","2001","Berlin","Employed","488","0.930959375792719","0.909148046635974","0.952770704949464"
"Yes","2001","Brandenburg","Not Employed","390","0.995395507430433","0.988685106968187","1.00210590789268"
"Yes","2001","Brandenburg","Employed","571","1","1","1"
"Yes","2001","Mecklenburg-Western Pomerania","Not Employed","170","0.993146245130802","0.980780482034225","1.00551200822738"
"Yes","2001","Mecklenburg-Western Pomerania","Employed","344","0.998933972288839","0.995490542896796","1.00237740168088"
"Yes","2001","Saxony","Not Employed","641","1","1","1"
"Yes","2001","Saxony","Employed","1009","0.996092407683668","0.992248594489554","0.999936220877782"
"Yes","2001","Saxony-Anhalt","Not Employed","413","1","1","1"
"Yes","2001","Saxony-Anhalt","Employed","592","1","1","1"
"Yes","2001","Thuringia","Not Employed","379","0.996668108184803","0.990874127815807","1.0024620885538"
"Yes","2001","Thuringia","Employed","591","0.998060331649727","0.994516040626931","1.00160462267252"
"No","2001","Schleswig-Holstein","Not Employed","9","","",""
"No","2001","Schleswig-Holstein","Employed","18","","",""
"No","2001","Hamburg","Not Employed","13","","",""
"No","2001","Hamburg","Employed","11","","",""
"No","2001","Lower Saxony","Not Employed","47","0.0495978829032806","0.0333981142439546","0.0657976515626065"
"No","2001","Lower Saxony","Employed","83","0.0637860659984096","0.0497955173996458","0.0777766145971735"
"No","2001","Bremen","Not Employed","3","","",""
"No","2001","Bremen","Employed","11","","",""
"No","2001","North Rhine-Westphalia","Not Employed","242","0.105668867950377","0.0913918063557654","0.119945929544988"
"No","2001","North Rhine-Westphalia","Employed","327","0.0968998275227305","0.0861295135207153","0.107670141524746"
