"plj0588","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","2013","higher education","1724","0.274683190233265","0.263220672016342","0.286145708450188"
"Very often","2014","in school","","","",""
"Very often","2014","inadequately","","","",""
"Very often","2014","general elemantary","","","",""
"Very often","2014","middle vocational","","","",""
"Very often","2014","vocational + Abi","","","",""
"Very often","2014","higher vocational","","","",""
"Very often","2014","higher education","","","",""
"Often","2014","in school","","","",""
"Often","2014","inadequately","","","",""
"Often","2014","general elemantary","","","",""
"Often","2014","middle vocational","","","",""
"Often","2014","vocational + Abi","","","",""
"Often","2014","higher vocational","","","",""
"Often","2014","higher education","","","",""
"Sometimes","2014","in school","","","",""
"Sometimes","2014","inadequately","","","",""
"Sometimes","2014","general elemantary","","","",""
"Sometimes","2014","middle vocational","","","",""
"Sometimes","2014","vocational + Abi","","","",""
"Sometimes","2014","higher vocational","","","",""
"Sometimes","2014","higher education","","","",""
"Rarely ","2014","in school","","","",""
"Rarely ","2014","inadequately","","","",""
"Rarely ","2014","general elemantary","","","",""
"Rarely ","2014","middle vocational","","","",""
"Rarely ","2014","vocational + Abi","","","",""
"Rarely ","2014","higher vocational","","","",""
"Rarely ","2014","higher education","","","",""
"Never","2014","in school","","","",""
"Never","2014","inadequately","","","",""
"Never","2014","general elemantary","","","",""
"Never","2014","middle vocational","","","",""
"Never","2014","vocational + Abi","","","",""
"Never","2014","higher vocational","","","",""
"Never","2014","higher education","","","",""
"Very often","2015","in school","","","",""
"Very often","2015","inadequately","","","",""
"Very often","2015","general elemantary","","","",""
"Very often","2015","middle vocational","","","",""
"Very often","2015","vocational + Abi","","","",""
"Very often","2015","higher vocational","","","",""
"Very often","2015","higher education","","","",""
"Often","2015","in school","","","",""
"Often","2015","inadequately","","","",""
"Often","2015","general elemantary","","","",""
"Often","2015","middle vocational","","","",""
"Often","2015","vocational + Abi","","","",""
"Often","2015","higher vocational","","","",""
"Often","2015","higher education","","","",""
"Sometimes","2015","in school","","","",""
"Sometimes","2015","inadequately","","","",""
"Sometimes","2015","general elemantary","","","",""
"Sometimes","2015","middle vocational","","","",""
"Sometimes","2015","vocational + Abi","","","",""
"Sometimes","2015","higher vocational","","","",""
"Sometimes","2015","higher education","","","",""
"Rarely ","2015","in school","","","",""
"Rarely ","2015","inadequately","","","",""
"Rarely ","2015","general elemantary","","","",""
"Rarely ","2015","middle vocational","","","",""
"Rarely ","2015","vocational + Abi","","","",""
"Rarely ","2015","higher vocational","","","",""
"Rarely ","2015","higher education","","","",""
"Never","2015","in school","","","",""
"Never","2015","inadequately","","","",""
"Never","2015","general elemantary","","","",""
"Never","2015","middle vocational","","","",""
"Never","2015","vocational + Abi","","","",""
"Never","2015","higher vocational","","","",""
"Never","2015","higher education","","","",""
"Very often","2016","in school","1","","",""
"Very often","2016","inadequately","135","0.12003239021846","0.103574477496567","0.136490302940353"
"Very often","2016","general elemantary","55","0.0781682388685263","0.0596706625596556","0.096665815177397"
"Very often","2016","middle vocational","51","0.0705142899650925","0.0521920997908679","0.0888364801393171"
"Very often","2016","vocational + Abi","3","","",""
"Very often","2016","higher vocational","","","",""
"Very often","2016","higher education","51","0.0912173583189678","0.0705148751082291","0.111919841529706"
"Often","2016","in school","3","","",""
"Often","2016","inadequately","231","0.204481145949449","0.184056992814969","0.22490529908393"
"Often","2016","general elemantary","103","0.147291259389509","0.122870302591102","0.171712216187915"
"Often","2016","middle vocational","93","0.137116204684738","0.112499041319927","0.16173336804955"
"Often","2016","vocational + Abi","18","","",""
"Often","2016","higher vocational","","","",""
"Often","2016","higher education","77","0.128763788867776","0.104680349067353","0.1528472286682"
"Sometimes","2016","in school","8","","",""
"Sometimes","2016","inadequately","387","0.280999479913159","0.258237525739406","0.303761434086911"
"Sometimes","2016","general elemantary","219","0.31663885282908","0.284584938378093","0.348692767280068"
"Sometimes","2016","middle vocational","198","0.273400411918755","0.24150232660486","0.305298497232649"
"Sometimes","2016","vocational + Abi","23","","",""
"Sometimes","2016","higher vocational","","","",""
"Sometimes","2016","higher education","198","0.26403667736137","0.2323399883136","0.29573336640914"
"Rarely ","2016","in school","3","","",""
"Rarely ","2016","inadequately","287","0.16612373267324","0.147276012227102","0.184971453119378"
"Rarely ","2016","general elemantary","137","0.143372958371652","0.119223725276125","0.167522191467179"
"Rarely ","2016","middle vocational","166","0.220582378870817","0.190907566789765","0.250257190951869"
"Rarely ","2016","vocational + Abi","27","","",""
"Rarely ","2016","higher vocational","","","",""
"Rarely ","2016","higher education","184","0.238214629327965","0.207584120395765","0.268845138260166"
"Never","2016","in school","8","","",""
"Never","2016","inadequately","458","0.228363251245692","0.207105772949619","0.249620729541765"
"Never","2016","general elemantary","295","0.314528690541233","0.282532475668385","0.346524905414081"
"Never","2016","middle vocational","242","0.298386714560597","0.26564087703607","0.331132552085125"
"Never","2016","vocational + Abi","35","0.192480837377706","0.11742830913678","0.267533365618632"
"Never","2016","higher vocational","","","",""
"Never","2016","higher education","233","0.277767546123921","0.245561831886349","0.309973260361492"
"Very often","2017","in school","5","","",""
"Very often","2017","inadequately","134","0.0476307907849961","0.0372849102407412","0.0579766713292511"
"Very often","2017","general elemantary","105","0.0236910057106225","0.0184926310093963","0.0288893804118488"
"Very often","2017","middle vocational","165","0.0114649894487419","0.00960191488229347","0.0133280640151904"
"Very often","2017","vocational + Abi","29","","",""
"Very often","2017","higher vocational","7","","",""
"Very often","2017","higher education","83","0.00726355209079654","0.00527187658979529","0.00925522759179779"
"Often","2017","in school","29","","",""
"Often","2017","inadequately","211","0.108985410095654","0.0938481427997565","0.124122677391552"
"Often","2017","general elemantary","255","0.0665760222067451","0.0580552180279429","0.0750968263855472"
"Often","2017","middle vocational","726","0.0536489344069653","0.0497056866244316","0.057592182189499"
"Often","2017","vocational + Abi","121","0.0580964720542798","0.0485050482555545","0.067687895853005"
"Often","2017","higher vocational","49","0.0320774126481667","0.0232854647490508","0.0408693605472826"
"Often","2017","higher education","344","0.0415842867515811","0.0369018851339149","0.0462666883692473"
"Sometimes","2017","in school","72","0.21406916041285","0.175345297488228","0.252793023337472"
"Sometimes","2017","inadequately","447","0.312373227875601","0.289860185852023","0.334886269899179"
"Sometimes","2017","general elemantary","773","0.215300110662799","0.201250764644072","0.229349456681527"
"Sometimes","2017","middle vocational","2528","0.203026556668856","0.195986993190679","0.210066120147034"
"Sometimes","2017","vocational + Abi","446","0.196269044738371","0.179984101812979","0.212553987663763"
"Sometimes","2017","higher vocational","302","0.187828305133987","0.168340201848001","0.207316408419973"
"Sometimes","2017","higher education","1317","0.189173593251521","0.179987702655422","0.198359483847621"
"Rarely ","2017","in school","202","0.427671632264042","0.380964057863846","0.474379206664238"
"Rarely ","2017","inadequately","334","0.266683110116234","0.245201615728472","0.288164604503995"
"Rarely ","2017","general elemantary","1165","0.388034966055747","0.371378574495052","0.404691357616442"
"Rarely ","2017","middle vocational","5214","0.429040058986817","0.420378439094843","0.437701678878791"
"Rarely ","2017","vocational + Abi","990","0.425370674739229","0.405099325550712","0.445642023927746"
"Rarely ","2017","higher vocational","752","0.485726048990632","0.460788251785353","0.510663846195911"
"Rarely ","2017","higher education","3085","0.457680152356994","0.445994960184562","0.469365344529425"
"Never","2017","in school","123","0.293463846981988","0.250475182443078","0.336452511520898"
"Never","2017","inadequately","502","0.264327461127515","0.242906729232658","0.285748193022371"
"Never","2017","general elemantary","990","0.306397895364086","0.290640650763945","0.322155139964226"
"Never","2017","middle vocational","3910","0.30281946048862","0.294778426485633","0.310860494491607"
"Never","2017","vocational + Abi","699","0.306088329962453","0.287191869182135","0.324984790742771"
"Never","2017","higher vocational","433","0.287712522668621","0.265124814657833","0.310300230679408"
"Never","2017","higher education","2154","0.304298415549107","0.293506751631264","0.31509007946695"
"Very often","2018","in school","","","",""
"Very often","2018","inadequately","14","","",""
"Very often","2018","general elemantary","12","","",""
"Very often","2018","middle vocational","1","","",""
"Very often","2018","vocational + Abi","","","",""
"Very often","2018","higher vocational","","","",""
"Very often","2018","higher education","4","","",""
"Often","2018","in school","","","",""
"Often","2018","inadequately","15","","",""
"Often","2018","general elemantary","9","","",""
"Often","2018","middle vocational","8","","",""
"Often","2018","vocational + Abi","1","","",""
"Often","2018","higher vocational","","","",""
"Often","2018","higher education","6","","",""
"Sometimes","2018","in school","2","","",""
"Sometimes","2018","inadequately","51","0.361314689355567","0.28756833398403","0.435061044727105"
"Sometimes","2018","general elemantary","22","","",""
"Sometimes","2018","middle vocational","21","","",""
"Sometimes","2018","vocational + Abi","2","","",""
"Sometimes","2018","higher vocational","","","",""
"Sometimes","2018","higher education","8","","",""
"Rarely ","2018","in school","2","","",""
"Rarely ","2018","inadequately","23","","",""
"Rarely ","2018","general elemantary","16","","",""
"Rarely ","2018","middle vocational","11","","",""
"Rarely ","2018","vocational + Abi","1","","",""
"Rarely ","2018","higher vocational","","","",""
"Rarely ","2018","higher education","10","","",""
"Never","2018","in school","4","","",""
"Never","2018","inadequately","60","0.362110468894353","0.288328954244969","0.435891983543737"
"Never","2018","general elemantary","40","0.392021310532024","0.295853548326871","0.488189072737177"
"Never","2018","middle vocational","17","","",""
"Never","2018","vocational + Abi","3","","",""
"Never","2018","higher vocational","","","",""
"Never","2018","higher education","20","","",""
"Very often","2019","in school","","","",""
"Very often","2019","inadequately","7","","",""
"Very often","2019","general elemantary","","","",""
"Very often","2019","middle vocational","","","",""
"Very often","2019","vocational + Abi","","","",""
"Very often","2019","higher vocational","","","",""
"Very often","2019","higher education","","","",""
"Often","2019","in school","","","",""
"Often","2019","inadequately","10","","",""
"Often","2019","general elemantary","4","","",""
"Often","2019","middle vocational","4","","",""
"Often","2019","vocational + Abi","","","",""
"Often","2019","higher vocational","","","",""
"Often","2019","higher education","2","","",""
"Sometimes","2019","in school","","","",""
"Sometimes","2019","inadequately","33","0.322066598467257","0.242654142094276","0.401479054840239"
"Sometimes","2019","general elemantary","8","","",""
"Sometimes","2019","middle vocational","5","","",""
"Sometimes","2019","vocational + Abi","1","","",""
"Sometimes","2019","higher vocational","","","",""
"Sometimes","2019","higher education","5","","",""
"Rarely ","2019","in school","1","","",""
"Rarely ","2019","inadequately","30","0.156235585056511","0.0945302304742981","0.217940939638724"
"Rarely ","2019","general elemantary","12","","",""
"Rarely ","2019","middle vocational","5","","",""
"Rarely ","2019","vocational + Abi","","","",""
"Rarely ","2019","higher vocational","","","",""
"Rarely ","2019","higher education","9","","",""
"Never","2019","in school","1","","",""
"Never","2019","inadequately","53","0.433920846586812","0.349690980740778","0.518150712432846"
"Never","2019","general elemantary","27","","",""
"Never","2019","middle vocational","18","","",""
"Never","2019","vocational + Abi","1","","",""
"Never","2019","higher vocational","","","",""
"Never","2019","higher education","10","","",""
