"plj0588","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Sometimes","2014","Part Time","Urban Area","","","",""
"Sometimes","2014","Part Time","Rural Area","","","",""
"Sometimes","2014","Not Working","Urban Area","","","",""
"Sometimes","2014","Not Working","Rural Area","","","",""
"Rarely ","2014","Full Time","Urban Area","","","",""
"Rarely ","2014","Full Time","Rural Area","","","",""
"Rarely ","2014","Part Time","Urban Area","","","",""
"Rarely ","2014","Part Time","Rural Area","","","",""
"Rarely ","2014","Not Working","Urban Area","","","",""
"Rarely ","2014","Not Working","Rural Area","","","",""
"Never","2014","Full Time","Urban Area","","","",""
"Never","2014","Full Time","Rural Area","","","",""
"Never","2014","Part Time","Urban Area","","","",""
"Never","2014","Part Time","Rural Area","","","",""
"Never","2014","Not Working","Urban Area","","","",""
"Never","2014","Not Working","Rural Area","","","",""
"Very often","2015","Full Time","Urban Area","","","",""
"Very often","2015","Full Time","Rural Area","","","",""
"Very often","2015","Part Time","Urban Area","","","",""
"Very often","2015","Part Time","Rural Area","","","",""
"Very often","2015","Not Working","Urban Area","","","",""
"Very often","2015","Not Working","Rural Area","","","",""
"Often","2015","Full Time","Urban Area","","","",""
"Often","2015","Full Time","Rural Area","","","",""
"Often","2015","Part Time","Urban Area","","","",""
"Often","2015","Part Time","Rural Area","","","",""
"Often","2015","Not Working","Urban Area","","","",""
"Often","2015","Not Working","Rural Area","","","",""
"Sometimes","2015","Full Time","Urban Area","","","",""
"Sometimes","2015","Full Time","Rural Area","","","",""
"Sometimes","2015","Part Time","Urban Area","","","",""
"Sometimes","2015","Part Time","Rural Area","","","",""
"Sometimes","2015","Not Working","Urban Area","","","",""
"Sometimes","2015","Not Working","Rural Area","","","",""
"Rarely ","2015","Full Time","Urban Area","","","",""
"Rarely ","2015","Full Time","Rural Area","","","",""
"Rarely ","2015","Part Time","Urban Area","","","",""
"Rarely ","2015","Part Time","Rural Area","","","",""
"Rarely ","2015","Not Working","Urban Area","","","",""
"Rarely ","2015","Not Working","Rural Area","","","",""
"Never","2015","Full Time","Urban Area","","","",""
"Never","2015","Full Time","Rural Area","","","",""
"Never","2015","Part Time","Urban Area","","","",""
"Never","2015","Part Time","Rural Area","","","",""
"Never","2015","Not Working","Urban Area","","","",""
"Never","2015","Not Working","Rural Area","","","",""
"Very often","2016","Full Time","Urban Area","","","",""
"Very often","2016","Full Time","Rural Area","","","",""
"Very often","2016","Part Time","Urban Area","","","",""
"Very often","2016","Part Time","Rural Area","","","",""
"Very often","2016","Not Working","Urban Area","220","0.091481938563859","0.0809657307105799","0.101998146417138"
"Very often","2016","Not Working","Rural Area","102","0.0985476301098572","0.0824013399595868","0.114693920260128"
"Often","2016","Full Time","Urban Area","","","",""
"Often","2016","Full Time","Rural Area","","","",""
"Often","2016","Part Time","Urban Area","","","",""
"Often","2016","Part Time","Rural Area","","","",""
"Often","2016","Not Working","Urban Area","363","0.17073883035655","0.157013066747295","0.184464593965805"
"Often","2016","Not Working","Rural Area","203","0.17615615944022","0.15551901357116","0.196793305309279"
"Sometimes","2016","Full Time","Urban Area","","","",""
"Sometimes","2016","Full Time","Rural Area","","","",""
"Sometimes","2016","Part Time","Urban Area","","","",""
"Sometimes","2016","Part Time","Rural Area","","","",""
"Sometimes","2016","Not Working","Urban Area","725","0.28248885057002","0.266066335017633","0.298911366122407"
"Sometimes","2016","Not Working","Rural Area","385","0.292756391595031","0.268106445370583","0.317406337819478"
"Rarely ","2016","Full Time","Urban Area","","","",""
"Rarely ","2016","Full Time","Rural Area","","","",""
"Rarely ","2016","Part Time","Urban Area","","","",""
"Rarely ","2016","Part Time","Rural Area","","","",""
"Rarely ","2016","Not Working","Urban Area","591","0.179180981205876","0.165191733518193","0.193170228893558"
"Rarely ","2016","Not Working","Rural Area","257","0.190225625864629","0.168964082178032","0.211487169551226"
"Never","2016","Full Time","Urban Area","","","",""
"Never","2016","Full Time","Rural Area","","","",""
"Never","2016","Part Time","Urban Area","","","",""
"Never","2016","Part Time","Rural Area","","","",""
"Never","2016","Not Working","Urban Area","988","0.276109399303696","0.259801359475198","0.292417439132194"
"Never","2016","Not Working","Rural Area","362","0.242314192990264","0.219102208583964","0.265526177396564"
"Very often","2017","Full Time","Urban Area","35","0.00451908189541245","0.00290739414530147","0.00613076964552344"
"Very often","2017","Full Time","Rural Area","28","","",""
"Very often","2017","Part Time","Urban Area","56","0.00866716144070899","0.0061113922452105","0.0112229306362075"
"Very often","2017","Part Time","Rural Area","25","","",""
"Very often","2017","Not Working","Urban Area","284","0.0235890031113109","0.0201636547560874","0.0270143514665345"
"Very often","2017","Not Working","Rural Area","119","0.0178585502279287","0.0136757083102008","0.0220413921456567"
"Often","2017","Full Time","Urban Area","256","0.0393260296937879","0.0346554865040274","0.0439965728835485"
"Often","2017","Full Time","Rural Area","152","0.0406419903920341","0.0343077151118467","0.0469762656722216"
"Often","2017","Part Time","Urban Area","298","0.0494654970249891","0.0434867720873035","0.0554442219626747"
"Often","2017","Part Time","Rural Area","144","0.0634948825938441","0.0541307260167381","0.0728590391709502"
"Often","2017","Not Working","Urban Area","596","0.0679088557622392","0.062230455292457","0.0735872562320214"
"Often","2017","Not Working","Rural Area","355","0.0701051967833092","0.0620411442490717","0.0781692493175466"
"Sometimes","2017","Full Time","Urban Area","1227","0.189637111448323","0.180217331295318","0.199056891601328"
"Sometimes","2017","Full Time","Rural Area","666","0.181703957962997","0.169334333493273","0.194073582432721"
"Sometimes","2017","Part Time","Urban Area","1066","0.203997245568348","0.192886508279287","0.215107982857409"
"Sometimes","2017","Part Time","Rural Area","530","0.197376748339271","0.182092359045867","0.212661137632676"
"Sometimes","2017","Not Working","Urban Area","1744","0.226243508659298","0.216800207566843","0.235686809751753"
"Sometimes","2017","Not Working","Rural Area","831","0.207704008879559","0.194891697041158","0.220516320717961"
"Rarely ","2017","Full Time","Urban Area","3024","0.461012043398311","0.449034024460435","0.472990062336187"
"Rarely ","2017","Full Time","Rural Area","1763","0.490466760813194","0.474430240217201","0.506503281409187"
"Rarely ","2017","Part Time","Urban Area","2151","0.448926768159932","0.435212714300097","0.462640822019766"
"Rarely ","2017","Part Time","Rural Area","1210","0.457286410814844","0.438156025251598","0.47641679637809"
"Rarely ","2017","Not Working","Urban Area","2455","0.353371523406681","0.342582632337927","0.364160414475435"
"Rarely ","2017","Not Working","Rural Area","1382","0.406533115497916","0.391019695835826","0.422046535160006"
"Never","2017","Full Time","Urban Area","2111","0.305505733564166","0.29443737182937","0.316574095298961"
"Never","2017","Full Time","Rural Area","1124","0.279407133139018","0.26501308933319","0.293801176944846"
"Never","2017","Part Time","Urban Area","1482","0.288943327806022","0.276445576307211","0.301441079304834"
"Never","2017","Part Time","Rural Area","696","0.269561936738768","0.252522108634208","0.286601764843328"
"Never","2017","Not Working","Urban Area","2462","0.328887109060471","0.318283472428937","0.339490745692005"
"Never","2017","Not Working","Rural Area","1164","0.297799128611287","0.283356251199643","0.312242006022931"
"Very often","2018","Full Time","Urban Area","","","",""
"Very often","2018","Full Time","Rural Area","","","",""
"Very often","2018","Part Time","Urban Area","","","",""
"Very often","2018","Part Time","Rural Area","","","",""
"Very often","2018","Not Working","Urban Area","25","","",""
"Very often","2018","Not Working","Rural Area","10","","",""
"Often","2018","Full Time","Urban Area","","","",""
"Often","2018","Full Time","Rural Area","","","",""
"Often","2018","Part Time","Urban Area","","","",""
"Often","2018","Part Time","Rural Area","","","",""
"Often","2018","Not Working","Urban Area","27","","",""
"Often","2018","Not Working","Rural Area","15","","",""
"Sometimes","2018","Full Time","Urban Area","","","",""
"Sometimes","2018","Full Time","Rural Area","","","",""
"Sometimes","2018","Part Time","Urban Area","","","",""
"Sometimes","2018","Part Time","Rural Area","","","",""
"Sometimes","2018","Not Working","Urban Area","74","0.298088068928025","0.243015065296795","0.353161072559255"
"Sometimes","2018","Not Working","Rural Area","41","0.326074243094945","0.252275916032539","0.399872570157351"
"Rarely ","2018","Full Time","Urban Area","","","",""
"Rarely ","2018","Full Time","Rural Area","","","",""
"Rarely ","2018","Part Time","Urban Area","","","",""
"Rarely ","2018","Part Time","Rural Area","","","",""
"Rarely ","2018","Not Working","Urban Area","37","0.118784843728177","0.0798313291079091","0.157738358348444"
"Rarely ","2018","Not Working","Rural Area","31","0.148511275900653","0.0925288895468479","0.204493662254458"
"Never","2018","Full Time","Urban Area","","","",""
"Never","2018","Full Time","Rural Area","","","",""
"Never","2018","Part Time","Urban Area","","","",""
"Never","2018","Part Time","Rural Area","","","",""
"Never","2018","Not Working","Urban Area","102","0.387781910138064","0.329117865041717","0.446445955234412"
"Never","2018","Not Working","Rural Area","58","0.367267041110223","0.291377234057301","0.443156848163146"
"Very often","2019","Full Time","Urban Area","","","",""
"Very often","2019","Full Time","Rural Area","","","",""
"Very often","2019","Part Time","Urban Area","","","",""
"Very often","2019","Part Time","Rural Area","","","",""
"Very often","2019","Not Working","Urban Area","4","","",""
"Very often","2019","Not Working","Rural Area","4","","",""
"Often","2019","Full Time","Urban Area","","","",""
"Often","2019","Full Time","Rural Area","","","",""
"Often","2019","Part Time","Urban Area","","","",""
"Often","2019","Part Time","Rural Area","","","",""
"Often","2019","Not Working","Urban Area","14","","",""
"Often","2019","Not Working","Rural Area","8","","",""
"Sometimes","2019","Full Time","Urban Area","","","",""
"Sometimes","2019","Full Time","Rural Area","","","",""
"Sometimes","2019","Part Time","Urban Area","","","",""
"Sometimes","2019","Part Time","Rural Area","","","",""
"Sometimes","2019","Not Working","Urban Area","29","","",""
"Sometimes","2019","Not Working","Rural Area","27","","",""
"Rarely ","2019","Full Time","Urban Area","","","",""
"Rarely ","2019","Full Time","Rural Area","","","",""
"Rarely ","2019","Part Time","Urban Area","","","",""
"Rarely ","2019","Part Time","Rural Area","","","",""
"Rarely ","2019","Not Working","Urban Area","36","0.155494230768533","0.101021132062932","0.209967329474135"
"Rarely ","2019","Not Working","Rural Area","24","","",""
"Never","2019","Full Time","Urban Area","","","",""
"Never","2019","Full Time","Rural Area","","","",""
"Never","2019","Part Time","Urban Area","","","",""
"Never","2019","Part Time","Rural Area","","","",""
"Never","2019","Not Working","Urban Area","87","0.522085444016718","0.446997614308338","0.597173273725098"
"Never","2019","Not Working","Rural Area","38","0.401537692964523","0.30593525551481","0.497140130414236"
