"pli0092_h","year","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per week","1992","2795","0.229149933950969","0.221965168070517","0.236334699831421","2"
"Never","1992","7401","0.552016487305199","0.54351539296441","0.560517581645987","5"
"Rarely","1992","2185","0.158214434406516","0.151975770573336","0.164453098239697","4"
"Daily","1993","","","","","1"
"Min 1x per month","1993","","","","","3"
"Min 1x per week","1993","","","","","2"
"Never","1993","","","","","5"
"Rarely","1993","","","","","4"
"Daily","1994","","","","","1"
"Min 1x per month","1994","778","0.0594489586913336","0.055341595693969","0.0635563216886983","3"
"Min 1x per week","1994","2661","0.226660205397538","0.219387891865521","0.233932518929556","2"
"Never","1994","7009","0.541676755891475","0.53302198018056","0.550331531602389","5"
"Rarely","1994","2284","0.172214080019654","0.165655752194117","0.17877240784519","4"
"Daily","1995","619","0.0497943584218502","0.0460928651239827","0.0534958517197177","1"
"Min 1x per month","1995","960","0.0726683327363032","0.068250917366443","0.0770857481061635","3"
"Min 1x per week","1995","2866","0.229145307681586","0.221993433938937","0.236297181424236","2"
"Never","1995","5884","0.438585905864176","0.430141928005733","0.447029883722619","5"
"Rarely","1995","2937","0.209806095296084","0.202877359794987","0.216734830797182","4"
"Daily","1996","","","","","1"
"Min 1x per month","1996","922","0.0699555676745666","0.06557440970383","0.0743367256453031","3"
"Min 1x per week","1996","2892","0.240896677150778","0.233551677616779","0.248241676684776","2"
"Never","1996","6507","0.491100380883628","0.482513664471768","0.499687097295489","5"
"Rarely","1996","2700","0.198047374291028","0.191202195077774","0.204892553504281","4"
"Daily","1997","","","","","1"
"Min 1x per month","1997","763","0.0562535657820534","0.0522577604223475","0.0602493711417593","3"
"Min 1x per week","1997","2972","0.249970797262176","0.24246174098485","0.257479853539503","2"
"Never","1997","6559","0.509265740106167","0.500596180144513","0.517935300067822","5"
"Rarely","1997","2479","0.184509896849603","0.177782906334295","0.191236887364911","4"
"Daily","1998","681","0.0498047671061806","0.0462267220979164","0.0533828121144447","1"
"Min 1x per month","1998","1106","0.0759890561500352","0.0716307473170485","0.080347364983022","3"
"Min 1x per week","1998","3269","0.245978414580829","0.238894973152755","0.253061856008903","2"
"Never","1998","5941","0.417110974174348","0.409000940333825","0.425221008014871","5"
"Rarely","1998","3203","0.211116787988607","0.204404483319606","0.217829092657609","4"
"Daily","1999","","","","","1"
"Min 1x per month","1999","927","0.064000750244913","0.0598918041300143","0.0681096963598116","3"
"Min 1x per week","1999","3288","0.256174168605527","0.24884586490732","0.263502472303735","2"
"Never","1999","6634","0.489514590132252","0.481122412834131","0.497906767430372","5"
"Rarely","1999","2781","0.190310491017308","0.183720409539652","0.196900572494964","4"
"Daily","2000","","","","","1"
"Min 1x per month","2000","","","","","3"
"Min 1x per week","2000","","","","","2"
"Never","2000","","","","","5"
"Rarely","2000","","","","","4"
"Daily","2001","","","","","1"
"Min 1x per month","2001","1372","0.0621277603433293","0.0589277776053234","0.0653277430813353","3"
"Min 1x per week","2001","5889","0.271329657044487","0.265435154955779","0.277224159133195","2"
"Never","2001","10906","0.506722452901554","0.500094739899235","0.513350165903873","5"
"Rarely","2001","3692","0.159820129710629","0.154962383502316","0.164677875918942","4"
"Daily","2002","","","","","1"
"Min 1x per month","2002","","","","","3"
"Min 1x per week","2002","","","","","2"
"Never","2002","","","","","5"
"Rarely","2002","","","","","4"
"Daily","2003","1480","0.0626887809592236","0.0594970268061542","0.0658805351122929","1"
"Min 1x per month","2003","1734","0.0760813071769347","0.0725903182442833","0.0795722961095861","3"
"Min 1x per week","2003","6389","0.270158854307452","0.264312079232091","0.276005629382814","2"
"Never","2003","8274","0.403684045242748","0.397223761108772","0.410144329376724","5"
"Rarely","2003","4280","0.187387012313641","0.182248892404808","0.192525132222474","4"
"Daily","2004","","","","","1"
"Min 1x per month","2004","","","","","3"
"Min 1x per week","2004","","","","","2"
"Never","2004","","","","","5"
"Rarely","2004","","","","","4"
"Daily","2005","","","","","1"
"Min 1x per month","2005","1627","0.0797717469341196","0.0760781441780806","0.0834653496901587","3"
"Min 1x per week","2005","6780","0.305809174642231","0.299527975787629","0.312090373496833","2"
"Never","2005","8388","0.430363751298225","0.42361389536019","0.437113607236261","5"
"Rarely","2005","3875","0.184055327125424","0.178772305307215","0.189338348943633","4"
"Daily","2006","","","","","1"
"Min 1x per month","2006","","","","","3"
"Min 1x per week","2006","","","","","2"
"Never","2006","","","","","5"
"Rarely","2006","","","","","4"
"Daily","2007","","","","","1"
"Min 1x per month","2007","1505","0.0708984065423857","0.0673851455976767","0.0744116674870946","3"
"Min 1x per week","2007","7149","0.333842536993693","0.327387186116578","0.340297887870809","2"
"Never","2007","8207","0.41597695642561","0.409229964408294","0.422723948442926","5"
"Rarely","2007","3640","0.179282100038311","0.174031293875133","0.184532906201489","4"
"Daily","2008","1545","0.0771900686874334","0.0734271469716907","0.080952990403176","1"
"Min 1x per month","2008","1491","0.0782749308720301","0.074487886567893","0.0820619751761672","3"
"Min 1x per week","2008","6268","0.313594466505313","0.307053183740694","0.320135749269932","2"
"Never","2008","6370","0.339106519322739","0.332431966979675","0.345781071665803","5"
"Rarely","2008","3651","0.191834014612485","0.186282628542028","0.197385400682942","4"
"Daily","2009","","","","","1"
"Min 1x per month","2009","1336","0.0774097680911202","0.073508653828209","0.0813108823540314","3"
"Min 1x per week","2009","6548","0.356819840374986","0.349826620575041","0.363813060174931","2"
"Never","2009","6924","0.388387614394883","0.38127290471043","0.395502324079335","5"
"Rarely","2009","3219","0.177382777139011","0.171806543196638","0.182959011081384","4"
"Daily","2010","","","","","1"
"Min 1x per month","2010","","","","","3"
"Min 1x per week","2010","","","","","2"
"Never","2010","","","","","5"
"Rarely","2010","","","","","4"
"Daily","2011","","","","","1"
"Min 1x per month","2011","1815","0.0641387564133323","0.0612880413695842","0.0669894714570804","3"
"Min 1x per week","2011","10378","0.366807426444222","0.361199855522246","0.372414997366199","2"
"Never","2011","11585","0.408621146829921","0.402901343142771","0.41434095051707","5"
"Rarely","2011","4596","0.160432670312525","0.156162334976897","0.164703005648153","4"
"Daily","2012","","","","","1"
"Min 1x per month","2012","","","","","3"
"Min 1x per week","2012","","","","","2"
"Never","2012","","","","","5"
"Rarely","2012","","","","","4"
"Daily","2013","3530","0.145268195949486","0.14094318989085","0.149593202008121","1"
"Min 1x per month","2013","1255","0.0510736812163284","0.0483715816776215","0.0537757807550353","3"
"Min 1x per week","2013","8576","0.33647451830556","0.330675006864193","0.342274029746927","2"
"Never","2013","8473","0.325649666828081","0.319897855605423","0.331401478050738","5"
"Rarely","2013","3665","0.141533937700545","0.13725556734113","0.145812308059959","4"
"Daily","2014","","","","","1"
"Min 1x per month","2014","","","","","3"
"Min 1x per week","2014","","","","","2"
"Never","2014","","","","","5"
"Rarely","2014","","","","","4"
"Daily","2015","","","","","1"
"Min 1x per month","2015","1449","0.0555896191859348","0.0528494309534843","0.0583298074183852","3"
"Min 1x per week","2015","11288","0.432187552080732","0.426263187824108","0.438111916337356","2"
"Never","2015","10427","0.378183519312531","0.372384085649144","0.383982952975918","5"
"Rarely","2015","3695","0.134039309420802","0.129964865438215","0.138113753403389","4"
"Daily","2016","","","","","1"
"Min 1x per month","2016","","","","","3"
"Min 1x per week","2016","","","","","2"
"Never","2016","","","","","5"
"Rarely","2016","","","","","4"
"Daily","2017","725","0.00195089115591379","0.00146871965605759","0.00243306265576999","1"
"Min 1x per month","2017","1647","0.0509834102537502","0.0485798201672433","0.0533870003402572","3"
"Min 1x per week","2017","13019","0.453647569107984","0.448207495264002","0.459087642951967","2"
"Never","2017","12466","0.364181615854698","0.358923446002939","0.369439785706457","5"
"Rarely","2017","4315","0.129236513627653","0.125570856985981","0.132902170269326","4"
"Daily","2018","482","0.14913712056086","0.137892143721712","0.160382097400008","1"
"Min 1x per month","2018","216","0.0674288361578568","0.0595129466624246","0.075344725653289","3"
"Min 1x per week","2018","720","0.228986454163899","0.215722537029397","0.242250371298401","2"
"Never","2018","1819","0.38969492964526","0.37430021063411","0.405089648656411","5"
"Rarely","2018","618","0.164752659472124","0.153042584718915","0.176462734225333","4"
"Daily","2019","5342","0.18271958584028","0.17830022535715","0.187138946323409","1"
"Min 1x per month","2019","1365","0.0470178951232359","0.0445971152746737","0.0494386749717981","3"
"Min 1x per week","2019","10236","0.356989641494274","0.35151042925647","0.362468853732078","2"
"Never","2019","8603","0.281943782509998","0.276798113873494","0.287089451146502","5"
"Rarely","2019","3826","0.131329095032212","0.127466408682308","0.135191781382117","4"
