"plb0037_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Limited","1986","no migration background","middle vocational","55","0.174458387551374","0.134699934285906","0.214216840816842"
"Limited","1986","no migration background","vocational + Abi","2","","",""
"Limited","1986","no migration background","higher vocational","2","","",""
"Limited","1986","no migration background","higher education","24","","",""
"Limited","1986","direct migration background","in school","","","",""
"Limited","1986","direct migration background","inadequately","5","","",""
"Limited","1986","direct migration background","general elemantary","24","","",""
"Limited","1986","direct migration background","middle vocational","12","","",""
"Limited","1986","direct migration background","vocational + Abi","1","","",""
"Limited","1986","direct migration background","higher vocational","1","","",""
"Limited","1986","direct migration background","higher education","1","","",""
"Limited","1986","indirect migration background","in school","","","",""
"Limited","1986","indirect migration background","inadequately","","","",""
"Limited","1986","indirect migration background","general elemantary","4","","",""
"Limited","1986","indirect migration background","middle vocational","3","","",""
"Limited","1986","indirect migration background","vocational + Abi","","","",""
"Limited","1986","indirect migration background","higher vocational","","","",""
"Limited","1986","indirect migration background","higher education","","","",""
"Permanent","1987","no migration background","in school","1","","",""
"Permanent","1987","no migration background","inadequately","6","","",""
"Permanent","1987","no migration background","general elemantary","90","0.555179013062638","0.481968978351153","0.628389047774122"
"Permanent","1987","no migration background","middle vocational","368","0.795923169244513","0.759133146823304","0.832713191665722"
"Permanent","1987","no migration background","vocational + Abi","21","","",""
"Permanent","1987","no migration background","higher vocational","44","0.793749802813869","0.687777327451814","0.899722278175925"
"Permanent","1987","no migration background","higher education","67","0.724928849250332","0.635601861672593","0.81425583682807"
"Permanent","1987","direct migration background","in school","","","",""
"Permanent","1987","direct migration background","inadequately","28","","",""
"Permanent","1987","direct migration background","general elemantary","59","0.512311490620747","0.413849456482423","0.61077352475907"
"Permanent","1987","direct migration background","middle vocational","75","0.772656245667018","0.690510937238432","0.854801554095604"
"Permanent","1987","direct migration background","vocational + Abi","7","","",""
"Permanent","1987","direct migration background","higher vocational","9","","",""
"Permanent","1987","direct migration background","higher education","6","","",""
"Permanent","1987","indirect migration background","in school","","","",""
"Permanent","1987","indirect migration background","inadequately","","","",""
"Permanent","1987","indirect migration background","general elemantary","6","","",""
"Permanent","1987","indirect migration background","middle vocational","9","","",""
"Permanent","1987","indirect migration background","vocational + Abi","1","","",""
"Permanent","1987","indirect migration background","higher vocational","","","",""
"Permanent","1987","indirect migration background","higher education","","","",""
"Limited","1987","no migration background","in school","1","","",""
"Limited","1987","no migration background","inadequately","2","","",""
"Limited","1987","no migration background","general elemantary","87","0.444820986937362","0.371610952225878","0.518031021648847"
"Limited","1987","no migration background","middle vocational","93","0.204076830755487","0.167286808334278","0.240866853176696"
"Limited","1987","no migration background","vocational + Abi","8","","",""
"Limited","1987","no migration background","higher vocational","12","","",""
"Limited","1987","no migration background","higher education","29","","",""
"Limited","1987","direct migration background","in school","1","","",""
"Limited","1987","direct migration background","inadequately","10","","",""
"Limited","1987","direct migration background","general elemantary","40","0.487688509379253","0.38922647524093","0.586150543517577"
"Limited","1987","direct migration background","middle vocational","25","","",""
"Limited","1987","direct migration background","vocational + Abi","5","","",""
"Limited","1987","direct migration background","higher vocational","","","",""
"Limited","1987","direct migration background","higher education","3","","",""
"Limited","1987","indirect migration background","in school","","","",""
"Limited","1987","indirect migration background","inadequately","","","",""
"Limited","1987","indirect migration background","general elemantary","3","","",""
"Limited","1987","indirect migration background","middle vocational","5","","",""
"Limited","1987","indirect migration background","vocational + Abi","","","",""
"Limited","1987","indirect migration background","higher vocational","1","","",""
"Limited","1987","indirect migration background","higher education","","","",""
"Permanent","1988","no migration background","in school","4","","",""
"Permanent","1988","no migration background","inadequately","16","","",""
"Permanent","1988","no migration background","general elemantary","467","0.736001387697253","0.702423046720984","0.769579728673523"
"Permanent","1988","no migration background","middle vocational","1928","0.929458702005977","0.918465201368332","0.940452202643622"
"Permanent","1988","no migration background","vocational + Abi","83","0.856220857404595","0.786034400267612","0.926407314541578"
"Permanent","1988","no migration background","higher vocational","254","0.952655751944345","0.927085985411493","0.978225518477196"
"Permanent","1988","no migration background","higher education","374","0.893902276652541","0.864379445394774","0.923425107910308"
"Permanent","1988","direct migration background","in school","","","",""
"Permanent","1988","direct migration background","inadequately","296","0.936923975629779","0.910035412228283","0.963812539031276"
"Permanent","1988","direct migration background","general elemantary","468","0.850671103058772","0.820830294915594","0.880511911201951"
"Permanent","1988","direct migration background","middle vocational","526","0.928145627094286","0.906832694951424","0.949458559237149"
"Permanent","1988","direct migration background","vocational + Abi","54","0.875808311270286","0.795008768826284","0.956607853714288"
"Permanent","1988","direct migration background","higher vocational","29","","",""
"Permanent","1988","direct migration background","higher education","49","0.915999550716741","0.842015237633428","0.989983863800054"
"Permanent","1988","indirect migration background","in school","1","","",""
"Permanent","1988","indirect migration background","inadequately","3","","",""
"Permanent","1988","indirect migration background","general elemantary","21","","",""
"Permanent","1988","indirect migration background","middle vocational","36","0.732652573597582","0.614610112745344","0.85069503444982"
"Permanent","1988","indirect migration background","vocational + Abi","2","","",""
"Permanent","1988","indirect migration background","higher vocational","3","","",""
"Permanent","1988","indirect migration background","higher education","1","","",""
"Limited","1988","no migration background","in school","1","","",""
"Limited","1988","no migration background","inadequately","10","","",""
"Limited","1988","no migration background","general elemantary","195","0.263998612302747","0.230420271326477","0.297576953279016"
"Limited","1988","no migration background","middle vocational","156","0.0705412979940233","0.0595477973563783","0.0815347986316683"
"Limited","1988","no migration background","vocational + Abi","13","","",""
"Limited","1988","no migration background","higher vocational","11","","",""
"Limited","1988","no migration background","higher education","44","0.106097723347459","0.0765748920896915","0.135620554605226"
"Limited","1988","direct migration background","in school","","","",""
"Limited","1988","direct migration background","inadequately","18","","",""
"Limited","1988","direct migration background","general elemantary","80","0.149328896941228","0.119488088798049","0.179169705084406"
"Limited","1988","direct migration background","middle vocational","38","0.0718543729057136","0.0505414407628513","0.0931673050485759"
"Limited","1988","direct migration background","vocational + Abi","10","","",""
"Limited","1988","direct migration background","higher vocational","4","","",""
"Limited","1988","direct migration background","higher education","5","","",""
"Limited","1988","indirect migration background","in school","","","",""
"Limited","1988","indirect migration background","inadequately","2","","",""
"Limited","1988","indirect migration background","general elemantary","17","","",""
"Limited","1988","indirect migration background","middle vocational","18","","",""
"Limited","1988","indirect migration background","vocational + Abi","","","",""
"Limited","1988","indirect migration background","higher vocational","1","","",""
"Limited","1988","indirect migration background","higher education","","","",""
"Permanent","1989","no migration background","in school","2","","",""
"Permanent","1989","no migration background","inadequately","9","","",""
"Permanent","1989","no migration background","general elemantary","66","0.537095807723993","0.450032681669259","0.624158933778727"
"Permanent","1989","no migration background","middle vocational","252","0.787559702114824","0.743021182287507","0.83209822194214"
"Permanent","1989","no migration background","vocational + Abi","29","","",""
"Permanent","1989","no migration background","higher vocational","44","0.89292962347618","0.80722458200425","0.978634664948109"
"Permanent","1989","no migration background","higher education","59","0.814481774573902","0.727658391429686","0.901305157718118"
"Permanent","1989","direct migration background","in school","1","","",""
"Permanent","1989","direct migration background","inadequately","21","","",""
"Permanent","1989","direct migration background","general elemantary","62","0.777456090717667","0.692918005232358","0.861994176202975"
"Permanent","1989","direct migration background","middle vocational","52","0.669605034868609","0.563858204110106","0.775351865627113"
"Permanent","1989","direct migration background","vocational + Abi","7","","",""
"Permanent","1989","direct migration background","higher vocational","3","","",""
"Permanent","1989","direct migration background","higher education","6","","",""
"Permanent","1989","indirect migration background","in school","3","","",""
"Permanent","1989","indirect migration background","inadequately","2","","",""
"Permanent","1989","indirect migration background","general elemantary","6","","",""
"Permanent","1989","indirect migration background","middle vocational","8","","",""
"Permanent","1989","indirect migration background","vocational + Abi","1","","",""
"Permanent","1989","indirect migration background","higher vocational","1","","",""
"Permanent","1989","indirect migration background","higher education","1","","",""
"Limited","1989","no migration background","in school","","","",""
"Limited","1989","no migration background","inadequately","1","","",""
"Limited","1989","no migration background","general elemantary","60","0.462904192276007","0.375841066221273","0.549967318330741"
"Limited","1989","no migration background","middle vocational","72","0.212440297885176","0.167901778057859","0.256978817712493"
"Limited","1989","no migration background","vocational + Abi","4","","",""
"Limited","1989","no migration background","higher vocational","6","","",""
"Limited","1989","no migration background","higher education","18","","",""
"Limited","1989","direct migration background","in school","","","",""
"Limited","1989","direct migration background","inadequately","6","","",""
"Limited","1989","direct migration background","general elemantary","31","0.222543909282333","0.138005823797025","0.307081994767642"
"Limited","1989","direct migration background","middle vocational","24","","",""
"Limited","1989","direct migration background","vocational + Abi","5","","",""
"Limited","1989","direct migration background","higher vocational","1","","",""
"Limited","1989","direct migration background","higher education","4","","",""
"Limited","1989","indirect migration background","in school","","","",""
"Limited","1989","indirect migration background","inadequately","","","",""
"Limited","1989","indirect migration background","general elemantary","8","","",""
"Limited","1989","indirect migration background","middle vocational","5","","",""
"Limited","1989","indirect migration background","vocational + Abi","","","",""
"Limited","1989","indirect migration background","higher vocational","","","",""
"Limited","1989","indirect migration background","higher education","","","",""
"Permanent","1990","no migration background","in school","1","","",""
"Permanent","1990","no migration background","inadequately","6","","",""
"Permanent","1990","no migration background","general elemantary","69","0.603964396416331","0.516459923683166","0.691468869149497"
"Permanent","1990","no migration background","middle vocational","303","0.828876558616159","0.790292560307284","0.867460556925035"
"Permanent","1990","no migration background","vocational + Abi","28","","",""
"Permanent","1990","no migration background","higher vocational","34","0.873065885333499","0.76858701312623","0.977544757540769"
"Permanent","1990","no migration background","higher education","56","0.776086956887379","0.67912222406507","0.873051689709687"
"Permanent","1990","direct migration background","in school","","","",""
"Permanent","1990","direct migration background","inadequately","24","","",""
"Permanent","1990","direct migration background","general elemantary","67","0.636072704681053","0.539323593705363","0.732821815656743"
"Permanent","1990","direct migration background","middle vocational","61","0.852209543247973","0.77294132056985","0.931477765926097"
"Permanent","1990","direct migration background","vocational + Abi","10","","",""
"Permanent","1990","direct migration background","higher vocational","1","","",""
"Permanent","1990","direct migration background","higher education","5","","",""
"Permanent","1990","indirect migration background","in school","","","",""
"Permanent","1990","indirect migration background","inadequately","1","","",""
"Permanent","1990","indirect migration background","general elemantary","11","","",""
"Permanent","1990","indirect migration background","middle vocational","13","","",""
"Permanent","1990","indirect migration background","vocational + Abi","","","",""
"Permanent","1990","indirect migration background","higher vocational","","","",""
"Permanent","1990","indirect migration background","higher education","1","","",""
"Limited","1990","no migration background","in school","","","",""
"Limited","1990","no migration background","inadequately","","","",""
"Limited","1990","no migration background","general elemantary","51","0.396035603583668","0.308531130850503","0.483540076316834"
"Limited","1990","no migration background","middle vocational","63","0.171123441383841","0.132539443074965","0.209707439692717"
"Limited","1990","no migration background","vocational + Abi","5","","",""
"Limited","1990","no migration background","higher vocational","5","","",""
"Limited","1990","no migration background","higher education","15","","",""
"Limited","1990","direct migration background","in school","","","",""
"Limited","1990","direct migration background","inadequately","8","","",""
"Limited","1990","direct migration background","general elemantary","28","","",""
"Limited","1990","direct migration background","middle vocational","16","","",""
"Limited","1990","direct migration background","vocational + Abi","1","","",""
"Limited","1990","direct migration background","higher vocational","","","",""
"Limited","1990","direct migration background","higher education","6","","",""
"Limited","1990","indirect migration background","in school","","","",""
"Limited","1990","indirect migration background","inadequately","","","",""
"Limited","1990","indirect migration background","general elemantary","13","","",""
"Limited","1990","indirect migration background","middle vocational","5","","",""
"Limited","1990","indirect migration background","vocational + Abi","2","","",""
"Limited","1990","indirect migration background","higher vocational","","","",""
"Limited","1990","indirect migration background","higher education","","","",""
"Permanent","1991","no migration background","in school","1","","",""
"Permanent","1991","no migration background","inadequately","6","","",""
"Permanent","1991","no migration background","general elemantary","90","0.629631160899723","0.5510308223307","0.708231499468746"
"Permanent","1991","no migration background","middle vocational","565","0.800607021294413","0.771300544360783","0.829913498228043"
"Permanent","1991","no migration background","vocational + Abi","43","0.815201766860614","0.711679761910473","0.918723771810754"
"Permanent","1991","no migration background","higher vocational","74","0.9040393444248","0.841789376157456","0.966289312692145"
"Permanent","1991","no migration background","higher education","238","0.746712336938606","0.698300570882488","0.795124102994724"
"Permanent","1991","direct migration background","in school","","","",""
"Permanent","1991","direct migration background","inadequately","32","0.752908808511493","0.620883867076391","0.884933749946594"
"Permanent","1991","direct migration background","general elemantary","68","0.795317207615182","0.711019141600379","0.879615273629984"
"Permanent","1991","direct migration background","middle vocational","84","0.92583924613851","0.873422828549409","0.978255663727611"
"Permanent","1991","direct migration background","vocational + Abi","9","","",""
"Permanent","1991","direct migration background","higher vocational","5","","",""
"Permanent","1991","direct migration background","higher education","11","","",""
"Permanent","1991","indirect migration background","in school","","","",""
"Permanent","1991","indirect migration background","inadequately","2","","",""
"Permanent","1991","indirect migration background","general elemantary","10","","",""
"Permanent","1991","indirect migration background","middle vocational","19","","",""
"Permanent","1991","indirect migration background","vocational + Abi","3","","",""
"Permanent","1991","indirect migration background","higher vocational","","","",""
"Permanent","1991","indirect migration background","higher education","","","",""
"Limited","1991","no migration background","in school","2","","",""
"Limited","1991","no migration background","inadequately","1","","",""
"Limited","1991","no migration background","general elemantary","55","0.370368839100277","0.291768500531254","0.448969177669299"
"Limited","1991","no migration background","middle vocational","149","0.199392978705587","0.170086501771957","0.228699455639217"
"Limited","1991","no migration background","vocational + Abi","11","","",""
"Limited","1991","no migration background","higher vocational","12","","",""
"Limited","1991","no migration background","higher education","72","0.253287663061394","0.204875897005276","0.301699429117512"
"Limited","1991","direct migration background","in school","","","",""
"Limited","1991","direct migration background","inadequately","9","","",""
"Limited","1991","direct migration background","general elemantary","20","","",""
"Limited","1991","direct migration background","middle vocational","12","","",""
"Limited","1991","direct migration background","vocational + Abi","5","","",""
"Limited","1991","direct migration background","higher vocational","","","",""
"Limited","1991","direct migration background","higher education","8","","",""
"Limited","1991","indirect migration background","in school","","","",""
"Limited","1991","indirect migration background","inadequately","1","","",""
"Limited","1991","indirect migration background","general elemantary","15","","",""
"Limited","1991","indirect migration background","middle vocational","2","","",""
"Limited","1991","indirect migration background","vocational + Abi","1","","",""
"Limited","1991","indirect migration background","higher vocational","","","",""
"Limited","1991","indirect migration background","higher education","","","",""
"Permanent","1992","no migration background","in school","3","","",""
"Permanent","1992","no migration background","inadequately","3","","",""
"Permanent","1992","no migration background","general elemantary","89","0.711032763015287","0.633997178965614","0.788068347064959"
"Permanent","1992","no migration background","middle vocational","567","0.758831730041301","0.728092396425973","0.789571063656629"
"Permanent","1992","no migration background","vocational + Abi","32","0.79288104352967","0.66883865946556","0.916923427593781"
"Permanent","1992","no migration background","higher vocational","71","0.854852088050306","0.780833746614601","0.928870429486011"
"Permanent","1992","no migration background","higher education","229","0.764653786533794","0.716408388282567","0.812899184785021"
"Permanent","1992","direct migration background","in school","","","",""
"Permanent","1992","direct migration background","inadequately","23","","",""
"Permanent","1992","direct migration background","general elemantary","59","0.764983926912528","0.672645915072721","0.857321938752336"
"Permanent","1992","direct migration background","middle vocational","60","0.856080183259446","0.775002867223285","0.937157499295606"
"Permanent","1992","direct migration background","vocational + Abi","5","","",""
"Permanent","1992","direct migration background","higher vocational","3","","",""
"Permanent","1992","direct migration background","higher education","14","","",""
"Permanent","1992","indirect migration background","in school","1","","",""
"Permanent","1992","indirect migration background","inadequately","2","","",""
"Permanent","1992","indirect migration background","general elemantary","15","","",""
"Permanent","1992","indirect migration background","middle vocational","18","","",""
"Permanent","1992","indirect migration background","vocational + Abi","","","",""
"Permanent","1992","indirect migration background","higher vocational","1","","",""
"Permanent","1992","indirect migration background","higher education","","","",""
"Limited","1992","no migration background","in school","","","",""
"Limited","1992","no migration background","inadequately","2","","",""
"Limited","1992","no migration background","general elemantary","44","0.288967236984713","0.21193165293504","0.366002821034386"
"Limited","1992","no migration background","middle vocational","177","0.241168269958699","0.210428936343371","0.271907603574027"
"Limited","1992","no migration background","vocational + Abi","9","","",""
"Limited","1992","no migration background","higher vocational","16","","",""
"Limited","1992","no migration background","higher education","68","0.235346213466206","0.187100815214979","0.283591611717433"
"Limited","1992","direct migration background","in school","","","",""
"Limited","1992","direct migration background","inadequately","2","","",""
"Limited","1992","direct migration background","general elemantary","22","","",""
"Limited","1992","direct migration background","middle vocational","12","","",""
"Limited","1992","direct migration background","vocational + Abi","1","","",""
"Limited","1992","direct migration background","higher vocational","","","",""
"Limited","1992","direct migration background","higher education","6","","",""
"Limited","1992","indirect migration background","in school","","","",""
"Limited","1992","indirect migration background","inadequately","","","",""
"Limited","1992","indirect migration background","general elemantary","15","","",""
"Limited","1992","indirect migration background","middle vocational","8","","",""
"Limited","1992","indirect migration background","vocational + Abi","3","","",""
"Limited","1992","indirect migration background","higher vocational","","","",""
"Limited","1992","indirect migration background","higher education","","","",""
"Permanent","1993","no migration background","in school","1","","",""
"Permanent","1993","no migration background","inadequately","3","","",""
"Permanent","1993","no migration background","general elemantary","81","0.64050448950335","0.555703023540755","0.725305955465944"
"Permanent","1993","no migration background","middle vocational","494","0.781846227774621","0.74962252467057","0.814069930878671"
"Permanent","1993","no migration background","vocational + Abi","36","0.843914890999769","0.734152513139008","0.953677268860529"
"Permanent","1993","no migration background","higher vocational","65","0.922092029269434","0.860607657324519","0.983576401214349"
"Permanent","1993","no migration background","higher education","193","0.776226723353019","0.724251301839449","0.828202144866588"
"Permanent","1993","direct migration background","in school","","","",""
"Permanent","1993","direct migration background","inadequately","10","","",""
"Permanent","1993","direct migration background","general elemantary","46","0.837516657342548","0.74338770296517","0.931645611719926"
"Permanent","1993","direct migration background","middle vocational","41","0.821429408691411","0.717332816743412","0.925526000639409"
"Permanent","1993","direct migration background","vocational + Abi","9","","",""
"Permanent","1993","direct migration background","higher vocational","2","","",""
"Permanent","1993","direct migration background","higher education","10","","",""
"Permanent","1993","indirect migration background","in school","","","",""
"Permanent","1993","indirect migration background","inadequately","3","","",""
"Permanent","1993","indirect migration background","general elemantary","16","","",""
"Permanent","1993","indirect migration background","middle vocational","22","","",""
"Permanent","1993","indirect migration background","vocational + Abi","2","","",""
"Permanent","1993","indirect migration background","higher vocational","1","","",""
"Permanent","1993","indirect migration background","higher education","1","","",""
"Limited","1993","no migration background","in school","","","",""
"Limited","1993","no migration background","inadequately","4","","",""
"Limited","1993","no migration background","general elemantary","42","0.35949551049665","0.274694044534056","0.444296976459245"
"Limited","1993","no migration background","middle vocational","137","0.218153772225379","0.185930069121329","0.25037747532943"
"Limited","1993","no migration background","vocational + Abi","6","","",""
"Limited","1993","no migration background","higher vocational","8","","",""
"Limited","1993","no migration background","higher education","54","0.223773276646981","0.171797855133412","0.275748698160551"
"Limited","1993","direct migration background","in school","","","",""
"Limited","1993","direct migration background","inadequately","3","","",""
"Limited","1993","direct migration background","general elemantary","13","","",""
"Limited","1993","direct migration background","middle vocational","11","","",""
"Limited","1993","direct migration background","vocational + Abi","2","","",""
"Limited","1993","direct migration background","higher vocational","2","","",""
"Limited","1993","direct migration background","higher education","6","","",""
"Limited","1993","indirect migration background","in school","","","",""
"Limited","1993","indirect migration background","inadequately","1","","",""
"Limited","1993","indirect migration background","general elemantary","13","","",""
"Limited","1993","indirect migration background","middle vocational","6","","",""
"Limited","1993","indirect migration background","vocational + Abi","","","",""
"Limited","1993","indirect migration background","higher vocational","","","",""
"Limited","1993","indirect migration background","higher education","","","",""
"Permanent","1994","no migration background","in school","2","","",""
"Permanent","1994","no migration background","inadequately","3","","",""
"Permanent","1994","no migration background","general elemantary","63","0.447895930319344","0.362083091709743","0.533708768928944"
"Permanent","1994","no migration background","middle vocational","401","0.74061459526042","0.704182881919842","0.777046308600997"
"Permanent","1994","no migration background","vocational + Abi","30","0.566990684440095","0.420584866790721","0.71339650208947"
"Permanent","1994","no migration background","higher vocational","58","0.863236491821629","0.782745165655965","0.943727817987293"
"Permanent","1994","no migration background","higher education","119","0.714873698192509","0.648735116805137","0.781012279579881"
"Permanent","1994","direct migration background","in school","","","",""
"Permanent","1994","direct migration background","inadequately","12","","",""
"Permanent","1994","direct migration background","general elemantary","20","","",""
"Permanent","1994","direct migration background","middle vocational","34","0.676313699325564","0.549144285026421","0.803483113624707"
"Permanent","1994","direct migration background","vocational + Abi","6","","",""
"Permanent","1994","direct migration background","higher vocational","3","","",""
"Permanent","1994","direct migration background","higher education","4","","",""
"Permanent","1994","indirect migration background","in school","1","","",""
"Permanent","1994","indirect migration background","inadequately","2","","",""
"Permanent","1994","indirect migration background","general elemantary","12","","",""
"Permanent","1994","indirect migration background","middle vocational","30","0.787334742886157","0.657232652815941","0.917436832956374"
"Permanent","1994","indirect migration background","vocational + Abi","6","","",""
"Permanent","1994","indirect migration background","higher vocational","2","","",""
"Permanent","1994","indirect migration background","higher education","3","","",""
"Limited","1994","no migration background","in school","3","","",""
"Limited","1994","no migration background","inadequately","3","","",""
"Limited","1994","no migration background","general elemantary","66","0.552104069680656","0.466291231071056","0.637916908290257"
"Limited","1994","no migration background","middle vocational","155","0.25938540473958","0.222953691399003","0.295817118080157"
"Limited","1994","no migration background","vocational + Abi","14","","",""
"Limited","1994","no migration background","higher vocational","12","","",""
"Limited","1994","no migration background","higher education","60","0.285126301807491","0.218987720420119","0.351264883194863"
"Limited","1994","direct migration background","in school","","","",""
"Limited","1994","direct migration background","inadequately","7","","",""
"Limited","1994","direct migration background","general elemantary","8","","",""
"Limited","1994","direct migration background","middle vocational","18","","",""
"Limited","1994","direct migration background","vocational + Abi","3","","",""
"Limited","1994","direct migration background","higher vocational","1","","",""
"Limited","1994","direct migration background","higher education","4","","",""
"Limited","1994","indirect migration background","in school","","","",""
"Limited","1994","indirect migration background","inadequately","","","",""
"Limited","1994","indirect migration background","general elemantary","29","","",""
"Limited","1994","indirect migration background","middle vocational","8","","",""
"Limited","1994","indirect migration background","vocational + Abi","1","","",""
"Limited","1994","indirect migration background","higher vocational","1","","",""
"Limited","1994","indirect migration background","higher education","1","","",""
"Permanent","1995","no migration background","in school","3","","",""
"Permanent","1995","no migration background","inadequately","25","","",""
"Permanent","1995","no migration background","general elemantary","395","0.727976674236582","0.691885295546227","0.764068052926937"
"Permanent","1995","no migration background","middle vocational","2814","0.905011080014135","0.894737809299831","0.915284350728439"
"Permanent","1995","no migration background","vocational + Abi","157","0.842595876348973","0.789245278182765","0.895946474515182"
"Permanent","1995","no migration background","higher vocational","389","0.972345687026033","0.956355660236818","0.988335713815247"
"Permanent","1995","no migration background","higher education","947","0.881428693122705","0.862040119505708","0.900817266739701"
"Permanent","1995","direct migration background","in school","1","","",""
"Permanent","1995","direct migration background","inadequately","177","0.911283104049675","0.871064471080208","0.951501737019142"
"Permanent","1995","direct migration background","general elemantary","357","0.873678019678462","0.841202939497006","0.906153099859918"
"Permanent","1995","direct migration background","middle vocational","518","0.893407217352047","0.868073478384855","0.91874095631924"
"Permanent","1995","direct migration background","vocational + Abi","84","0.871378993749588","0.802595079012977","0.940162908486198"
"Permanent","1995","direct migration background","higher vocational","34","1","1","1"
"Permanent","1995","direct migration background","higher education","99","0.843963477685093","0.777925456065469","0.910001499304716"
"Permanent","1995","indirect migration background","in school","1","","",""
"Permanent","1995","indirect migration background","inadequately","3","","",""
"Permanent","1995","indirect migration background","general elemantary","52","0.440285561259869","0.344878196966578","0.53569292555316"
"Permanent","1995","indirect migration background","middle vocational","95","0.813208629621924","0.743764618283167","0.882652640960682"
"Permanent","1995","indirect migration background","vocational + Abi","9","","",""
"Permanent","1995","indirect migration background","higher vocational","9","","",""
"Permanent","1995","indirect migration background","higher education","7","","",""
"Limited","1995","no migration background","in school","4","","",""
"Limited","1995","no migration background","inadequately","6","","",""
