"pld0045","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Sometimes","2008","Not Employed","Male","251","0.0792511001350801","0.0696549060936853","0.0888472941764749","3"
"Sometimes","2008","Not Employed","Female","344","0.0778305736414184","0.069898396946713","0.0857627503361239","3"
"Very often","2008","Employed","Female","384","0.0643958937613958","0.0580371192360207","0.070754668286771","1"
"Very often","2008","Employed","Male","341","0.0576245526371245","0.0518014332761278","0.0634476719981212","1"
"Very often","2008","Not Employed","Male","103","0.0319789653610521","0.0257286724778337","0.0382292582442705","1"
"Very often","2008","Not Employed","Female","187","0.0414457116669392","0.0355442435888641","0.0473471797450142","1"
"Never","2009","Employed","Female","","","","","5"
"Never","2009","Employed","Male","","","","","5"
"Never","2009","Not Employed","Male","","","","","5"
"Never","2009","Not Employed","Female","","","","","5"
"Often","2009","Employed","Female","","","","","2"
"Often","2009","Employed","Male","","","","","2"
"Often","2009","Not Employed","Female","","","","","2"
"Often","2009","Not Employed","Male","","","","","2"
"Rarely","2009","Employed","Female","","","","","4"
"Rarely","2009","Employed","Male","","","","","4"
"Rarely","2009","Not Employed","Female","","","","","4"
"Rarely","2009","Not Employed","Male","","","","","4"
"Sometimes","2009","Employed","Male","","","","","3"
"Sometimes","2009","Employed","Female","","","","","3"
"Sometimes","2009","Not Employed","Female","","","","","3"
"Sometimes","2009","Not Employed","Male","","","","","3"
"Very often","2009","Employed","Female","","","","","1"
"Very often","2009","Employed","Male","","","","","1"
"Very often","2009","Not Employed","Female","","","","","1"
"Very often","2009","Not Employed","Male","","","","","1"
"Never","2010","Employed","Female","","","","","5"
"Never","2010","Employed","Male","","","","","5"
"Never","2010","Not Employed","Male","","","","","5"
"Never","2010","Not Employed","Female","","","","","5"
"Often","2010","Employed","Female","","","","","2"
"Often","2010","Employed","Male","","","","","2"
"Often","2010","Not Employed","Female","","","","","2"
"Often","2010","Not Employed","Male","","","","","2"
"Rarely","2010","Employed","Female","","","","","4"
"Rarely","2010","Employed","Male","","","","","4"
"Rarely","2010","Not Employed","Female","","","","","4"
"Rarely","2010","Not Employed","Male","","","","","4"
"Sometimes","2010","Employed","Female","","","","","3"
"Sometimes","2010","Not Employed","Female","","","","","3"
"Sometimes","2010","Employed","Male","","","","","3"
"Sometimes","2010","Not Employed","Male","","","","","3"
"Very often","2010","Employed","Female","","","","","1"
"Very often","2010","Employed","Male","","","","","1"
"Very often","2010","Not Employed","Female","","","","","1"
"Very often","2010","Not Employed","Male","","","","","1"
"Never","2011","Employed","Female","","","","","5"
"Never","2011","Employed","Male","","","","","5"
"Never","2011","Not Employed","Female","","","","","5"
"Never","2011","Not Employed","Male","","","","","5"
"Often","2011","Employed","Female","","","","","2"
"Often","2011","Employed","Male","","","","","2"
"Often","2011","Not Employed","Female","","","","","2"
"Often","2011","Not Employed","Male","","","","","2"
"Rarely","2011","Employed","Female","","","","","4"
"Rarely","2011","Employed","Male","","","","","4"
"Rarely","2011","Not Employed","Female","","","","","4"
"Rarely","2011","Not Employed","Male","","","","","4"
"Sometimes","2011","Employed","Female","","","","","3"
"Sometimes","2011","Not Employed","Female","","","","","3"
"Sometimes","2011","Employed","Male","","","","","3"
"Sometimes","2011","Not Employed","Male","","","","","3"
"Very often","2011","Employed","Male","","","","","1"
"Very often","2011","Employed","Female","","","","","1"
"Very often","2011","Not Employed","Female","","","","","1"
"Very often","2011","Not Employed","Male","","","","","1"
"Never","2012","Employed","Female","","","","","5"
"Never","2012","Employed","Male","","","","","5"
"Never","2012","Not Employed","Female","","","","","5"
"Never","2012","Not Employed","Male","","","","","5"
"Often","2012","Employed","Female","","","","","2"
"Often","2012","Employed","Male","","","","","2"
"Often","2012","Not Employed","Female","","","","","2"
"Often","2012","Not Employed","Male","","","","","2"
"Rarely","2012","Employed","Female","","","","","4"
"Rarely","2012","Employed","Male","","","","","4"
"Rarely","2012","Not Employed","Female","","","","","4"
"Rarely","2012","Not Employed","Male","","","","","4"
"Sometimes","2012","Employed","Female","","","","","3"
"Sometimes","2012","Employed","Male","","","","","3"
"Sometimes","2012","Not Employed","Male","","","","","3"
"Sometimes","2012","Not Employed","Female","","","","","3"
"Very often","2012","Employed","Male","","","","","1"
"Very often","2012","Employed","Female","","","","","1"
"Very often","2012","Not Employed","Female","","","","","1"
"Very often","2012","Not Employed","Male","","","","","1"
"Never","2013","Employed","Male","3877","0.518670290168363","0.507734378219405","0.529606202117321","5"
"Never","2013","Employed","Female","4249","0.52117183010287","0.510663262415945","0.531680397789795","5"
"Never","2013","Not Employed","Female","3180","0.638588602295384","0.6256181748947","0.651559029696067","5"
"Never","2013","Not Employed","Male","2173","0.624646286402985","0.608604545096213","0.640688027709757","5"
"Often","2013","Employed","Male","969","0.105069904494156","0.0983583718078934","0.111781437180418","2"
"Often","2013","Employed","Female","1148","0.11548694733912","0.108763658228996","0.122210236449243","2"
"Often","2013","Not Employed","Female","461","0.0745254167721291","0.0674349106206843","0.0816159229235738","2"
"Often","2013","Not Employed","Male","270","0.0754040119300541","0.0666564445200399","0.0841515793400683","2"
"Rarely","2013","Employed","Male","1659","0.207267803944986","0.198395893367859","0.216139714522113","4"
"Rarely","2013","Not Employed","Female","815","0.148863106287527","0.139252826536935","0.158473386038119","4"
"Rarely","2013","Employed","Female","1502","0.184547020676723","0.176386531483722","0.192707509869723","4"
"Rarely","2013","Not Employed","Male","600","0.16809566148368","0.155706867936336","0.180484455031024","4"
"Sometimes","2013","Employed","Male","988","0.111887402435153","0.104987982245791","0.118786822624514","3"
"Sometimes","2013","Employed","Female","1055","0.11119956051107","0.104586280999209","0.11781284002293","3"
"Sometimes","2013","Not Employed","Male","324","0.0959075923313307","0.0861521498145014","0.10566303484816","3"
"Sometimes","2013","Not Employed","Female","494","0.088031815423651","0.0803819735833091","0.0956816572639929","3"
"Very often","2013","Not Employed","Female","320","0.0499910592213093","0.0441073283539469","0.0558747900886717","1"
"Very often","2013","Employed","Male","526","0.057104598957343","0.0520258670762353","0.0621833308384506","1"
"Very often","2013","Employed","Female","727","0.0675946413702181","0.0623135737614904","0.0728757089789458","1"
"Very often","2013","Not Employed","Male","133","0.0359464478519504","0.0297791824415537","0.042113713262347","1"
"Never","2014","Employed","Male","","","","","5"
"Never","2014","Employed","Female","","","","","5"
"Never","2014","Not Employed","Female","","","","","5"
"Never","2014","Not Employed","Male","","","","","5"
"Often","2014","Employed","Male","","","","","2"
"Often","2014","Employed","Female","","","","","2"
"Often","2014","Not Employed","Female","","","","","2"
"Often","2014","Not Employed","Male","","","","","2"
"Rarely","2014","Employed","Male","","","","","4"
"Rarely","2014","Not Employed","Female","","","","","4"
"Rarely","2014","Employed","Female","","","","","4"
"Rarely","2014","Not Employed","Male","","","","","4"
"Sometimes","2014","Employed","Male","","","","","3"
"Sometimes","2014","Employed","Female","","","","","3"
"Sometimes","2014","Not Employed","Female","","","","","3"
"Sometimes","2014","Not Employed","Male","","","","","3"
"Very often","2014","Not Employed","Female","","","","","1"
"Very often","2014","Employed","Male","","","","","1"
"Very often","2014","Employed","Female","","","","","1"
"Very often","2014","Not Employed","Male","","","","","1"
"Never","2015","Not Employed","Female","","","","","5"
"Never","2015","Employed","Male","","","","","5"
"Never","2015","Employed","Female","","","","","5"
"Never","2015","Not Employed","Male","","","","","5"
"Often","2015","Not Employed","Female","","","","","2"
"Often","2015","Employed","Male","","","","","2"
"Often","2015","Employed","Female","","","","","2"
"Often","2015","Not Employed","Male","","","","","2"
"Rarely","2015","Not Employed","Female","","","","","4"
"Rarely","2015","Not Employed","Male","","","","","4"
"Rarely","2015","Employed","Male","","","","","4"
"Rarely","2015","Employed","Female","","","","","4"
"Sometimes","2015","Not Employed","Female","","","","","3"
"Sometimes","2015","Employed","Male","","","","","3"
"Sometimes","2015","Employed","Female","","","","","3"
"Sometimes","2015","Not Employed","Male","","","","","3"
"Very often","2015","Not Employed","Male","","","","","1"
"Very often","2015","Not Employed","Female","","","","","1"
"Very often","2015","Employed","Male","","","","","1"
"Very often","2015","Employed","Female","","","","","1"
"Never","2016","Not Employed","Female","","","","","5"
"Never","2016","Employed","Male","","","","","5"
"Never","2016","Employed","Female","","","","","5"
"Never","2016","Not Employed","Male","","","","","5"
"Often","2016","Not Employed","Female","","","","","2"
"Often","2016","Employed","Male","","","","","2"
"Often","2016","Not Employed","Male","","","","","2"
"Often","2016","Employed","Female","","","","","2"
"Rarely","2016","Not Employed","Female","","","","","4"
"Rarely","2016","Not Employed","Male","","","","","4"
"Rarely","2016","Employed","Male","","","","","4"
"Rarely","2016","Employed","Female","","","","","4"
"Sometimes","2016","Not Employed","Female","","","","","3"
"Sometimes","2016","Employed","Male","","","","","3"
"Sometimes","2016","Employed","Female","","","","","3"
"Sometimes","2016","Not Employed","Male","","","","","3"
"Very often","2016","Not Employed","Male","","","","","1"
"Very often","2016","Not Employed","Female","","","","","1"
"Very often","2016","Employed","Male","","","","","1"
"Very often","2016","Employed","Female","","","","","1"
"Never","2017","Not Employed","Male","","","","","5"
"Never","2017","Not Employed","Female","","","","","5"
"Never","2017","Employed","Male","","","","","5"
"Never","2017","Employed","Female","","","","","5"
"Often","2017","Not Employed","Male","","","","","2"
"Often","2017","Not Employed","Female","","","","","2"
"Often","2017","Employed","Male","","","","","2"
"Often","2017","Employed","Female","","","","","2"
"Rarely","2017","Not Employed","Male","","","","","4"
"Rarely","2017","Employed","Male","","","","","4"
"Rarely","2017","Employed","Female","","","","","4"
"Rarely","2017","Not Employed","Female","","","","","4"
"Sometimes","2017","Employed","Male","","","","","3"
"Sometimes","2017","Not Employed","Male","","","","","3"
"Sometimes","2017","Not Employed","Female","","","","","3"
"Sometimes","2017","Employed","Female","","","","","3"
"Very often","2017","Employed","Male","","","","","1"
"Very often","2017","Employed","Female","","","","","1"
"Very often","2017","Not Employed","Male","","","","","1"
"Very often","2017","Not Employed","Female","","","","","1"
"Never","2018","Not Employed","Male","2137","0.60557978771381","0.589309355914691","0.62185021951293","5"
"Never","2018","Not Employed","Female","2963","0.636531637609008","0.622887371281379","0.650175903936637","5"
"Never","2018","Employed","Male","4351","0.52282180403558","0.51211430436922","0.533529303701941","5"
"Never","2018","Employed","Female","4647","0.513624487345723","0.503332086960622","0.523916887730824","5"
"Often","2018","Not Employed","Male","282","0.0765706210658356","0.0677181046569053","0.085423137474766","2"
"Often","2018","Not Employed","Female","390","0.072202696013134","0.0648607676294641","0.079544624396804","2"
"Often","2018","Employed","Female","1079","0.118508332274591","0.11185266642057","0.125163998128612","2"
"Often","2018","Employed","Male","889","0.0997406656123423","0.0933168824013496","0.106164448823335","2"
"Rarely","2018","Not Employed","Male","588","0.17928574970571","0.166515403101142","0.192056096310279","4"
"Rarely","2018","Employed","Female","1496","0.166620219248104","0.158946722882723","0.174293715613486","4"
"Rarely","2018","Not Employed","Female","682","0.143251130406583","0.133313503618833","0.153188757194334","4"
"Rarely","2018","Employed","Male","1542","0.194055753955713","0.185577885177655","0.20253362273377","4"
"Sometimes","2018","Employed","Female","1050","0.118338795427739","0.111687252490757","0.124990338364721","3"
"Sometimes","2018","Not Employed","Female","449","0.0915654723019262","0.0833842240732645","0.0997467205305878","3"
"Sometimes","2018","Not Employed","Male","307","0.0972829781685858","0.0874172747329878","0.107148681604184","3"
"Sometimes","2018","Employed","Male","1007","0.120156326522654","0.113186098152616","0.127126554892692","3"
"Very often","2018","Employed","Female","787","0.0829081657038424","0.0772299350771368","0.088586396330548","1"
"Very often","2018","Not Employed","Male","152","0.0412808633460582","0.0346578764507402","0.0479038502413762","1"
"Very often","2018","Not Employed","Female","290","0.0564490636693488","0.0499024316549431","0.0629956956837545","1"
"Very often","2018","Employed","Male","570","0.0632254498737109","0.058008286529578","0.0684426132178438","1"
