"pld0043","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Never","2006","Employed","Male","","","",""
"Never","2006","Employed","Female","","","",""
"Very often","2007","Not Employed","Male","","","",""
"Very often","2007","Not Employed","Female","","","",""
"Very often","2007","Employed","Male","","","",""
"Very often","2007","Employed","Female","","","",""
"Often","2007","Not Employed","Male","","","",""
"Often","2007","Not Employed","Female","","","",""
"Often","2007","Employed","Male","","","",""
"Often","2007","Employed","Female","","","",""
"Sometimes","2007","Not Employed","Male","","","",""
"Sometimes","2007","Not Employed","Female","","","",""
"Sometimes","2007","Employed","Male","","","",""
"Sometimes","2007","Employed","Female","","","",""
"Rarely","2007","Not Employed","Male","","","",""
"Rarely","2007","Not Employed","Female","","","",""
"Rarely","2007","Employed","Male","","","",""
"Rarely","2007","Employed","Female","","","",""
"Never","2007","Not Employed","Male","","","",""
"Never","2007","Not Employed","Female","","","",""
"Never","2007","Employed","Male","","","",""
"Never","2007","Employed","Female","","","",""
"Very often","2008","Not Employed","Male","66","0.0190834418016003","0.0142174644828683","0.0239494191203323"
"Very often","2008","Not Employed","Female","124","0.0220868459605611","0.017730473444135","0.0264432184769873"
"Very often","2008","Employed","Male","177","0.0303658639310909","0.0260790875279945","0.0346526403341872"
"Very often","2008","Employed","Female","246","0.0444077394477336","0.0390716144970652","0.0497438643984021"
"Often","2008","Not Employed","Male","332","0.101909096696385","0.0911495909992717","0.112668602393498"
"Often","2008","Not Employed","Female","495","0.100649925951714","0.0917316864428335","0.109568165460595"
"Often","2008","Employed","Male","1054","0.176509797007711","0.166985176334483","0.18603441768094"
"Often","2008","Employed","Female","1147","0.19454181061278","0.184287928430872","0.204795692794689"
"Sometimes","2008","Not Employed","Male","816","0.279194489319537","0.263239806853075","0.295149171786"
"Sometimes","2008","Not Employed","Female","1278","0.287944660850045","0.274522593829316","0.301366727870773"
"Sometimes","2008","Employed","Male","2299","0.365268037534818","0.353238883611035","0.3772971914586"
"Sometimes","2008","Employed","Female","2198","0.374093082509391","0.361558638924829","0.386627526093953"
"Rarely","2008","Not Employed","Male","976","0.311412514332747","0.294943284572818","0.327881744092675"
"Rarely","2008","Not Employed","Female","1249","0.288727103910475","0.275294199584285","0.302160008236665"
"Rarely","2008","Employed","Male","1931","0.305574239844032","0.294066094351076","0.317082385336987"
"Rarely","2008","Employed","Female","1528","0.273009639597052","0.261469430908322","0.284549848285782"
"Never","2008","Not Employed","Male","847","0.288400457849731","0.272288752986459","0.304512162713003"
"Never","2008","Not Employed","Female","1226","0.300591463327205","0.287000138248099","0.314182788406311"
"Never","2008","Employed","Male","694","0.122282061682349","0.114097547120746","0.130466576243951"
"Never","2008","Employed","Female","606","0.113947727833043","0.105716912610628","0.122178543055457"
"Very often","2009","Not Employed","Male","","","",""
"Very often","2009","Not Employed","Female","","","",""
"Very often","2009","Employed","Male","","","",""
"Very often","2009","Employed","Female","","","",""
"Often","2009","Not Employed","Male","","","",""
"Often","2009","Not Employed","Female","","","",""
"Often","2009","Employed","Male","","","",""
"Often","2009","Employed","Female","","","",""
"Sometimes","2009","Not Employed","Male","","","",""
"Sometimes","2009","Not Employed","Female","","","",""
"Sometimes","2009","Employed","Male","","","",""
"Sometimes","2009","Employed","Female","","","",""
"Rarely","2009","Not Employed","Male","","","",""
"Rarely","2009","Not Employed","Female","","","",""
"Rarely","2009","Employed","Male","","","",""
"Rarely","2009","Employed","Female","","","",""
"Never","2009","Not Employed","Male","","","",""
"Never","2009","Not Employed","Female","","","",""
"Never","2009","Employed","Male","","","",""
"Never","2009","Employed","Female","","","",""
"Very often","2010","Not Employed","Male","","","",""
"Very often","2010","Not Employed","Female","","","",""
"Very often","2010","Employed","Male","","","",""
"Very often","2010","Employed","Female","","","",""
"Often","2010","Not Employed","Male","","","",""
"Often","2010","Not Employed","Female","","","",""
"Often","2010","Employed","Male","","","",""
"Often","2010","Employed","Female","","","",""
"Sometimes","2010","Not Employed","Male","","","",""
"Sometimes","2010","Not Employed","Female","","","",""
"Sometimes","2010","Employed","Male","","","",""
"Sometimes","2010","Employed","Female","","","",""
"Rarely","2010","Not Employed","Male","","","",""
"Rarely","2010","Not Employed","Female","","","",""
"Rarely","2010","Employed","Male","","","",""
"Rarely","2010","Employed","Female","","","",""
"Never","2010","Not Employed","Male","","","",""
"Never","2010","Not Employed","Female","","","",""
"Never","2010","Employed","Male","","","",""
"Never","2010","Employed","Female","","","",""
"Very often","2011","Not Employed","Male","","","",""
"Very often","2011","Not Employed","Female","","","",""
"Very often","2011","Employed","Male","","","",""
"Very often","2011","Employed","Female","","","",""
"Often","2011","Not Employed","Male","","","",""
"Often","2011","Not Employed","Female","","","",""
"Often","2011","Employed","Male","","","",""
"Often","2011","Employed","Female","","","",""
"Sometimes","2011","Not Employed","Male","","","",""
"Sometimes","2011","Not Employed","Female","","","",""
"Sometimes","2011","Employed","Male","","","",""
"Sometimes","2011","Employed","Female","","","",""
"Rarely","2011","Not Employed","Male","","","",""
"Rarely","2011","Not Employed","Female","","","",""
"Rarely","2011","Employed","Male","","","",""
"Rarely","2011","Employed","Female","","","",""
"Never","2011","Not Employed","Male","","","",""
"Never","2011","Not Employed","Female","","","",""
"Never","2011","Employed","Male","","","",""
"Never","2011","Employed","Female","","","",""
"Very often","2012","Not Employed","Male","","","",""
"Very often","2012","Not Employed","Female","","","",""
"Very often","2012","Employed","Male","","","",""
"Very often","2012","Employed","Female","","","",""
"Often","2012","Not Employed","Male","","","",""
"Often","2012","Not Employed","Female","","","",""
"Often","2012","Employed","Male","","","",""
"Often","2012","Employed","Female","","","",""
"Sometimes","2012","Not Employed","Male","","","",""
"Sometimes","2012","Not Employed","Female","","","",""
"Sometimes","2012","Employed","Male","","","",""
"Sometimes","2012","Employed","Female","","","",""
"Rarely","2012","Not Employed","Male","","","",""
"Rarely","2012","Not Employed","Female","","","",""
"Rarely","2012","Employed","Male","","","",""
"Rarely","2012","Employed","Female","","","",""
"Never","2012","Not Employed","Male","","","",""
"Never","2012","Not Employed","Female","","","",""
"Never","2012","Employed","Male","","","",""
"Never","2012","Employed","Female","","","",""
"Very often","2013","Not Employed","Male","68","0.0163024343602731","0.0121046569368644","0.0205002117836819"
"Very often","2013","Not Employed","Female","139","0.0232247335306781","0.0191629049652856","0.0272865620960707"
"Very often","2013","Employed","Male","202","0.024131541137589","0.020776566226347","0.027486516048831"
"Very often","2013","Employed","Female","266","0.0285699652352845","0.0250711213499855","0.0320688091205834"
"Often","2013","Not Employed","Male","395","0.106525607946247","0.0962990273692902","0.116752188523204"
"Often","2013","Not Employed","Female","691","0.102349974603864","0.0941757552838277","0.110524193923899"
"Often","2013","Employed","Male","1298","0.16624228209204","0.158102893438286","0.174381670745793"
"Often","2013","Employed","Female","1660","0.184680975164396","0.176531327870179","0.192830622458612"
"Sometimes","2013","Not Employed","Male","966","0.282177318659681","0.267258583009833","0.29709605430953"
"Sometimes","2013","Not Employed","Female","1540","0.259731388265573","0.247906262221337","0.271556514309809"
"Sometimes","2013","Employed","Male","2980","0.368272501541428","0.357727402972098","0.378817600110757"
"Sometimes","2013","Employed","Female","3315","0.385376072274454","0.375154656587932","0.395597487960975"
"Rarely","2013","Not Employed","Male","1188","0.325677559647574","0.310143316347184","0.341211802947964"
"Rarely","2013","Not Employed","Female","1599","0.317729447576629","0.305173313632668","0.33028558152059"
"Rarely","2013","Employed","Male","2668","0.336750229791329","0.326418010589306","0.347082448993352"
"Rarely","2013","Employed","Female","2627","0.302018381919627","0.292375593744976","0.311661170094278"
"Never","2013","Not Employed","Male","879","0.269317079386225","0.254612290117461","0.284021868654989"
"Never","2013","Not Employed","Female","1313","0.296964456023256","0.284642213009197","0.309286699037316"
"Never","2013","Employed","Male","889","0.104603445437615","0.0979125874659829","0.111294303409247"
"Never","2013","Employed","Female","841","0.0993546054062396","0.0930720711764441","0.105637139636035"
"Very often","2014","Not Employed","Male","","","",""
"Very often","2014","Not Employed","Female","","","",""
"Very often","2014","Employed","Male","","","",""
"Very often","2014","Employed","Female","","","",""
"Often","2014","Not Employed","Male","","","",""
"Often","2014","Not Employed","Female","","","",""
"Often","2014","Employed","Male","","","",""
"Often","2014","Employed","Female","","","",""
"Sometimes","2014","Not Employed","Male","","","",""
"Sometimes","2014","Not Employed","Female","","","",""
"Sometimes","2014","Employed","Male","","","",""
"Sometimes","2014","Employed","Female","","","",""
"Rarely","2014","Not Employed","Male","","","",""
"Rarely","2014","Not Employed","Female","","","",""
"Rarely","2014","Employed","Male","","","",""
"Rarely","2014","Employed","Female","","","",""
"Never","2014","Not Employed","Male","","","",""
"Never","2014","Not Employed","Female","","","",""
"Never","2014","Employed","Male","","","",""
"Never","2014","Employed","Female","","","",""
"Very often","2015","Not Employed","Male","","","",""
"Very often","2015","Not Employed","Female","","","",""
"Very often","2015","Employed","Male","","","",""
"Very often","2015","Employed","Female","","","",""
"Often","2015","Not Employed","Male","","","",""
"Often","2015","Not Employed","Female","","","",""
"Often","2015","Employed","Male","","","",""
"Often","2015","Employed","Female","","","",""
"Sometimes","2015","Not Employed","Male","","","",""
"Sometimes","2015","Not Employed","Female","","","",""
"Sometimes","2015","Employed","Male","","","",""
"Sometimes","2015","Employed","Female","","","",""
"Rarely","2015","Not Employed","Male","","","",""
"Rarely","2015","Not Employed","Female","","","",""
"Rarely","2015","Employed","Male","","","",""
"Rarely","2015","Employed","Female","","","",""
"Never","2015","Not Employed","Male","","","",""
"Never","2015","Not Employed","Female","","","",""
"Never","2015","Employed","Male","","","",""
"Never","2015","Employed","Female","","","",""
"Very often","2016","Not Employed","Male","","","",""
"Very often","2016","Not Employed","Female","","","",""
"Very often","2016","Employed","Male","","","",""
"Very often","2016","Employed","Female","","","",""
"Often","2016","Not Employed","Male","","","",""
"Often","2016","Not Employed","Female","","","",""
"Often","2016","Employed","Male","","","",""
"Often","2016","Employed","Female","","","",""
"Sometimes","2016","Not Employed","Male","","","",""
"Sometimes","2016","Not Employed","Female","","","",""
"Sometimes","2016","Employed","Male","","","",""
"Sometimes","2016","Employed","Female","","","",""
"Rarely","2016","Not Employed","Male","","","",""
"Rarely","2016","Not Employed","Female","","","",""
"Rarely","2016","Employed","Male","","","",""
"Rarely","2016","Employed","Female","","","",""
"Never","2016","Not Employed","Male","","","",""
"Never","2016","Not Employed","Female","","","",""
"Never","2016","Employed","Male","","","",""
"Never","2016","Employed","Female","","","",""
"Very often","2017","Not Employed","Male","","","",""
"Very often","2017","Not Employed","Female","","","",""
"Very often","2017","Employed","Male","","","",""
"Very often","2017","Employed","Female","","","",""
"Often","2017","Not Employed","Male","","","",""
"Often","2017","Not Employed","Female","","","",""
"Often","2017","Employed","Male","","","",""
"Often","2017","Employed","Female","","","",""
"Sometimes","2017","Not Employed","Male","","","",""
"Sometimes","2017","Not Employed","Female","","","",""
"Sometimes","2017","Employed","Male","","","",""
"Sometimes","2017","Employed","Female","","","",""
"Rarely","2017","Not Employed","Male","","","",""
"Rarely","2017","Not Employed","Female","","","",""
"Rarely","2017","Employed","Male","","","",""
"Rarely","2017","Employed","Female","","","",""
"Never","2017","Not Employed","Male","","","",""
"Never","2017","Not Employed","Female","","","",""
"Never","2017","Employed","Male","","","",""
"Never","2017","Employed","Female","","","",""
"Very often","2018","Not Employed","Male","94","0.0248327480420225","0.0196528272905774","0.0300126687934675"
"Very often","2018","Not Employed","Female","172","0.0289727153483566","0.0242217557576304","0.0337236749390828"
"Very often","2018","Employed","Male","317","0.038718103682137","0.0345860682810006","0.0428501390832734"
"Very often","2018","Employed","Female","405","0.0452500396573154","0.0409743388440094","0.0495257404706214"
"Often","2018","Not Employed","Male","417","0.117652523837402","0.106927664174631","0.128377383500173"
"Often","2018","Not Employed","Female","699","0.130306015590968","0.120770668944931","0.139841362237005"
"Often","2018","Employed","Male","1409","0.172451313703088","0.164360137796347","0.180542489609829"
"Often","2018","Employed","Female","1791","0.209960974283813","0.201582854526998","0.218339094040628"
"Sometimes","2018","Not Employed","Male","1046","0.288635027590281","0.273551881911377","0.303718173269184"
"Sometimes","2018","Not Employed","Female","1429","0.28161652169618","0.268876262811095","0.294356780581265"
"Sometimes","2018","Employed","Male","3082","0.375710862272123","0.365337933932475","0.386083790611771"
"Sometimes","2018","Employed","Female","3411","0.370076383110241","0.360144247678833","0.380008518541648"
"Rarely","2018","Not Employed","Male","1124","0.329116351213365","0.313475171589737","0.344757530836993"
"Rarely","2018","Not Employed","Female","1325","0.292536522358416","0.279650672120667","0.305422372596166"
"Rarely","2018","Employed","Male","2619","0.309858829624389","0.299954330479546","0.319763328769233"
"Rarely","2018","Employed","Female","2500","0.269754562725347","0.260624540652784","0.27888458479791"
"Never","2018","Not Employed","Male","786","0.23976334931693","0.225551945829438","0.253974752804422"
"Never","2018","Not Employed","Female","1163","0.266568225006078","0.254043878606318","0.279092571405838"
"Never","2018","Employed","Male","947","0.103260890718262","0.0967433672795867","0.109778414156938"
"Never","2018","Employed","Female","971","0.104958040223283","0.0986530770229265","0.11126300342364"
