"pld0043","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Never","2006","indirect migration background","Urban Area","","","",""
"Never","2006","indirect migration background","Rural Area","","","",""
"Very often","2007","no migration background","Urban Area","","","",""
"Very often","2007","no migration background","Rural Area","","","",""
"Very often","2007","direct migration background","Urban Area","","","",""
"Very often","2007","direct migration background","Rural Area","","","",""
"Very often","2007","indirect migration background","Urban Area","","","",""
"Very often","2007","indirect migration background","Rural Area","","","",""
"Often","2007","no migration background","Urban Area","","","",""
"Often","2007","no migration background","Rural Area","","","",""
"Often","2007","direct migration background","Urban Area","","","",""
"Often","2007","direct migration background","Rural Area","","","",""
"Often","2007","indirect migration background","Urban Area","","","",""
"Often","2007","indirect migration background","Rural Area","","","",""
"Sometimes","2007","no migration background","Urban Area","","","",""
"Sometimes","2007","no migration background","Rural Area","","","",""
"Sometimes","2007","direct migration background","Urban Area","","","",""
"Sometimes","2007","direct migration background","Rural Area","","","",""
"Sometimes","2007","indirect migration background","Urban Area","","","",""
"Sometimes","2007","indirect migration background","Rural Area","","","",""
"Rarely","2007","no migration background","Urban Area","","","",""
"Rarely","2007","no migration background","Rural Area","","","",""
"Rarely","2007","direct migration background","Urban Area","","","",""
"Rarely","2007","direct migration background","Rural Area","","","",""
"Rarely","2007","indirect migration background","Urban Area","","","",""
"Rarely","2007","indirect migration background","Rural Area","","","",""
"Never","2007","no migration background","Urban Area","","","",""
"Never","2007","no migration background","Rural Area","","","",""
"Never","2007","direct migration background","Urban Area","","","",""
"Never","2007","direct migration background","Rural Area","","","",""
"Never","2007","indirect migration background","Urban Area","","","",""
"Never","2007","indirect migration background","Rural Area","","","",""
"Very often","2008","no migration background","Urban Area","353","0.0307039525900539","0.0274131396638603","0.0339947655162474"
"Very often","2008","no migration background","Rural Area","158","0.0255397278022323","0.021570740372373","0.0295087152320917"
"Very often","2008","direct migration background","Urban Area","49","0.0322613592980443","0.0234536348663013","0.0410690837297873"
"Very often","2008","direct migration background","Rural Area","7","","",""
"Very often","2008","indirect migration background","Urban Area","40","0.0572416464166705","0.0395054031552703","0.0749778896780707"
"Very often","2008","indirect migration background","Rural Area","6","","",""
"Often","2008","no migration background","Urban Area","1741","0.157408943709376","0.150461885224981","0.164356002193772"
"Often","2008","no migration background","Rural Area","848","0.140796684297266","0.132046167391805","0.149547201202726"
"Often","2008","direct migration background","Urban Area","221","0.134212049670945","0.11722003519928","0.151204064142609"
"Often","2008","direct migration background","Rural Area","38","0.109296769854967","0.0764206754558477","0.142172864254087"
"Often","2008","indirect migration background","Urban Area","161","0.239196991202256","0.206626871800166","0.271767110604345"
"Often","2008","indirect migration background","Rural Area","19","","",""
"Sometimes","2008","no migration background","Urban Area","3723","0.345696814956342","0.336624564388715","0.354769065523969"
"Sometimes","2008","no migration background","Rural Area","1997","0.323776185429804","0.312003997027047","0.335548373832561"
"Sometimes","2008","direct migration background","Urban Area","477","0.307137542141864","0.284142547456108","0.330132536827619"
"Sometimes","2008","direct migration background","Rural Area","99","0.291431020302565","0.24354938242968","0.33931265817545"
"Sometimes","2008","indirect migration background","Urban Area","259","0.40466836191851","0.367193978928206","0.442142744908814"
"Sometimes","2008","indirect migration background","Rural Area","36","0.295280072310433","0.210798025915244","0.379762118705623"
"Rarely","2008","no migration background","Urban Area","3073","0.288239488631906","0.279599334014347","0.296879643249465"
"Rarely","2008","no migration background","Rural Area","1917","0.313223350459008","0.301554600117377","0.324892100800639"
"Rarely","2008","direct migration background","Urban Area","424","0.300642674538655","0.277785727420204","0.323499621657106"
"Rarely","2008","direct migration background","Rural Area","102","0.299131607430561","0.250885816402614","0.347377398458509"
"Rarely","2008","indirect migration background","Urban Area","129","0.171038864860773","0.142290054947081","0.199787674774464"
"Rarely","2008","indirect migration background","Rural Area","39","0.420664674298274","0.329238171682249","0.512091176914298"
"Never","2008","no migration background","Urban Area","1667","0.177950800112322","0.170654936475078","0.185246663749566"
"Never","2008","no migration background","Rural Area","1149","0.19666405201169","0.18666403786313","0.206664066160249"
"Never","2008","direct migration background","Urban Area","375","0.225746374350492","0.204906487239457","0.246586261461527"
"Never","2008","direct migration background","Rural Area","100","0.272255491049383","0.225353872084444","0.319157110014322"
"Never","2008","indirect migration background","Urban Area","70","0.127854135601791","0.10235899937811","0.153349271825473"
"Never","2008","indirect migration background","Rural Area","12","","",""
"Very often","2009","no migration background","Urban Area","","","",""
"Very often","2009","no migration background","Rural Area","","","",""
"Very often","2009","direct migration background","Urban Area","","","",""
"Very often","2009","direct migration background","Rural Area","","","",""
"Very often","2009","indirect migration background","Urban Area","","","",""
"Very often","2009","indirect migration background","Rural Area","","","",""
"Often","2009","no migration background","Urban Area","","","",""
"Often","2009","no migration background","Rural Area","","","",""
"Often","2009","direct migration background","Urban Area","","","",""
"Often","2009","direct migration background","Rural Area","","","",""
"Often","2009","indirect migration background","Urban Area","","","",""
"Often","2009","indirect migration background","Rural Area","","","",""
"Sometimes","2009","no migration background","Urban Area","","","",""
"Sometimes","2009","no migration background","Rural Area","","","",""
"Sometimes","2009","direct migration background","Urban Area","","","",""
"Sometimes","2009","direct migration background","Rural Area","","","",""
"Sometimes","2009","indirect migration background","Urban Area","","","",""
"Sometimes","2009","indirect migration background","Rural Area","","","",""
"Rarely","2009","no migration background","Urban Area","","","",""
"Rarely","2009","no migration background","Rural Area","","","",""
"Rarely","2009","direct migration background","Urban Area","","","",""
"Rarely","2009","direct migration background","Rural Area","","","",""
"Rarely","2009","indirect migration background","Urban Area","","","",""
"Rarely","2009","indirect migration background","Rural Area","","","",""
"Never","2009","no migration background","Urban Area","","","",""
"Never","2009","no migration background","Rural Area","","","",""
"Never","2009","direct migration background","Urban Area","","","",""
"Never","2009","direct migration background","Rural Area","","","",""
"Never","2009","indirect migration background","Urban Area","","","",""
"Never","2009","indirect migration background","Rural Area","","","",""
"Very often","2010","no migration background","Urban Area","","","",""
"Very often","2010","no migration background","Rural Area","","","",""
"Very often","2010","direct migration background","Urban Area","","","",""
"Very often","2010","direct migration background","Rural Area","","","",""
"Very often","2010","indirect migration background","Urban Area","","","",""
"Very often","2010","indirect migration background","Rural Area","","","",""
"Often","2010","no migration background","Urban Area","","","",""
"Often","2010","no migration background","Rural Area","","","",""
"Often","2010","direct migration background","Urban Area","","","",""
"Often","2010","direct migration background","Rural Area","","","",""
"Often","2010","indirect migration background","Urban Area","","","",""
"Often","2010","indirect migration background","Rural Area","","","",""
"Sometimes","2010","no migration background","Urban Area","","","",""
"Sometimes","2010","no migration background","Rural Area","","","",""
"Sometimes","2010","direct migration background","Urban Area","","","",""
"Sometimes","2010","direct migration background","Rural Area","","","",""
"Sometimes","2010","indirect migration background","Urban Area","","","",""
"Sometimes","2010","indirect migration background","Rural Area","","","",""
"Rarely","2010","no migration background","Urban Area","","","",""
"Rarely","2010","no migration background","Rural Area","","","",""
"Rarely","2010","direct migration background","Urban Area","","","",""
"Rarely","2010","direct migration background","Rural Area","","","",""
"Rarely","2010","indirect migration background","Urban Area","","","",""
"Rarely","2010","indirect migration background","Rural Area","","","",""
"Never","2010","no migration background","Urban Area","","","",""
"Never","2010","no migration background","Rural Area","","","",""
"Never","2010","direct migration background","Urban Area","","","",""
"Never","2010","direct migration background","Rural Area","","","",""
"Never","2010","indirect migration background","Urban Area","","","",""
"Never","2010","indirect migration background","Rural Area","","","",""
"Very often","2011","no migration background","Urban Area","","","",""
"Very often","2011","no migration background","Rural Area","","","",""
"Very often","2011","direct migration background","Urban Area","","","",""
"Very often","2011","direct migration background","Rural Area","","","",""
"Very often","2011","indirect migration background","Urban Area","","","",""
"Very often","2011","indirect migration background","Rural Area","","","",""
"Often","2011","no migration background","Urban Area","","","",""
"Often","2011","no migration background","Rural Area","","","",""
"Often","2011","direct migration background","Urban Area","","","",""
"Often","2011","direct migration background","Rural Area","","","",""
"Often","2011","indirect migration background","Urban Area","","","",""
"Often","2011","indirect migration background","Rural Area","","","",""
"Sometimes","2011","no migration background","Urban Area","","","",""
"Sometimes","2011","no migration background","Rural Area","","","",""
"Sometimes","2011","direct migration background","Urban Area","","","",""
"Sometimes","2011","direct migration background","Rural Area","","","",""
"Sometimes","2011","indirect migration background","Urban Area","","","",""
"Sometimes","2011","indirect migration background","Rural Area","","","",""
"Rarely","2011","no migration background","Urban Area","","","",""
"Rarely","2011","no migration background","Rural Area","","","",""
"Rarely","2011","direct migration background","Urban Area","","","",""
"Rarely","2011","direct migration background","Rural Area","","","",""
"Rarely","2011","indirect migration background","Urban Area","","","",""
"Rarely","2011","indirect migration background","Rural Area","","","",""
"Never","2011","no migration background","Urban Area","","","",""
"Never","2011","no migration background","Rural Area","","","",""
"Never","2011","direct migration background","Urban Area","","","",""
"Never","2011","direct migration background","Rural Area","","","",""
"Never","2011","indirect migration background","Urban Area","","","",""
"Never","2011","indirect migration background","Rural Area","","","",""
"Very often","2012","no migration background","Urban Area","","","",""
"Very often","2012","no migration background","Rural Area","","","",""
"Very often","2012","direct migration background","Urban Area","","","",""
"Very often","2012","direct migration background","Rural Area","","","",""
"Very often","2012","indirect migration background","Urban Area","","","",""
"Very often","2012","indirect migration background","Rural Area","","","",""
"Often","2012","no migration background","Urban Area","","","",""
"Often","2012","no migration background","Rural Area","","","",""
"Often","2012","direct migration background","Urban Area","","","",""
"Often","2012","direct migration background","Rural Area","","","",""
"Often","2012","indirect migration background","Urban Area","","","",""
"Often","2012","indirect migration background","Rural Area","","","",""
"Sometimes","2012","no migration background","Urban Area","","","",""
"Sometimes","2012","no migration background","Rural Area","","","",""
"Sometimes","2012","direct migration background","Urban Area","","","",""
"Sometimes","2012","direct migration background","Rural Area","","","",""
"Sometimes","2012","indirect migration background","Urban Area","","","",""
"Sometimes","2012","indirect migration background","Rural Area","","","",""
"Rarely","2012","no migration background","Urban Area","","","",""
"Rarely","2012","no migration background","Rural Area","","","",""
"Rarely","2012","direct migration background","Urban Area","","","",""
"Rarely","2012","direct migration background","Rural Area","","","",""
"Rarely","2012","indirect migration background","Urban Area","","","",""
"Rarely","2012","indirect migration background","Rural Area","","","",""
"Never","2012","no migration background","Urban Area","","","",""
"Never","2012","no migration background","Rural Area","","","",""
"Never","2012","direct migration background","Urban Area","","","",""
"Never","2012","direct migration background","Rural Area","","","",""
"Never","2012","indirect migration background","Urban Area","","","",""
"Never","2012","indirect migration background","Rural Area","","","",""
"Very often","2013","no migration background","Urban Area","370","0.0255121124974681","0.0228437393470678","0.0281804856478684"
"Very often","2013","no migration background","Rural Area","175","0.01961618773491","0.0166279031856052","0.0226044722842148"
"Very often","2013","direct migration background","Urban Area","67","0.0280471258831995","0.0208219335450452","0.0352723182213539"
"Very often","2013","direct migration background","Rural Area","13","","",""
"Very often","2013","indirect migration background","Urban Area","40","0.0304079109082133","0.0195574451989468","0.0412583766174798"
"Very often","2013","indirect migration background","Rural Area","10","","",""
"Often","2013","no migration background","Urban Area","2237","0.152103407362828","0.146025892280862","0.158180922444795"
"Often","2013","no migration background","Rural Area","1137","0.128444623063802","0.121234842671791","0.135654403455814"
"Often","2013","direct migration background","Urban Area","323","0.155107878677991","0.139266236992218","0.170949520363764"
"Often","2013","direct migration background","Rural Area","87","0.15799525792498","0.129912491816104","0.186078024033855"
"Often","2013","indirect migration background","Urban Area","223","0.254273399854367","0.226756415472578","0.281790384236156"
"Often","2013","indirect migration background","Rural Area","37","0.177841857497484","0.127542055226697","0.22814165976827"
"Sometimes","2013","no migration background","Urban Area","4737","0.340723791900004","0.332702948069359","0.348744635730649"
"Sometimes","2013","no migration background","Rural Area","2787","0.335353221196488","0.325179887920055","0.345526554472922"
"Sometimes","2013","direct migration background","Urban Area","652","0.293250339681227","0.273328259081378","0.313172420281075"
"Sometimes","2013","direct migration background","Rural Area","197","0.27701794546434","0.242560879138085","0.311475011790594"
"Sometimes","2013","indirect migration background","Urban Area","341","0.357801119055465","0.327509940255926","0.388092297855004"
"Sometimes","2013","indirect migration background","Rural Area","87","0.422099892678393","0.357130977941653","0.487068807415133"
"Rarely","2013","no migration background","Urban Area","4166","0.318928702139003","0.311041404667372","0.326815999610634"
"Rarely","2013","no migration background","Rural Area","2772","0.332810064641289","0.322656008792738","0.342964120489841"
"Rarely","2013","direct migration background","Urban Area","602","0.306811615454788","0.286630546617781","0.326992684291794"
"Rarely","2013","direct migration background","Rural Area","214","0.311252643224467","0.275603665145901","0.346901621303034"
"Rarely","2013","indirect migration background","Urban Area","263","0.277509116941881","0.249213747525369","0.305804486358393"
"Rarely","2013","indirect migration background","Rural Area","65","0.209156773130147","0.155656897799719","0.262656648460575"
"Never","2013","no migration background","Urban Area","1903","0.162731986100696","0.156485240188401","0.168978732012991"
"Never","2013","no migration background","Rural Area","1402","0.18377590336351","0.175430149581551","0.192121657145469"
"Never","2013","direct migration background","Urban Area","362","0.216783040302795","0.198751354985262","0.234814725620328"
"Never","2013","direct migration background","Rural Area","137","0.235083301891937","0.202433650398064","0.267732953385809"
"Never","2013","indirect migration background","Urban Area","95","0.080008453240074","0.0628641274584731","0.0971527790216749"
"Never","2013","indirect migration background","Rural Area","23","","",""
"Very often","2014","no migration background","Urban Area","","","",""
"Very often","2014","no migration background","Rural Area","","","",""
"Very often","2014","direct migration background","Urban Area","","","",""
"Very often","2014","direct migration background","Rural Area","","","",""
"Very often","2014","indirect migration background","Urban Area","","","",""
"Very often","2014","indirect migration background","Rural Area","","","",""
"Often","2014","no migration background","Urban Area","","","",""
"Often","2014","no migration background","Rural Area","","","",""
"Often","2014","direct migration background","Urban Area","","","",""
"Often","2014","direct migration background","Rural Area","","","",""
"Often","2014","indirect migration background","Urban Area","","","",""
"Often","2014","indirect migration background","Rural Area","","","",""
"Sometimes","2014","no migration background","Urban Area","","","",""
"Sometimes","2014","no migration background","Rural Area","","","",""
"Sometimes","2014","direct migration background","Urban Area","","","",""
"Sometimes","2014","direct migration background","Rural Area","","","",""
"Sometimes","2014","indirect migration background","Urban Area","","","",""
"Sometimes","2014","indirect migration background","Rural Area","","","",""
"Rarely","2014","no migration background","Urban Area","","","",""
"Rarely","2014","no migration background","Rural Area","","","",""
"Rarely","2014","direct migration background","Urban Area","","","",""
"Rarely","2014","direct migration background","Rural Area","","","",""
"Rarely","2014","indirect migration background","Urban Area","","","",""
"Rarely","2014","indirect migration background","Rural Area","","","",""
"Never","2014","no migration background","Urban Area","","","",""
"Never","2014","no migration background","Rural Area","","","",""
"Never","2014","direct migration background","Urban Area","","","",""
"Never","2014","direct migration background","Rural Area","","","",""
"Never","2014","indirect migration background","Urban Area","","","",""
"Never","2014","indirect migration background","Rural Area","","","",""
"Very often","2015","no migration background","Urban Area","","","",""
"Very often","2015","no migration background","Rural Area","","","",""
"Very often","2015","direct migration background","Urban Area","","","",""
"Very often","2015","direct migration background","Rural Area","","","",""
"Very often","2015","indirect migration background","Urban Area","","","",""
"Very often","2015","indirect migration background","Rural Area","","","",""
"Often","2015","no migration background","Urban Area","","","",""
"Often","2015","no migration background","Rural Area","","","",""
"Often","2015","direct migration background","Urban Area","","","",""
"Often","2015","direct migration background","Rural Area","","","",""
"Often","2015","indirect migration background","Urban Area","","","",""
"Often","2015","indirect migration background","Rural Area","","","",""
"Sometimes","2015","no migration background","Urban Area","","","",""
"Sometimes","2015","no migration background","Rural Area","","","",""
"Sometimes","2015","direct migration background","Urban Area","","","",""
"Sometimes","2015","direct migration background","Rural Area","","","",""
"Sometimes","2015","indirect migration background","Urban Area","","","",""
"Sometimes","2015","indirect migration background","Rural Area","","","",""
"Rarely","2015","no migration background","Urban Area","","","",""
"Rarely","2015","no migration background","Rural Area","","","",""
"Rarely","2015","direct migration background","Urban Area","","","",""
"Rarely","2015","direct migration background","Rural Area","","","",""
"Rarely","2015","indirect migration background","Urban Area","","","",""
"Rarely","2015","indirect migration background","Rural Area","","","",""
"Never","2015","no migration background","Urban Area","","","",""
"Never","2015","no migration background","Rural Area","","","",""
"Never","2015","direct migration background","Urban Area","","","",""
"Never","2015","direct migration background","Rural Area","","","",""
"Never","2015","indirect migration background","Urban Area","","","",""
"Never","2015","indirect migration background","Rural Area","","","",""
"Very often","2016","no migration background","Urban Area","","","",""
"Very often","2016","no migration background","Rural Area","","","",""
"Very often","2016","direct migration background","Urban Area","","","",""
"Very often","2016","direct migration background","Rural Area","","","",""
"Very often","2016","indirect migration background","Urban Area","","","",""
"Very often","2016","indirect migration background","Rural Area","","","",""
"Often","2016","no migration background","Urban Area","","","",""
"Often","2016","no migration background","Rural Area","","","",""
"Often","2016","direct migration background","Urban Area","","","",""
"Often","2016","direct migration background","Rural Area","","","",""
"Often","2016","indirect migration background","Urban Area","","","",""
"Often","2016","indirect migration background","Rural Area","","","",""
"Sometimes","2016","no migration background","Urban Area","","","",""
"Sometimes","2016","no migration background","Rural Area","","","",""
"Sometimes","2016","direct migration background","Urban Area","","","",""
"Sometimes","2016","direct migration background","Rural Area","","","",""
"Sometimes","2016","indirect migration background","Urban Area","","","",""
"Sometimes","2016","indirect migration background","Rural Area","","","",""
"Rarely","2016","no migration background","Urban Area","","","",""
"Rarely","2016","no migration background","Rural Area","","","",""
"Rarely","2016","direct migration background","Urban Area","","","",""
"Rarely","2016","direct migration background","Rural Area","","","",""
"Rarely","2016","indirect migration background","Urban Area","","","",""
"Rarely","2016","indirect migration background","Rural Area","","","",""
"Never","2016","no migration background","Urban Area","","","",""
"Never","2016","no migration background","Rural Area","","","",""
"Never","2016","direct migration background","Urban Area","","","",""
"Never","2016","direct migration background","Rural Area","","","",""
"Never","2016","indirect migration background","Urban Area","","","",""
"Never","2016","indirect migration background","Rural Area","","","",""
"Very often","2017","no migration background","Urban Area","","","",""
"Very often","2017","no migration background","Rural Area","","","",""
"Very often","2017","direct migration background","Urban Area","","","",""
"Very often","2017","direct migration background","Rural Area","","","",""
"Very often","2017","indirect migration background","Urban Area","","","",""
"Very often","2017","indirect migration background","Rural Area","","","",""
"Often","2017","no migration background","Urban Area","","","",""
"Often","2017","no migration background","Rural Area","","","",""
"Often","2017","direct migration background","Urban Area","","","",""
"Often","2017","direct migration background","Rural Area","","","",""
"Often","2017","indirect migration background","Urban Area","","","",""
"Often","2017","indirect migration background","Rural Area","","","",""
"Sometimes","2017","no migration background","Urban Area","","","",""
"Sometimes","2017","no migration background","Rural Area","","","",""
"Sometimes","2017","direct migration background","Urban Area","","","",""
"Sometimes","2017","direct migration background","Rural Area","","","",""
"Sometimes","2017","indirect migration background","Urban Area","","","",""
"Sometimes","2017","indirect migration background","Rural Area","","","",""
"Rarely","2017","no migration background","Urban Area","","","",""
"Rarely","2017","no migration background","Rural Area","","","",""
"Rarely","2017","direct migration background","Urban Area","","","",""
"Rarely","2017","direct migration background","Rural Area","","","",""
"Rarely","2017","indirect migration background","Urban Area","","","",""
"Rarely","2017","indirect migration background","Rural Area","","","",""
"Never","2017","no migration background","Urban Area","","","",""
"Never","2017","no migration background","Rural Area","","","",""
"Never","2017","direct migration background","Urban Area","","","",""
"Never","2017","direct migration background","Rural Area","","","",""
"Never","2017","indirect migration background","Urban Area","","","",""
"Never","2017","indirect migration background","Rural Area","","","",""
"Very often","2018","no migration background","Urban Area","455","0.0360663777780241","0.0327304687302592","0.039402286825789"
"Very often","2018","no migration background","Rural Area","212","0.0245066204451517","0.0210268322997302","0.0279864085905733"
"Very often","2018","direct migration background","Urban Area","176","0.0462273399495029","0.03904797223183","0.0534067076671758"
"Very often","2018","direct migration background","Rural Area","31","0.0325329129542174","0.0221751561852671","0.0428906697231677"
"Very often","2018","indirect migration background","Urban Area","101","0.085133139786351","0.0704671020022365","0.0997991775704655"
"Very often","2018","indirect migration background","Rural Area","13","","",""
"Often","2018","no migration background","Urban Area","2183","0.171863533484847","0.165113868834608","0.178613198135086"
"Often","2018","no migration background","Rural Area","1059","0.14986170072882","0.141828492059737","0.157894909397903"
"Often","2018","direct migration background","Urban Area","531","0.160294753644432","0.147750714546915","0.17283879274195"
"Often","2018","direct migration background","Rural Area","162","0.15574152281064","0.134571269407897","0.176911776213383"
"Often","2018","indirect migration background","Urban Area","331","0.243210367575257","0.220664697105837","0.265756038044676"
"Often","2018","indirect migration background","Rural Area","50","0.201119439358877","0.157063701166248","0.245175177551506"
"Sometimes","2018","no migration background","Urban Area","4358","0.3517617686388","0.343218363300928","0.360305173976672"
"Sometimes","2018","no migration background","Rural Area","2659","0.34496864838526","0.334270224876587","0.355667071893934"
"Sometimes","2018","direct migration background","Urban Area","1055","0.310196809463829","0.294380848873968","0.326012770053691"
"Sometimes","2018","direct migration background","Rural Area","330","0.297652117001474","0.270957926237499","0.324346307765449"
"Sometimes","2018","indirect migration background","Urban Area","461","0.345738422124547","0.320744520438118","0.370732323810977"
