"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2007","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2007","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2007","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2007","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2007","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2007","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2007","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2008","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2008","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2008","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2008","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2008","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2008","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2008","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2008","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2008","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2008","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2009","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2009","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2009","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2009","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2009","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2009","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2009","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2009","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2009","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2009","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2010","college entrance qualification","Ostdeutschland, neue Bundeslaender","2.65","2","1021","1","1","4","5","6","2.57","2.73","1","7","2","3"
"2010","college entrance qualification","Westdeutschland, alte Bundeslaender","2.68","2","3636","1","2","4","5","7","2.63","2.73","1","7","2","2"
"2010","lower secondary degree","Ostdeutschland, neue Bundeslaender","2.93","3","1059","1","1","4","6","7","2.83","3.03","1","7","3","3"
"2010","lower secondary degree","Westdeutschland, alte Bundeslaender","3.01","3","4281","1","2","4","5","7","2.96","3.06","1","7","3","3"
"2010","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","2.8","2","45","1","1","4","6","7","2.26","3.34","1","7","2","3"
"2010","no degree/no degree yet","Westdeutschland, alte Bundeslaender","3.02","3","368","1","2","4","5","7","2.85","3.19","1","7","2","3"
"2010","Other degree","Ostdeutschland, neue Bundeslaender","3.83","3.33","38","1","2","6","7","7","3.27","4.39","1","7","2","4"
"2010","Other degree","Westdeutschland, alte Bundeslaender","2.96","3","677","1","2","4","5","7","2.84","3.08","1","7","2","3"
"2010","secondary school degree","Ostdeutschland, neue Bundeslaender","3.02","3","1856","1","2","4","6","7","2.95","3.09","1","7","3","3"
"2010","secondary school degree","Westdeutschland, alte Bundeslaender","2.89","3","3183","1","2","4","5","7","2.84","2.94","1","7","2","3"
"2011","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2011","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2011","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2011","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2011","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2011","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2011","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2011","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2012","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2012","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2012","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2012","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2012","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2012","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2012","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2012","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2012","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2012","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2013","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2013","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2013","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2013","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2013","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2013","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2013","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2013","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2013","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2013","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2014","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2014","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2014","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2014","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2014","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2014","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2014","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2014","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2014","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2014","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2015","college entrance qualification","Ostdeutschland, neue Bundeslaender","2.41","2","1309","1","1","3","4","7","2.34","2.48","1","7","2","2"
"2015","college entrance qualification","Westdeutschland, alte Bundeslaender","2.33","2","5902","1","1","3","4","6","2.3","2.36","1","7","2","2"
"2015","lower secondary degree","Ostdeutschland, neue Bundeslaender","2.78","2","1127","1","1","4","5","7","2.68","2.88","1","7","2","2"
"2015","lower secondary degree","Westdeutschland, alte Bundeslaender","2.64","2","5253","1","1","4","5","7","2.6","2.68","1","7","2","2"
"2015","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","2.63","2","118","1","1","4","5","6","2.33","2.93","1","7","2","3"
"2015","no degree/no degree yet","Westdeutschland, alte Bundeslaender","2.73","2","837","1","1","4","5","7","2.62","2.84","1","7","2","2"
"2015","Other degree","Ostdeutschland, neue Bundeslaender","2.64","2","375","1","1","4","5","7","2.46","2.82","1","7","2","2"
"2015","Other degree","Westdeutschland, alte Bundeslaender","2.4","2","3640","1","1","3","5","7","2.35","2.45","1","7","2","2"
"2015","secondary school degree","Ostdeutschland, neue Bundeslaender","2.67","2","2350","1","1","4","5","7","2.61","2.73","1","7","2","2"
"2015","secondary school degree","Westdeutschland, alte Bundeslaender","2.52","2","4845","1","1","3","5","7","2.48","2.56","1","7","2","2"
"2016","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2016","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2016","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2016","lower secondary degree","Westdeutschland, alte Bundeslaender","4.02","3.42","31","1","2","7","7","7","3.41","4.63","1","7","1","3"
"2016","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","1.68","1","278","1","1","1","3","7","1.49","1.87","1","7","1","1"
"2016","no degree/no degree yet","Westdeutschland, alte Bundeslaender","1.95","1","1289","1","1","2","4","7","1.87","2.03","1","7","1","1"
"2016","Other degree","Ostdeutschland, neue Bundeslaender","1.52","1","405","1","1","1","3","7","1.39","1.65","1","7","1","1"
"2016","Other degree","Westdeutschland, alte Bundeslaender","1.96","1","1933","1","1","2","4","7","1.9","2.02","1","7","1","1"
"2016","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2016","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2017","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2017","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2017","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2017","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2017","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","1.94","1","104","1","1","2","6","7","1.58","2.3","1","7","1","1"
"2017","no degree/no degree yet","Westdeutschland, alte Bundeslaender","1.7","1","1128","1","1","1","4","7","1.61","1.79","1","7","1","1"
"2017","Other degree","Ostdeutschland, neue Bundeslaender","1.97","1","135","1","1","2","4","7","1.73","2.21","1","7","1","1"
"2017","Other degree","Westdeutschland, alte Bundeslaender","1.63","1","1297","1","1","1","3","7","1.56","1.7","1","7","1","1"
"2017","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2017","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2018","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2018","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2018","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2018","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2018","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2018","no degree/no degree yet","Westdeutschland, alte Bundeslaender","1.59","1","159","1","1","1","4","7","1.36","1.82","1","7","1","1"
"2018","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2018","Other degree","Westdeutschland, alte Bundeslaender","1.71","1","147","1","1","1","4","7","1.46","1.96","1","7","1","1"
"2018","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2018","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2019","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2019","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2019","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2019","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"2019","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2019","no degree/no degree yet","Westdeutschland, alte Bundeslaender","1.91","1","127","1","1","3","4","7","1.65","2.17","1","7","1","2"
"2019","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2019","Other degree","Westdeutschland, alte Bundeslaender","1.86","1","83","1","1","2","4","7","1.52","2.2","1","7","1","1"
"2019","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"2019","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
