"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2011","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2012","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2012","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2012","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2012","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2012","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2012","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2013","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2013","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2013","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2013","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2013","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2013","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2015","direct migration background","Ostdeutschland, neue Bundeslaender","2.58","2","427","1","1","4","5","2.41","2.75","2","2"
"2015","direct migration background","Westdeutschland, alte Bundeslaender","2.44","2","5355","1","1","3","5","2.4","2.48","2","2"
"2015","indirect migration background","Ostdeutschland, neue Bundeslaender","2.85","2","105","1","2","4","5","2.52","3.18","2","3"
"2015","indirect migration background","Westdeutschland, alte Bundeslaender","2.61","2","1576","1","1","4","5","2.53","2.69","2","2"
"2015","no migration background","Ostdeutschland, neue Bundeslaender","2.63","2","4899","1","1","4","5","2.59","2.67","2","2"
"2015","no migration background","Westdeutschland, alte Bundeslaender","2.5","2","14354","1","1","3","5","2.48","2.52","2","2"
"2016","direct migration background","Ostdeutschland, neue Bundeslaender","1.55","1","726","1","1","1","3","1.44","1.66","1","1"
"2016","direct migration background","Westdeutschland, alte Bundeslaender","1.9","1","3566","1","1","2","4","1.86","1.94","1","1"
"2016","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2016","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2016","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2016","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2017","direct migration background","Ostdeutschland, neue Bundeslaender","1.9","1","263","1","1","2","4","1.7","2.1","1","1"
"2017","direct migration background","Westdeutschland, alte Bundeslaender","1.68","1","2574","1","1","2","4","1.63","1.73","1","1"
"2017","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2017","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2017","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2017","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2018","direct migration background","Ostdeutschland, neue Bundeslaender","1.44","1","47","1","1","1","1","0.96","1.92","1","1"
"2018","direct migration background","Westdeutschland, alte Bundeslaender","1.75","1","364","1","1","1","4","1.58","1.92","1","1"
"2018","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2018","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2018","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2018","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2019","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2019","direct migration background","Westdeutschland, alte Bundeslaender","1.88","1","252","1","1","2","4","1.69","2.07","1","1"
"2019","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2019","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2019","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2019","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
