"plb0050","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"No","2012","66 and older","Male","","","",""
"No","2012","66 and older","Female","","","",""
"Yes","2013","16-34 y.","Male","","","",""
"Yes","2013","16-34 y.","Female","","","",""
"Yes","2013","35-65 y.","Male","","","",""
"Yes","2013","35-65 y.","Female","","","",""
"Yes","2013","66 and older","Male","","","",""
"Yes","2013","66 and older","Female","","","",""
"No","2013","16-34 y.","Male","","","",""
"No","2013","16-34 y.","Female","","","",""
"No","2013","35-65 y.","Male","","","",""
"No","2013","35-65 y.","Female","","","",""
"No","2013","66 and older","Male","","","",""
"No","2013","66 and older","Female","","","",""
"Yes","2014","16-34 y.","Male","","","",""
"Yes","2014","16-34 y.","Female","","","",""
"Yes","2014","35-65 y.","Male","","","",""
"Yes","2014","35-65 y.","Female","","","",""
"Yes","2014","66 and older","Male","","","",""
"Yes","2014","66 and older","Female","","","",""
"No","2014","16-34 y.","Male","","","",""
"No","2014","16-34 y.","Female","","","",""
"No","2014","35-65 y.","Male","","","",""
"No","2014","35-65 y.","Female","","","",""
"No","2014","66 and older","Male","","","",""
"No","2014","66 and older","Female","","","",""
"Yes","2015","16-34 y.","Male","","","",""
"Yes","2015","16-34 y.","Female","","","",""
"Yes","2015","35-65 y.","Male","","","",""
"Yes","2015","35-65 y.","Female","","","",""
"Yes","2015","66 and older","Male","","","",""
"Yes","2015","66 and older","Female","","","",""
"No","2015","16-34 y.","Male","","","",""
"No","2015","16-34 y.","Female","","","",""
"No","2015","35-65 y.","Male","","","",""
"No","2015","35-65 y.","Female","","","",""
"No","2015","66 and older","Male","","","",""
"No","2015","66 and older","Female","","","",""
"Yes","2016","16-34 y.","Male","888","0.531967371092852","0.508427273534967","0.555507468650737"
"Yes","2016","16-34 y.","Female","810","0.497108126260804","0.473361413049931","0.520854839471676"
"Yes","2016","35-65 y.","Male","2761","0.578251709348942","0.564370549930139","0.592132868767746"
"Yes","2016","35-65 y.","Female","2793","0.536557208590078","0.523255803807318","0.549858613372838"
"Yes","2016","66 and older","Male","36","0.23756267464813","0.165503900527944","0.309621448768316"
"Yes","2016","66 and older","Female","22","","",""
"No","2016","16-34 y.","Male","838","0.468032628907148","0.444492531349263","0.491572726465033"
"No","2016","16-34 y.","Female","893","0.502891873739196","0.479145160528324","0.526638586950069"
"No","2016","35-65 y.","Male","2101","0.421748290651058","0.407867131232254","0.435629450069861"
"No","2016","35-65 y.","Female","2606","0.463442791409922","0.450141386627162","0.476744196192682"
"No","2016","66 and older","Male","98","0.76243732535187","0.690378551231684","0.834496099472056"
"No","2016","66 and older","Female","79","0.803272194218228","0.725745432296155","0.880798956140301"
"Yes","2017","16-34 y.","Male","","","",""
"Yes","2017","16-34 y.","Female","","","",""
"Yes","2017","35-65 y.","Male","","","",""
"Yes","2017","35-65 y.","Female","","","",""
"Yes","2017","66 and older","Male","","","",""
"Yes","2017","66 and older","Female","","","",""
"No","2017","16-34 y.","Male","","","",""
"No","2017","16-34 y.","Female","","","",""
"No","2017","35-65 y.","Male","","","",""
"No","2017","35-65 y.","Female","","","",""
"No","2017","66 and older","Male","","","",""
"No","2017","66 and older","Female","","","",""
"Yes","2018","16-34 y.","Male","","","",""
"Yes","2018","16-34 y.","Female","","","",""
"Yes","2018","35-65 y.","Male","","","",""
"Yes","2018","35-65 y.","Female","","","",""
"Yes","2018","66 and older","Male","","","",""
"Yes","2018","66 and older","Female","","","",""
"No","2018","16-34 y.","Male","","","",""
"No","2018","16-34 y.","Female","","","",""
"No","2018","35-65 y.","Male","","","",""
"No","2018","35-65 y.","Female","","","",""
"No","2018","66 and older","Male","","","",""
"No","2018","66 and older","Female","","","",""
"Yes","2019","16-34 y.","Male","905","0.555263407329806","0.531994178032997","0.578532636626615"
"Yes","2019","16-34 y.","Female","877","0.503978254984582","0.480335789241261","0.527620720727903"
"Yes","2019","35-65 y.","Male","2828","0.571277710422227","0.558501625897006","0.584053794947448"
"Yes","2019","35-65 y.","Female","2936","0.532760885527695","0.520052618765745","0.545469152289645"
"Yes","2019","66 and older","Male","50","0.234125471402386","0.187657266585984","0.280593676218789"
"Yes","2019","66 and older","Female","37","0.253720523654185","0.192330473934982","0.315110573373388"
"No","2019","16-34 y.","Male","847","0.444736592670194","0.421467363373385","0.468005821967003"
"No","2019","16-34 y.","Female","841","0.496021745015418","0.472379279272097","0.519664210758739"
"No","2019","35-65 y.","Male","2936","0.428722289577773","0.415946205052552","0.441498374102994"
"No","2019","35-65 y.","Female","2985","0.467239114472305","0.454530847710355","0.479947381234255"
"No","2019","66 and older","Male","269","0.765874528597614","0.719406323781211","0.812342733414016"
"No","2019","66 and older","Female","156","0.746279476345815","0.684889426626612","0.807669526065018"
