"pli0080","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1991","higher education","East Germany","","","",""
"Min 1x per month","1991","in school","West Germany","","","",""
"Min 1x per month","1991","in school","East Germany","","","",""
"Min 1x per month","1991","inadequately","West Germany","","","",""
"Min 1x per month","1991","inadequately","East Germany","","","",""
"Min 1x per month","1991","general elemantary","West Germany","","","",""
"Min 1x per month","1991","general elemantary","East Germany","","","",""
"Min 1x per month","1991","middle vocational","West Germany","","","",""
"Min 1x per month","1991","middle vocational","East Germany","","","",""
"Min 1x per month","1991","vocational + Abi","West Germany","","","",""
"Min 1x per month","1991","vocational + Abi","East Germany","","","",""
"Min 1x per month","1991","higher vocational","West Germany","","","",""
"Min 1x per month","1991","higher vocational","East Germany","","","",""
"Min 1x per month","1991","higher education","West Germany","","","",""
"Min 1x per month","1991","higher education","East Germany","","","",""
"Rarely","1991","in school","West Germany","","","",""
"Rarely","1991","in school","East Germany","","","",""
"Rarely","1991","inadequately","West Germany","","","",""
"Rarely","1991","inadequately","East Germany","","","",""
"Rarely","1991","general elemantary","West Germany","","","",""
"Rarely","1991","general elemantary","East Germany","","","",""
"Rarely","1991","middle vocational","West Germany","","","",""
"Rarely","1991","middle vocational","East Germany","","","",""
"Rarely","1991","vocational + Abi","West Germany","","","",""
"Rarely","1991","vocational + Abi","East Germany","","","",""
"Rarely","1991","higher vocational","West Germany","","","",""
"Rarely","1991","higher vocational","East Germany","","","",""
"Rarely","1991","higher education","West Germany","","","",""
"Rarely","1991","higher education","East Germany","","","",""
"Never","1991","in school","West Germany","","","",""
"Never","1991","in school","East Germany","","","",""
"Never","1991","inadequately","West Germany","","","",""
"Never","1991","inadequately","East Germany","","","",""
"Never","1991","general elemantary","West Germany","","","",""
"Never","1991","general elemantary","East Germany","","","",""
"Never","1991","middle vocational","West Germany","","","",""
"Never","1991","middle vocational","East Germany","","","",""
"Never","1991","vocational + Abi","West Germany","","","",""
"Never","1991","vocational + Abi","East Germany","","","",""
"Never","1991","higher vocational","West Germany","","","",""
"Never","1991","higher vocational","East Germany","","","",""
"Never","1991","higher education","West Germany","","","",""
"Never","1991","higher education","East Germany","","","",""
"Daily","1992","in school","West Germany","","","",""
"Daily","1992","in school","East Germany","","","",""
"Daily","1992","inadequately","West Germany","","","",""
"Daily","1992","inadequately","East Germany","","","",""
"Daily","1992","general elemantary","West Germany","","","",""
"Daily","1992","general elemantary","East Germany","","","",""
"Daily","1992","middle vocational","West Germany","","","",""
"Daily","1992","middle vocational","East Germany","","","",""
"Daily","1992","vocational + Abi","West Germany","","","",""
"Daily","1992","vocational + Abi","East Germany","","","",""
"Daily","1992","higher vocational","West Germany","","","",""
"Daily","1992","higher vocational","East Germany","","","",""
"Daily","1992","higher education","West Germany","","","",""
"Daily","1992","higher education","East Germany","","","",""
"Min 1x per week","1992","in school","West Germany","","","",""
"Min 1x per week","1992","in school","East Germany","","","",""
"Min 1x per week","1992","inadequately","West Germany","","","",""
"Min 1x per week","1992","inadequately","East Germany","","","",""
"Min 1x per week","1992","general elemantary","West Germany","","","",""
"Min 1x per week","1992","general elemantary","East Germany","","","",""
"Min 1x per week","1992","middle vocational","West Germany","","","",""
"Min 1x per week","1992","middle vocational","East Germany","","","",""
"Min 1x per week","1992","vocational + Abi","West Germany","","","",""
"Min 1x per week","1992","vocational + Abi","East Germany","","","",""
"Min 1x per week","1992","higher vocational","West Germany","","","",""
"Min 1x per week","1992","higher vocational","East Germany","","","",""
"Min 1x per week","1992","higher education","West Germany","","","",""
"Min 1x per week","1992","higher education","East Germany","","","",""
"Min 1x per month","1992","in school","West Germany","","","",""
"Min 1x per month","1992","in school","East Germany","","","",""
"Min 1x per month","1992","inadequately","West Germany","","","",""
"Min 1x per month","1992","inadequately","East Germany","","","",""
"Min 1x per month","1992","general elemantary","West Germany","","","",""
"Min 1x per month","1992","general elemantary","East Germany","","","",""
"Min 1x per month","1992","middle vocational","West Germany","","","",""
"Min 1x per month","1992","middle vocational","East Germany","","","",""
"Min 1x per month","1992","vocational + Abi","West Germany","","","",""
"Min 1x per month","1992","vocational + Abi","East Germany","","","",""
"Min 1x per month","1992","higher vocational","West Germany","","","",""
"Min 1x per month","1992","higher vocational","East Germany","","","",""
"Min 1x per month","1992","higher education","West Germany","","","",""
"Min 1x per month","1992","higher education","East Germany","","","",""
"Rarely","1992","in school","West Germany","","","",""
"Rarely","1992","in school","East Germany","","","",""
"Rarely","1992","inadequately","West Germany","","","",""
"Rarely","1992","inadequately","East Germany","","","",""
"Rarely","1992","general elemantary","West Germany","","","",""
"Rarely","1992","general elemantary","East Germany","","","",""
"Rarely","1992","middle vocational","West Germany","","","",""
"Rarely","1992","middle vocational","East Germany","","","",""
"Rarely","1992","vocational + Abi","West Germany","","","",""
"Rarely","1992","vocational + Abi","East Germany","","","",""
"Rarely","1992","higher vocational","West Germany","","","",""
"Rarely","1992","higher vocational","East Germany","","","",""
"Rarely","1992","higher education","West Germany","","","",""
"Rarely","1992","higher education","East Germany","","","",""
"Never","1992","in school","West Germany","","","",""
"Never","1992","in school","East Germany","","","",""
"Never","1992","inadequately","West Germany","","","",""
"Never","1992","inadequately","East Germany","","","",""
"Never","1992","general elemantary","West Germany","","","",""
"Never","1992","general elemantary","East Germany","","","",""
"Never","1992","middle vocational","West Germany","","","",""
"Never","1992","middle vocational","East Germany","","","",""
"Never","1992","vocational + Abi","West Germany","","","",""
"Never","1992","vocational + Abi","East Germany","","","",""
"Never","1992","higher vocational","West Germany","","","",""
"Never","1992","higher vocational","East Germany","","","",""
"Never","1992","higher education","West Germany","","","",""
"Never","1992","higher education","East Germany","","","",""
"Daily","1993","in school","West Germany","","","",""
"Daily","1993","in school","East Germany","","","",""
"Daily","1993","inadequately","West Germany","","","",""
"Daily","1993","inadequately","East Germany","","","",""
"Daily","1993","general elemantary","West Germany","","","",""
"Daily","1993","general elemantary","East Germany","","","",""
"Daily","1993","middle vocational","West Germany","","","",""
"Daily","1993","middle vocational","East Germany","","","",""
"Daily","1993","vocational + Abi","West Germany","","","",""
"Daily","1993","vocational + Abi","East Germany","","","",""
"Daily","1993","higher vocational","West Germany","","","",""
"Daily","1993","higher vocational","East Germany","","","",""
"Daily","1993","higher education","West Germany","","","",""
"Daily","1993","higher education","East Germany","","","",""
"Min 1x per week","1993","in school","West Germany","","","",""
"Min 1x per week","1993","in school","East Germany","","","",""
"Min 1x per week","1993","inadequately","West Germany","","","",""
"Min 1x per week","1993","inadequately","East Germany","","","",""
"Min 1x per week","1993","general elemantary","West Germany","","","",""
"Min 1x per week","1993","general elemantary","East Germany","","","",""
"Min 1x per week","1993","middle vocational","West Germany","","","",""
"Min 1x per week","1993","middle vocational","East Germany","","","",""
"Min 1x per week","1993","vocational + Abi","West Germany","","","",""
"Min 1x per week","1993","vocational + Abi","East Germany","","","",""
"Min 1x per week","1993","higher vocational","West Germany","","","",""
"Min 1x per week","1993","higher vocational","East Germany","","","",""
"Min 1x per week","1993","higher education","West Germany","","","",""
"Min 1x per week","1993","higher education","East Germany","","","",""
"Min 1x per month","1993","in school","West Germany","","","",""
"Min 1x per month","1993","in school","East Germany","","","",""
"Min 1x per month","1993","inadequately","West Germany","","","",""
"Min 1x per month","1993","inadequately","East Germany","","","",""
"Min 1x per month","1993","general elemantary","West Germany","","","",""
"Min 1x per month","1993","general elemantary","East Germany","","","",""
"Min 1x per month","1993","middle vocational","West Germany","","","",""
"Min 1x per month","1993","middle vocational","East Germany","","","",""
"Min 1x per month","1993","vocational + Abi","West Germany","","","",""
"Min 1x per month","1993","vocational + Abi","East Germany","","","",""
"Min 1x per month","1993","higher vocational","West Germany","","","",""
"Min 1x per month","1993","higher vocational","East Germany","","","",""
"Min 1x per month","1993","higher education","West Germany","","","",""
"Min 1x per month","1993","higher education","East Germany","","","",""
"Rarely","1993","in school","West Germany","","","",""
"Rarely","1993","in school","East Germany","","","",""
"Rarely","1993","inadequately","West Germany","","","",""
"Rarely","1993","inadequately","East Germany","","","",""
"Rarely","1993","general elemantary","West Germany","","","",""
"Rarely","1993","general elemantary","East Germany","","","",""
"Rarely","1993","middle vocational","West Germany","","","",""
"Rarely","1993","middle vocational","East Germany","","","",""
"Rarely","1993","vocational + Abi","West Germany","","","",""
"Rarely","1993","vocational + Abi","East Germany","","","",""
"Rarely","1993","higher vocational","West Germany","","","",""
"Rarely","1993","higher vocational","East Germany","","","",""
"Rarely","1993","higher education","West Germany","","","",""
"Rarely","1993","higher education","East Germany","","","",""
"Never","1993","in school","West Germany","","","",""
"Never","1993","in school","East Germany","","","",""
"Never","1993","inadequately","West Germany","","","",""
"Never","1993","inadequately","East Germany","","","",""
"Never","1993","general elemantary","West Germany","","","",""
"Never","1993","general elemantary","East Germany","","","",""
"Never","1993","middle vocational","West Germany","","","",""
"Never","1993","middle vocational","East Germany","","","",""
"Never","1993","vocational + Abi","West Germany","","","",""
"Never","1993","vocational + Abi","East Germany","","","",""
"Never","1993","higher vocational","West Germany","","","",""
"Never","1993","higher vocational","East Germany","","","",""
"Never","1993","higher education","West Germany","","","",""
"Never","1993","higher education","East Germany","","","",""
"Daily","1994","in school","West Germany","","","",""
"Daily","1994","in school","East Germany","","","",""
"Daily","1994","inadequately","West Germany","","","",""
"Daily","1994","inadequately","East Germany","","","",""
"Daily","1994","general elemantary","West Germany","","","",""
"Daily","1994","general elemantary","East Germany","","","",""
"Daily","1994","middle vocational","West Germany","","","",""
"Daily","1994","middle vocational","East Germany","","","",""
"Daily","1994","vocational + Abi","West Germany","","","",""
"Daily","1994","vocational + Abi","East Germany","","","",""
"Daily","1994","higher vocational","West Germany","","","",""
"Daily","1994","higher vocational","East Germany","","","",""
"Daily","1994","higher education","West Germany","","","",""
"Daily","1994","higher education","East Germany","","","",""
"Min 1x per week","1994","in school","West Germany","","","",""
"Min 1x per week","1994","in school","East Germany","","","",""
"Min 1x per week","1994","inadequately","West Germany","","","",""
"Min 1x per week","1994","inadequately","East Germany","","","",""
"Min 1x per week","1994","general elemantary","West Germany","","","",""
"Min 1x per week","1994","general elemantary","East Germany","","","",""
"Min 1x per week","1994","middle vocational","West Germany","","","",""
"Min 1x per week","1994","middle vocational","East Germany","","","",""
"Min 1x per week","1994","vocational + Abi","West Germany","","","",""
"Min 1x per week","1994","vocational + Abi","East Germany","","","",""
"Min 1x per week","1994","higher vocational","West Germany","","","",""
"Min 1x per week","1994","higher vocational","East Germany","","","",""
"Min 1x per week","1994","higher education","West Germany","","","",""
"Min 1x per week","1994","higher education","East Germany","","","",""
"Min 1x per month","1994","in school","West Germany","","","",""
"Min 1x per month","1994","in school","East Germany","","","",""
"Min 1x per month","1994","inadequately","West Germany","","","",""
"Min 1x per month","1994","inadequately","East Germany","","","",""
"Min 1x per month","1994","general elemantary","West Germany","","","",""
"Min 1x per month","1994","general elemantary","East Germany","","","",""
"Min 1x per month","1994","middle vocational","West Germany","","","",""
"Min 1x per month","1994","middle vocational","East Germany","","","",""
"Min 1x per month","1994","vocational + Abi","West Germany","","","",""
"Min 1x per month","1994","vocational + Abi","East Germany","","","",""
"Min 1x per month","1994","higher vocational","West Germany","","","",""
"Min 1x per month","1994","higher vocational","East Germany","","","",""
"Min 1x per month","1994","higher education","West Germany","","","",""
"Min 1x per month","1994","higher education","East Germany","","","",""
"Rarely","1994","in school","West Germany","","","",""
"Rarely","1994","in school","East Germany","","","",""
"Rarely","1994","inadequately","West Germany","","","",""
"Rarely","1994","inadequately","East Germany","","","",""
"Rarely","1994","general elemantary","West Germany","","","",""
"Rarely","1994","general elemantary","East Germany","","","",""
"Rarely","1994","middle vocational","West Germany","","","",""
"Rarely","1994","middle vocational","East Germany","","","",""
"Rarely","1994","vocational + Abi","West Germany","","","",""
"Rarely","1994","vocational + Abi","East Germany","","","",""
"Rarely","1994","higher vocational","West Germany","","","",""
"Rarely","1994","higher vocational","East Germany","","","",""
"Rarely","1994","higher education","West Germany","","","",""
"Rarely","1994","higher education","East Germany","","","",""
"Never","1994","in school","West Germany","","","",""
"Never","1994","in school","East Germany","","","",""
"Never","1994","inadequately","West Germany","","","",""
"Never","1994","inadequately","East Germany","","","",""
"Never","1994","general elemantary","West Germany","","","",""
"Never","1994","general elemantary","East Germany","","","",""
"Never","1994","middle vocational","West Germany","","","",""
"Never","1994","middle vocational","East Germany","","","",""
"Never","1994","vocational + Abi","West Germany","","","",""
"Never","1994","vocational + Abi","East Germany","","","",""
"Never","1994","higher vocational","West Germany","","","",""
"Never","1994","higher vocational","East Germany","","","",""
"Never","1994","higher education","West Germany","","","",""
"Never","1994","higher education","East Germany","","","",""
"Daily","1995","in school","West Germany","50","0.240859713166569","0.179897560927391","0.301821865405747"
"Daily","1995","in school","East Germany","31","0.303150919255688","0.210726847212028","0.395574991299349"
"Daily","1995","inadequately","West Germany","54","0.118593551165161","0.090831734740709","0.146355367589614"
"Daily","1995","inadequately","East Germany","1","","",""
"Daily","1995","general elemantary","West Germany","197","0.079872886888726","0.0683329411848942","0.0914128325925578"
"Daily","1995","general elemantary","East Germany","53","0.133855724507231","0.0997551026947041","0.167956346319759"
"Daily","1995","middle vocational","West Germany","274","0.0517140323041758","0.0453735716460899","0.0580544929622617"
"Daily","1995","middle vocational","East Germany","89","0.056504109895406","0.0464871343397792","0.0665210854510328"
"Daily","1995","vocational + Abi","West Germany","25","","",""
"Daily","1995","vocational + Abi","East Germany","3","","",""
"Daily","1995","higher vocational","West Germany","14","","",""
"Daily","1995","higher vocational","East Germany","3","","",""
"Daily","1995","higher education","West Germany","27","","",""
"Daily","1995","higher education","East Germany","18","","",""
"Min 1x per week","1995","in school","West Germany","105","0.561909179549886","0.491174509990695","0.632643849109076"
"Min 1x per week","1995","in school","East Germany","40","0.444462209884891","0.344540349235937","0.544384070533845"
"Min 1x per week","1995","inadequately","West Germany","281","0.485900369384425","0.442983652626565","0.528817086142285"
"Min 1x per week","1995","inadequately","East Germany","3","","",""
"Min 1x per week","1995","general elemantary","West Germany","980","0.415606404202664","0.394627925072301","0.436584883333027"
"Min 1x per week","1995","general elemantary","East Germany","130","0.329973019426848","0.282882436663816","0.37706360218988"
"Min 1x per week","1995","middle vocational","West Germany","2047","0.39199078773852","0.37801295114776","0.40596862432928"
"Min 1x per week","1995","middle vocational","East Germany","628","0.323497186136066","0.303201831426624","0.343792540845509"
"Min 1x per week","1995","vocational + Abi","West Germany","217","0.542279044813231","0.493936465496305","0.590621624130156"
"Min 1x per week","1995","vocational + Abi","East Germany","25","","",""
"Min 1x per week","1995","higher vocational","West Germany","213","0.389470879941743","0.347956281292908","0.430985478590578"
"Min 1x per week","1995","higher vocational","East Germany","63","0.258332797899464","0.2018863767198","0.314779219079127"
"Min 1x per week","1995","higher education","West Germany","413","0.445603300060844","0.413538262131006","0.477668337990681"
"Min 1x per week","1995","higher education","East Germany","212","0.274220238981644","0.243961067506442","0.304479410456847"
"Min 1x per month","1995","in school","West Germany","19","","",""
"Min 1x per month","1995","in school","East Germany","14","","",""
"Min 1x per month","1995","inadequately","West Germany","117","0.23528966935921","0.198866382208786","0.271712956509635"
"Min 1x per month","1995","inadequately","East Germany","2","","",""
"Min 1x per month","1995","general elemantary","West Germany","522","0.259760391717002","0.241094326215289","0.278426457218714"
"Min 1x per month","1995","general elemantary","East Germany","83","0.207615578158833","0.166994949820708","0.248236206496957"
"Min 1x per month","1995","middle vocational","West Germany","1403","0.314455721816009","0.301162065249334","0.327749378382684"
"Min 1x per month","1995","middle vocational","East Germany","639","0.291130296599854","0.271421799956235","0.310838793243473"
"Min 1x per month","1995","vocational + Abi","West Germany","117","0.266949913269478","0.22402595872823","0.309873867810726"
"Min 1x per month","1995","vocational + Abi","East Germany","18","","",""
"Min 1x per month","1995","higher vocational","West Germany","200","0.369493017441122","0.328400928039282","0.410585106842962"
"Min 1x per month","1995","higher vocational","East Germany","82","0.295967890905847","0.23710241855668","0.354833363255014"
"Min 1x per month","1995","higher education","West Germany","319","0.346688254860522","0.315985521717265","0.377390988003778"
"Min 1x per month","1995","higher education","East Germany","312","0.354224555675612","0.321784249174991","0.386664862176233"
"Rarely","1995","in school","West Germany","14","","",""
"Rarely","1995","in school","East Germany","9","","",""
"Rarely","1995","inadequately","West Germany","49","0.108223215516521","0.0815474109363575","0.134899020096684"
"Rarely","1995","inadequately","East Germany","3","","",""
"Rarely","1995","general elemantary","West Germany","340","0.19408281168887","0.177247587374963","0.210918036002776"
"Rarely","1995","general elemantary","East Germany","88","0.234961975295204","0.192501093692634","0.277422856897775"
"Rarely","1995","middle vocational","West Germany","859","0.212295537920609","0.200587097919706","0.224003977921512"
"Rarely","1995","middle vocational","East Germany","596","0.268050674344026","0.248834118681121","0.28726723000693"
"Rarely","1995","vocational + Abi","West Germany","42","0.0975972901026755","0.0688009639072259","0.126393616298125"
"Rarely","1995","vocational + Abi","East Germany","21","","",""
"Rarely","1995","higher vocational","West Germany","95","0.198093476324092","0.164161659314967","0.232025293333217"
"Rarely","1995","higher vocational","East Germany","80","0.397822675525503","0.33470528043209","0.460940070618916"
"Rarely","1995","higher education","West Germany","153","0.168157282593759","0.144029040030781","0.192285525156736"
"Rarely","1995","higher education","East Germany","274","0.317971227427363","0.286384828709932","0.349557626144794"
"Never","1995","in school","West Germany","1","","",""
"Never","1995","in school","East Germany","1","","",""
"Never","1995","inadequately","West Germany","20","","",""
"Never","1995","inadequately","East Germany","1","","",""
"Never","1995","general elemantary","West Germany","81","0.0506775055027388","0.0413407784884019","0.0600142325170758"
"Never","1995","general elemantary","East Germany","29","","",""
"Never","1995","middle vocational","West Germany","103","0.0295439202206867","0.0246958494330643","0.034391991008309"
"Never","1995","middle vocational","East Germany","89","0.0608177330246481","0.0504492160135542","0.071186250035742"
"Never","1995","vocational + Abi","West Germany","7","","",""
"Never","1995","vocational + Abi","East Germany","2","","",""
"Never","1995","higher vocational","West Germany","8","","",""
"Never","1995","higher vocational","East Germany","3","","",""
"Never","1995","higher education","West Germany","11","","",""
"Never","1995","higher education","East Germany","19","","",""
"Daily","1996","in school","West Germany","","","",""
"Daily","1996","in school","East Germany","","","",""
"Daily","1996","inadequately","West Germany","","","",""
"Daily","1996","inadequately","East Germany","","","",""
"Daily","1996","general elemantary","West Germany","","","",""
"Daily","1996","general elemantary","East Germany","","","",""
"Daily","1996","middle vocational","West Germany","","","",""
"Daily","1996","middle vocational","East Germany","","","",""
"Daily","1996","vocational + Abi","West Germany","","","",""
"Daily","1996","vocational + Abi","East Germany","","","",""
"Daily","1996","higher vocational","West Germany","","","",""
"Daily","1996","higher vocational","East Germany","","","",""
"Daily","1996","higher education","West Germany","","","",""
"Daily","1996","higher education","East Germany","","","",""
"Min 1x per week","1996","in school","West Germany","","","",""
"Min 1x per week","1996","in school","East Germany","","","",""
"Min 1x per week","1996","inadequately","West Germany","","","",""
"Min 1x per week","1996","inadequately","East Germany","","","",""
"Min 1x per week","1996","general elemantary","West Germany","","","",""
"Min 1x per week","1996","general elemantary","East Germany","","","",""
"Min 1x per week","1996","middle vocational","West Germany","","","",""
"Min 1x per week","1996","middle vocational","East Germany","","","",""
"Min 1x per week","1996","vocational + Abi","West Germany","","","",""
"Min 1x per week","1996","vocational + Abi","East Germany","","","",""
"Min 1x per week","1996","higher vocational","West Germany","","","",""
"Min 1x per week","1996","higher vocational","East Germany","","","",""
"Min 1x per week","1996","higher education","West Germany","","","",""
"Min 1x per week","1996","higher education","East Germany","","","",""
"Min 1x per month","1996","in school","West Germany","","","",""
"Min 1x per month","1996","in school","East Germany","","","",""
"Min 1x per month","1996","inadequately","West Germany","","","",""
"Min 1x per month","1996","inadequately","East Germany","","","",""
"Min 1x per month","1996","general elemantary","West Germany","","","",""
"Min 1x per month","1996","general elemantary","East Germany","","","",""
"Min 1x per month","1996","middle vocational","West Germany","","","",""
"Min 1x per month","1996","middle vocational","East Germany","","","",""
"Min 1x per month","1996","vocational + Abi","West Germany","","","",""
"Min 1x per month","1996","vocational + Abi","East Germany","","","",""
"Min 1x per month","1996","higher vocational","West Germany","","","",""
"Min 1x per month","1996","higher vocational","East Germany","","","",""
"Min 1x per month","1996","higher education","West Germany","","","",""
"Min 1x per month","1996","higher education","East Germany","","","",""
"Rarely","1996","in school","West Germany","","","",""
"Rarely","1996","in school","East Germany","","","",""
"Rarely","1996","inadequately","West Germany","","","",""
"Rarely","1996","inadequately","East Germany","","","",""
"Rarely","1996","general elemantary","West Germany","","","",""
"Rarely","1996","general elemantary","East Germany","","","",""
"Rarely","1996","middle vocational","West Germany","","","",""
"Rarely","1996","middle vocational","East Germany","","","",""
"Rarely","1996","vocational + Abi","West Germany","","","",""
"Rarely","1996","vocational + Abi","East Germany","","","",""
"Rarely","1996","higher vocational","West Germany","","","",""
"Rarely","1996","higher vocational","East Germany","","","",""
"Rarely","1996","higher education","West Germany","","","",""
"Rarely","1996","higher education","East Germany","","","",""
"Never","1996","in school","West Germany","","","",""
"Never","1996","in school","East Germany","","","",""
"Never","1996","inadequately","West Germany","","","",""
"Never","1996","inadequately","East Germany","","","",""
"Never","1996","general elemantary","West Germany","","","",""
"Never","1996","general elemantary","East Germany","","","",""
"Never","1996","middle vocational","West Germany","","","",""
"Never","1996","middle vocational","East Germany","","","",""
"Never","1996","vocational + Abi","West Germany","","","",""
"Never","1996","vocational + Abi","East Germany","","","",""
"Never","1996","higher vocational","West Germany","","","",""
"Never","1996","higher vocational","East Germany","","","",""
"Never","1996","higher education","West Germany","","","",""
"Never","1996","higher education","East Germany","","","",""
"Daily","1997","in school","West Germany","","","",""
"Daily","1997","in school","East Germany","","","",""
"Daily","1997","inadequately","West Germany","","","",""
"Daily","1997","inadequately","East Germany","","","",""
