"plb0218","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes, every 3-4 weeks","2005","indirect migration background","East Germany","1","","",""
"Rarely","2005","no migration background","West Germany","1911","0.255762968345779","0.245717425833921","0.265808510857637"
"Rarely","2005","no migration background","East Germany","660","0.238189180837441","0.221597101188361","0.254781260486522"
"Rarely","2005","direct migration background","West Germany","248","0.236254434461167","0.212058824492114","0.260450044430219"
"Rarely","2005","direct migration background","East Germany","8","","",""
"Rarely","2005","indirect migration background","West Germany","85","0.198105691641197","0.161280172648948","0.234931210633447"
"Rarely","2005","indirect migration background","East Germany","3","","",""
"No, never","2006","no migration background","West Germany","","","",""
"No, never","2006","no migration background","East Germany","","","",""
"No, never","2006","direct migration background","West Germany","","","",""
"No, never","2006","direct migration background","East Germany","","","",""
"No, never","2006","indirect migration background","West Germany","","","",""
"No, never","2006","indirect migration background","East Germany","","","",""
"Yes, every week","2006","no migration background","West Germany","","","",""
"Yes, every week","2006","no migration background","East Germany","","","",""
"Yes, every week","2006","direct migration background","West Germany","","","",""
"Yes, every week","2006","direct migration background","East Germany","","","",""
"Yes, every week","2006","indirect migration background","West Germany","","","",""
"Yes, every week","2006","indirect migration background","East Germany","","","",""
"Yes, every 2 weeks","2006","no migration background","West Germany","","","",""
"Yes, every 2 weeks","2006","no migration background","East Germany","","","",""
"Yes, every 2 weeks","2006","direct migration background","West Germany","","","",""
"Yes, every 2 weeks","2006","direct migration background","East Germany","","","",""
"Yes, every 2 weeks","2006","indirect migration background","West Germany","","","",""
"Yes, every 2 weeks","2006","indirect migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2006","no migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2006","no migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2006","indirect migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2006","indirect migration background","East Germany","","","",""
"Rarely","2006","no migration background","West Germany","","","",""
"Rarely","2006","no migration background","East Germany","","","",""
"Rarely","2006","direct migration background","West Germany","","","",""
"Rarely","2006","direct migration background","East Germany","","","",""
"Rarely","2006","indirect migration background","West Germany","","","",""
"Rarely","2006","indirect migration background","East Germany","","","",""
"No, never","2007","no migration background","West Germany","2723","0.354026910881281","0.343089686858831","0.364964134903732"
"No, never","2007","no migration background","East Germany","781","0.292858777867836","0.275288724445987","0.310428831289685"
"No, never","2007","direct migration background","West Germany","423","0.401074530293876","0.371625146638481","0.430523913949272"
"No, never","2007","direct migration background","East Germany","10","","",""
"No, never","2007","indirect migration background","West Germany","207","0.440125699203097","0.395151980930088","0.485099417476105"
"No, never","2007","indirect migration background","East Germany","14","","",""
"Yes, every week","2007","no migration background","West Germany","1105","0.148700635729789","0.140563354531486","0.156837916928093"
"Yes, every week","2007","no migration background","East Germany","372","0.150385408592093","0.13658459426489","0.164186222919295"
"Yes, every week","2007","direct migration background","West Germany","134","0.131579001807283","0.111267794971013","0.151890208643554"
"Yes, every week","2007","direct migration background","East Germany","4","","",""
"Yes, every week","2007","indirect migration background","West Germany","74","0.18872967535666","0.153278710800449","0.22418063991287"
"Yes, every week","2007","indirect migration background","East Germany","4","","",""
"Yes, every 2 weeks","2007","no migration background","West Germany","965","0.144971877254807","0.136919690518868","0.153024063990747"
"Yes, every 2 weeks","2007","no migration background","East Germany","489","0.20182068113782","0.186324526166326","0.217316836109314"
"Yes, every 2 weeks","2007","direct migration background","West Germany","185","0.180073932238239","0.156985733705298","0.203162130771181"
"Yes, every 2 weeks","2007","direct migration background","East Germany","4","","",""
"Yes, every 2 weeks","2007","indirect migration background","West Germany","57","0.118931803537029","0.089604041124529","0.148259565949528"
"Yes, every 2 weeks","2007","indirect migration background","East Germany","1","","",""
"Yes, every 3-4 weeks","2007","no migration background","West Germany","700","0.101552742471618","0.0946443996863855","0.10846108525685"
"Yes, every 3-4 weeks","2007","no migration background","East Germany","261","0.0996869929484886","0.0881203616556078","0.111253624241369"
"Yes, every 3-4 weeks","2007","direct migration background","West Germany","101","0.0791768634404544","0.0629526169757315","0.0954011099051772"
"Yes, every 3-4 weeks","2007","direct migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2007","indirect migration background","West Germany","49","0.128251333133307","0.0979576725962361","0.158544993670378"
"Yes, every 3-4 weeks","2007","indirect migration background","East Germany","4","","",""
"Rarely","2007","no migration background","West Germany","1851","0.250747833662504","0.240834622542188","0.26066104478282"
"Rarely","2007","no migration background","East Germany","674","0.255248139453763","0.238414501876139","0.272081777031387"
"Rarely","2007","direct migration background","West Germany","221","0.208095672220146","0.183703798701947","0.232487545738346"
"Rarely","2007","direct migration background","East Germany","5","","",""
"Rarely","2007","indirect migration background","West Germany","81","0.123961488769908","0.0941055895946078","0.153817387945208"
"Rarely","2007","indirect migration background","East Germany","6","","",""
"No, never","2008","no migration background","West Germany","","","",""
"No, never","2008","no migration background","East Germany","","","",""
"No, never","2008","direct migration background","West Germany","","","",""
"No, never","2008","direct migration background","East Germany","","","",""
"No, never","2008","indirect migration background","West Germany","","","",""
"No, never","2008","indirect migration background","East Germany","","","",""
"Yes, every week","2008","no migration background","West Germany","","","",""
"Yes, every week","2008","no migration background","East Germany","","","",""
"Yes, every week","2008","direct migration background","West Germany","","","",""
"Yes, every week","2008","direct migration background","East Germany","","","",""
"Yes, every week","2008","indirect migration background","West Germany","","","",""
"Yes, every week","2008","indirect migration background","East Germany","","","",""
"Yes, every 2 weeks","2008","no migration background","West Germany","","","",""
"Yes, every 2 weeks","2008","no migration background","East Germany","","","",""
"Yes, every 2 weeks","2008","direct migration background","West Germany","","","",""
"Yes, every 2 weeks","2008","direct migration background","East Germany","","","",""
"Yes, every 2 weeks","2008","indirect migration background","West Germany","","","",""
"Yes, every 2 weeks","2008","indirect migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2008","no migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2008","no migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2008","direct migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2008","direct migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2008","indirect migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2008","indirect migration background","East Germany","","","",""
"Rarely","2008","no migration background","West Germany","","","",""
"Rarely","2008","no migration background","East Germany","","","",""
"Rarely","2008","direct migration background","West Germany","","","",""
"Rarely","2008","direct migration background","East Germany","","","",""
"Rarely","2008","indirect migration background","West Germany","","","",""
"Rarely","2008","indirect migration background","East Germany","","","",""
"No, never","2009","no migration background","West Germany","2390","0.355436960698622","0.343809855836277","0.367064065560966"
"No, never","2009","no migration background","East Germany","731","0.295979781531515","0.277582396104993","0.314377166958038"
"No, never","2009","direct migration background","West Germany","354","0.418104495157782","0.38502308032994","0.451185909985625"
"No, never","2009","direct migration background","East Germany","8","","",""
"No, never","2009","indirect migration background","West Germany","188","0.419566360587546","0.373298012947497","0.465834708227594"
"No, never","2009","indirect migration background","East Germany","10","","",""
"Yes, every week","2009","no migration background","West Germany","1005","0.151474491450303","0.142765661718754","0.160183321181852"
"Yes, every week","2009","no migration background","East Germany","334","0.14377879586614","0.129638030084497","0.157919561647784"
"Yes, every week","2009","direct migration background","West Germany","141","0.185016580258325","0.158973109149569","0.21106005136708"
"Yes, every week","2009","direct migration background","East Germany","5","","",""
"Yes, every week","2009","indirect migration background","West Germany","77","0.198846091694738","0.161424360051246","0.23626782333823"
"Yes, every week","2009","indirect migration background","East Germany","5","","",""
"Yes, every 2 weeks","2009","no migration background","West Germany","866","0.14436230964515","0.135824834330682","0.152899784959617"
"Yes, every 2 weeks","2009","no migration background","East Germany","397","0.180223135316219","0.164731915456257","0.195714355176181"
"Yes, every 2 weeks","2009","direct migration background","West Germany","126","0.136373384918489","0.113356477293911","0.159390292543067"
"Yes, every 2 weeks","2009","direct migration background","East Germany","4","","",""
"Yes, every 2 weeks","2009","indirect migration background","West Germany","66","0.151360196501606","0.117757439395005","0.184962953608207"
"Yes, every 2 weeks","2009","indirect migration background","East Germany","2","","",""
"Yes, every 3-4 weeks","2009","no migration background","West Germany","565","0.0861276447833077","0.0793125538901004","0.092942735676515"
"Yes, every 3-4 weeks","2009","no migration background","East Germany","260","0.108674201518629","0.0961308386595257","0.121217564377732"
"Yes, every 3-4 weeks","2009","direct migration background","West Germany","61","0.0796686614098874","0.0615078595105369","0.0978294633092378"
"Yes, every 3-4 weeks","2009","direct migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2009","indirect migration background","West Germany","27","","",""
"Yes, every 3-4 weeks","2009","indirect migration background","East Germany","1","","",""
"Rarely","2009","no migration background","West Germany","1684","0.262598593422618","0.251909133204887","0.273288053640349"
"Rarely","2009","no migration background","East Germany","643","0.271344085767497","0.253423428019847","0.289264743515147"
"Rarely","2009","direct migration background","West Germany","172","0.180836878255517","0.155023321261979","0.206650435249055"
"Rarely","2009","direct migration background","East Germany","6","","",""
"Rarely","2009","indirect migration background","West Germany","79","0.17673140235279","0.140968314510365","0.212494490195216"
"Rarely","2009","indirect migration background","East Germany","4","","",""
"No, never","2010","no migration background","West Germany","984","0.369779807813124","0.351828349974362","0.387731265651886"
"No, never","2010","no migration background","East Germany","245","0.330298882969188","0.297057507542778","0.363540258395599"
"No, never","2010","direct migration background","West Germany","207","0.305051700384536","0.270746653502784","0.339356747266289"
"No, never","2010","direct migration background","East Germany","5","","",""
"No, never","2010","indirect migration background","West Germany","88","0.353816198552021","0.292940941580378","0.414691455523665"
"No, never","2010","indirect migration background","East Germany","5","","",""
"Yes, every week","2010","no migration background","West Germany","388","0.131483821081169","0.11891753087276","0.144050111289578"
"Yes, every week","2010","no migration background","East Germany","98","0.129873762404812","0.106114291543168","0.153633233266456"
"Yes, every week","2010","direct migration background","West Germany","103","0.138506649133355","0.112769744102066","0.164243554164643"
"Yes, every week","2010","direct migration background","East Germany","5","","",""
"Yes, every week","2010","indirect migration background","West Germany","37","0.156602961309605","0.110333979880266","0.202871942738945"
"Yes, every week","2010","indirect migration background","East Germany","2","","",""
"Yes, every 2 weeks","2010","no migration background","West Germany","417","0.150947764456299","0.137635175648173","0.164260353264425"
"Yes, every 2 weeks","2010","no migration background","East Germany","152","0.196589608727785","0.168500761077807","0.224678456377763"
"Yes, every 2 weeks","2010","direct migration background","West Germany","140","0.195717253692005","0.16615660389295","0.225277903491059"
"Yes, every 2 weeks","2010","direct migration background","East Germany","4","","",""
"Yes, every 2 weeks","2010","indirect migration background","West Germany","41","0.175035589060654","0.126656832153395","0.223414345967913"
"Yes, every 2 weeks","2010","indirect migration background","East Germany","5","","",""
"Yes, every 3-4 weeks","2010","no migration background","West Germany","248","0.0847934933330265","0.0744343752466941","0.0951526114193589"
"Yes, every 3-4 weeks","2010","no migration background","East Germany","79","0.104952683155434","0.0832903768939559","0.126614989416912"
"Yes, every 3-4 weeks","2010","direct migration background","West Germany","82","0.126032761087703","0.101305025638064","0.150760496537342"
"Yes, every 3-4 weeks","2010","direct migration background","East Germany","1","","",""
"Yes, every 3-4 weeks","2010","indirect migration background","West Germany","22","","",""
"Yes, every 3-4 weeks","2010","indirect migration background","East Germany","1","","",""
"Rarely","2010","no migration background","West Germany","741","0.262995113316381","0.246623518279042","0.279366708353721"
"Rarely","2010","no migration background","East Germany","195","0.238285062742781","0.208173758524598","0.268396366960964"
"Rarely","2010","direct migration background","West Germany","160","0.234691635702401","0.203115274620849","0.266267996783952"
"Rarely","2010","direct migration background","East Germany","10","","",""
"Rarely","2010","indirect migration background","West Germany","49","0.212749254778488","0.160646044583371","0.264852464973605"
"Rarely","2010","indirect migration background","East Germany","8","","",""
"No, never","2011","no migration background","West Germany","4160","0.380707349025957","0.371515253078047","0.389899444973867"
"No, never","2011","no migration background","East Germany","1157","0.322919635321655","0.30731671538925","0.338522555254059"
"No, never","2011","direct migration background","West Germany","673","0.38803860965299","0.364995770277052","0.411081449028928"
"No, never","2011","direct migration background","East Germany","16","","",""
"No, never","2011","indirect migration background","West Germany","293","0.374328934173757","0.340124323171122","0.408533545176392"
"No, never","2011","indirect migration background","East Germany","20","","",""
"Yes, every week","2011","no migration background","West Germany","1571","0.148180900645182","0.141455150071063","0.154906651219301"
"Yes, every week","2011","no migration background","East Germany","467","0.13512478594585","0.123717488169553","0.146532083722146"
"Yes, every week","2011","direct migration background","West Germany","262","0.151562771355116","0.134606020523418","0.168519522186814"
"Yes, every week","2011","direct migration background","East Germany","4","","",""
"Yes, every week","2011","indirect migration background","West Germany","130","0.195982422196222","0.167926389862885","0.224038454529559"
"Yes, every week","2011","indirect migration background","East Germany","6","","",""
"Yes, every 2 weeks","2011","no migration background","West Germany","1535","0.140931476489935","0.134344458343914","0.147518494635955"
"Yes, every 2 weeks","2011","no migration background","East Germany","654","0.189244835637548","0.176174238659653","0.202315432615442"
"Yes, every 2 weeks","2011","direct migration background","West Germany","298","0.178101423005023","0.160009725393267","0.19619312061678"
"Yes, every 2 weeks","2011","direct migration background","East Germany","6","","",""
"Yes, every 2 weeks","2011","indirect migration background","West Germany","121","0.169710452283804","0.143179428928246","0.196241475639362"
"Yes, every 2 weeks","2011","indirect migration background","East Germany","8","","",""
"Yes, every 3-4 weeks","2011","no migration background","West Germany","955","0.0854899490691299","0.0801966951686269","0.090783202969633"
"Yes, every 3-4 weeks","2011","no migration background","East Germany","350","0.107581708955644","0.0972423885377565","0.117921029373531"
"Yes, every 3-4 weeks","2011","direct migration background","West Germany","155","0.0969778403610409","0.0829844815784265","0.110971199143655"
"Yes, every 3-4 weeks","2011","direct migration background","East Germany","11","","",""
"Yes, every 3-4 weeks","2011","indirect migration background","West Germany","75","0.0890300222857631","0.0689018104530688","0.109158234118457"
"Yes, every 3-4 weeks","2011","indirect migration background","East Germany","7","","",""
"Rarely","2011","no migration background","West Germany","2498","0.244690324769796","0.236551871424324","0.252828778115269"
"Rarely","2011","no migration background","East Germany","822","0.245129034139304","0.230775055971765","0.259483012306843"
"Rarely","2011","direct migration background","West Germany","330","0.18531935562583","0.166945910310664","0.203692800940995"
"Rarely","2011","direct migration background","East Germany","12","","",""
"Rarely","2011","indirect migration background","West Germany","150","0.170948169060454","0.144340428988179","0.197555909132728"
"Rarely","2011","indirect migration background","East Germany","13","","",""
"No, never","2012","no migration background","West Germany","1317","0.407908141051609","0.391009609507274","0.424806672595945"
"No, never","2012","no migration background","East Germany","342","0.384106493294967","0.351952694436857","0.416260292153077"
"No, never","2012","direct migration background","West Germany","263","0.385013631369816","0.348706298789935","0.421320963949697"
"No, never","2012","direct migration background","East Germany","10","","",""
"No, never","2012","indirect migration background","West Germany","112","0.401693100485953","0.345269826361698","0.458116374610207"
"No, never","2012","indirect migration background","East Germany","5","","",""
"Yes, every week","2012","no migration background","West Germany","485","0.143672397757891","0.131611493311639","0.155733302204142"
"Yes, every week","2012","no migration background","East Germany","113","0.125546921656985","0.103642845376715","0.147450997937255"
"Yes, every week","2012","direct migration background","West Germany","102","0.13792835090321","0.112199404701572","0.163657297104848"
"Yes, every week","2012","direct migration background","East Germany","4","","",""
"Yes, every week","2012","indirect migration background","West Germany","40","0.152329022026239","0.11097154128732","0.193686502765159"
"Yes, every week","2012","indirect migration background","East Germany","1","","",""
"Yes, every 2 weeks","2012","no migration background","West Germany","487","0.147858850874899","0.135653432591383","0.160064269158415"
"Yes, every 2 weeks","2012","no migration background","East Germany","165","0.181767688935339","0.156272965281323","0.207262412589354"
"Yes, every 2 weeks","2012","direct migration background","West Germany","137","0.230544400418629","0.19911814636593","0.261970654471327"
"Yes, every 2 weeks","2012","direct migration background","East Germany","4","","",""
"Yes, every 2 weeks","2012","indirect migration background","West Germany","62","0.213663620490304","0.166487897143524","0.260839343837084"
"Yes, every 2 weeks","2012","indirect migration background","East Germany","5","","",""
"Yes, every 3-4 weeks","2012","no migration background","West Germany","287","0.0870064490850923","0.0773151317927978","0.0966977663773868"
"Yes, every 3-4 weeks","2012","no migration background","East Germany","79","0.0978872699386503","0.0782424900406658","0.117532049836635"
"Yes, every 3-4 weeks","2012","direct migration background","West Germany","75","0.102070251692562","0.0794813914492669","0.124659111935856"
"Yes, every 3-4 weeks","2012","direct migration background","East Germany","4","","",""
"Yes, every 3-4 weeks","2012","indirect migration background","West Germany","24","","",""
"Yes, every 3-4 weeks","2012","indirect migration background","East Germany","2","","",""
"Rarely","2012","no migration background","West Germany","673","0.213554161230509","0.199462517199505","0.227645805261513"
"Rarely","2012","no migration background","East Germany","180","0.210691626174059","0.183732820625526","0.237650431722593"
"Rarely","2012","direct migration background","West Germany","113","0.144443365615783","0.118213460055757","0.170673271175809"
"Rarely","2012","direct migration background","East Germany","6","","",""
"Rarely","2012","indirect migration background","West Germany","52","0.142006819639767","0.101832770115014","0.182180869164519"
"Rarely","2012","indirect migration background","East Germany","7","","",""
"No, never","2013","no migration background","West Germany","3947","0.375674692749304","0.366165998581338","0.38518338691727"
"No, never","2013","no migration background","East Germany","1121","0.328863162231782","0.312590800869217","0.345135523594346"
"No, never","2013","direct migration background","West Germany","590","0.379437475438066","0.355115030327247","0.403759920548886"
"No, never","2013","direct migration background","East Germany","17","","",""
"No, never","2013","indirect migration background","West Germany","308","0.412551167360297","0.37712941266644","0.447972922054154"
"No, never","2013","indirect migration background","East Germany","19","","",""
"Yes, every week","2013","no migration background","West Germany","1322","0.132674809299846","0.126014496047614","0.139335122552078"
"Yes, every week","2013","no migration background","East Germany","404","0.126157633042295","0.114657291409456","0.137657974675133"
"Yes, every week","2013","direct migration background","West Germany","247","0.160880612109957","0.142464070393559","0.179297153826355"
"Yes, every week","2013","direct migration background","East Germany","5","","",""
"Yes, every week","2013","indirect migration background","West Germany","117","0.191870049841064","0.16353719518126","0.220202904500868"
"Yes, every week","2013","indirect migration background","East Germany","4","","",""
"Yes, every 2 weeks","2013","no migration background","West Germany","1431","0.144765519237396","0.137857005798184","0.151674032676608"
"Yes, every 2 weeks","2013","no migration background","East Germany","559","0.194885921452143","0.181165850062917","0.208605992841368"
"Yes, every 2 weeks","2013","direct migration background","West Germany","274","0.162760237330197","0.14425718280997","0.181263291850424"
"Yes, every 2 weeks","2013","direct migration background","East Germany","13","","",""
"Yes, every 2 weeks","2013","indirect migration background","West Germany","128","0.150088489610978","0.124390053944933","0.175786925277024"
"Yes, every 2 weeks","2013","indirect migration background","East Germany","12","","",""
"Yes, every 3-4 weeks","2013","no migration background","West Germany","840","0.0893655515324553","0.0837645389649659","0.0949665640999448"
"Yes, every 3-4 weeks","2013","no migration background","East Germany","323","0.0989236985571709","0.0885825593645352","0.109264837749807"
"Yes, every 3-4 weeks","2013","direct migration background","West Germany","129","0.0976501222484595","0.0827713112908058","0.112528933206113"
"Yes, every 3-4 weeks","2013","direct migration background","East Germany","3","","",""
"Yes, every 3-4 weeks","2013","indirect migration background","West Germany","56","0.0721692888324055","0.0535502729234744","0.0907883047413366"
"Yes, every 3-4 weeks","2013","indirect migration background","East Germany","9","","",""
"Rarely","2013","no migration background","West Germany","2425","0.257519427180998","0.248934097327225","0.266104757034771"
"Rarely","2013","no migration background","East Germany","795","0.25116958471661","0.236148105926303","0.266191063506917"
"Rarely","2013","direct migration background","West Germany","289","0.19927155287332","0.179249452704528","0.219293653042112"
"Rarely","2013","direct migration background","East Germany","11","","",""
"Rarely","2013","indirect migration background","West Germany","133","0.173321004355255","0.146085201088438","0.200556807622072"
"Rarely","2013","indirect migration background","East Germany","14","","",""
"No, never","2014","no migration background","West Germany","","","",""
"No, never","2014","no migration background","East Germany","","","",""
"No, never","2014","direct migration background","West Germany","","","",""
"No, never","2014","direct migration background","East Germany","","","",""
"No, never","2014","indirect migration background","West Germany","","","",""
"No, never","2014","indirect migration background","East Germany","","","",""
"Yes, every week","2014","no migration background","West Germany","","","",""
"Yes, every week","2014","no migration background","East Germany","","","",""
"Yes, every week","2014","direct migration background","West Germany","","","",""
"Yes, every week","2014","direct migration background","East Germany","","","",""
"Yes, every week","2014","indirect migration background","West Germany","","","",""
"Yes, every week","2014","indirect migration background","East Germany","","","",""
"Yes, every 2 weeks","2014","no migration background","West Germany","","","",""
"Yes, every 2 weeks","2014","no migration background","East Germany","","","",""
"Yes, every 2 weeks","2014","direct migration background","West Germany","","","",""
"Yes, every 2 weeks","2014","direct migration background","East Germany","","","",""
"Yes, every 2 weeks","2014","indirect migration background","West Germany","","","",""
"Yes, every 2 weeks","2014","indirect migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2014","no migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2014","no migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2014","direct migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2014","direct migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2014","indirect migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2014","indirect migration background","East Germany","","","",""
"Rarely","2014","no migration background","West Germany","","","",""
"Rarely","2014","no migration background","East Germany","","","",""
"Rarely","2014","direct migration background","West Germany","","","",""
"Rarely","2014","direct migration background","East Germany","","","",""
"Rarely","2014","indirect migration background","West Germany","","","",""
"Rarely","2014","indirect migration background","East Germany","","","",""
"No, never","2015","no migration background","West Germany","3457","0.386269915592453","0.376067499508615","0.396472331676291"
"No, never","2015","no migration background","East Germany","1003","0.347819809040628","0.330051155969423","0.365588462111834"
"No, never","2015","direct migration background","West Germany","1089","0.397987452180888","0.379110870591964","0.416864033769813"
"No, never","2015","direct migration background","East Germany","64","0.333120855004147","0.256138476668106","0.410103233340187"
"No, never","2015","indirect migration background","West Germany","420","0.401036539692388","0.370825571060551","0.431247508324225"
"No, never","2015","indirect migration background","East Germany","23","","",""
"Yes, every week","2015","no migration background","West Germany","1143","0.133166676728764","0.126047423140614","0.140285930316915"
"Yes, every week","2015","no migration background","East Germany","330","0.116315276389805","0.104354466098353","0.128276086681257"
"Yes, every week","2015","direct migration background","West Germany","419","0.167223835230047","0.152832565236538","0.181615105223556"
"Yes, every week","2015","direct migration background","East Germany","11","","",""
"Yes, every week","2015","indirect migration background","West Germany","161","0.164276255719217","0.141436509094577","0.187116002343856"
"Yes, every week","2015","indirect migration background","East Germany","10","","",""
"Yes, every 2 weeks","2015","no migration background","West Germany","1221","0.145610946840977","0.138220107984972","0.153001785696982"
"Yes, every 2 weeks","2015","no migration background","East Germany","500","0.191452099247442","0.176773774454319","0.206130424040565"
"Yes, every 2 weeks","2015","direct migration background","West Germany","443","0.173877876396412","0.159261821078936","0.188493931713888"
"Yes, every 2 weeks","2015","direct migration background","East Germany","24","","",""
"Yes, every 2 weeks","2015","indirect migration background","West Germany","160","0.172711086346796","0.149410801871574","0.196011370822018"
"Yes, every 2 weeks","2015","indirect migration background","East Germany","17","","",""
"Yes, every 3-4 weeks","2015","no migration background","West Germany","741","0.0831076542291801","0.0773233840747585","0.0888919243836016"
"Yes, every 3-4 weeks","2015","no migration background","East Germany","245","0.0941195089034612","0.0832259739900984","0.105013043816824"
"Yes, every 3-4 weeks","2015","direct migration background","West Germany","213","0.0962510358439687","0.0848770547973118","0.107625016890626"
"Yes, every 3-4 weeks","2015","direct migration background","East Germany","15","","",""
"Yes, every 3-4 weeks","2015","indirect migration background","West Germany","88","0.0797652222707853","0.0630647549414483","0.0964656896001223"
"Yes, every 3-4 weeks","2015","indirect migration background","East Germany","7","","",""
"Rarely","2015","no migration background","West Germany","2187","0.251844806608626","0.24274920918443","0.260940404032822"
"Rarely","2015","no migration background","East Germany","682","0.250293306418663","0.234132468974115","0.266454143863212"
"Rarely","2015","direct migration background","West Germany","419","0.164659800348684","0.150357319626782","0.178962281070587"
"Rarely","2015","direct migration background","East Germany","30","0.261202798928267","0.189453381548168","0.332952216308365"
"Rarely","2015","indirect migration background","West Germany","182","0.182210895970814","0.158416189871392","0.206005602070236"
"Rarely","2015","indirect migration background","East Germany","15","","",""
"No, never","2016","no migration background","West Germany","","","",""
"No, never","2016","no migration background","East Germany","","","",""
"No, never","2016","direct migration background","West Germany","","","",""
"No, never","2016","direct migration background","East Germany","","","",""
"No, never","2016","indirect migration background","West Germany","","","",""
"No, never","2016","indirect migration background","East Germany","","","",""
"Yes, every week","2016","no migration background","West Germany","","","",""
"Yes, every week","2016","no migration background","East Germany","","","",""
"Yes, every week","2016","direct migration background","West Germany","","","",""
"Yes, every week","2016","direct migration background","East Germany","","","",""
"Yes, every week","2016","indirect migration background","West Germany","","","",""
"Yes, every week","2016","indirect migration background","East Germany","","","",""
"Yes, every 2 weeks","2016","no migration background","West Germany","","","",""
"Yes, every 2 weeks","2016","no migration background","East Germany","","","",""
"Yes, every 2 weeks","2016","direct migration background","West Germany","","","",""
"Yes, every 2 weeks","2016","direct migration background","East Germany","","","",""
"Yes, every 2 weeks","2016","indirect migration background","West Germany","","","",""
"Yes, every 2 weeks","2016","indirect migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2016","no migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2016","no migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2016","direct migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2016","direct migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2016","indirect migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2016","indirect migration background","East Germany","","","",""
"Rarely","2016","no migration background","West Germany","","","",""
"Rarely","2016","no migration background","East Germany","","","",""
"Rarely","2016","direct migration background","West Germany","","","",""
"Rarely","2016","direct migration background","East Germany","","","",""
"Rarely","2016","indirect migration background","West Germany","","","",""
"Rarely","2016","indirect migration background","East Germany","","","",""
