"ple0004","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"A little","2007","vocational + Abi","","","",""
"A little","2007","higher vocational","","","",""
"A little","2007","higher education","","","",""
"Not at all","2007","in school","","","",""
"Not at all","2007","inadequately","","","",""
"Not at all","2007","general elemantary","","","",""
"Not at all","2007","middle vocational","","","",""
"Not at all","2007","vocational + Abi","","","",""
"Not at all","2007","higher vocational","","","",""
"Not at all","2007","higher education","","","",""
"Strong","2008","in school","1","","",""
"Strong","2008","inadequately","39","0.188741976101758","0.132507148194313","0.244976804009203"
"Strong","2008","general elemantary","396","0.211864112152182","0.194092681964992","0.229635542339371"
"Strong","2008","middle vocational","1121","0.122615264477746","0.116106118337649","0.129124410617844"
"Strong","2008","vocational + Abi","70","0.0788649387169264","0.0629299086773529","0.0947999687564999"
"Strong","2008","higher vocational","143","0.11658986554038","0.0998975914179026","0.133282139662857"
"Strong","2008","higher education","276","0.0712825970287228","0.0635049131724426","0.0790602808850029"
"A little","2008","in school","37","0.084881481615699","0.055848502096248","0.11391446113515"
"A little","2008","inadequately","68","0.381736124521611","0.311919285050628","0.451552963992593"
"A little","2008","general elemantary","670","0.342517144557414","0.321878721860003","0.363155567254826"
"A little","2008","middle vocational","3094","0.330860173963073","0.321522528038856","0.34019781988729"
"A little","2008","vocational + Abi","272","0.260559026154012","0.234608028286478","0.286510024021546"
"A little","2008","higher vocational","463","0.328489073458142","0.304060903957993","0.35291724295829"
"A little","2008","higher education","1133","0.26946360954823","0.256051789241253","0.282875429855207"
"Not at all","2008","in school","316","0.913701698176977","0.88445008639823","0.942953309955725"
"Not at all","2008","inadequately","79","0.429521899376631","0.358383553383803","0.500660245369459"
"Not at all","2008","general elemantary","965","0.445618743290404","0.424002554565796","0.467234932015012"
"Not at all","2008","middle vocational","5539","0.546524561559181","0.536644982468008","0.556404140650353"
"Not at all","2008","vocational + Abi","757","0.660576035129062","0.632580942880246","0.688571127377877"
"Not at all","2008","higher vocational","814","0.554921061001478","0.52907240036105","0.580769721641907"
"Not at all","2008","higher education","2795","0.659253793423047","0.644926684228182","0.673580902617912"
"Strong","2009","in school","","","",""
"Strong","2009","inadequately","","","",""
"Strong","2009","general elemantary","","","",""
"Strong","2009","middle vocational","","","",""
"Strong","2009","vocational + Abi","","","",""
"Strong","2009","higher vocational","","","",""
"Strong","2009","higher education","","","",""
"A little","2009","in school","","","",""
"A little","2009","inadequately","","","",""
"A little","2009","general elemantary","","","",""
"A little","2009","middle vocational","","","",""
"A little","2009","vocational + Abi","","","",""
"A little","2009","higher vocational","","","",""
"A little","2009","higher education","","","",""
"Not at all","2009","in school","","","",""
"Not at all","2009","inadequately","","","",""
"Not at all","2009","general elemantary","","","",""
"Not at all","2009","middle vocational","","","",""
"Not at all","2009","vocational + Abi","","","",""
"Not at all","2009","higher vocational","","","",""
"Not at all","2009","higher education","","","",""
"Strong","2010","in school","2","","",""
"Strong","2010","inadequately","33","0.29473523486147","0.218941586357104","0.370528883365837"
"Strong","2010","general elemantary","338","0.227448605565494","0.207111303296873","0.247785907834116"
"Strong","2010","middle vocational","1015","0.135731763962372","0.12837397922437","0.143089548700373"
"Strong","2010","vocational + Abi","62","0.088794967129962","0.0706400414681808","0.106949892791743"
"Strong","2010","higher vocational","139","0.101574850574669","0.0848749264289374","0.118274774720401"
"Strong","2010","higher education","249","0.0816010289639234","0.072942462586761","0.0902595953410859"
"A little","2010","in school","22","","",""
"A little","2010","inadequately","53","0.398621906456159","0.317227403806005","0.480016409106313"
"A little","2010","general elemantary","576","0.372406488073341","0.348951465473715","0.395861510672967"
"A little","2010","middle vocational","2840","0.357801651910621","0.347504009233595","0.368099294587646"
"A little","2010","vocational + Abi","212","0.220207095622544","0.193758809249798","0.24665538199529"
"A little","2010","higher vocational","452","0.38499316479061","0.358093495979785","0.411892833601436"
"A little","2010","higher education","1120","0.314502886189202","0.29981708610939","0.329188686269014"
"Not at all","2010","in school","248","0.922074724060052","0.890219117998904","0.953930330121201"
"Not at all","2010","inadequately","53","0.306642858682371","0.229988718803033","0.383296998561708"
"Not at all","2010","general elemantary","718","0.400144906361165","0.376375417882925","0.423914394839405"
"Not at all","2010","middle vocational","4469","0.506466584127008","0.495726300877169","0.517206867376846"
"Not at all","2010","vocational + Abi","669","0.690997937247494","0.661505456172534","0.720490418322454"
"Not at all","2010","higher vocational","666","0.513431984634721","0.485801169915062","0.541062799354379"
"Not at all","2010","higher education","2471","0.603896084846875","0.58842687419944","0.619365295494309"
"Strong","2011","in school","","","",""
"Strong","2011","inadequately","","","",""
"Strong","2011","general elemantary","","","",""
"Strong","2011","middle vocational","","","",""
"Strong","2011","vocational + Abi","","","",""
"Strong","2011","higher vocational","","","",""
"Strong","2011","higher education","","","",""
"A little","2011","in school","","","",""
"A little","2011","inadequately","","","",""
"A little","2011","general elemantary","","","",""
"A little","2011","middle vocational","","","",""
"A little","2011","vocational + Abi","","","",""
"A little","2011","higher vocational","","","",""
"A little","2011","higher education","","","",""
"Not at all","2011","in school","","","",""
"Not at all","2011","inadequately","","","",""
"Not at all","2011","general elemantary","","","",""
"Not at all","2011","middle vocational","","","",""
"Not at all","2011","vocational + Abi","","","",""
"Not at all","2011","higher vocational","","","",""
"Not at all","2011","higher education","","","",""
"Strong","2012","in school","3","","",""
"Strong","2012","inadequately","67","0.299125018199523","0.240079253839407","0.358170782559639"
"Strong","2012","general elemantary","407","0.195132869444111","0.178251216278718","0.212014522609505"
"Strong","2012","middle vocational","1322","0.13478900979479","0.128199401026561","0.141378618563019"
"Strong","2012","vocational + Abi","80","0.0835066834060726","0.0679061340185623","0.099107232793583"
"Strong","2012","higher vocational","154","0.108139537298344","0.0921161018636885","0.124162972732999"
"Strong","2012","higher education","323","0.0749558223367194","0.0673930871148623","0.0825185575585764"
"A little","2012","in school","29","","",""
"A little","2012","inadequately","80","0.331605084059772","0.270893822119512","0.392316346000032"
"A little","2012","general elemantary","764","0.376753263564699","0.356111529430256","0.397394997699142"
"A little","2012","middle vocational","3545","0.354868492651826","0.345635782046527","0.364101203257125"
"A little","2012","vocational + Abi","343","0.30235517381385","0.276455725392528","0.328254622235173"
"A little","2012","higher vocational","500","0.347914500908474","0.323338938696244","0.372490063120703"
"A little","2012","higher education","1346","0.29516619019437","0.282066179774379","0.308266200614361"
"Not at all","2012","in school","251","0.859444694001889","0.818950993809976","0.899938394193802"
"Not at all","2012","inadequately","84","0.369269897740705","0.30703473443645","0.431505061044961"
"Not at all","2012","general elemantary","946","0.428113866991189","0.407036221652046","0.449191512330332"
"Not at all","2012","middle vocational","5450","0.510342497553384","0.500696471077279","0.51998852402949"
"Not at all","2012","vocational + Abi","785","0.614138142780077","0.586686800512069","0.641589485048086"
"Not at all","2012","higher vocational","789","0.543945961793183","0.518247865226379","0.569644058359986"
"Not at all","2012","higher education","2988","0.62987798746891","0.61601056823562","0.643745406702201"
"Strong","2013","in school","","","",""
"Strong","2013","inadequately","","","",""
"Strong","2013","general elemantary","","","",""
"Strong","2013","middle vocational","","","",""
"Strong","2013","vocational + Abi","","","",""
"Strong","2013","higher vocational","","","",""
"Strong","2013","higher education","","","",""
"A little","2013","in school","","","",""
"A little","2013","inadequately","","","",""
"A little","2013","general elemantary","","","",""
"A little","2013","middle vocational","","","",""
"A little","2013","vocational + Abi","","","",""
"A little","2013","higher vocational","","","",""
"A little","2013","higher education","","","",""
"Not at all","2013","in school","","","",""
"Not at all","2013","inadequately","","","",""
"Not at all","2013","general elemantary","","","",""
"Not at all","2013","middle vocational","","","",""
"Not at all","2013","vocational + Abi","","","",""
"Not at all","2013","higher vocational","","","",""
"Not at all","2013","higher education","","","",""
"Strong","2014","in school","8","","",""
"Strong","2014","inadequately","99","0.229541489725992","0.192863322333642","0.266219657118342"
"Strong","2014","general elemantary","495","0.202299933481317","0.188192865810311","0.216407001152323"
"Strong","2014","middle vocational","1438","0.135966585474729","0.129974961601383","0.141958209348076"
"Strong","2014","vocational + Abi","116","0.0665457275392851","0.055756812498738","0.0773346425798323"
"Strong","2014","higher vocational","152","0.109711678292431","0.0943691935486223","0.125054163036239"
"Strong","2014","higher education","386","0.0752457750832744","0.0686960444784686","0.0817955056880803"
"A little","2014","in school","40","0.0685191679372836","0.0451252972219169","0.0919130386526504"
"A little","2014","inadequately","158","0.318066017252179","0.277446738851498","0.35868529565286"
"A little","2014","general elemantary","930","0.324613979378229","0.308171068289939","0.341056890466518"
"A little","2014","middle vocational","3955","0.341929415624477","0.333637256089114","0.35022157515984"
"A little","2014","vocational + Abi","498","0.254871802829783","0.236007204821936","0.273736400837629"
"A little","2014","higher vocational","510","0.343786473291904","0.320469567710643","0.367103378873165"
"A little","2014","higher education","1512","0.256645129490273","0.245800022908862","0.267490236071683"
"Not at all","2014","in school","400","0.904799064672555","0.877621798795519","0.931976330549592"
"Not at all","2014","inadequately","248","0.452392493021829","0.408981992492923","0.495802993550735"
"Not at all","2014","general elemantary","1690","0.473086087140454","0.455552975964988","0.490619198315921"
"Not at all","2014","middle vocational","7178","0.522103998900794","0.513372106290922","0.530835891510665"
"Not at all","2014","vocational + Abi","1436","0.678582469630932","0.658365909661811","0.698799029600054"
"Not at all","2014","higher vocational","932","0.546501848415666","0.522062618859014","0.570941077972317"
"Not at all","2014","higher education","4333","0.668109095426453","0.656417047608544","0.679801143244362"
"Strong","2015","in school","","","",""
"Strong","2015","inadequately","","","",""
"Strong","2015","general elemantary","","","",""
"Strong","2015","middle vocational","","","",""
"Strong","2015","vocational + Abi","","","",""
"Strong","2015","higher vocational","","","",""
"Strong","2015","higher education","","","",""
"A little","2015","in school","","","",""
"A little","2015","inadequately","","","",""
"A little","2015","general elemantary","","","",""
"A little","2015","middle vocational","","","",""
"A little","2015","vocational + Abi","","","",""
"A little","2015","higher vocational","","","",""
"A little","2015","higher education","","","",""
"Not at all","2015","in school","","","",""
"Not at all","2015","inadequately","","","",""
"Not at all","2015","general elemantary","","","",""
"Not at all","2015","middle vocational","","","",""
"Not at all","2015","vocational + Abi","","","",""
"Not at all","2015","higher vocational","","","",""
"Not at all","2015","higher education","","","",""
"Strong","2016","in school","6","","",""
"Strong","2016","inadequately","216","0.172824854891864","0.156258521951389","0.189391187832339"
"Strong","2016","general elemantary","502","0.200234995340253","0.186795685748013","0.213674304932492"
"Strong","2016","middle vocational","1342","0.137200511273646","0.130991101316908","0.143409921230385"
"Strong","2016","vocational + Abi","131","0.0762119901733488","0.0649490363703841","0.0874749439763136"
"Strong","2016","higher vocational","142","0.111714534360374","0.0952661323326227","0.128162936388126"
"Strong","2016","higher education","429","0.0740342823270363","0.0677442145696063","0.0803243500844662"
"A little","2016","in school","38","0.075566325282896","0.0482640481291024","0.10286860243669"
"A little","2016","inadequately","528","0.328784240741234","0.308201125035001","0.349367356447468"
"A little","2016","general elemantary","978","0.357789343037188","0.341691109493518","0.373887576580857"
"A little","2016","middle vocational","3724","0.337505343201097","0.328971413802166","0.346039272600028"
"A little","2016","vocational + Abi","539","0.270464529041039","0.251609254717533","0.289319803364545"
"A little","2016","higher vocational","487","0.337888056943423","0.313191027130297","0.362585086756549"
"A little","2016","higher education","1637","0.256063305203506","0.245577951182496","0.266548659224517"
"Not at all","2016","in school","316","0.92067016004818","0.892753261816481","0.948587058279878"
"Not at all","2016","inadequately","1257","0.498390904366901","0.476483430510923","0.52029837822288"
"Not at all","2016","general elemantary","1926","0.44197566162256","0.425297371772421","0.458653951472698"
"Not at all","2016","middle vocational","6728","0.525294145525257","0.516281939664746","0.534306351385767"
"Not at all","2016","vocational + Abi","1462","0.653323480785612","0.633122110083617","0.673524851487608"
"Not at all","2016","higher vocational","780","0.550397408696203","0.524423028835195","0.57637178855721"
"Not at all","2016","higher education","4590","0.669902412469457","0.658605275859847","0.681199549079068"
"Strong","2017","in school","","","",""
"Strong","2017","inadequately","136","0.0840727449069257","0.0685774144751825","0.0995680753386688"
"Strong","2017","general elemantary","33","0.0382321299819253","0.0223217566344534","0.0541425033293972"
"Strong","2017","middle vocational","27","","",""
"Strong","2017","vocational + Abi","6","","",""
"Strong","2017","higher vocational","","","",""
"Strong","2017","higher education","23","","",""
"A little","2017","in school","","","",""
"A little","2017","inadequately","283","0.204792657566463","0.182258562679654","0.227326752453271"
"A little","2017","general elemantary","119","0.181603548042299","0.149616436475878","0.213590659608719"
"A little","2017","middle vocational","86","0.191878696581917","0.155251113374507","0.228506279789327"
"A little","2017","vocational + Abi","19","","",""
"A little","2017","higher vocational","","","",""
"A little","2017","higher education","88","0.174642182504179","0.139718834292623","0.209565530715736"
"Not at all","2017","in school","21","","",""
"Not at all","2017","inadequately","813","0.711134597526612","0.685826097530613","0.73644309752261"
"Not at all","2017","general elemantary","406","0.780164321975776","0.745802742153271","0.814525901798282"
"Not at all","2017","middle vocational","331","0.756224933134273","0.716287813047699","0.796162053220848"
"Not at all","2017","vocational + Abi","44","0.641029352218001","0.527843544864978","0.754215159571023"
"Not at all","2017","higher vocational","","","",""
"Not at all","2017","higher education","343","0.771010441579498","0.732359673015764","0.809661210143233"
"Strong","2018","in school","8","","",""
"Strong","2018","inadequately","280","0.208548888312004","0.191156130958248","0.225941645665759"
"Strong","2018","general elemantary","499","0.196250756794555","0.18311368313887","0.209387830450239"
"Strong","2018","middle vocational","1407","0.138473205093297","0.132346272567583","0.14460013761901"
"Strong","2018","vocational + Abi","144","0.0842106806370073","0.0726248199970901","0.0957965412769245"
"Strong","2018","higher vocational","151","0.113255968440254","0.096966925288948","0.129545011591559"
"Strong","2018","higher education","414","0.0660011943474008","0.0601944084351814","0.0718079802596202"
"A little","2018","in school","30","0.0851263811356689","0.055931469127075","0.114321293144263"
"A little","2018","inadequately","627","0.333103413523884","0.312925733037083","0.353281094010685"
"A little","2018","general elemantary","1025","0.327104893707979","0.311586388654849","0.34262339876111"
"A little","2018","middle vocational","3930","0.347789513386188","0.339341045436511","0.356237981335864"
"A little","2018","vocational + Abi","597","0.28481396929206","0.265984543376499","0.30364339520762"
"A little","2018","higher vocational","492","0.350770973562409","0.326242152442259","0.375299794682559"
"A little","2018","higher education","1793","0.259337835378374","0.249087695839434","0.269587974917313"
"Not at all","2018","in school","313","0.894728836226362","0.862622188569322","0.926835483883402"
"Not at all","2018","inadequately","1189","0.458347698164113","0.437016744332192","0.479678651996034"
"Not at all","2018","general elemantary","1987","0.476644349497466","0.460123652746695","0.493165046248237"
"Not at all","2018","middle vocational","6871","0.513737281520516","0.50487119716148","0.522603365879551"
"Not at all","2018","vocational + Abi","1466","0.630975350070933","0.610843633403764","0.651107066738102"
"Not at all","2018","higher vocational","811","0.535973057997337","0.510339495603821","0.561606620390853"
"Not at all","2018","higher education","4816","0.674660970274225","0.663703819602928","0.685618120945523"
"Strong","2019","in school","","","",""
"Strong","2019","inadequately","25","","",""
"Strong","2019","general elemantary","4","","",""
"Strong","2019","middle vocational","4","","",""
"Strong","2019","vocational + Abi","","","",""
"Strong","2019","higher vocational","","","",""
"Strong","2019","higher education","2","","",""
"A little","2019","in school","","","",""
"A little","2019","inadequately","29","","",""
"A little","2019","general elemantary","11","","",""
"A little","2019","middle vocational","9","","",""
"A little","2019","vocational + Abi","","","",""
"A little","2019","higher vocational","","","",""
"A little","2019","higher education","3","","",""
"Not at all","2019","in school","2","","",""
"Not at all","2019","inadequately","78","0.538136912401139","0.453088904793777","0.6231849200085"
"Not at all","2019","general elemantary","38","0.74114800440803","0.623227755631364","0.859068253184697"
"Not at all","2019","middle vocational","20","","",""
"Not at all","2019","vocational + Abi","2","","",""
"Not at all","2019","higher vocational","","","",""
"Not at all","2019","higher education","22","","",""
