"pli0097_h","year","n","percent","lower_confidence","upper_confidence"
"Rarely","1998","1329","0.102925056013892","0.097933404308879","0.107916707718904"
"Never","1998","12543","0.872279043701746","0.866795918590971","0.877762168812521"
"Daily","1999","","","",""
"Min 1x per week","1999","122","0.00910819196493043","0.0075144758209625","0.0107019081088984"
"Min 1x per month","1999","226","0.0157556557021268","0.0136665930243656","0.0178447183798881"
"Rarely","1999","981","0.0733345789696501","0.0689613960268418","0.0777077619124583"
"Never","1999","12321","0.901801573363293","0.896809401543657","0.906793745182929"
"Daily","2000","","","",""
"Min 1x per week","2000","","","",""
"Min 1x per month","2000","","","",""
"Rarely","2000","","","",""
"Never","2000","","","",""
"Daily","2001","","","",""
"Min 1x per week","2001","193","0.00890019052869365","0.00765255653414081","0.0101478245232465"
"Min 1x per month","2001","381","0.0176215333418102","0.0158737398554863","0.0193693268281341"
"Rarely","2001","1395","0.0637131977167484","0.0604686960361265","0.0669576993973703"
"Never","2001","19800","0.909765078412748","0.905958973062065","0.913571183763431"
"Daily","2002","","","",""
"Min 1x per week","2002","","","",""
"Min 1x per month","2002","","","",""
"Rarely","2002","","","",""
"Never","2002","","","",""
"Daily","2003","47","0.00132990778021433","0.000850026289596812","0.00180978927083184"
"Min 1x per week","2003","208","0.0081251313671823","0.00694302691557035","0.00930723581879426"
"Min 1x per month","2003","453","0.019042851926683","0.0172431390369202","0.0208425648164458"
"Rarely","2003","2006","0.0891235619386658","0.0853717745813889","0.0928753492959428"
"Never","2003","19441","0.882378546987255","0.878136426941855","0.886620667032654"
"Daily","2004","","","",""
"Min 1x per week","2004","","","",""
"Min 1x per month","2004","","","",""
"Rarely","2004","","","",""
"Never","2004","","","",""
"Daily","2005","","","",""
"Min 1x per week","2005","234","0.00942272042477843","0.00810513634465889","0.010740304504898"
"Min 1x per month","2005","391","0.0183557490782209","0.0165250830408912","0.0201864151155507"
"Rarely","2005","1502","0.0708085527759518","0.0673103783088853","0.0743067272430183"
"Never","2005","18527","0.901412977721049","0.897347441987954","0.905478513454144"
"Daily","2006","","","",""
"Min 1x per week","2006","","","",""
"Min 1x per month","2006","","","",""
"Rarely","2006","","","",""
"Never","2006","","","",""
"Daily","2007","","","",""
"Min 1x per week","2007","202","0.00875703403320115","0.00747887607714277","0.0100351919892595"
"Min 1x per month","2007","310","0.0124669826415186","0.0109447801113879","0.0139891851716493"
"Rarely","2007","1177","0.0531779948789965","0.050099658320884","0.056256331437109"
"Never","2007","18722","0.925597988446284","0.921997847619306","0.929198129273262"
"Daily","2008","38","0.00136739184146189","0.000846513142569809","0.00188827054035396"
"Min 1x per week","2008","155","0.00650762342989249","0.00537422994871556","0.00764101691106942"
"Min 1x per month","2008","398","0.0159881243978413","0.0142201085110323","0.0177561402846502"
"Rarely","2008","1490","0.0722579838738903","0.0686083964902389","0.0759075712575417"
"Never","2008","17253","0.903878876456914","0.89972406068346","0.908033692230368"
"Daily","2009","","","",""
"Min 1x per week","2009","152","0.00687567567003139","0.00566762479803965","0.00808372654202313"
"Min 1x per month","2009","292","0.0134645707702083","0.0117796545066886","0.0151494870337281"
"Rarely","2009","1107","0.0614119840600905","0.0579021240992659","0.064921844020915"
"Never","2009","16423","0.91824776949967","0.914242281188612","0.922253257810728"
"Daily","2010","","","",""
"Min 1x per week","2010","","","",""
"Min 1x per month","2010","","","",""
"Rarely","2010","","","",""
"Never","2010","","","",""
"Daily","2011","","","",""
"Min 1x per week","2011","286","0.00997535513215385","0.00881898209986106","0.0111317281644466"
"Min 1x per month","2011","470","0.0147870073208574","0.0133825259652131","0.0161914886765017"
"Rarely","2011","1690","0.0613418575924956","0.058549680519231","0.0641340346657602"
"Never","2011","25925","0.913895779954493","0.910631620817603","0.917159939091383"
"Daily","2012","","","",""
"Min 1x per week","2012","","","",""
"Min 1x per month","2012","","","",""
"Rarely","2012","","","",""
"Never","2012","","","",""
"Daily","2013","65","0.0026766989548207","0.00204212028320526","0.00331127762643614"
"Min 1x per week","2013","233","0.00885147211014184","0.0077010827761574","0.0100018614441263"
"Min 1x per month","2013","504","0.0189932193707407","0.0173167214450382","0.0206697172964431"
"Rarely","2013","2141","0.0882090677706569","0.0847259194012506","0.0916922161400633"
"Never","2013","22523","0.88126954179364","0.877296682574907","0.885242401012373"
"Daily","2014","","","",""
"Min 1x per week","2014","","","",""
"Min 1x per month","2014","","","",""
"Rarely","2014","","","",""
"Never","2014","","","",""
"Daily","2015","","","",""
"Min 1x per week","2015","239","0.00985616698045775","0.00867414721680369","0.0110381867441118"
"Min 1x per month","2015","427","0.0147064808066932","0.013266161567892","0.0161468000454945"
"Rarely","2015","1610","0.0586802407897026","0.0558681062179971","0.061492375361408"
"Never","2015","24556","0.916757111423146","0.913451724662884","0.920062498183409"
"Daily","2016","","","",""
"Min 1x per week","2016","","","",""
"Min 1x per month","2016","","","",""
"Rarely","2016","","","",""
"Never","2016","","","",""
"Daily","2017","","","",""
"Min 1x per week","2017","290","0.0118162565645788","0.0105178064530862","0.0131147066760714"
"Min 1x per month","2017","429","0.0160338752254875","0.0145245744931612","0.0175431759578139"
"Rarely","2017","1554","0.0593573897315185","0.056518057708551","0.0621967217544861"
"Never","2017","24332","0.912792478478415","0.909402246174945","0.916182710781885"
