"party","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"SPD","1987","Not Employed","West Germany","902","0.412968888546088","0.391809376406208","0.434128400685968","1"
"SPD","1987","Not Employed","East Germany","","","","","1"
"AfD","1988","Not Employed","East Germany","","","","","7"
"AfD","1988","Employed","West Germany","","","","","7"
"AfD","1988","Not Employed","West Germany","","","","","7"
"AfD","1988","Employed","East Germany","","","","","7"
"CDU/CSU","1988","Not Employed","East Germany","","","","","2"
"CDU/CSU","1988","Not Employed","West Germany","792","0.449004368557408","0.426436443428905","0.47157229368591","2"
"CDU/CSU","1988","Employed","West Germany","1222","0.399536610437223","0.382947921085018","0.416125299789429","2"
"CDU/CSU","1988","Employed","East Germany","","","","","2"
"FDP","1988","Not Employed","West Germany","76","0.047610627223916","0.0379489729457352","0.0572722815020967","3"
"FDP","1988","Not Employed","East Germany","","","","","3"
"FDP","1988","Employed","West Germany","138","0.0442427735335139","0.0372783450226159","0.0512072020444118","3"
"FDP","1988","Employed","East Germany","","","","","3"
"Grüne","1988","Not Employed","West Germany","102","0.0456617751015704","0.0361902519247363","0.0551332982784044","4"
"Grüne","1988","Employed","West Germany","237","0.0663665691624852","0.0579360678958297","0.0747970704291406","4"
"Grüne","1988","Not Employed","East Germany","","","","","4"
"Grüne","1988","Employed","East Germany","","","","","4"
"NPD","1988","Not Employed","West Germany","","","","","6"
"NPD","1988","Employed","West Germany","","","","","6"
"NPD","1988","Not Employed","East Germany","","","","","6"
"NPD","1988","Employed","East Germany","","","","","6"
"Other","1988","Employed","West Germany","30","0.00950109614102104","0.00621557418909042","0.0127866180929517","8"
"Other","1988","Employed","East Germany","","","","","8"
"Other","1988","Not Employed","West Germany","18","","","","8"
"Other","1988","Not Employed","East Germany","","","","","8"
"PDS/Linke","1988","Not Employed","West Germany","","","","","5"
"PDS/Linke","1988","Not Employed","East Germany","","","","","5"
"PDS/Linke","1988","Employed","East Germany","","","","","5"
"PDS/Linke","1988","Employed","West Germany","","","","","5"
"SPD","1988","Not Employed","West Germany","878","0.446041172558348","0.423487436722205","0.46859490839449","1"
"SPD","1988","Employed","West Germany","1722","0.480352950725756","0.463431991402628","0.497273910048884","1"
"SPD","1988","Employed","East Germany","","","","","1"
"SPD","1988","Not Employed","East Germany","","","","","1"
"AfD","1989","Not Employed","West Germany","","","","","7"
"AfD","1989","Not Employed","East Germany","","","","","7"
"AfD","1989","Employed","West Germany","","","","","7"
"AfD","1989","Employed","East Germany","","","","","7"
"CDU/CSU","1989","Not Employed","East Germany","","","","","2"
"CDU/CSU","1989","Employed","West Germany","1050","0.368966800445443","0.352323715954052","0.385609884936833","2"
"CDU/CSU","1989","Not Employed","West Germany","680","0.418118162285715","0.395119809393504","0.441116515177925","2"
"CDU/CSU","1989","Employed","East Germany","","","","","2"
"FDP","1989","Not Employed","West Germany","45","0.0310955291606967","0.0230023478106513","0.0391887105107421","3"
"FDP","1989","Employed","West Germany","94","0.0317306317118393","0.0256848630631358","0.0377764003605429","3"
"FDP","1989","Not Employed","East Germany","","","","","3"
"FDP","1989","Employed","East Germany","","","","","3"
"Grüne","1989","Not Employed","West Germany","117","0.0518985257775215","0.0415558064820934","0.0622412450729496","4"
"Grüne","1989","Employed","West Germany","241","0.0707653239214248","0.0619205441870295","0.0796101036558201","4"
"Grüne","1989","Not Employed","East Germany","","","","","4"
"Grüne","1989","Employed","East Germany","","","","","4"
"NPD","1989","Not Employed","West Germany","","","","","6"
"NPD","1989","Not Employed","East Germany","","","","","6"
"NPD","1989","Employed","West Germany","","","","","6"
"NPD","1989","Employed","East Germany","","","","","6"
"Other","1989","Not Employed","West Germany","67","0.0403702112946437","0.0311929692122522","0.0495474533770353","8"
"Other","1989","Not Employed","East Germany","","","","","8"
"Other","1989","Employed","West Germany","119","0.0414460606911621","0.0345711988329882","0.048320922549336","8"
"Other","1989","Employed","East Germany","","","","","8"
"PDS/Linke","1989","Not Employed","West Germany","","","","","5"
"PDS/Linke","1989","Not Employed","East Germany","","","","","5"
"PDS/Linke","1989","Employed","West Germany","","","","","5"
"PDS/Linke","1989","Employed","East Germany","","","","","5"
"SPD","1989","Not Employed","West Germany","858","0.458517571481423","0.43528485502861","0.481750287934237","1"
"SPD","1989","Employed","West Germany","1725","0.487091183230131","0.469851102901475","0.504331263558788","1"
"SPD","1989","Employed","East Germany","","","","","1"
"SPD","1989","Not Employed","East Germany","","","","","1"
"AfD","1990","Not Employed","West Germany","","","","","7"
"AfD","1990","Not Employed","East Germany","","","","","7"
"AfD","1990","Employed","West Germany","","","","","7"
"AfD","1990","Employed","East Germany","","","","","7"
"CDU/CSU","1990","Not Employed","West Germany","737","0.439633902559336","0.416755252688887","0.462512552429785","2"
"CDU/CSU","1990","Not Employed","East Germany","","","","","2"
"CDU/CSU","1990","Employed","West Germany","1089","0.372997065955717","0.356447040598496","0.389547091312938","2"
"CDU/CSU","1990","Employed","East Germany","","","","","2"
"FDP","1990","Not Employed","West Germany","74","0.0471517871530166","0.0373814439633965","0.0569221303426367","3"
"FDP","1990","Not Employed","East Germany","","","","","3"
"FDP","1990","Employed","East Germany","","","","","3"
"FDP","1990","Employed","West Germany","123","0.039596334333381","0.0329226514695525","0.0462700171972096","3"
"Grüne","1990","Not Employed","West Germany","78","0.0345076350498741","0.0260940537045274","0.0429212163952209","4"
"Grüne","1990","Employed","West Germany","221","0.0635616742203527","0.0552124058056339","0.0719109426350714","4"
"Grüne","1990","Not Employed","East Germany","","","","","4"
"Grüne","1990","Employed","East Germany","","","","","4"
"NPD","1990","Not Employed","West Germany","19","","","","6"
"NPD","1990","Not Employed","East Germany","","","","","6"
"NPD","1990","Employed","West Germany","54","0.0162290632075516","0.0119048720026578","0.0205532544124453","6"
"NPD","1990","Employed","East Germany","","","","","6"
"Other","1990","Not Employed","West Germany","11","","","","8"
"Other","1990","Not Employed","East Germany","","","","","8"
"Other","1990","Employed","West Germany","18","","","","8"
"Other","1990","Employed","East Germany","","","","","8"
"PDS/Linke","1990","Not Employed","West Germany","","","","","5"
"PDS/Linke","1990","Not Employed","East Germany","","","","","5"
"PDS/Linke","1990","Employed","West Germany","","","","","5"
"PDS/Linke","1990","Employed","East Germany","","","","","5"
"SPD","1990","Not Employed","West Germany","889","0.460394258899297","0.43741943937838","0.483369078420215","1"
"SPD","1990","Employed","West Germany","1775","0.502850238079311","0.485739288282158","0.519961187876463","1"
"SPD","1990","Employed","East Germany","","","","","1"
"SPD","1990","Not Employed","East Germany","","","","","1"
"AfD","1991","Not Employed","West Germany","","","","","7"
"AfD","1991","Not Employed","East Germany","","","","","7"
"AfD","1991","Employed","West Germany","","","","","7"
"AfD","1991","Employed","East Germany","","","","","7"
"CDU/CSU","1991","Not Employed","West Germany","730","0.475842928246086","0.450867380729907","0.500818475762265","2"
"CDU/CSU","1991","Not Employed","East Germany","","","","","2"
"CDU/CSU","1991","Employed","West Germany","1046","0.401674881973902","0.382921077140201","0.420428686807604","2"
"CDU/CSU","1991","Employed","East Germany","","","","","2"
"FDP","1991","Not Employed","West Germany","72","0.0567392992176614","0.0451699125186167","0.0683086859167061","3"
"FDP","1991","Not Employed","East Germany","","","","","3"
"FDP","1991","Employed","West Germany","133","0.0524171183133339","0.0438914464961247","0.0609427901305431","3"
"FDP","1991","Employed","East Germany","","","","","3"
"Grüne","1991","Not Employed","West Germany","66","0.0376959908302961","0.0281711832175879","0.0472207984430043","4"
"Grüne","1991","Employed","West Germany","155","0.0615435354487331","0.0523500176137968","0.0707370532836693","4"
"Grüne","1991","Not Employed","East Germany","","","","","4"
"Grüne","1991","Employed","East Germany","","","","","4"
"NPD","1991","Not Employed","West Germany","10","","","","6"
"NPD","1991","Not Employed","East Germany","","","","","6"
"NPD","1991","Employed","West Germany","35","0.0120486016203219","0.00787491776160702","0.0162222854790367","6"
"NPD","1991","Employed","East Germany","","","","","6"
"Other","1991","Not Employed","West Germany","5","","","","8"
"Other","1991","Not Employed","East Germany","","","","","8"
"Other","1991","Employed","West Germany","14","","","","8"
"Other","1991","Employed","East Germany","","","","","8"
"PDS/Linke","1991","Not Employed","West Germany","3","","","","5"
"PDS/Linke","1991","Not Employed","East Germany","","","","","5"
"PDS/Linke","1991","Employed","West Germany","1","","","","5"
"PDS/Linke","1991","Employed","East Germany","","","","","5"
"SPD","1991","Not Employed","West Germany","650","0.417597860821485","0.392935020190672","0.442260701452298","1"
"SPD","1991","Employed","West Germany","1241","0.466584134382563","0.447499608063731","0.485668660701394","1"
"SPD","1991","Not Employed","East Germany","","","","","1"
"SPD","1991","Employed","East Germany","","","","","1"
"AfD","1992","Not Employed","West Germany","","","","","7"
"AfD","1992","Not Employed","East Germany","","","","","7"
"AfD","1992","Employed","West Germany","","","","","7"
"AfD","1992","Employed","East Germany","","","","","7"
"CDU/CSU","1992","Not Employed","West Germany","660","0.470097144527851","0.444847824821644","0.495346464234059","2"
"CDU/CSU","1992","Not Employed","East Germany","128","0.337496310858866","0.288168776950004","0.386823844767728","2"
"CDU/CSU","1992","Employed","East Germany","350","0.359342509752304","0.328734904876378","0.389950114628229","2"
"CDU/CSU","1992","Employed","West Germany","966","0.39144650536117","0.373217972582211","0.40967503814013","2"
"FDP","1992","Employed","East Germany","59","0.0591967817377662","0.0441424826713341","0.0742510808041982","3"
"FDP","1992","Not Employed","West Germany","48","0.0381723136646232","0.0284788134586436","0.0478658138706027","3"
"FDP","1992","Not Employed","East Germany","21","","","","3"
"FDP","1992","Employed","West Germany","120","0.0515554378272896","0.0432967825595497","0.0598140930950295","3"
"Grüne","1992","Not Employed","West Germany","77","0.0406881043206001","0.0306933669215151","0.0506828417196851","4"
"Grüne","1992","Not Employed","East Germany","28","","","","4"
"Grüne","1992","Employed","West Germany","196","0.0639175434719621","0.0547820247110122","0.073053062232912","4"
"Grüne","1992","Employed","East Germany","102","0.117717922604895","0.0971596264939596","0.138276218715831","4"
"NPD","1992","Not Employed","West Germany","","","","","6"
"NPD","1992","Not Employed","East Germany","","","","","6"
"NPD","1992","Employed","East Germany","","","","","6"
"NPD","1992","Employed","West Germany","","","","","6"
"Other","1992","Not Employed","West Germany","24","","","","8"
"Other","1992","Not Employed","East Germany","6","","","","8"
"Other","1992","Employed","West Germany","64","0.0230765094176088","0.0174688522041582","0.0286841666310593","8"
"Other","1992","Employed","East Germany","25","","","","8"
"PDS/Linke","1992","Not Employed","West Germany","5","","","","5"
"PDS/Linke","1992","Employed","West Germany","7","","","","5"
"PDS/Linke","1992","Not Employed","East Germany","49","0.153081997503364","0.115520449625256","0.190643545381472","5"
"PDS/Linke","1992","Employed","East Germany","65","0.0695814075796421","0.0533503099894555","0.0858125051698286","5"
"SPD","1992","Not Employed","West Germany","687","0.43159922975498","0.406542441424244","0.456656018085717","1"
"SPD","1992","Employed","East Germany","343","0.366434527750358","0.335697912633449","0.397171142867266","1"
"SPD","1992","Employed","West Germany","1401","0.467271341356433","0.448637442824536","0.485905239888329","1"
"SPD","1992","Not Employed","East Germany","121","0.368049882103444","0.317739747484563","0.418360016722324","1"
"AfD","1993","Not Employed","West Germany","","","","","7"
"AfD","1993","Not Employed","East Germany","","","","","7"
"AfD","1993","Employed","East Germany","","","","","7"
"AfD","1993","Employed","West Germany","","","","","7"
"CDU/CSU","1993","Not Employed","West Germany","562","0.455089613393455","0.428194944099682","0.481984282687228","2"
"CDU/CSU","1993","Not Employed","East Germany","125","0.301034896872674","0.255392504873685","0.346677288871662","2"
"CDU/CSU","1993","Employed","East Germany","216","0.305180659953166","0.271474989809731","0.338886330096602","2"
"CDU/CSU","1993","Employed","West Germany","812","0.360916369489865","0.342033541745833","0.379799197233897","2"
"FDP","1993","Not Employed","West Germany","47","0.0481767266026206","0.0366115569612296","0.0597418962440117","3"
"FDP","1993","Employed","East Germany","39","0.0564169635488065","0.0395287609819203","0.0733051661156928","3"
"FDP","1993","Not Employed","East Germany","16","","","","3"
"FDP","1993","Employed","West Germany","101","0.0487405188085768","0.0402744953504694","0.0572065422666843","3"
"Grüne","1993","Not Employed","West Germany","74","0.0452221319711946","0.0339998315196625","0.0564444324227267","4"
"Grüne","1993","Not Employed","East Germany","25","","","","4"
"Grüne","1993","Employed","East Germany","88","0.11591238552484","0.09248083173995","0.13934393930973","4"
"Grüne","1993","Employed","West Germany","251","0.102386051882462","0.0904667700461345","0.114305333718789","4"
"NPD","1993","Not Employed","West Germany","33","0.0279668129217628","0.0190621550371565","0.0368714708063691","6"
"NPD","1993","Not Employed","East Germany","7","","","","6"
"NPD","1993","Employed","West Germany","72","0.0322689767941016","0.0253210565623304","0.0392168970258727","6"
"NPD","1993","Employed","East Germany","27","","","","6"
"Other","1993","Not Employed","West Germany","13","","","","8"
"Other","1993","Employed","East Germany","12","","","","8"
"Other","1993","Employed","West Germany","19","","","","8"
"Other","1993","Not Employed","East Germany","1","","","","8"
"PDS/Linke","1993","Not Employed","West Germany","3","","","","5"
"PDS/Linke","1993","Not Employed","East Germany","64","0.184536292086625","0.145937346420962","0.223135237752288","5"
"PDS/Linke","1993","Employed","West Germany","6","","","","5"
"PDS/Linke","1993","Employed","East Germany","70","0.104212360794213","0.0818483000561212","0.126576421532305","5"
"SPD","1993","Not Employed","West Germany","585","0.410511521594758","0.383943724884306","0.437079318305211","1"
"SPD","1993","Not Employed","East Germany","150","0.390969402543865","0.342415608754094","0.439523196333637","1"
"SPD","1993","Employed","East Germany","265","0.361705874698336","0.326535522444447","0.396876226952225","1"
"SPD","1993","Employed","West Germany","1224","0.447162521011982","0.427613890802048","0.466711151221916","1"
"AfD","1994","Not Employed","West Germany","","","","","7"
"AfD","1994","Not Employed","East Germany","","","","","7"
"AfD","1994","Employed","East Germany","","","","","7"
"AfD","1994","Employed","West Germany","","","","","7"
"CDU/CSU","1994","Not Employed","West Germany","586","0.433941699365212","0.408217930268856","0.459665468461567","2"
"CDU/CSU","1994","Not Employed","East Germany","154","0.338814277394756","0.294488779690931","0.383139775098581","2"
"CDU/CSU","1994","Employed","East Germany","206","0.276826449379572","0.243657282657109","0.309995616102034","2"
"CDU/CSU","1994","Employed","West Germany","816","0.36074862256218","0.342117203551284","0.379380041573077","2"
"FDP","1994","Not Employed","West Germany","35","0.0328690497007919","0.0236151552162843","0.0421229441852996","3"
"FDP","1994","Employed","East Germany","31","0.0468179425208534","0.0311575156973937","0.0624783693443131","3"
"FDP","1994","Not Employed","East Germany","10","","","","3"
"FDP","1994","Employed","West Germany","75","0.0368601470130492","0.0295499183089701","0.0441703757171284","3"
"Grüne","1994","Not Employed","West Germany","88","0.0496847059153305","0.038406668023113","0.060962743807548","4"
"Grüne","1994","Not Employed","East Germany","34","0.0708229270327376","0.0467988222036936","0.0948470318617816","4"
"Grüne","1994","Employed","East Germany","77","0.125298762432874","0.100756603490657","0.14984092137509","4"
"Grüne","1994","Employed","West Germany","220","0.0897470674285546","0.078657900205251","0.100836234651858","4"
"NPD","1994","Not Employed","West Germany","19","","","","6"
"NPD","1994","Not Employed","East Germany","2","","","","6"
"NPD","1994","Employed","West Germany","52","0.0164359022895256","0.0115029619252405","0.0213688426538107","6"
"NPD","1994","Employed","East Germany","20","","","","6"
"Other","1994","Not Employed","West Germany","13","","","","8"
"Other","1994","Not Employed","East Germany","8","","","","8"
"Other","1994","Employed","West Germany","26","","","","8"
"Other","1994","Employed","East Germany","18","","","","8"
"PDS/Linke","1994","Not Employed","West Germany","5","","","","5"
"PDS/Linke","1994","Not Employed","East Germany","86","0.211523107257062","0.173277247364389","0.249768967149734","5"
"PDS/Linke","1994","Employed","East Germany","108","0.151340700536605","0.124772994311439","0.17790840676177","5"
"PDS/Linke","1994","Employed","West Germany","11","","","","5"
"SPD","1994","Not Employed","West Germany","680","0.457735319701097","0.431876946466689","0.483593692935505","1"
"SPD","1994","Not Employed","East Germany","144","0.33182581192535","0.287728616841155","0.375923007009545","1"
"SPD","1994","Employed","East Germany","239","0.344230115766957","0.309008468076995","0.379451763456919","1"
"SPD","1994","Employed","West Germany","1352","0.481878809945947","0.462492625173318","0.501264994718577","1"
"AfD","1995","Not Employed","West Germany","","","","","7"
"AfD","1995","Not Employed","East Germany","","","","","7"
"AfD","1995","Employed","East Germany","","","","","7"
"AfD","1995","Employed","West Germany","","","","","7"
"CDU/CSU","1995","Not Employed","West Germany","691","0.447374477772378","0.423419257791316","0.471329697753439","2"
"CDU/CSU","1995","Not Employed","East Germany","186","0.3424706372642","0.301245847782097","0.383695426746303","2"
"CDU/CSU","1995","Employed","East Germany","339","0.390268470848343","0.357436177098844","0.423100764597843","2"
"CDU/CSU","1995","Employed","West Germany","1039","0.382305836494174","0.364433508172235","0.400178164816114","2"
"FDP","1995","Not Employed","West Germany","43","0.0339902463543794","0.0252601908715726","0.0427203018371863","3"
"FDP","1995","Not Employed","East Germany","7","","","","3"
"FDP","1995","Employed","West Germany","71","0.0267652426993236","0.0208293872121457","0.0327010981865015","3"
"FDP","1995","Employed","East Germany","25","","","","3"
"Grüne","1995","Not Employed","West Germany","144","0.0695098793705342","0.0572572797407419","0.0817624790003264","4"
"Grüne","1995","Not Employed","East Germany","30","0.0564613818277433","0.0364099776436472","0.0765127860118393","4"
"Grüne","1995","Employed","East Germany","72","0.0908436509180417","0.0715009666541904","0.110186335181893","4"
"Grüne","1995","Employed","West Germany","326","0.118271951312937","0.10639521456667","0.130148688059205","4"
"NPD","1995","Not Employed","West Germany","7","","","","6"
"NPD","1995","Not Employed","East Germany","3","","","","6"
"NPD","1995","Employed","West Germany","34","0.0145911242602936","0.0101810943617279","0.0190011541588593","6"
"NPD","1995","Employed","East Germany","12","","","","6"
"Other","1995","Not Employed","West Germany","15","","","","8"
"Other","1995","Not Employed","East Germany","4","","","","8"
"Other","1995","Employed","West Germany","24","","","","8"
"Other","1995","Employed","East Germany","8","","","","8"
"PDS/Linke","1995","Not Employed","West Germany","6","","","","5"
"PDS/Linke","1995","Not Employed","East Germany","110","0.243882807328423","0.206577179847706","0.281188434809141","5"
"PDS/Linke","1995","Employed","East Germany","134","0.161627579712061","0.136851853609461","0.18640330581466","5"
"PDS/Linke","1995","Employed","West Germany","18","","","","5"
"SPD","1995","Not Employed","West Germany","749","0.438184026086905","0.414279815602838","0.462088236570972","1"
"SPD","1995","Not Employed","East Germany","169","0.32870531884614","0.287896956314492","0.369513681377788","1"
"SPD","1995","Employed","West Germany","1328","0.445452002426887","0.427172728146239","0.463731276707535","1"
"SPD","1995","Employed","East Germany","258","0.303309731022097","0.272370236852513","0.334249225191681","1"
"AfD","1996","Not Employed","West Germany","","","","","7"
"AfD","1996","Not Employed","East Germany","","","","","7"
"AfD","1996","Employed","West Germany","","","","","7"
"AfD","1996","Employed","East Germany","","","","","7"
"CDU/CSU","1996","Employed","West Germany","1047","0.404180805194363","0.385765836048694","0.422595774340031","2"
"CDU/CSU","1996","Not Employed","West Germany","678","0.481270764321501","0.455892270416482","0.506649258226519","2"
"CDU/CSU","1996","Not Employed","East Germany","175","0.360752727827128","0.316772790555497","0.404732665098759","2"
"CDU/CSU","1996","Employed","East Germany","316","0.402964547568656","0.368564736771588","0.437364358365725","2"
"FDP","1996","Not Employed","West Germany","41","0.0309602499919514","0.0221624564203703","0.0397580435635326","3"
"FDP","1996","Not Employed","East Germany","5","","","","3"
"FDP","1996","Employed","West Germany","55","0.0267298516895215","0.0206772668719396","0.0327824365071035","3"
"FDP","1996","Employed","East Germany","16","","","","3"
"Grüne","1996","Not Employed","West Germany","131","0.0724795555135849","0.0593100263493141","0.0856490846778557","4"
"Grüne","1996","Not Employed","East Germany","30","0.0539932618931843","0.0332950775988674","0.0746914461875013","4"
"Grüne","1996","Employed","West Germany","327","0.125132938148682","0.112716907898887","0.137548968398477","4"
