"party","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Other","1985","no migration background","West Germany","36","0.00745815065701087","0.00501524537691276","0.00990105593710899","8"
"Other","1985","no migration background","East Germany","","","","","8"
"Other","1985","direct migration background","West Germany","","","","","8"
"Other","1985","direct migration background","East Germany","","","","","8"
"Other","1985","indirect migration background","West Germany","","","","","8"
"Other","1985","indirect migration background","East Germany","","","","","8"
"PDS/Linke","1985","no migration background","West Germany","","","","","5"
"PDS/Linke","1985","no migration background","East Germany","","","","","5"
"PDS/Linke","1985","direct migration background","East Germany","","","","","5"
"PDS/Linke","1985","direct migration background","West Germany","","","","","5"
"PDS/Linke","1985","indirect migration background","West Germany","","","","","5"
"PDS/Linke","1985","indirect migration background","East Germany","","","","","5"
"SPD","1985","direct migration background","West Germany","663","0.530833950316711","0.499281794966596","0.562386105666825","2"
"SPD","1985","direct migration background","East Germany","","","","","2"
"SPD","1985","no migration background","West Germany","2115","0.442077912199842","0.427976817656532","0.456179006743151","2"
"SPD","1985","no migration background","East Germany","","","","","2"
"SPD","1985","indirect migration background","East Germany","","","","","2"
"SPD","1985","indirect migration background","West Germany","30","0.409355435136431","0.271677787353717","0.547033082919144","2"
"AfD","1986","no migration background","West Germany","","","","","7"
"AfD","1986","no migration background","East Germany","","","","","7"
"AfD","1986","direct migration background","West Germany","","","","","7"
"AfD","1986","direct migration background","East Germany","","","","","7"
"AfD","1986","indirect migration background","West Germany","","","","","7"
"AfD","1986","indirect migration background","East Germany","","","","","7"
"CDU/CSU","1986","no migration background","West Germany","1989","0.44677296790702","0.432264992260176","0.461280943553864","1"
"CDU/CSU","1986","no migration background","East Germany","","","","","1"
"CDU/CSU","1986","direct migration background","East Germany","","","","","1"
"CDU/CSU","1986","direct migration background","West Germany","199","0.373813674885385","0.34248227957869","0.40514507019208","1"
"CDU/CSU","1986","indirect migration background","West Germany","16","","","","1"
"CDU/CSU","1986","indirect migration background","East Germany","","","","","1"
"FDP","1986","indirect migration background","West Germany","","","","","3"
"FDP","1986","no migration background","West Germany","160","0.0364323948281869","0.0309647961131474","0.0418999935432263","3"
"FDP","1986","direct migration background","West Germany","10","","","","3"
"FDP","1986","indirect migration background","East Germany","","","","","3"
"FDP","1986","no migration background","East Germany","","","","","3"
"FDP","1986","direct migration background","East Germany","","","","","3"
"NPD Combination","1986","no migration background","West Germany","","","","","6"
"NPD Combination","1986","no migration background","East Germany","","","","","6"
"NPD Combination","1986","indirect migration background","West Germany","","","","","6"
"NPD Combination","1986","direct migration background","East Germany","","","","","6"
"NPD Combination","1986","direct migration background","West Germany","","","","","6"
"NPD Combination","1986","indirect migration background","East Germany","","","","","6"
"Other","1986","no migration background","West Germany","24","","","","8"
"Other","1986","no migration background","East Germany","","","","","8"
"Other","1986","direct migration background","West Germany","5","","","","8"
"Other","1986","direct migration background","East Germany","","","","","8"
"Other","1986","indirect migration background","West Germany","","","","","8"
"Other","1986","indirect migration background","East Germany","","","","","8"
"PDS/Linke","1986","no migration background","West Germany","","","","","5"
"PDS/Linke","1986","no migration background","East Germany","","","","","5"
"PDS/Linke","1986","direct migration background","West Germany","","","","","5"
"PDS/Linke","1986","direct migration background","East Germany","","","","","5"
"PDS/Linke","1986","indirect migration background","West Germany","","","","","5"
"PDS/Linke","1986","indirect migration background","East Germany","","","","","5"
"SPD","1986","direct migration background","West Germany","638","0.535988813717074","0.503693281761385","0.568284345672764","2"
"SPD","1986","no migration background","West Germany","2027","0.449880784429269","0.435363385643197","0.464398183215342","2"
"SPD","1986","direct migration background","East Germany","","","","","2"
"SPD","1986","indirect migration background","East Germany","","","","","2"
"SPD","1986","no migration background","East Germany","","","","","2"
"SPD","1986","indirect migration background","West Germany","26","","","","2"
"AfD","1987","no migration background","West Germany","","","","","7"
"AfD","1987","no migration background","East Germany","","","","","7"
"AfD","1987","direct migration background","East Germany","","","","","7"
"AfD","1987","direct migration background","West Germany","","","","","7"
"AfD","1987","indirect migration background","West Germany","","","","","7"
"AfD","1987","indirect migration background","East Germany","","","","","7"
"CDU/CSU","1987","no migration background","West Germany","2177","0.457532979648421","0.443480196894936","0.471585762401906","1"
"CDU/CSU","1987","no migration background","East Germany","","","","","1"
"CDU/CSU","1987","direct migration background","West Germany","223","0.393688716341691","0.362322333138625","0.425055099544757","1"
"CDU/CSU","1987","indirect migration background","West Germany","19","","","","1"
"CDU/CSU","1987","direct migration background","East Germany","","","","","1"
"CDU/CSU","1987","indirect migration background","East Germany","","","","","1"
"FDP","1987","indirect migration background","East Germany","","","","","3"
"FDP","1987","indirect migration background","West Germany","","","","","3"
"FDP","1987","no migration background","East Germany","","","","","3"
"FDP","1987","no migration background","West Germany","260","0.0564173759530525","0.049909176275087","0.062925575631018","3"
"FDP","1987","direct migration background","West Germany","18","","","","3"
"FDP","1987","direct migration background","East Germany","","","","","3"
"NPD Combination","1987","no migration background","West Germany","","","","","6"
"NPD Combination","1987","no migration background","East Germany","","","","","6"
"NPD Combination","1987","direct migration background","East Germany","","","","","6"
"NPD Combination","1987","direct migration background","West Germany","","","","","6"
"NPD Combination","1987","indirect migration background","West Germany","","","","","6"
"NPD Combination","1987","indirect migration background","East Germany","","","","","6"
"Other","1987","no migration background","West Germany","34","0.00766735821870618","0.00520690010602693","0.0101278163313854","8"
"Other","1987","no migration background","East Germany","","","","","8"
"Other","1987","direct migration background","West Germany","3","","","","8"
"Other","1987","direct migration background","East Germany","","","","","8"
"Other","1987","indirect migration background","West Germany","","","","","8"
"Other","1987","indirect migration background","East Germany","","","","","8"
"PDS/Linke","1987","direct migration background","West Germany","","","","","5"
"PDS/Linke","1987","indirect migration background","East Germany","","","","","5"
"PDS/Linke","1987","no migration background","West Germany","","","","","5"
"PDS/Linke","1987","no migration background","East Germany","","","","","5"
"PDS/Linke","1987","direct migration background","East Germany","","","","","5"
"PDS/Linke","1987","indirect migration background","West Germany","","","","","5"
"SPD","1987","indirect migration background","East Germany","","","","","2"
"SPD","1987","indirect migration background","West Germany","37","0.351301354003798","0.233421599191722","0.469181108815874","2"
"SPD","1987","direct migration background","West Germany","586","0.4916777615527","0.459581830923568","0.523773692181832","2"
"SPD","1987","direct migration background","East Germany","","","","","2"
"SPD","1987","no migration background","West Germany","1995","0.412024156584968","0.398140446327092","0.425907866842844","2"
"SPD","1987","no migration background","East Germany","","","","","2"
"AfD","1988","no migration background","West Germany","","","","","7"
"AfD","1988","no migration background","East Germany","","","","","7"
"AfD","1988","direct migration background","West Germany","","","","","7"
"AfD","1988","direct migration background","East Germany","","","","","7"
"AfD","1988","indirect migration background","West Germany","","","","","7"
"AfD","1988","indirect migration background","East Germany","","","","","7"
"CDU/CSU","1988","no migration background","East Germany","","","","","1"
"CDU/CSU","1988","no migration background","West Germany","1808","0.424278890925228","0.409498078825845","0.439059703024612","1"
"CDU/CSU","1988","direct migration background","West Germany","190","0.374251753844482","0.341545422233648","0.406958085455316","1"
"CDU/CSU","1988","direct migration background","East Germany","","","","","1"
"CDU/CSU","1988","indirect migration background","West Germany","16","","","","1"
"CDU/CSU","1988","indirect migration background","East Germany","","","","","1"
"FDP","1988","no migration background","East Germany","","","","","3"
"FDP","1988","indirect migration background","West Germany","","","","","3"
"FDP","1988","indirect migration background","East Germany","","","","","3"
"FDP","1988","direct migration background","East Germany","","","","","3"
"FDP","1988","no migration background","West Germany","198","0.047771006963657","0.041392494549068","0.0541495193782459","3"
"FDP","1988","direct migration background","West Germany","16","","","","3"
"NPD Combination","1988","no migration background","West Germany","","","","","6"
"NPD Combination","1988","no migration background","East Germany","","","","","6"
"NPD Combination","1988","direct migration background","East Germany","","","","","6"
"NPD Combination","1988","direct migration background","West Germany","","","","","6"
"NPD Combination","1988","indirect migration background","West Germany","","","","","6"
"NPD Combination","1988","indirect migration background","East Germany","","","","","6"
"Other","1988","no migration background","West Germany","40","0.0103769245678749","0.0073462748504794","0.0134075742852704","8"
"Other","1988","no migration background","East Germany","","","","","8"
"Other","1988","direct migration background","West Germany","6","","","","8"
"Other","1988","direct migration background","East Germany","","","","","8"
"Other","1988","indirect migration background","West Germany","2","","","","8"
"Other","1988","indirect migration background","East Germany","","","","","8"
"PDS/Linke","1988","no migration background","West Germany","","","","","5"
"PDS/Linke","1988","no migration background","East Germany","","","","","5"
"PDS/Linke","1988","direct migration background","West Germany","","","","","5"
"PDS/Linke","1988","direct migration background","East Germany","","","","","5"
"PDS/Linke","1988","indirect migration background","West Germany","","","","","5"
"PDS/Linke","1988","indirect migration background","East Germany","","","","","5"
"SPD","1988","direct migration background","East Germany","","","","","2"
"SPD","1988","direct migration background","West Germany","556","0.531355298466597","0.497629327909276","0.565081269023919","2"
"SPD","1988","no migration background","West Germany","1991","0.46063214115716","0.445725281679135","0.475539000635184","2"
"SPD","1988","indirect migration background","East Germany","","","","","2"
"SPD","1988","indirect migration background","West Germany","53","0.493210521280915","0.382964098487286","0.603456944074544","2"
"SPD","1988","no migration background","East Germany","","","","","2"
"AfD","1989","no migration background","West Germany","","","","","7"
"AfD","1989","no migration background","East Germany","","","","","7"
"AfD","1989","direct migration background","East Germany","","","","","7"
"AfD","1989","direct migration background","West Germany","","","","","7"
"AfD","1989","indirect migration background","West Germany","","","","","7"
"AfD","1989","indirect migration background","East Germany","","","","","7"
"CDU/CSU","1989","no migration background","East Germany","","","","","1"
"CDU/CSU","1989","direct migration background","East Germany","","","","","1"
"CDU/CSU","1989","no migration background","West Germany","1540","0.395863675274454","0.380605245213708","0.4111221053352","1"
"CDU/CSU","1989","direct migration background","West Germany","174","0.325344418779195","0.295552462114871","0.355136375443518","1"
"CDU/CSU","1989","indirect migration background","West Germany","16","","","","1"
"CDU/CSU","1989","indirect migration background","East Germany","","","","","1"
"FDP","1989","indirect migration background","East Germany","","","","","3"
"FDP","1989","indirect migration background","West Germany","2","","","","3"
"FDP","1989","no migration background","East Germany","","","","","3"
"FDP","1989","direct migration background","East Germany","","","","","3"
"FDP","1989","no migration background","West Germany","127","0.0325618879875916","0.0270241049625308","0.0380996710126523","3"
"FDP","1989","direct migration background","West Germany","10","","","","3"
"NPD Combination","1989","indirect migration background","West Germany","","","","","6"
"NPD Combination","1989","no migration background","West Germany","","","","","6"
"NPD Combination","1989","no migration background","East Germany","","","","","6"
"NPD Combination","1989","direct migration background","West Germany","","","","","6"
"NPD Combination","1989","direct migration background","East Germany","","","","","6"
"NPD Combination","1989","indirect migration background","East Germany","","","","","6"
"Other","1989","direct migration background","East Germany","","","","","8"
"Other","1989","no migration background","West Germany","167","0.043282850786587","0.0369336471155103","0.0496320544576637","8"
"Other","1989","indirect migration background","West Germany","","","","","8"
"Other","1989","indirect migration background","East Germany","","","","","8"
"Other","1989","no migration background","East Germany","","","","","8"
"Other","1989","direct migration background","West Germany","19","","","","8"
"PDS/Linke","1989","no migration background","West Germany","","","","","5"
"PDS/Linke","1989","no migration background","East Germany","","","","","5"
"PDS/Linke","1989","direct migration background","West Germany","","","","","5"
"PDS/Linke","1989","direct migration background","East Germany","","","","","5"
"PDS/Linke","1989","indirect migration background","West Germany","","","","","5"
"PDS/Linke","1989","indirect migration background","East Germany","","","","","5"
"SPD","1989","direct migration background","West Germany","659","0.547254092847251","0.515601589455374","0.578906596239128","2"
"SPD","1989","direct migration background","East Germany","","","","","2"
"SPD","1989","no migration background","West Germany","1854","0.467860190803992","0.452291916602759","0.483428465005224","2"
"SPD","1989","indirect migration background","West Germany","70","0.565085423456623","0.467921034196231","0.662249812717016","2"
"SPD","1989","indirect migration background","East Germany","","","","","2"
"SPD","1989","no migration background","East Germany","","","","","2"
"AfD","1990","direct migration background","East Germany","","","","","7"
"AfD","1990","no migration background","West Germany","","","","","7"
"AfD","1990","no migration background","East Germany","","","","","7"
"AfD","1990","direct migration background","West Germany","","","","","7"
"AfD","1990","indirect migration background","West Germany","","","","","7"
"AfD","1990","indirect migration background","East Germany","","","","","7"
"CDU/CSU","1990","direct migration background","East Germany","","","","","1"
"CDU/CSU","1990","no migration background","East Germany","","","","","1"
"CDU/CSU","1990","indirect migration background","West Germany","11","","","","1"
"CDU/CSU","1990","indirect migration background","East Germany","","","","","1"
"CDU/CSU","1990","no migration background","West Germany","1634","0.407859778507883","0.392737636656282","0.422981920359484","1"
"CDU/CSU","1990","direct migration background","West Germany","181","0.327338324441804","0.297228790096383","0.357447858787225","1"
"FDP","1990","indirect migration background","East Germany","","","","","3"
"FDP","1990","indirect migration background","West Germany","1","","","","3"
"FDP","1990","no migration background","East Germany","","","","","3"
"FDP","1990","no migration background","West Germany","181","0.0451879077029771","0.0387962183561451","0.0515795970498092","3"
"FDP","1990","direct migration background","West Germany","15","","","","3"
"FDP","1990","direct migration background","East Germany","","","","","3"
"NPD Combination","1990","indirect migration background","West Germany","2","","","","6"
"NPD Combination","1990","no migration background","West Germany","66","0.0138423351922511","0.0102471319627362","0.0174375384217659","6"
"NPD Combination","1990","no migration background","East Germany","","","","","6"
"NPD Combination","1990","direct migration background","West Germany","5","","","","6"
"NPD Combination","1990","direct migration background","East Germany","","","","","6"
"NPD Combination","1990","indirect migration background","East Germany","","","","","6"
"Other","1990","no migration background","West Germany","24","","","","8"
"Other","1990","direct migration background","East Germany","","","","","8"
"Other","1990","no migration background","East Germany","","","","","8"
"Other","1990","indirect migration background","West Germany","1","","","","8"
"Other","1990","indirect migration background","East Germany","","","","","8"
"Other","1990","direct migration background","West Germany","4","","","","8"
"PDS/Linke","1990","no migration background","West Germany","","","","","5"
"PDS/Linke","1990","no migration background","East Germany","","","","","5"
"PDS/Linke","1990","direct migration background","West Germany","","","","","5"
"PDS/Linke","1990","direct migration background","East Germany","","","","","5"
"PDS/Linke","1990","indirect migration background","West Germany","","","","","5"
"PDS/Linke","1990","indirect migration background","East Germany","","","","","5"
"SPD","1990","no migration background","East Germany","","","","","2"
"SPD","1990","direct migration background","East Germany","","","","","2"
"SPD","1990","direct migration background","West Germany","659","0.564166520889536","0.532348642441398","0.595984399337674","2"
"SPD","1990","no migration background","West Germany","1936","0.477611053535854","0.462240844950501","0.492981262121207","2"
"SPD","1990","indirect migration background","West Germany","69","0.565795176358205","0.46766287240073","0.663927480315679","2"
"SPD","1990","indirect migration background","East Germany","","","","","2"
"AfD","1991","no migration background","East Germany","","","","","7"
"AfD","1991","direct migration background","East Germany","","","","","7"
"AfD","1991","no migration background","West Germany","","","","","7"
"AfD","1991","direct migration background","West Germany","","","","","7"
"AfD","1991","indirect migration background","East Germany","","","","","7"
"AfD","1991","indirect migration background","West Germany","","","","","7"
"CDU/CSU","1991","indirect migration background","West Germany","8","","","","1"
"CDU/CSU","1991","no migration background","East Germany","","","","","1"
"CDU/CSU","1991","direct migration background","East Germany","","","","","1"
"CDU/CSU","1991","no migration background","West Germany","1652","0.427649932885527","0.412150609007238","0.443149256763816","1"
"CDU/CSU","1991","indirect migration background","East Germany","","","","","1"
"CDU/CSU","1991","direct migration background","West Germany","116","0.510643574125442","0.444886393072154","0.57640075517873","1"
"FDP","1991","indirect migration background","East Germany","","","","","3"
"FDP","1991","indirect migration background","West Germany","","","","","3"
"FDP","1991","no migration background","East Germany","","","","","3"
"FDP","1991","no migration background","West Germany","198","0.0561621356883123","0.0489492643461733","0.0633750070304513","3"
"FDP","1991","direct migration background","East Germany","","","","","3"
"FDP","1991","direct migration background","West Germany","7","","","","3"
"NPD Combination","1991","no migration background","West Germany","41","0.00947918992871665","0.00644351618055055","0.0125148636768828","6"
"NPD Combination","1991","direct migration background","West Germany","3","","","","6"
"NPD Combination","1991","direct migration background","East Germany","","","","","6"
"NPD Combination","1991","indirect migration background","West Germany","1","","","","6"
"NPD Combination","1991","indirect migration background","East Germany","","","","","6"
"NPD Combination","1991","no migration background","East Germany","","","","","6"
"Other","1991","no migration background","West Germany","19","","","","8"
"Other","1991","direct migration background","East Germany","","","","","8"
"Other","1991","no migration background","East Germany","","","","","8"
"Other","1991","indirect migration background","West Germany","","","","","8"
"Other","1991","indirect migration background","East Germany","","","","","8"
"Other","1991","direct migration background","West Germany","","","","","8"
"PDS/Linke","1991","no migration background","West Germany","3","","","","5"
"PDS/Linke","1991","direct migration background","West Germany","","","","","5"
"PDS/Linke","1991","indirect migration background","East Germany","","","","","5"
"PDS/Linke","1991","indirect migration background","West Germany","1","","","","5"
"PDS/Linke","1991","no migration background","East Germany","","","","","5"
"PDS/Linke","1991","direct migration background","East Germany","","","","","5"
"SPD","1991","direct migration background","East Germany","","","","","2"
"SPD","1991","no migration background","East Germany","","","","","2"
"SPD","1991","direct migration background","West Germany","88","0.402310747694984","0.337806228204279","0.46681526718569","2"
"SPD","1991","no migration background","West Germany","1789","0.449118461372994","0.433535598704176","0.464701324041813","2"
"SPD","1991","indirect migration background","East Germany","","","","","2"
"SPD","1991","indirect migration background","West Germany","14","","","","2"
"AfD","1992","direct migration background","East Germany","","","","","7"
"AfD","1992","no migration background","West Germany","","","","","7"
"AfD","1992","no migration background","East Germany","","","","","7"
"AfD","1992","direct migration background","West Germany","","","","","7"
"AfD","1992","indirect migration background","West Germany","","","","","7"
"AfD","1992","indirect migration background","East Germany","","","","","7"
"CDU/CSU","1992","indirect migration background","West Germany","13","","","","1"
"CDU/CSU","1992","indirect migration background","East Germany","2","","","","1"
"CDU/CSU","1992","no migration background","East Germany","462","0.35389059548478","0.327361139744911","0.380420051224649","1"
"CDU/CSU","1992","direct migration background","East Germany","14","","","","1"
"CDU/CSU","1992","no migration background","West Germany","1444","0.430248969796894","0.413775471598414","0.446722467995374","1"
"CDU/CSU","1992","direct migration background","West Germany","169","0.37309621952714","0.336772910654855","0.409419528399425","1"
"FDP","1992","no migration background","East Germany","79","0.0595307648615951","0.0464032104733341","0.0726583192498561","3"
"FDP","1992","indirect migration background","West Germany","5","","","","3"
"FDP","1992","indirect migration background","East Germany","","","","","3"
"FDP","1992","direct migration background","West Germany","15","","","","3"
"FDP","1992","direct migration background","East Germany","1","","","","3"
"FDP","1992","no migration background","West Germany","148","0.0477062244175029","0.0406144265309074","0.0547980223040984","3"
"NPD Combination","1992","indirect migration background","East Germany","","","","","6"
"NPD Combination","1992","indirect migration background","West Germany","","","","","6"
"NPD Combination","1992","direct migration background","East Germany","","","","","6"
"NPD Combination","1992","no migration background","West Germany","","","","","6"
"NPD Combination","1992","direct migration background","West Germany","","","","","6"
"NPD Combination","1992","no migration background","East Germany","","","","","6"
"Other","1992","indirect migration background","East Germany","1","","","","8"
"Other","1992","no migration background","West Germany","72","0.0212078842356074","0.0164141135326708","0.0260016549385439","8"
"Other","1992","indirect migration background","West Germany","3","","","","8"
"Other","1992","direct migration background","East Germany","1","","","","8"
"Other","1992","no migration background","East Germany","29","","","","8"
"Other","1992","direct migration background","West Germany","13","","","","8"
"PDS/Linke","1992","direct migration background","East Germany","5","","","","5"
"PDS/Linke","1992","no migration background","West Germany","7","","","","5"
"PDS/Linke","1992","direct migration background","West Germany","5","","","","5"
"PDS/Linke","1992","no migration background","East Germany","109","0.0970982509148073","0.0806709297143131","0.113525572115302","5"
"PDS/Linke","1992","indirect migration background","West Germany","","","","","5"
"PDS/Linke","1992","indirect migration background","East Germany","","","","","5"
"SPD","1992","no migration background","West Germany","1591","0.445903996626248","0.429365480353034","0.462442512899463","2"
"SPD","1992","indirect migration background","East Germany","","","","","2"
"SPD","1992","no migration background","East Germany","445","0.36584620755484","0.339123074498962","0.392569340610718","2"
"SPD","1992","direct migration background","East Germany","19","","","","2"
"SPD","1992","indirect migration background","West Germany","67","0.489225043444052","0.393152218852497","0.585297868035608","2"
"SPD","1992","direct migration background","West Germany","430","0.518584897017695","0.481057855931193","0.556111938104196","2"
"AfD","1993","direct migration background","East Germany","","","","","7"
"AfD","1993","no migration background","West Germany","","","","","7"
"AfD","1993","no migration background","East Germany","","","","","7"
"AfD","1993","direct migration background","West Germany","","","","","7"
"AfD","1993","indirect migration background","West Germany","","","","","7"
"AfD","1993","indirect migration background","East Germany","","","","","7"
"CDU/CSU","1993","indirect migration background","West Germany","11","","","","1"
"CDU/CSU","1993","indirect migration background","East Germany","2","","","","1"
"CDU/CSU","1993","direct migration background","East Germany","16","","","","1"
"CDU/CSU","1993","no migration background","East Germany","323","0.298369994520241","0.270786947021756","0.325953042018726","1"
"CDU/CSU","1993","no migration background","West Germany","1228","0.406576431301077","0.389240610798368","0.423912251803786","1"
"CDU/CSU","1993","direct migration background","West Germany","135","0.346549938129073","0.309031654001363","0.384068222256783","1"
"FDP","1993","indirect migration background","East Germany","","","","","3"
"FDP","1993","indirect migration background","West Germany","1","","","","3"
"FDP","1993","direct migration background","West Germany","11","","","","3"
"FDP","1993","direct migration background","East Germany","1","","","","3"
"FDP","1993","no migration background","East Germany","54","0.0522176080819307","0.0388062301046561","0.0656289860592053","3"
"FDP","1993","no migration background","West Germany","136","0.0513230213042541","0.0435353754329045","0.0591106671756037","3"
"NPD Combination","1993","indirect migration background","East Germany","","","","","6"
"NPD Combination","1993","no migration background","East Germany","34","0.0297860049118737","0.0195377364586842","0.0400342733650632","6"
"NPD Combination","1993","direct migration background","East Germany","","","","","6"
"NPD Combination","1993","indirect migration background","West Germany","1","","","","6"
"NPD Combination","1993","no migration background","West Germany","99","0.0320671314911068","0.0258492336633787","0.0382850293188348","6"
"NPD Combination","1993","direct migration background","West Germany","5","","","","6"
"Other","1993","no migration background","West Germany","27","","","","8"
"Other","1993","indirect migration background","East Germany","","","","","8"
"Other","1993","direct migration background","East Germany","","","","","8"
"Other","1993","indirect migration background","West Germany","","","","","8"
"Other","1993","no migration background","East Germany","13","","","","8"
"Other","1993","direct migration background","West Germany","5","","","","8"
"PDS/Linke","1993","direct migration background","East Germany","8","","","","5"
"PDS/Linke","1993","direct migration background","West Germany","1","","","","5"
"PDS/Linke","1993","no migration background","East Germany","126","0.135956075405135","0.115293815623042","0.156618335187228","5"
"PDS/Linke","1993","no migration background","West Germany","8","","","","5"
"PDS/Linke","1993","indirect migration background","West Germany","","","","","5"
"PDS/Linke","1993","indirect migration background","East Germany","","","","","5"
"SPD","1993","no migration background","East Germany","399","0.379427459873934","0.350174403115905","0.408680516631963","2"
"SPD","1993","no migration background","West Germany","1334","0.423824170069342","0.406383575578154","0.44126476456053","2"
"SPD","1993","indirect migration background","West Germany","69","0.581112030274204","0.484411920275887","0.677812140272522","2"
"SPD","1993","indirect migration background","East Germany","1","","","","2"
"SPD","1993","direct migration background","West Germany","406","0.497988944175712","0.458568606066903","0.537409282284521","2"
"SPD","1993","direct migration background","East Germany","15","","","","2"
"AfD","1994","no migration background","West Germany","","","","","7"
"AfD","1994","no migration background","East Germany","","","","","7"
"AfD","1994","direct migration background","West Germany","","","","","7"
"AfD","1994","direct migration background","East Germany","","","","","7"
"AfD","1994","indirect migration background","West Germany","","","","","7"
"AfD","1994","indirect migration background","East Germany","","","","","7"
"CDU/CSU","1994","indirect migration background","East Germany","","","","","1"
"CDU/CSU","1994","indirect migration background","West Germany","15","","","","1"
"CDU/CSU","1994","direct migration background","East Germany","22","","","","1"
"CDU/CSU","1994","no migration background","West Germany","1235","0.396074357148366","0.379155318871624","0.412993395425107","1"
"CDU/CSU","1994","no migration background","East Germany","338","0.299989298633115","0.272734787317125","0.327243809949105","1"
"CDU/CSU","1994","direct migration background","West Germany","152","0.366043931864522","0.328867781063376","0.403220082665669","1"
"FDP","1994","indirect migration background","West Germany","1","","","","3"
"FDP","1994","indirect migration background","East Germany","1","","","","3"
"FDP","1994","direct migration background","West Germany","12","","","","3"
"FDP","1994","direct migration background","East Germany","1","","","","3"
"FDP","1994","no migration background","East Germany","39","0.0361743181356493","0.0250689591379582","0.0472796771333403","3"
"FDP","1994","no migration background","West Germany","97","0.0369047694552353","0.0303829099460598","0.0434266289644107","3"
