"party","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"SPD","1986","Not Working","Urban Area","746","0.443202601356506","0.418746726300365","0.467658476412647","2"
"AfD","1987","Full Time","Urban Area","","","","","7"
"AfD","1987","Full Time","Rural Area","","","","","7"
"AfD","1987","Part Time","Urban Area","","","","","7"
"AfD","1987","Part Time","Rural Area","","","","","7"
"AfD","1987","Not Working","Urban Area","","","","","7"
"AfD","1987","Not Working","Rural Area","","","","","7"
"CDU/CSU","1987","Full Time","Urban Area","799","0.412744564184734","0.391909797249837","0.43357933111963","1"
"CDU/CSU","1987","Full Time","Rural Area","289","0.55104678773013","0.50988810758677","0.59220546787349","1"
"CDU/CSU","1987","Part Time","Rural Area","110","0.490783445446481","0.427271440595572","0.55429545029739","1"
"CDU/CSU","1987","Part Time","Urban Area","308","0.413321186760872","0.379176845560943","0.4474655279608","1"
"CDU/CSU","1987","Not Working","Urban Area","691","0.451001110755148","0.426977182292605","0.47502503921769","1"
"CDU/CSU","1987","Not Working","Rural Area","222","0.544375901025324","0.497412557721614","0.591339244329034","1"
"FDP","1987","Full Time","Urban Area","111","0.0596694518348893","0.0496452283751685","0.0696936752946102","3"
"FDP","1987","Not Working","Urban Area","82","0.0560678602786394","0.0449608578889065","0.0671748626683723","3"
"FDP","1987","Not Working","Rural Area","19","","","","3"
"FDP","1987","Full Time","Rural Area","27","","","","3"
"FDP","1987","Part Time","Rural Area","10","","","","3"
"FDP","1987","Part Time","Urban Area","29","","","","3"
"NPD Combination","1987","Full Time","Urban Area","","","","","6"
"NPD Combination","1987","Full Time","Rural Area","","","","","6"
"NPD Combination","1987","Part Time","Rural Area","","","","","6"
"NPD Combination","1987","Part Time","Urban Area","","","","","6"
"NPD Combination","1987","Not Working","Urban Area","","","","","6"
"NPD Combination","1987","Not Working","Rural Area","","","","","6"
"Other","1987","Full Time","Urban Area","10","","","","8"
"Other","1987","Full Time","Rural Area","4","","","","8"
"Other","1987","Part Time","Urban Area","6","","","","8"
"Other","1987","Part Time","Rural Area","3","","","","8"
"Other","1987","Not Working","Urban Area","11","","","","8"
"Other","1987","Not Working","Rural Area","3","","","","8"
"PDS/Linke","1987","Not Working","Rural Area","","","","","5"
"PDS/Linke","1987","Part Time","Urban Area","","","","","5"
"PDS/Linke","1987","Full Time","Urban Area","","","","","5"
"PDS/Linke","1987","Full Time","Rural Area","","","","","5"
"PDS/Linke","1987","Part Time","Rural Area","","","","","5"
"PDS/Linke","1987","Not Working","Urban Area","","","","","5"
"SPD","1987","Part Time","Rural Area","96","0.394055516541235","0.33197508368774","0.45613594939473","2"
"SPD","1987","Not Working","Urban Area","738","0.428214244336552","0.404324213614803","0.452104275058302","2"
"SPD","1987","Part Time","Urban Area","346","0.401459981710035","0.367470665479425","0.435449297940646","2"
"SPD","1987","Full Time","Rural Area","213","0.346943538282106","0.307554858225532","0.386332218338681","2"
"SPD","1987","Full Time","Urban Area","1061","0.452337900765203","0.431274801462949","0.473401000067458","2"
"SPD","1987","Not Working","Rural Area","164","0.359488723127143","0.314239383701327","0.404738062552959","2"
"AfD","1988","Full Time","Urban Area","","","","","7"
"AfD","1988","Full Time","Rural Area","","","","","7"
"AfD","1988","Part Time","Rural Area","","","","","7"
"AfD","1988","Part Time","Urban Area","","","","","7"
"AfD","1988","Not Working","Urban Area","","","","","7"
"AfD","1988","Not Working","Rural Area","","","","","7"
"CDU/CSU","1988","Part Time","Urban Area","234","0.362168605789586","0.326865213338049","0.397471998241123","1"
"CDU/CSU","1988","Full Time","Urban Area","666","0.376281075405711","0.354822919504339","0.397739231307082","1"
"CDU/CSU","1988","Full Time","Rural Area","226","0.519009900005073","0.47305031967365","0.564969480336497","1"
"CDU/CSU","1988","Not Working","Urban Area","613","0.440591469190062","0.415366583323289","0.465816355056835","1"
"CDU/CSU","1988","Part Time","Rural Area","96","0.440522709635234","0.375654454774933","0.505390964495535","1"
"CDU/CSU","1988","Not Working","Rural Area","179","0.47959424060012","0.429231399967657","0.529957081232583","1"
"FDP","1988","Not Working","Rural Area","14","","","","3"
"FDP","1988","Not Working","Urban Area","62","0.0468807594767","0.0361404310169682","0.0576210879364319","3"
"FDP","1988","Full Time","Rural Area","20","","","","3"
"FDP","1988","Full Time","Urban Area","85","0.0468355869556602","0.0374769275816543","0.056194246329666","3"
"FDP","1988","Part Time","Urban Area","24","","","","3"
"FDP","1988","Part Time","Rural Area","9","","","","3"
"NPD Combination","1988","Full Time","Urban Area","","","","","6"
"NPD Combination","1988","Full Time","Rural Area","","","","","6"
"NPD Combination","1988","Part Time","Rural Area","","","","","6"
"NPD Combination","1988","Part Time","Urban Area","","","","","6"
"NPD Combination","1988","Not Working","Urban Area","","","","","6"
"NPD Combination","1988","Not Working","Rural Area","","","","","6"
"Other","1988","Full Time","Urban Area","19","","","","8"
"Other","1988","Full Time","Rural Area","4","","","","8"
"Other","1988","Part Time","Urban Area","2","","","","8"
"Other","1988","Part Time","Rural Area","5","","","","8"
"Other","1988","Not Working","Urban Area","15","","","","8"
"Other","1988","Not Working","Rural Area","3","","","","8"
"PDS/Linke","1988","Part Time","Urban Area","","","","","5"
"PDS/Linke","1988","Part Time","Rural Area","","","","","5"
"PDS/Linke","1988","Not Working","Urban Area","","","","","5"
"PDS/Linke","1988","Not Working","Rural Area","","","","","5"
"PDS/Linke","1988","Full Time","Urban Area","","","","","5"
"PDS/Linke","1988","Full Time","Rural Area","","","","","5"
"SPD","1988","Not Working","Urban Area","703","0.447017130238588","0.42175531540507","0.472278945072105","2"
"SPD","1988","Not Working","Rural Area","175","0.442492524315445","0.392422188093728","0.492562860537162","2"
"SPD","1988","Part Time","Urban Area","375","0.492440343249729","0.455718163305281","0.529162523194176","2"
"SPD","1988","Part Time","Rural Area","102","0.465374023028283","0.400198739495391","0.530549306561175","2"
"SPD","1988","Full Time","Urban Area","1061","0.501293240933741","0.479146475854078","0.523440006013403","2"
"SPD","1988","Full Time","Rural Area","184","0.391807862094303","0.346904677934136","0.436711046254471","2"
"AfD","1989","Full Time","Urban Area","","","","","7"
"AfD","1989","Full Time","Rural Area","","","","","7"
"AfD","1989","Part Time","Rural Area","","","","","7"
"AfD","1989","Part Time","Urban Area","","","","","7"
"AfD","1989","Not Working","Urban Area","","","","","7"
"AfD","1989","Not Working","Rural Area","","","","","7"
"CDU/CSU","1989","Full Time","Rural Area","197","0.47344771728157","0.426794831138878","0.520100603424262","1"
"CDU/CSU","1989","Full Time","Urban Area","577","0.343140462683721","0.321987079932288","0.364293845435154","1"
"CDU/CSU","1989","Part Time","Urban Area","201","0.343376901897501","0.307314504628029","0.379439299166972","1"
"CDU/CSU","1989","Part Time","Rural Area","75","0.437673015290601","0.366757948824594","0.508588081756609","1"
"CDU/CSU","1989","Not Working","Urban Area","517","0.400186018708962","0.374730327792033","0.42564170962589","1"
"CDU/CSU","1989","Not Working","Rural Area","163","0.485755406831238","0.432939765407457","0.538571048255019","1"
"FDP","1989","Full Time","Rural Area","14","","","","3"
"FDP","1989","Not Working","Urban Area","33","0.0267459225007479","0.0183631525515333","0.0351286924499625","3"
"FDP","1989","Not Working","Rural Area","12","","","","3"
"FDP","1989","Part Time","Rural Area","6","","","","3"
"FDP","1989","Full Time","Urban Area","57","0.0299567730785335","0.0223613728204165","0.0375521733366506","3"
"FDP","1989","Part Time","Urban Area","17","","","","3"
"NPD Combination","1989","Not Working","Urban Area","","","","","6"
"NPD Combination","1989","Full Time","Urban Area","","","","","6"
"NPD Combination","1989","Full Time","Rural Area","","","","","6"
"NPD Combination","1989","Part Time","Urban Area","","","","","6"
"NPD Combination","1989","Part Time","Rural Area","","","","","6"
"NPD Combination","1989","Not Working","Rural Area","","","","","6"
"Other","1989","Full Time","Urban Area","75","0.0438447562920803","0.0347219040242317","0.0529676085599289","8"
"Other","1989","Full Time","Rural Area","21","","","","8"
"Other","1989","Part Time","Urban Area","18","","","","8"
"Other","1989","Part Time","Rural Area","5","","","","8"
"Other","1989","Not Working","Urban Area","54","0.0418713235170432","0.0314645547541508","0.0522780922799356","8"
"Other","1989","Not Working","Rural Area","13","","","","8"
"PDS/Linke","1989","Full Time","Urban Area","","","","","5"
"PDS/Linke","1989","Full Time","Rural Area","","","","","5"
"PDS/Linke","1989","Part Time","Urban Area","","","","","5"
"PDS/Linke","1989","Part Time","Rural Area","","","","","5"
"PDS/Linke","1989","Not Working","Urban Area","","","","","5"
"PDS/Linke","1989","Not Working","Rural Area","","","","","5"
"SPD","1989","Part Time","Urban Area","353","0.480350055361659","0.442405860526433","0.518294250196885","2"
"SPD","1989","Part Time","Rural Area","91","0.459280652047368","0.388045526104189","0.530515777990548","2"
"SPD","1989","Full Time","Urban Area","1090","0.515686321858596","0.493419215689789","0.537953428027404","2"
"SPD","1989","Not Working","Urban Area","713","0.471981416825071","0.446043643263704","0.497919190386438","2"
"SPD","1989","Not Working","Rural Area","145","0.40773404991672","0.355804358379246","0.459663741454194","2"
"SPD","1989","Full Time","Rural Area","191","0.39787693482591","0.352142979157752","0.443610890494068","2"
"AfD","1990","Full Time","Urban Area","","","","","7"
"AfD","1990","Full Time","Rural Area","","","","","7"
"AfD","1990","Part Time","Rural Area","","","","","7"
"AfD","1990","Part Time","Urban Area","","","","","7"
"AfD","1990","Not Working","Urban Area","","","","","7"
"AfD","1990","Not Working","Rural Area","","","","","7"
"CDU/CSU","1990","Part Time","Rural Area","83","0.437145778007927","0.366614395164413","0.507677160851442","1"
"CDU/CSU","1990","Not Working","Rural Area","163","0.458896315122947","0.407133173956383","0.51065945628951","1"
"CDU/CSU","1990","Full Time","Rural Area","198","0.486733639935789","0.440242126068111","0.533225153803467","1"
"CDU/CSU","1990","Part Time","Urban Area","207","0.315449787055264","0.281553879505551","0.349345694604978","1"
"CDU/CSU","1990","Not Working","Urban Area","574","0.434469246307295","0.408973224813789","0.4599652678008","1"
"CDU/CSU","1990","Full Time","Urban Area","601","0.359953405013752","0.338506012696577","0.381400797330926","1"
"FDP","1990","Not Working","Rural Area","17","","","","3"
"FDP","1990","Not Working","Urban Area","57","0.0435002791434425","0.0330084012250716","0.0539921570618134","3"
"FDP","1990","Full Time","Rural Area","11","","","","3"
"FDP","1990","Full Time","Urban Area","76","0.0394990448882199","0.0307956687146493","0.0482024210617906","3"
"FDP","1990","Part Time","Urban Area","30","0.0485313648986509","0.032857071087185","0.0642056587101168","3"
"FDP","1990","Part Time","Rural Area","6","","","","3"
"NPD Combination","1990","Full Time","Urban Area","32","0.0170751448087409","0.0112863532284175","0.0228639363890643","6"
"NPD Combination","1990","Not Working","Rural Area","3","","","","6"
"NPD Combination","1990","Not Working","Urban Area","16","","","","6"
"NPD Combination","1990","Full Time","Rural Area","10","","","","6"
"NPD Combination","1990","Part Time","Urban Area","12","","","","6"
"NPD Combination","1990","Part Time","Rural Area","","","","","6"
"Other","1990","Full Time","Urban Area","9","","","","8"
"Other","1990","Part Time","Rural Area","2","","","","8"
"Other","1990","Not Working","Urban Area","8","","","","8"
"Other","1990","Not Working","Rural Area","3","","","","8"
"Other","1990","Full Time","Rural Area","5","","","","8"
"Other","1990","Part Time","Urban Area","2","","","","8"
"PDS/Linke","1990","Full Time","Urban Area","","","","","5"
"PDS/Linke","1990","Full Time","Rural Area","","","","","5"
"PDS/Linke","1990","Part Time","Urban Area","","","","","5"
"PDS/Linke","1990","Part Time","Rural Area","","","","","5"
"PDS/Linke","1990","Not Working","Urban Area","","","","","5"
"PDS/Linke","1990","Not Working","Rural Area","","","","","5"
"SPD","1990","Part Time","Urban Area","399","0.512604033123218","0.476144469427534","0.549063596818903","2"
"SPD","1990","Part Time","Rural Area","86","0.467232562756853","0.396290031832628","0.538175093681077","2"
"SPD","1990","Full Time","Urban Area","1100","0.526216579837619","0.503905645898231","0.548527513777007","2"
"SPD","1990","Full Time","Rural Area","190","0.410353373060784","0.364599114821394","0.456107631300173","2"
"SPD","1990","Not Working","Urban Area","734","0.468657978409488","0.442990696998797","0.494325259820179","2"
"SPD","1990","Not Working","Rural Area","155","0.429573393628284","0.378152257679652","0.480994529576916","2"
"AfD","1991","Part Time","Rural Area","","","","","7"
"AfD","1991","Full Time","Urban Area","","","","","7"
"AfD","1991","Full Time","Rural Area","","","","","7"
"AfD","1991","Part Time","Urban Area","","","","","7"
"AfD","1991","Not Working","Rural Area","","","","","7"
"AfD","1991","Not Working","Urban Area","","","","","7"
"CDU/CSU","1991","Full Time","Urban Area","539","0.376349582249922","0.351097934978698","0.401601229521147","1"
"CDU/CSU","1991","Part Time","Rural Area","97","0.480049362450877","0.410809356051475","0.549289368850279","1"
"CDU/CSU","1991","Full Time","Rural Area","197","0.517380456813284","0.46810201065012","0.566658902976448","1"
"CDU/CSU","1991","Not Working","Urban Area","548","0.459306461469447","0.431110667052566","0.487502255886328","1"
"CDU/CSU","1991","Not Working","Rural Area","182","0.533884119010857","0.480544623527985","0.587223614493729","1"
"CDU/CSU","1991","Part Time","Urban Area","213","0.355589961753786","0.317788061690158","0.393391861817414","1"
"FDP","1991","Not Working","Rural Area","13","","","","3"
"FDP","1991","Not Working","Urban Area","59","0.0574584518979796","0.0442915172502263","0.070625386545733","3"
"FDP","1991","Full Time","Rural Area","15","","","","3"
"FDP","1991","Part Time","Urban Area","33","0.056190911996024","0.038005093477637","0.074376730514411","3"
"FDP","1991","Full Time","Urban Area","77","0.0577122698504509","0.0455574302491849","0.069867109451717","3"
"FDP","1991","Part Time","Rural Area","8","","","","3"
"NPD Combination","1991","Not Working","Rural Area","3","","","","6"
"NPD Combination","1991","Full Time","Urban Area","20","","","","6"
"NPD Combination","1991","Full Time","Rural Area","5","","","","6"
"NPD Combination","1991","Part Time","Urban Area","8","","","","6"
"NPD Combination","1991","Part Time","Rural Area","2","","","","6"
"NPD Combination","1991","Not Working","Urban Area","7","","","","6"
"Other","1991","Full Time","Urban Area","6","","","","8"
"Other","1991","Part Time","Rural Area","3","","","","8"
"Other","1991","Full Time","Rural Area","2","","","","8"
"Other","1991","Not Working","Urban Area","4","","","","8"
"Other","1991","Not Working","Rural Area","1","","","","8"
"Other","1991","Part Time","Urban Area","3","","","","8"
"PDS/Linke","1991","Full Time","Urban Area","","","","","5"
"PDS/Linke","1991","Not Working","Urban Area","2","","","","5"
"PDS/Linke","1991","Full Time","Rural Area","","","","","5"
"PDS/Linke","1991","Part Time","Urban Area","1","","","","5"
"PDS/Linke","1991","Part Time","Rural Area","","","","","5"
"PDS/Linke","1991","Not Working","Rural Area","1","","","","5"
"SPD","1991","Part Time","Rural Area","82","0.419802552410519","0.351404531201049","0.488200573619989","2"
"SPD","1991","Full Time","Rural Area","161","0.388351722415315","0.340288482877005","0.436414961953624","2"
"SPD","1991","Part Time","Urban Area","308","0.4813223815123","0.441865340120587","0.520779422904013","2"
"SPD","1991","Full Time","Urban Area","690","0.490005017326465","0.46394908596384","0.516060948689091","2"
"SPD","1991","Not Working","Urban Area","523","0.430121324274013","0.40210932165139","0.458133326896637","2"
"SPD","1991","Not Working","Rural Area","127","0.373641873058084","0.321914838577292","0.425368907538875","2"
"AfD","1992","Part Time","Rural Area","","","","","7"
"AfD","1992","Full Time","Rural Area","","","","","7"
"AfD","1992","Part Time","Urban Area","","","","","7"
"AfD","1992","Full Time","Urban Area","","","","","7"
"AfD","1992","Not Working","Urban Area","","","","","7"
"AfD","1992","Not Working","Rural Area","","","","","7"
"CDU/CSU","1992","Not Working","Urban Area","561","0.463877004744213","0.436974373102891","0.490779636385535","1"
"CDU/CSU","1992","Part Time","Rural Area","138","0.470919511459737","0.416143933984214","0.525695088935259","1"
"CDU/CSU","1992","Full Time","Rural Area","357","0.470524270767244","0.436172296035105","0.504876245499382","1"
"CDU/CSU","1992","Full Time","Urban Area","601","0.363457050884607","0.341491419905073","0.385422681864141","1"
"CDU/CSU","1992","Not Working","Rural Area","223","0.431333046510428","0.388806061768221","0.473860031252635","1"
"CDU/CSU","1992","Part Time","Urban Area","210","0.33300795227987","0.297842907402828","0.368172997156913","1"
"FDP","1992","Not Working","Urban Area","41","0.035040414694043","0.0251206743053404","0.0449601550827456","3"
"FDP","1992","Not Working","Rural Area","28","","","","3"
"FDP","1992","Full Time","Urban Area","75","0.0486883254698843","0.0388600547548457","0.0585165961849228","3"
"FDP","1992","Full Time","Rural Area","45","0.0532617384054404","0.0378070484427534","0.0687164283681274","3"
"FDP","1992","Part Time","Urban Area","39","0.0687471371438379","0.049867890302195","0.0876263839854808","3"
"FDP","1992","Part Time","Rural Area","15","","","","3"
"NPD Combination","1992","Not Working","Urban Area","","","","","6"
"NPD Combination","1992","Not Working","Rural Area","","","","","6"
"NPD Combination","1992","Part Time","Rural Area","","","","","6"
"NPD Combination","1992","Full Time","Urban Area","","","","","6"
"NPD Combination","1992","Part Time","Urban Area","","","","","6"
"NPD Combination","1992","Full Time","Rural Area","","","","","6"
"Other","1992","Not Working","Rural Area","14","","","","8"
"Other","1992","Full Time","Urban Area","49","0.0216647041123074","0.0150162064541197","0.0283132017704951","8"
"Other","1992","Not Working","Urban Area","16","","","","8"
"Other","1992","Part Time","Rural Area","7","","","","8"
"Other","1992","Full Time","Rural Area","18","","","","8"
"Other","1992","Part Time","Urban Area","14","","","","8"
"PDS/Linke","1992","Full Time","Urban Area","19","","","","5"
"PDS/Linke","1992","Part Time","Rural Area","13","","","","5"
"PDS/Linke","1992","Not Working","Urban Area","20","","","","5"
"PDS/Linke","1992","Not Working","Rural Area","32","0.0511888398095245","0.0322651088614413","0.0701125707576078","5"
"PDS/Linke","1992","Part Time","Urban Area","11","","","","5"
"PDS/Linke","1992","Full Time","Rural Area","29","","","","5"
"SPD","1992","Part Time","Rural Area","119","0.365956495378884","0.313096513690872","0.418816477066896","2"
"SPD","1992","Not Working","Rural Area","202","0.403131999002146","0.361011644903137","0.445252353101155","2"
"SPD","1992","Full Time","Rural Area","307","0.376390086064934","0.343046426958891","0.409733745170977","2"
"SPD","1992","Part Time","Urban Area","342","0.461767349594289","0.424569299383886","0.498965399804692","2"
"SPD","1992","Not Working","Urban Area","600","0.431353160015365","0.404635468420821","0.458070851609909","2"
"SPD","1992","Full Time","Urban Area","960","0.490018029571394","0.467189038449684","0.512847020693103","2"
"AfD","1993","Part Time","Rural Area","","","","","7"
"AfD","1993","Full Time","Urban Area","","","","","7"
"AfD","1993","Full Time","Rural Area","","","","","7"
"AfD","1993","Part Time","Urban Area","","","","","7"
"AfD","1993","Not Working","Urban Area","","","","","7"
"AfD","1993","Not Working","Rural Area","","","","","7"
"CDU/CSU","1993","Not Working","Urban Area","473","0.43053903620507","0.402512027654687","0.458566044755453","1"
"CDU/CSU","1993","Not Working","Rural Area","214","0.43646136305017","0.393249043050322","0.479673683050018","1"
"CDU/CSU","1993","Full Time","Rural Area","270","0.441812876442876","0.404705268168124","0.478920484717628","1"
"CDU/CSU","1993","Part Time","Rural Area","109","0.407926407115134","0.349414776474936","0.466438037755332","1"
"CDU/CSU","1993","Full Time","Urban Area","465","0.328287207372314","0.305483453842841","0.351090960901786","1"
"CDU/CSU","1993","Part Time","Urban Area","184","0.314925799056901","0.278185995332018","0.351665602781783","1"
"FDP","1993","Not Working","Rural Area","22","","","","3"
"FDP","1993","Not Working","Urban Area","41","0.0396895691034434","0.0286390542022525","0.0507400840046344","3"
"FDP","1993","Full Time","Rural Area","34","0.0542264178528112","0.0373043699739576","0.0711484657316649","3"
"FDP","1993","Part Time","Urban Area","24","","","","3"
"FDP","1993","Part Time","Rural Area","9","","","","3"
"FDP","1993","Full Time","Urban Area","73","0.0509217631664444","0.0402462128309404","0.0615973135019484","3"
"NPD Combination","1993","Not Working","Rural Area","15","","","","6"
"NPD Combination","1993","Part Time","Rural Area","9","","","","6"
"NPD Combination","1993","Not Working","Urban Area","25","","","","6"
"NPD Combination","1993","Full Time","Rural Area","16","","","","6"
"NPD Combination","1993","Full Time","Urban Area","55","0.0346054277172003","0.0257295341482394","0.0434813212861613","6"
"NPD Combination","1993","Part Time","Urban Area","19","","","","6"
"Other","1993","Full Time","Urban Area","9","","","","8"
"Other","1993","Not Working","Rural Area","5","","","","8"
"Other","1993","Part Time","Rural Area","6","","","","8"
"Other","1993","Not Working","Urban Area","9","","","","8"
"Other","1993","Full Time","Rural Area","9","","","","8"
"Other","1993","Part Time","Urban Area","7","","","","8"
"PDS/Linke","1993","Part Time","Rural Area","11","","","","5"
"PDS/Linke","1993","Full Time","Rural Area","33","0.0310301996462651","0.0180732945527945","0.0439871047397357","5"
"PDS/Linke","1993","Part Time","Urban Area","7","","","","5"
"PDS/Linke","1993","Full Time","Urban Area","25","","","","5"
"PDS/Linke","1993","Not Working","Urban Area","25","","","","5"
"PDS/Linke","1993","Not Working","Rural Area","42","0.0696120617225747","0.0474379047996202","0.0917862186455291","5"
"SPD","1993","Full Time","Rural Area","274","0.371330022356568","0.335226858349515","0.407433186363622","2"
"SPD","1993","Not Working","Rural Area","190","0.351814927763456","0.310206675238359","0.393423180288553","2"
"SPD","1993","Full Time","Urban Area","836","0.47507958020499","0.450829260717095","0.499329899692884","2"
"SPD","1993","Part Time","Urban Area","278","0.414850359952549","0.37587921976947","0.453821500135628","2"
"SPD","1993","Part Time","Rural Area","101","0.393223002678438","0.335066610385152","0.451379394971724","2"
"SPD","1993","Not Working","Urban Area","545","0.429124383125858","0.401108724135864","0.457140042115852","2"
"AfD","1994","Full Time","Urban Area","","","","","7"
"AfD","1994","Full Time","Rural Area","","","","","7"
"AfD","1994","Part Time","Urban Area","","","","","7"
"AfD","1994","Part Time","Rural Area","","","","","7"
"AfD","1994","Not Working","Urban Area","","","","","7"
"AfD","1994","Not Working","Rural Area","","","","","7"
"CDU/CSU","1994","Not Working","Urban Area","506","0.417976442565497","0.391257180969538","0.444695704161456","1"
"CDU/CSU","1994","Not Working","Rural Area","234","0.422962488310328","0.38186128385898","0.464063692761676","1"
