"party","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Other","1986","Couple + C. LE 16 ","Male","3","","","","8"
"Other","1986","1-pers.-HH","Male","4","","","","8"
"Other","1986","1-pers.-HH","Female","1","","","","8"
"Other","1986","(Married) couple without C. ","Male","6","","","","8"
"Other","1986","Couple + C. LE 16 ","Female","2","","","","8"
"Other","1986","Couple + C. GT 16 ","Male","4","","","","8"
"Other","1986","Couple + C. GT 16 ","Female","1","","","","8"
"Other","1986","Couple + C. LE and GT 16","Male","2","","","","8"
"Other","1986","Couple + C. LE and GT 16","Female","","","","","8"
"PDS/Linke","1986","(Married) couple without C. ","Female","","","","","5"
"PDS/Linke","1986","Single parent ","Male","","","","","5"
"PDS/Linke","1986","Single parent ","Female","","","","","5"
"PDS/Linke","1986","Couple + C. GT 16 ","Female","","","","","5"
"PDS/Linke","1986","Couple + C. LE and GT 16","Male","","","","","5"
"PDS/Linke","1986","Couple + C. LE 16 ","Male","","","","","5"
"PDS/Linke","1986","Couple + C. LE 16 ","Female","","","","","5"
"PDS/Linke","1986","Couple + C. GT 16 ","Male","","","","","5"
"PDS/Linke","1986","1-pers.-HH","Male","","","","","5"
"PDS/Linke","1986","1-pers.-HH","Female","","","","","5"
"PDS/Linke","1986","(Married) couple without C. ","Male","","","","","5"
"PDS/Linke","1986","Couple + C. LE and GT 16","Female","","","","","5"
"SPD","1986","1-pers.-HH","Male","134","0.50942189005609","0.447699788487847","0.571143991624333","1"
"SPD","1986","1-pers.-HH","Female","171","0.441031944614096","0.39071192426994","0.491351964958251","1"
"SPD","1986","Couple + C. LE 16 ","Male","396","0.516838231325183","0.479632909055667","0.554043553594698","1"
"SPD","1986","Couple + C. LE 16 ","Female","325","0.507099677973024","0.466517062602324","0.547682293343723","1"
"SPD","1986","Couple + C. LE and GT 16","Female","102","0.362521569722359","0.301058558571469","0.423984580873249","1"
"SPD","1986","(Married) couple without C. ","Male","345","0.462541269436051","0.426593356860941","0.498489182011161","1"
"SPD","1986","(Married) couple without C. ","Female","299","0.45278706771216","0.414579492514333","0.490994642909987","1"
"SPD","1986","Single parent ","Male","42","0.522467664491402","0.415650868041125","0.629284460941679","1"
"SPD","1986","Single parent ","Female","67","0.454493565297152","0.371115537966427","0.537871592627877","1"
"SPD","1986","Couple + C. GT 16 ","Male","286","0.435399866701158","0.395694490624942","0.475105242777373","1"
"SPD","1986","Couple + C. GT 16 ","Female","208","0.413281722391839","0.368716140865816","0.457847303917862","1"
"SPD","1986","Couple + C. LE and GT 16","Male","184","0.405253705655665","0.354184008292194","0.456323403019136","1"
"AfD","1987","(Married) couple without C. ","Female","","","","","7"
"AfD","1987","Single parent ","Male","","","","","7"
"AfD","1987","Single parent ","Female","","","","","7"
"AfD","1987","Couple + C. LE 16 ","Male","","","","","7"
"AfD","1987","Couple + C. LE 16 ","Female","","","","","7"
"AfD","1987","Couple + C. GT 16 ","Male","","","","","7"
"AfD","1987","Couple + C. GT 16 ","Female","","","","","7"
"AfD","1987","Couple + C. LE and GT 16","Male","","","","","7"
"AfD","1987","Couple + C. LE and GT 16","Female","","","","","7"
"AfD","1987","1-pers.-HH","Male","","","","","7"
"AfD","1987","1-pers.-HH","Female","","","","","7"
"AfD","1987","(Married) couple without C. ","Male","","","","","7"
"CDU/CSU","1987","Single parent ","Female","58","0.379842532680919","0.305786762300726","0.453898303061112","2"
"CDU/CSU","1987","Couple + C. GT 16 ","Male","313","0.491741015219997","0.454330233576095","0.5291517968639","2"
"CDU/CSU","1987","(Married) couple without C. ","Female","321","0.469297592451103","0.432274723332427","0.506320461569779","2"
"CDU/CSU","1987","Single parent ","Male","40","0.403634597209005","0.310234877942691","0.497034316475319","2"
"CDU/CSU","1987","Couple + C. LE 16 ","Male","245","0.408354312961061","0.371784917520213","0.444923708401908","2"
"CDU/CSU","1987","Couple + C. LE 16 ","Female","209","0.384500321517407","0.345863471366689","0.423137171668124","2"
"CDU/CSU","1987","Couple + C. GT 16 ","Female","221","0.466709430984312","0.423496039631908","0.509922822336716","2"
"CDU/CSU","1987","1-pers.-HH","Female","192","0.482241014432528","0.43387369075556","0.530608338109496","2"
"CDU/CSU","1987","(Married) couple without C. ","Male","348","0.466328332105194","0.431319004935729","0.501337659274659","2"
"CDU/CSU","1987","Couple + C. LE and GT 16","Male","140","0.496939120777001","0.444103022887735","0.549775218666268","2"
"CDU/CSU","1987","1-pers.-HH","Male","84","0.344451721203243","0.285898020193291","0.403005422213195","2"
"CDU/CSU","1987","Couple + C. LE and GT 16","Female","112","0.557532108179596","0.494164412912126","0.620899803447067","2"
"FDP","1987","Couple + C. GT 16 ","Male","32","0.0509660715535805","0.0345084344235762","0.0674237086835848","3"
"FDP","1987","Couple + C. GT 16 ","Female","25","","","","3"
"FDP","1987","1-pers.-HH","Male","16","","","","3"
"FDP","1987","1-pers.-HH","Female","29","","","","3"
"FDP","1987","(Married) couple without C. ","Male","45","0.0560328453658538","0.0398929553981676","0.0721727353335401","3"
"FDP","1987","(Married) couple without C. ","Female","28","","","","3"
"FDP","1987","Couple + C. LE 16 ","Female","24","","","","3"
"FDP","1987","Couple + C. LE and GT 16","Male","11","","","","3"
"FDP","1987","Couple + C. LE and GT 16","Female","9","","","","3"
"FDP","1987","Single parent ","Male","2","","","","3"
"FDP","1987","Single parent ","Female","5","","","","3"
"FDP","1987","Couple + C. LE 16 ","Male","38","0.0626383173618099","0.0446105479092832","0.0806660868143367","3"
"NPD","1987","1-pers.-HH","Female","","","","","6"
"NPD","1987","1-pers.-HH","Male","","","","","6"
"NPD","1987","(Married) couple without C. ","Female","","","","","6"
"NPD","1987","Single parent ","Male","","","","","6"
"NPD","1987","Single parent ","Female","","","","","6"
"NPD","1987","Couple + C. LE 16 ","Male","","","","","6"
"NPD","1987","Couple + C. LE 16 ","Female","","","","","6"
"NPD","1987","Couple + C. GT 16 ","Male","","","","","6"
"NPD","1987","Couple + C. LE and GT 16","Female","","","","","6"
"NPD","1987","Couple + C. GT 16 ","Female","","","","","6"
"NPD","1987","Couple + C. LE and GT 16","Male","","","","","6"
"NPD","1987","(Married) couple without C. ","Male","","","","","6"
"Other","1987","(Married) couple without C. ","Female","3","","","","8"
"Other","1987","Single parent ","Male","2","","","","8"
"Other","1987","Single parent ","Female","2","","","","8"
"Other","1987","Couple + C. LE 16 ","Male","4","","","","8"
"Other","1987","Couple + C. GT 16 ","Female","1","","","","8"
"Other","1987","Couple + C. LE 16 ","Female","5","","","","8"
"Other","1987","Couple + C. GT 16 ","Male","3","","","","8"
"Other","1987","Couple + C. LE and GT 16","Male","1","","","","8"
"Other","1987","Couple + C. LE and GT 16","Female","","","","","8"
"Other","1987","1-pers.-HH","Male","6","","","","8"
"Other","1987","1-pers.-HH","Female","2","","","","8"
"Other","1987","(Married) couple without C. ","Male","5","","","","8"
"PDS/Linke","1987","(Married) couple without C. ","Female","","","","","5"
"PDS/Linke","1987","Single parent ","Male","","","","","5"
"PDS/Linke","1987","Single parent ","Female","","","","","5"
"PDS/Linke","1987","Couple + C. LE 16 ","Male","","","","","5"
"PDS/Linke","1987","Couple + C. LE 16 ","Female","","","","","5"
"PDS/Linke","1987","Couple + C. GT 16 ","Male","","","","","5"
"PDS/Linke","1987","Couple + C. GT 16 ","Female","","","","","5"
"PDS/Linke","1987","Couple + C. LE and GT 16","Male","","","","","5"
"PDS/Linke","1987","1-pers.-HH","Male","","","","","5"
"PDS/Linke","1987","1-pers.-HH","Female","","","","","5"
"PDS/Linke","1987","(Married) couple without C. ","Male","","","","","5"
"PDS/Linke","1987","Couple + C. LE and GT 16","Female","","","","","5"
"SPD","1987","1-pers.-HH","Male","115","0.432472433202936","0.371425967408821","0.493518898997052","1"
"SPD","1987","Single parent ","Female","77","0.466098159016639","0.389982235353775","0.542214082679502","1"
"SPD","1987","Couple + C. LE 16 ","Male","361","0.459012071695032","0.421937666118278","0.496086477271786","1"
"SPD","1987","Couple + C. LE and GT 16","Female","96","0.325784152844615","0.265990299053028","0.385578006636202","1"
"SPD","1987","1-pers.-HH","Female","158","0.389242713555474","0.342047197754623","0.436438229356326","1"
"SPD","1987","Single parent ","Male","46","0.443101374720364","0.348535426849897","0.537667322590831","1"
"SPD","1987","Couple + C. LE 16 ","Female","306","0.446540600395578","0.40705735850637","0.486023842284786","1"
"SPD","1987","Couple + C. GT 16 ","Male","299","0.406517283061253","0.36976117002599","0.443273396096517","1"
"SPD","1987","(Married) couple without C. ","Female","299","0.429851154283964","0.393125160780225","0.466577147787702","1"
"SPD","1987","(Married) couple without C. ","Male","347","0.436127555054251","0.401326052967953","0.470929057140548","1"
"SPD","1987","Couple + C. GT 16 ","Female","218","0.396065717997439","0.353702242882375","0.438429193112503","1"
"SPD","1987","Couple + C. LE and GT 16","Male","161","0.381768660891557","0.330430002507494","0.43310731927562","1"
"AfD","1988","1-pers.-HH","Male","","","","","7"
"AfD","1988","1-pers.-HH","Female","","","","","7"
"AfD","1988","Couple + C. LE 16 ","Male","","","","","7"
"AfD","1988","Single parent ","Female","","","","","7"
"AfD","1988","(Married) couple without C. ","Male","","","","","7"
"AfD","1988","(Married) couple without C. ","Female","","","","","7"
"AfD","1988","Single parent ","Male","","","","","7"
"AfD","1988","Couple + C. GT 16 ","Male","","","","","7"
"AfD","1988","Couple + C. GT 16 ","Female","","","","","7"
"AfD","1988","Couple + C. LE and GT 16","Male","","","","","7"
"AfD","1988","Couple + C. LE and GT 16","Female","","","","","7"
"AfD","1988","Couple + C. LE 16 ","Female","","","","","7"
"CDU/CSU","1988","(Married) couple without C. ","Male","282","0.40504972192923","0.369117587293624","0.440981856564836","2"
"CDU/CSU","1988","(Married) couple without C. ","Female","258","0.421429716532671","0.382686432003209","0.460173001062134","2"
"CDU/CSU","1988","1-pers.-HH","Female","169","0.468801010997873","0.418022024803604","0.519579997192142","2"
"CDU/CSU","1988","Single parent ","Male","28","","","","2"
"CDU/CSU","1988","Single parent ","Female","44","0.325306644713932","0.246569743159095","0.40404354626877","2"
"CDU/CSU","1988","Couple + C. LE 16 ","Male","214","0.371540718196348","0.33398627617182","0.409095160220877","2"
"CDU/CSU","1988","Couple + C. GT 16 ","Male","288","0.482952927758323","0.445283225608938","0.520622629907708","2"
"CDU/CSU","1988","1-pers.-HH","Male","76","0.310602992299577","0.253011309935484","0.368194674663671","2"
"CDU/CSU","1988","Couple + C. LE 16 ","Female","179","0.34819662611921","0.30816352601091","0.38822972622751","2"
"CDU/CSU","1988","Couple + C. GT 16 ","Female","227","0.50948720148053","0.464950584847509","0.55402381811355","2"
"CDU/CSU","1988","Couple + C. LE and GT 16","Male","93","0.472193094594763","0.411276504109324","0.533109685080202","2"
"CDU/CSU","1988","Couple + C. LE and GT 16","Female","72","0.537262395640598","0.462088794076561","0.612435997204635","2"
"FDP","1988","Couple + C. GT 16 ","Female","16","","","","3"
"FDP","1988","Couple + C. LE and GT 16","Male","7","","","","3"
"FDP","1988","Couple + C. LE 16 ","Female","22","","","","3"
"FDP","1988","Single parent ","Male","1","","","","3"
"FDP","1988","Couple + C. GT 16 ","Male","32","0.0537857984949614","0.0367797550479131","0.0707918419420096","3"
"FDP","1988","Couple + C. LE and GT 16","Female","3","","","","3"
"FDP","1988","1-pers.-HH","Male","14","","","","3"
"FDP","1988","1-pers.-HH","Female","20","","","","3"
"FDP","1988","(Married) couple without C. ","Male","30","0.0432097521938425","0.0283268450877347","0.0580926592999502","3"
"FDP","1988","(Married) couple without C. ","Female","20","","","","3"
"FDP","1988","Single parent ","Female","9","","","","3"
"FDP","1988","Couple + C. LE 16 ","Male","28","","","","3"
"NPD","1988","Couple + C. LE 16 ","Male","","","","","6"
