"party","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"CDU/CSU","1987","West Germany","Male","1226","0.443425359752493","0.425736544444122","0.461114175060864","1"
"CDU/CSU","1987","West Germany","Female","1193","0.463350962945986","0.44485773020693","0.481844195685042","1"
"CDU/CSU","1987","East Germany","Female","","","","","1"
"CDU/CSU","1987","East Germany","Male","","","","","1"
"FDP","1987","East Germany","Female","","","","","3"
"FDP","1987","West Germany","Male","155","0.0566150662701878","0.0483862521004123","0.0648438804399632","3"
"FDP","1987","West Germany","Female","123","0.0513295039510365","0.0431457256869319","0.0595132822151412","3"
"FDP","1987","East Germany","Male","","","","","3"
"NPD Combination","1987","West Germany","Male","","","","","6"
"NPD Combination","1987","West Germany","Female","","","","","6"
"NPD Combination","1987","East Germany","Male","","","","","6"
"NPD Combination","1987","East Germany","Female","","","","","6"
"Other","1987","East Germany","Male","","","","","8"
"Other","1987","East Germany","Female","","","","","8"
"Other","1987","West Germany","Male","22","","","","8"
"Other","1987","West Germany","Female","15","","","","8"
"PDS/Linke","1987","East Germany","Male","","","","","5"
"PDS/Linke","1987","East Germany","Female","","","","","5"
"PDS/Linke","1987","West Germany","Male","","","","","5"
"PDS/Linke","1987","West Germany","Female","","","","","5"
"SPD","1987","East Germany","Female","","","","","2"
"SPD","1987","East Germany","Male","","","","","2"
"SPD","1987","West Germany","Female","1218","0.408575455218224","0.390344961434744","0.426805949001704","2"
"SPD","1987","West Germany","Male","1400","0.426112293176888","0.408504607796156","0.44371997855762","2"
"AfD","1988","West Germany","Female","","","","","7"
"AfD","1988","East Germany","Male","","","","","7"
"AfD","1988","West Germany","Male","","","","","7"
"AfD","1988","East Germany","Female","","","","","7"
"CDU/CSU","1988","West Germany","Male","1016","0.402792722644174","0.384498319673923","0.421087125614425","1"
"CDU/CSU","1988","West Germany","Female","998","0.437848034908842","0.418218980408187","0.457477089409498","1"
"CDU/CSU","1988","East Germany","Female","","","","","1"
"CDU/CSU","1988","East Germany","Male","","","","","1"
"FDP","1988","East Germany","Female","","","","","3"
"FDP","1988","West Germany","Female","93","0.0426044014718098","0.034613721096926","0.0505950818466936","3"
"FDP","1988","East Germany","Male","","","","","3"
"FDP","1988","West Germany","Male","121","0.0486923749455324","0.0406644028294012","0.0567203470616637","3"
"NPD Combination","1988","West Germany","Male","","","","","6"
"NPD Combination","1988","East Germany","Male","","","","","6"
"NPD Combination","1988","West Germany","Female","","","","","6"
"NPD Combination","1988","East Germany","Female","","","","","6"
"Other","1988","East Germany","Male","","","","","8"
"Other","1988","East Germany","Female","","","","","8"
"Other","1988","West Germany","Male","28","","","","8"
"Other","1988","West Germany","Female","20","","","","8"
"PDS/Linke","1988","West Germany","Male","","","","","5"
"PDS/Linke","1988","West Germany","Female","","","","","5"
"PDS/Linke","1988","East Germany","Female","","","","","5"
"PDS/Linke","1988","East Germany","Male","","","","","5"
"SPD","1988","East Germany","Male","","","","","2"
"SPD","1988","West Germany","Female","1173","0.451670298960577","0.431980446418803","0.471360151502351","2"
"SPD","1988","East Germany","Female","","","","","2"
"SPD","1988","West Germany","Male","1427","0.480194249509835","0.461558626983858","0.498829872035812","2"
"AfD","1989","West Germany","Male","","","","","7"
"AfD","1989","West Germany","Female","","","","","7"
"AfD","1989","East Germany","Male","","","","","7"
"AfD","1989","East Germany","Female","","","","","7"
"CDU/CSU","1989","West Germany","Male","879","0.369739435153461","0.351442626619936","0.388036243686985","1"
"CDU/CSU","1989","East Germany","Male","","","","","1"
"CDU/CSU","1989","East Germany","Female","","","","","1"
"CDU/CSU","1989","West Germany","Female","851","0.409922123659442","0.389917871130787","0.429926376188098","1"
"FDP","1989","East Germany","Female","","","","","3"
"FDP","1989","West Germany","Female","61","0.0311491519569394","0.0240832345143016","0.0382150693995771","3"
"FDP","1989","East Germany","Male","","","","","3"
"FDP","1989","West Germany","Male","78","0.031771434709856","0.025123683639527","0.038419185780185","3"
"NPD Combination","1989","West Germany","Male","","","","","6"
"NPD Combination","1989","West Germany","Female","","","","","6"
"NPD Combination","1989","East Germany","Male","","","","","6"
"NPD Combination","1989","East Germany","Female","","","","","6"
"Other","1989","West Germany","Male","127","0.0533086638168702","0.0447939414975455","0.0618233861361948","8"
"Other","1989","West Germany","Female","59","0.0283204693976069","0.0215731893823141","0.0350677494128998","8"
"Other","1989","East Germany","Male","","","","","8"
"Other","1989","East Germany","Female","","","","","8"
"PDS/Linke","1989","West Germany","Male","","","","","5"
"PDS/Linke","1989","West Germany","Female","","","","","5"
"PDS/Linke","1989","East Germany","Male","","","","","5"
"PDS/Linke","1989","East Germany","Female","","","","","5"
"SPD","1989","East Germany","Male","","","","","2"
"SPD","1989","West Germany","Female","1158","0.461283788200409","0.441007843331217","0.481559733069601","2"
"SPD","1989","East Germany","Female","","","","","2"
"SPD","1989","West Germany","Male","1425","0.488583346798161","0.46963705801992","0.507529635576402","2"
"AfD","1990","West Germany","Male","","","","","7"
"AfD","1990","West Germany","Female","","","","","7"
"AfD","1990","East Germany","Male","","","","","7"
"AfD","1990","East Germany","Female","","","","","7"
"CDU/CSU","1990","East Germany","Female","","","","","1"
"CDU/CSU","1990","West Germany","Male","956","0.396847041021457","0.378420277363168","0.415273804679746","1"
"CDU/CSU","1990","East Germany","Male","","","","","1"
"CDU/CSU","1990","West Germany","Female","870","0.403499682707955","0.383789686043833","0.423209679372078","1"
"FDP","1990","East Germany","Female","","","","","3"
"FDP","1990","West Germany","Female","91","0.0417604084451222","0.0337236847639946","0.0497971321262498","3"
"FDP","1990","East Germany","Male","","","","","3"
"FDP","1990","West Germany","Male","106","0.043569450664845","0.0358809523612217","0.0512579489684682","3"
"NPD Combination","1990","West Germany","Male","49","0.0187747452448083","0.0136626946181305","0.0238867958714861","6"
"NPD Combination","1990","West Germany","Female","24","","","","6"
"NPD Combination","1990","East Germany","Male","","","","","6"
"NPD Combination","1990","East Germany","Female","","","","","6"
"Other","1990","West Germany","Male","18","","","","8"
"Other","1990","West Germany","Female","11","","","","8"
"Other","1990","East Germany","Male","","","","","8"
"Other","1990","East Germany","Female","","","","","8"
"PDS/Linke","1990","West Germany","Male","","","","","5"
"PDS/Linke","1990","West Germany","Female","","","","","5"
"PDS/Linke","1990","East Germany","Male","","","","","5"
"PDS/Linke","1990","East Germany","Female","","","","","5"
"SPD","1990","West Germany","Female","1233","0.486033389587672","0.465953555580123","0.506113223595221","2"
"SPD","1990","West Germany","Male","1431","0.485089148555689","0.466265640552292","0.503912656559087","2"
"SPD","1990","East Germany","Male","","","","","2"
"SPD","1990","East Germany","Female","","","","","2"
"AfD","1991","West Germany","Male","","","","","7"
"AfD","1991","West Germany","Female","","","","","7"
"AfD","1991","East Germany","Male","","","","","7"
"AfD","1991","East Germany","Female","","","","","7"
"CDU/CSU","1991","West Germany","Male","913","0.435453958220073","0.414247934232594","0.456659982207552","1"
"CDU/CSU","1991","West Germany","Female","863","0.428943337548225","0.407576086146772","0.450310588949678","1"
"CDU/CSU","1991","East Germany","Female","","","","","1"
"CDU/CSU","1991","East Germany","Male","","","","","1"
"FDP","1991","East Germany","Female","","","","","3"
"FDP","1991","West Germany","Female","97","0.0525647570674651","0.0429302124167365","0.0621993017181937","3"
"FDP","1991","East Germany","Male","","","","","3"
"FDP","1991","West Germany","Male","108","0.0558657442871943","0.0460431068105001","0.0656883817638884","3"
"NPD Combination","1991","West Germany","Male","35","0.0145077782016903","0.00939372198458989","0.0196218344187907","6"
"NPD Combination","1991","West Germany","Female","10","","","","6"
"NPD Combination","1991","East Germany","Male","","","","","6"
"NPD Combination","1991","East Germany","Female","","","","","6"
"Other","1991","West Germany","Male","11","","","","8"
"Other","1991","West Germany","Female","8","","","","8"
"Other","1991","East Germany","Male","","","","","8"
"Other","1991","East Germany","Female","","","","","8"
"PDS/Linke","1991","West Germany","Male","2","","","","5"
"PDS/Linke","1991","West Germany","Female","2","","","","5"
"PDS/Linke","1991","East Germany","Male","","","","","5"
"PDS/Linke","1991","East Germany","Female","","","","","5"
"SPD","1991","West Germany","Female","961","0.450571794391598","0.4290911863148","0.472052402468396","2"
"SPD","1991","West Germany","Male","930","0.442222373855964","0.420980670270113","0.463464077441816","2"
"SPD","1991","East Germany","Male","","","","","2"
"SPD","1991","East Germany","Female","","","","","2"
"AfD","1992","West Germany","Male","","","","","7"
"AfD","1992","West Germany","Female","","","","","7"
"AfD","1992","East Germany","Male","","","","","7"
"AfD","1992","East Germany","Female","","","","","7"
"CDU/CSU","1992","East Germany","Female","216","0.347313257436636","0.309056982100735","0.385569532772537","1"
"CDU/CSU","1992","West Germany","Female","772","0.432230229597534","0.410387931870069","0.454072527324998","1"
"CDU/CSU","1992","East Germany","Male","262","0.355929776135978","0.320511427666219","0.391348124605736","1"
"CDU/CSU","1992","West Germany","Male","854","0.415719677827622","0.395485440036324","0.43595391561892","1"
"FDP","1992","East Germany","Male","42","0.0578423733984738","0.0405734854588743","0.0751112613380733","3"
"FDP","1992","East Germany","Female","38","0.057810062519506","0.039057502742402","0.0765626222966099","3"
"FDP","1992","West Germany","Female","70","0.0419491310724853","0.0331099833885662","0.0507882787564045","3"
"FDP","1992","West Germany","Male","98","0.049951189035256","0.0410073947173205","0.0588949833531915","3"
"NPD Combination","1992","West Germany","Male","","","","","6"
"NPD Combination","1992","West Germany","Female","","","","","6"
"NPD Combination","1992","East Germany","Female","","","","","6"
"NPD Combination","1992","East Germany","Male","","","","","6"
"Other","1992","West Germany","Male","58","0.0289572515445106","0.0220727298551399","0.0358417732338814","8"
"Other","1992","West Germany","Female","30","0.0112284465414508","0.00658262588690671","0.0158742671959949","8"
"Other","1992","East Germany","Male","23","","","","8"
"Other","1992","East Germany","Female","8","","","","8"
"PDS/Linke","1992","West Germany","Male","9","","","","5"
"PDS/Linke","1992","East Germany","Male","59","0.09681832345226","0.0749434336935963","0.118693213210924","5"
"PDS/Linke","1992","West Germany","Female","3","","","","5"
"PDS/Linke","1992","East Germany","Female","55","0.0979670568254576","0.0740811992725676","0.121852914378348","5"
"SPD","1992","West Germany","Female","964","0.45738255626457","0.435417046068916","0.479348066460224","2"
"SPD","1992","West Germany","Male","1124","0.448107162413134","0.427690053280159","0.468524271546108","2"
"SPD","1992","East Germany","Male","259","0.371470712750232","0.335726594841426","0.407214830659038","2"
"SPD","1992","East Germany","Female","205","0.361394203024673","0.322793374413497","0.399995031635848","2"
"AfD","1993","West Germany","Male","","","","","7"
"AfD","1993","West Germany","Female","","","","","7"
"AfD","1993","East Germany","Female","","","","","7"
"AfD","1993","East Germany","Male","","","","","7"
"CDU/CSU","1993","East Germany","Female","160","0.304000929758168","0.26423525856513","0.343766600951207","1"
"CDU/CSU","1993","West Germany","Female","654","0.417348639617839","0.393873016791653","0.440824262444025","1"
"CDU/CSU","1993","East Germany","Male","181","0.302865811373952","0.265820123172157","0.339911499575747","1"
"CDU/CSU","1993","West Germany","Male","720","0.381345193910619","0.360605652101168","0.40208473572007","1"
"FDP","1993","East Germany","Male","34","0.0561857195025489","0.0376200508137831","0.0747513881913147","3"
"FDP","1993","East Germany","Female","21","","","","3"
"FDP","1993","West Germany","Female","59","0.0472767664404399","0.0371732977437467","0.057380235137133","3"
"FDP","1993","West Germany","Male","89","0.0496419426181748","0.0403675850071064","0.0589163002292431","3"
"NPD Combination","1993","West Germany","Male","78","0.0439411892748673","0.0351894568559953","0.0526929216937392","6"
"NPD Combination","1993","West Germany","Female","27","","","","6"
"NPD Combination","1993","East Germany","Male","25","","","","6"
"NPD Combination","1993","East Germany","Female","9","","","","6"
"Other","1993","West Germany","Male","17","","","","8"
"Other","1993","East Germany","Female","3","","","","8"
"Other","1993","East Germany","Male","10","","","","8"
"Other","1993","West Germany","Female","15","","","","8"
"PDS/Linke","1993","West Germany","Male","4","","","","5"
"PDS/Linke","1993","West Germany","Female","5","","","","5"
"PDS/Linke","1993","East Germany","Male","67","0.129629764680251","0.102549136627668","0.156710392732833","5"
"PDS/Linke","1993","East Germany","Female","67","0.150426166430385","0.119521163482156","0.181331169378615","5"
"SPD","1993","West Germany","Female","779","0.425230234463007","0.401694797538748","0.448765671387266","2"
"SPD","1993","West Germany","Male","1030","0.439184231598798","0.41799333654261","0.460375126654985","2"
"SPD","1993","East Germany","Male","222","0.372038958606727","0.333070348946892","0.411007568266562","2"
"SPD","1993","East Germany","Female","193","0.377252721553379","0.335350346340699","0.419155096766058","2"
"AfD","1994","West Germany","Male","","","","","7"
"AfD","1994","West Germany","Female","","","","","7"
"AfD","1994","East Germany","Female","","","","","7"
"AfD","1994","East Germany","Male","","","","","7"
"CDU/CSU","1994","East Germany","Female","168","0.306534275807521","0.267647383912583","0.34542116770246","1"
"CDU/CSU","1994","West Germany","Female","660","0.402037816417505","0.379505696504423","0.424569936330587","1"
"CDU/CSU","1994","East Germany","Male","192","0.305786090207492","0.268827410856877","0.342744769558107","1"
"CDU/CSU","1994","West Germany","Male","742","0.380482630701743","0.360003291880202","0.400961969523285","1"
"FDP","1994","East Germany","Male","24","","","","3"
"FDP","1994","East Germany","Female","17","","","","3"
"FDP","1994","West Germany","Female","47","0.0327797695256219","0.0245970554672396","0.0409624835840042","3"
"FDP","1994","West Germany","Male","63","0.0374966244814553","0.0294831845242016","0.045510064438709","3"
"NPD Combination","1994","West Germany","Male","54","0.0245835067221023","0.0180516186569103","0.0311153947872944","6"
"NPD Combination","1994","West Germany","Female","17","","","","6"
"NPD Combination","1994","East Germany","Male","19","","","","6"
"NPD Combination","1994","East Germany","Female","3","","","","6"
"Other","1994","West Germany","Male","24","","","","8"
"Other","1994","West Germany","Female","15","","","","8"
"Other","1994","East Germany","Male","17","","","","8"
"Other","1994","East Germany","Female","9","","","","8"
"PDS/Linke","1994","West Germany","Male","9","","","","5"
"PDS/Linke","1994","West Germany","Female","7","","","","5"
"PDS/Linke","1994","East Germany","Female","107","0.213746775697194","0.179170181180162","0.248323370214226","5"
"PDS/Linke","1994","East Germany","Male","87","0.15020721664275","0.121548097092674","0.178866336192826","5"
"SPD","1994","West Germany","Female","914","0.467577539844583","0.444648453686908","0.490506626002258","2"
"SPD","1994","East Germany","Male","206","0.349781628048371","0.311526554519555","0.388036701577188","2"
"SPD","1994","West Germany","Male","1118","0.476007566697132","0.454941124024017","0.497074009370247","2"
"SPD","1994","East Germany","Female","177","0.325265299810737","0.285752609471947","0.364777990149526","2"
"AfD","1995","West Germany","Male","","","","","7"
"AfD","1995","West Germany","Female","","","","","7"
"AfD","1995","East Germany","Female","","","","","7"
"AfD","1995","East Germany","Male","","","","","7"
"CDU/CSU","1995","East Germany","Female","247","0.378339702926879","0.340854477267844","0.415824928585914","1"
"CDU/CSU","1995","West Germany","Female","818","0.417099477821085","0.396010501998953","0.438188453643216","1"
"CDU/CSU","1995","East Germany","Male","278","0.358699461867233","0.323519517375807","0.393879406358659","1"
"CDU/CSU","1995","West Germany","Male","912","0.403335378093337","0.383688496183474","0.422982260003201","1"
"FDP","1995","East Germany","Male","20","","","","3"
"FDP","1995","East Germany","Female","12","","","","3"
"FDP","1995","West Germany","Female","50","0.0286877140341047","0.0215482459540705","0.0358271821141389","3"
"FDP","1995","West Germany","Male","64","0.0309325749540162","0.0239986303664439","0.0378665195415884","3"
"NPD Combination","1995","West Germany","Male","30","0.0140038420093649","0.00929779192675666","0.0187098920919731","6"
"NPD Combination","1995","West Germany","Female","11","","","","6"
"NPD Combination","1995","East Germany","Male","13","","","","6"
"NPD Combination","1995","East Germany","Female","2","","","","6"
"Other","1995","West Germany","Male","22","","","","8"
"Other","1995","West Germany","Female","17","","","","8"
"Other","1995","East Germany","Male","11","","","","8"
"Other","1995","East Germany","Female","1","","","","8"
"PDS/Linke","1995","West Germany","Male","15","","","","5"
"PDS/Linke","1995","West Germany","Female","9","","","","5"
"PDS/Linke","1995","East Germany","Female","123","0.215815442127064","0.184017939953701","0.247612944300427","5"
"PDS/Linke","1995","East Germany","Male","121","0.186131688787394","0.157582996894991","0.214680380679797","5"
"SPD","1995","West Germany","Female","950","0.435025988880903","0.413822355795537","0.456229621966269","2"
"SPD","1995","West Germany","Male","1127","0.449276761277715","0.429355400017029","0.469198122538402","2"
"SPD","1995","East Germany","Male","227","0.338489712532836","0.303780878607737","0.373198546457934","2"
"SPD","1995","East Germany","Female","200","0.288872617358822","0.253840249405444","0.3239049853122","2"
"AfD","1996","West Germany","Male","","","","","7"
"AfD","1996","West Germany","Female","","","","","7"
"AfD","1996","East Germany","Male","","","","","7"
"AfD","1996","East Germany","Female","","","","","7"
"CDU/CSU","1996","East Germany","Female","237","0.405474563345918","0.365653881225361","0.445295245466475","1"
"CDU/CSU","1996","West Germany","Male","934","0.430717393522248","0.410360639186717","0.451074147857779","1"
"CDU/CSU","1996","East Germany","Male","254","0.363720228394326","0.326878904614601","0.400561552174052","1"
"CDU/CSU","1996","West Germany","Female","791","0.443531781495505","0.421447538557813","0.465616024433197","1"
"FDP","1996","West Germany","Male","50","0.0258273456045803","0.0193064653161529","0.0323482258930077","3"
"FDP","1996","East Germany","Female","8","","","","3"
"FDP","1996","East Germany","Male","13","","","","3"
"FDP","1996","West Germany","Female","46","0.0314543243821449","0.0236954236668929","0.0392132250973968","3"
"NPD Combination","1996","West Germany","Female","14","","","","6"
"NPD Combination","1996","West Germany","Male","39","0.0204648996140041","0.0146443608760067","0.0262854383520016","6"
"NPD Combination","1996","East Germany","Female","3","","","","6"
"NPD Combination","1996","East Germany","Male","20","","","","6"
"Other","1996","West Germany","Male","20","","","","8"
"Other","1996","West Germany","Female","19","","","","8"
"Other","1996","East Germany","Male","7","","","","8"
"Other","1996","East Germany","Female","3","","","","8"
"PDS/Linke","1996","West Germany","Male","17","","","","5"
"PDS/Linke","1996","West Germany","Female","10","","","","5"
"PDS/Linke","1996","East Germany","Male","120","0.198037557717546","0.167517999917753","0.228557115517339","5"
"PDS/Linke","1996","East Germany","Female","133","0.23995816594635","0.205322129892974","0.274594201999727","5"
"SPD","1996","West Germany","Female","819","0.389051337200638","0.367378998656674","0.410723675744601","2"
"SPD","1996","East Germany","Male","190","0.299742974008933","0.264657230472709","0.334828717545156","2"
"SPD","1996","West Germany","Male","1000","0.415114557918805","0.394857901535068","0.435371214302541","2"
"SPD","1996","East Germany","Female","133","0.228640647946078","0.194580481713727","0.262700814178429","2"
"AfD","1997","West Germany","Male","","","","","7"
"AfD","1997","West Germany","Female","","","","","7"
"AfD","1997","East Germany","Male","","","","","7"
"AfD","1997","East Germany","Female","","","","","7"
"CDU/CSU","1997","East Germany","Female","192","0.364905926592187","0.323369155925032","0.406442697259342","1"
"CDU/CSU","1997","West Germany","Male","801","0.400543600408467","0.379540917590074","0.421546283226861","1"
"CDU/CSU","1997","East Germany","Male","220","0.348469499369494","0.310563887886633","0.386375110852356","1"
"CDU/CSU","1997","West Germany","Female","736","0.423776290053971","0.401343203785659","0.446209376322283","1"
"FDP","1997","East Germany","Female","8","","","","3"
"FDP","1997","East Germany","Male","15","","","","3"
"FDP","1997","West Germany","Male","41","0.0228444964782832","0.0164406087277435","0.029248384228823","3"
"FDP","1997","West Germany","Female","44","0.0287667803112744","0.0211786893276768","0.036354871294872","3"
"NPD Combination","1997","West Germany","Male","49","0.0243667360597014","0.0177580814672055","0.0309753906521972","6"
"NPD Combination","1997","West Germany","Female","17","","","","6"
"NPD Combination","1997","East Germany","Male","27","","","","6"
"NPD Combination","1997","East Germany","Female","6","","","","6"
"Other","1997","East Germany","Male","9","","","","8"
"Other","1997","West Germany","Male","21","","","","8"
"Other","1997","West Germany","Female","16","","","","8"
"Other","1997","East Germany","Female","2","","","","8"
"PDS/Linke","1997","East Germany","Male","109","0.179328175283899","0.148809704240233","0.209846646327564","5"
"PDS/Linke","1997","West Germany","Male","13","","","","5"
"PDS/Linke","1997","West Germany","Female","8","","","","5"
"PDS/Linke","1997","East Germany","Female","111","0.223354818252794","0.187418611838896","0.259291024666691","5"
"SPD","1997","East Germany","Male","190","0.329319786834734","0.291932805157399","0.36670676851207","2"
"SPD","1997","West Germany","Female","818","0.418262343442261","0.395869300715109","0.440655386169414","2"
"SPD","1997","East Germany","Female","154","0.291792821771092","0.25256983112961","0.331015812412574","2"
"SPD","1997","West Germany","Male","981","0.455603566156934","0.43425728291145","0.476949849402417","2"
"AfD","1998","West Germany","Male","","","","","7"
"AfD","1998","West Germany","Female","","","","","7"
"AfD","1998","East Germany","Male","","","","","7"
"AfD","1998","East Germany","Female","","","","","7"
"CDU/CSU","1998","West Germany","Male","896","0.374186870744932","0.355137684176921","0.393236057312943","1"
"CDU/CSU","1998","East Germany","Female","165","0.302182765653904","0.263665321539688","0.34070020976812","1"
"CDU/CSU","1998","East Germany","Male","196","0.294591313655945","0.259573585506003","0.329609041805887","1"
"CDU/CSU","1998","West Germany","Female","778","0.383906671739027","0.363458508167585","0.404354835310469","1"
"FDP","1998","East Germany","Female","8","","","","3"
"FDP","1998","East Germany","Male","14","","","","3"
"FDP","1998","West Germany","Male","63","0.0307543200957155","0.023957906034378","0.0375507341570529","3"
"FDP","1998","West Germany","Female","55","0.0324532845934033","0.0250028170271685","0.0399037521596381","3"
"NPD Combination","1998","West Germany","Male","43","0.0207203625849218","0.0151129583522435","0.0263277668176","6"
"NPD Combination","1998","West Germany","Female","21","","","","6"
"NPD Combination","1998","East Germany","Male","29","","","","6"
"NPD Combination","1998","East Germany","Female","4","","","","6"
"Other","1998","East Germany","Female","10","","","","8"
"Other","1998","East Germany","Male","14","","","","8"
"Other","1998","West Germany","Male","36","0.015425830174386","0.0105745280778895","0.0202771322708825","8"
"Other","1998","West Germany","Female","20","","","","8"
"PDS/Linke","1998","East Germany","Male","116","0.174014046245408","0.144891048237269","0.203137044253547","5"
"PDS/Linke","1998","West Germany","Male","22","","","","5"
"PDS/Linke","1998","West Germany","Female","8","","","","5"
"PDS/Linke","1998","East Germany","Female","124","0.226541653381315","0.191430566959921","0.261652739802709","5"
"SPD","1998","East Germany","Male","236","0.382826908548878","0.34548794004979","0.420165877047967","2"
"SPD","1998","West Germany","Female","1028","0.447442759427335","0.426536535045047","0.468348983809623","2"
"SPD","1998","East Germany","Female","174","0.29738880992821","0.259047088077576","0.335730531778843","2"
"SPD","1998","West Germany","Male","1220","0.473719057698194","0.454063784810368","0.493374330586021","2"
"AfD","1999","West Germany","Female","","","","","7"
"AfD","1999","West Germany","Male","","","","","7"
"AfD","1999","East Germany","Male","","","","","7"
"AfD","1999","East Germany","Female","","","","","7"
"CDU/CSU","1999","West Germany","Male","1037","0.420690541431956","0.401585803271434","0.439795279592479","1"
