"party","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"SPD","1988","16-34 y.","Rural Area","130","0.423074986675432","0.367900145476999","0.478249827873865","2"
"AfD","1989","16-34 y.","Urban Area","","","","","7"
"AfD","1989","16-34 y.","Rural Area","","","","","7"
"AfD","1989","35-65 y.","Rural Area","","","","","7"
"AfD","1989","35-65 y.","Urban Area","","","","","7"
"AfD","1989","66 and older","Urban Area","","","","","7"
"AfD","1989","66 and older","Rural Area","","","","","7"
"CDU/CSU","1989","16-34 y.","Rural Area","101","0.382521604958682","0.325184941350737","0.439858268566627","1"
"CDU/CSU","1989","16-34 y.","Urban Area","321","0.285959759019197","0.261564569799396","0.310354948238999","1"
"CDU/CSU","1989","35-65 y.","Urban Area","737","0.373665776894263","0.353477926855557","0.393853626932969","1"
"CDU/CSU","1989","35-65 y.","Rural Area","256","0.485266869655985","0.44383604582233","0.52669769348964","1"
"CDU/CSU","1989","66 and older","Urban Area","237","0.458054787505476","0.414383148212806","0.501726426798145","1"
"CDU/CSU","1989","66 and older","Rural Area","78","0.540286324139552","0.456833025693873","0.62373962258523","1"
"FDP","1989","16-34 y.","Rural Area","8","","","","3"
"FDP","1989","66 and older","Urban Area","15","","","","3"
"FDP","1989","66 and older","Rural Area","8","","","","3"
"FDP","1989","35-65 y.","Rural Area","16","","","","3"
"FDP","1989","16-34 y.","Urban Area","26","","","","3"
"FDP","1989","35-65 y.","Urban Area","66","0.0307903783753871","0.0235815994285333","0.037999157322241","3"
"NPD Combination","1989","66 and older","Urban Area","","","","","6"
"NPD Combination","1989","16-34 y.","Urban Area","","","","","6"
"NPD Combination","1989","16-34 y.","Rural Area","","","","","6"
"NPD Combination","1989","35-65 y.","Urban Area","","","","","6"
"NPD Combination","1989","35-65 y.","Rural Area","","","","","6"
"NPD Combination","1989","66 and older","Rural Area","","","","","6"
"Other","1989","16-34 y.","Urban Area","54","0.0487842408883093","0.0371545096051167","0.0604139721715019","8"
"Other","1989","16-34 y.","Rural Area","16","","","","8"
"Other","1989","35-65 y.","Urban Area","71","0.0342467807009544","0.02665771529795","0.0418358461039588","8"
"Other","1989","35-65 y.","Rural Area","20","","","","8"
"Other","1989","66 and older","Urban Area","22","","","","8"
"Other","1989","66 and older","Rural Area","3","","","","8"
"PDS/Linke","1989","16-34 y.","Urban Area","","","","","5"
"PDS/Linke","1989","16-34 y.","Rural Area","","","","","5"
"PDS/Linke","1989","35-65 y.","Urban Area","","","","","5"
"PDS/Linke","1989","35-65 y.","Rural Area","","","","","5"
"PDS/Linke","1989","66 and older","Urban Area","","","","","5"
"PDS/Linke","1989","66 and older","Rural Area","","","","","5"
"SPD","1989","35-65 y.","Urban Area","1228","0.515600275477989","0.49474558007454","0.536454970881438","2"
"SPD","1989","35-65 y.","Rural Area","255","0.428324629215088","0.387303892869344","0.469345365560831","2"
"SPD","1989","16-34 y.","Urban Area","705","0.469857934182223","0.442913454505366","0.49680241385908","2"
"SPD","1989","66 and older","Urban Area","223","0.460213309506039","0.416526154646857","0.503900464365221","2"
"SPD","1989","66 and older","Rural Area","48","0.360894822597315","0.280474779558329","0.441314865636301","2"
"SPD","1989","16-34 y.","Rural Area","124","0.420402417961093","0.362166699858767","0.478638136063418","2"
"AfD","1990","16-34 y.","Urban Area","","","","","7"
"AfD","1990","16-34 y.","Rural Area","","","","","7"
"AfD","1990","35-65 y.","Rural Area","","","","","7"
"AfD","1990","35-65 y.","Urban Area","","","","","7"
"AfD","1990","66 and older","Urban Area","","","","","7"
"AfD","1990","66 and older","Rural Area","","","","","7"
"CDU/CSU","1990","35-65 y.","Rural Area","248","0.47924649347601","0.437419814295821","0.521073172656199","1"
"CDU/CSU","1990","66 and older","Rural Area","89","0.537104330721674","0.458095931716117","0.61611272972723","1"
"CDU/CSU","1990","16-34 y.","Rural Area","107","0.376956378950346","0.321083127508144","0.432829630392549","1"
"CDU/CSU","1990","35-65 y.","Urban Area","764","0.372660568453247","0.352646365428386","0.392674771478107","1"
"CDU/CSU","1990","66 and older","Urban Area","266","0.505737600400777","0.463252790109355","0.548222410692198","1"
"CDU/CSU","1990","16-34 y.","Urban Area","352","0.314346577581399","0.289339623841288","0.33935353132151","1"
"FDP","1990","66 and older","Rural Area","9","","","","3"
"FDP","1990","66 and older","Urban Area","22","","","","3"
"FDP","1990","16-34 y.","Rural Area","9","","","","3"
"FDP","1990","16-34 y.","Urban Area","42","0.0380940406947454","0.0277830848551982","0.0484049965342925","3"
"FDP","1990","35-65 y.","Urban Area","99","0.0459691245474961","0.0373006112763187","0.0546376378186734","3"
"FDP","1990","35-65 y.","Rural Area","16","","","","3"
"NPD Combination","1990","16-34 y.","Urban Area","30","0.0232337539234527","0.0151193034703242","0.0313482043765812","6"
"NPD Combination","1990","66 and older","Rural Area","","","","","6"
"NPD Combination","1990","66 and older","Urban Area","5","","","","6"
"NPD Combination","1990","16-34 y.","Rural Area","7","","","","6"
"NPD Combination","1990","35-65 y.","Urban Area","25","","","","6"
"NPD Combination","1990","35-65 y.","Rural Area","6","","","","6"
"Other","1990","16-34 y.","Urban Area","8","","","","8"
"Other","1990","35-65 y.","Rural Area","6","","","","8"
"Other","1990","66 and older","Urban Area","3","","","","8"
"Other","1990","66 and older","Rural Area","1","","","","8"
"Other","1990","16-34 y.","Rural Area","3","","","","8"
"Other","1990","35-65 y.","Urban Area","8","","","","8"
"PDS/Linke","1990","16-34 y.","Urban Area","","","","","5"
"PDS/Linke","1990","16-34 y.","Rural Area","","","","","5"
"PDS/Linke","1990","35-65 y.","Urban Area","","","","","5"
"PDS/Linke","1990","35-65 y.","Rural Area","","","","","5"
"PDS/Linke","1990","66 and older","Urban Area","","","","","5"
"PDS/Linke","1990","66 and older","Rural Area","","","","","5"
"SPD","1990","35-65 y.","Urban Area","1262","0.527277361638954","0.506611522236603","0.547943201041305","2"
"SPD","1990","35-65 y.","Rural Area","251","0.440761045584411","0.399193142041462","0.482328949127359","2"
"SPD","1990","16-34 y.","Urban Area","736","0.492647332297902","0.46571790358346","0.519576761012345","2"
"SPD","1990","16-34 y.","Rural Area","127","0.449802676172809","0.392447921830054","0.507157430515564","2"
"SPD","1990","66 and older","Urban Area","235","0.436263074267322","0.394122083306984","0.478404065227661","2"
"SPD","1990","66 and older","Rural Area","53","0.371839136806447","0.295259136797036","0.448419136815857","2"
"AfD","1991","35-65 y.","Rural Area","","","","","7"
"AfD","1991","16-34 y.","Urban Area","","","","","7"
"AfD","1991","16-34 y.","Rural Area","","","","","7"
"AfD","1991","35-65 y.","Urban Area","","","","","7"
"AfD","1991","66 and older","Rural Area","","","","","7"
"AfD","1991","66 and older","Urban Area","","","","","7"
"CDU/CSU","1991","16-34 y.","Urban Area","315","0.32792778456887","0.2978847532866","0.35797081585114","1"
"CDU/CSU","1991","35-65 y.","Rural Area","257","0.512674973204037","0.469123460026766","0.556226486381309","1"
"CDU/CSU","1991","16-34 y.","Rural Area","118","0.444669112453738","0.385395607922073","0.503942616985403","1"
"CDU/CSU","1991","66 and older","Urban Area","255","0.488653384727569","0.445099090458078","0.532207678997061","1"
"CDU/CSU","1991","66 and older","Rural Area","101","0.606032688617935","0.5291089539318","0.68295642330407","1"
"CDU/CSU","1991","35-65 y.","Urban Area","730","0.412356622123582","0.389526892206889","0.435186352040275","1"
"FDP","1991","66 and older","Rural Area","7","","","","3"
"FDP","1991","66 and older","Urban Area","25","","","","3"
"FDP","1991","16-34 y.","Rural Area","7","","","","3"
"FDP","1991","35-65 y.","Urban Area","105","0.0614974860605244","0.0503557269331549","0.072639245187894","3"
"FDP","1991","16-34 y.","Urban Area","39","0.052637973682962","0.0383472494267604","0.0669286979391637","3"
"FDP","1991","35-65 y.","Rural Area","22","","","","3"
"NPD Combination","1991","66 and older","Rural Area","","","","","6"
"NPD Combination","1991","16-34 y.","Urban Area","22","","","","6"
"NPD Combination","1991","16-34 y.","Rural Area","6","","","","6"
"NPD Combination","1991","35-65 y.","Urban Area","9","","","","6"
"NPD Combination","1991","35-65 y.","Rural Area","4","","","","6"
"NPD Combination","1991","66 and older","Urban Area","4","","","","6"
"Other","1991","16-34 y.","Urban Area","6","","","","8"
"Other","1991","35-65 y.","Rural Area","2","","","","8"
"Other","1991","16-34 y.","Rural Area","3","","","","8"
"Other","1991","66 and older","Urban Area","","","","","8"
"Other","1991","66 and older","Rural Area","1","","","","8"
"Other","1991","35-65 y.","Urban Area","7","","","","8"
"PDS/Linke","1991","16-34 y.","Urban Area","1","","","","5"
"PDS/Linke","1991","66 and older","Urban Area","2","","","","5"
"PDS/Linke","1991","16-34 y.","Rural Area","1","","","","5"
"PDS/Linke","1991","35-65 y.","Urban Area","","","","","5"
"PDS/Linke","1991","35-65 y.","Rural Area","","","","","5"
"PDS/Linke","1991","66 and older","Rural Area","","","","","5"
"SPD","1991","35-65 y.","Rural Area","212","0.403629116171909","0.36088047721431","0.446377755129507","2"
"SPD","1991","16-34 y.","Rural Area","113","0.419617679719963","0.360753623517565","0.47848173592236","2"
"SPD","1991","35-65 y.","Urban Area","860","0.473962990854546","0.450805701122709","0.497120280586384","2"
"SPD","1991","16-34 y.","Urban Area","446","0.463054903523046","0.431144826247225","0.494964980798866","2"
"SPD","1991","66 and older","Urban Area","215","0.437646054051206","0.394420634769138","0.480871473333273","2"
"SPD","1991","66 and older","Rural Area","45","0.316752486705661","0.243515361528652","0.38998961188267","2"
"AfD","1992","35-65 y.","Rural Area","","","","","7"
"AfD","1992","16-34 y.","Rural Area","","","","","7"
"AfD","1992","35-65 y.","Urban Area","","","","","7"
"AfD","1992","16-34 y.","Urban Area","","","","","7"
"AfD","1992","66 and older","Urban Area","","","","","7"
"AfD","1992","66 and older","Rural Area","","","","","7"
"CDU/CSU","1992","66 and older","Urban Area","272","0.528626086012389","0.486168245818309","0.571083926206469","1"
"CDU/CSU","1992","35-65 y.","Rural Area","427","0.466535513558646","0.435043191442811","0.498027835674481","1"
"CDU/CSU","1992","16-34 y.","Rural Area","175","0.415459720503117","0.370178922038044","0.460740518968189","1"
"CDU/CSU","1992","16-34 y.","Urban Area","304","0.295375213409406","0.269166989938243","0.321583436880569","1"
"CDU/CSU","1992","66 and older","Rural Area","116","0.467694038462713","0.403489507051728","0.531898569873698","1"
"CDU/CSU","1992","35-65 y.","Urban Area","796","0.39777630294888","0.377121484009353","0.418431121888407","1"
"FDP","1992","66 and older","Urban Area","21","","","","3"
"FDP","1992","66 and older","Rural Area","13","","","","3"
"FDP","1992","16-34 y.","Urban Area","39","0.0492282058481736","0.036799762143171","0.0616566495531762","3"
"FDP","1992","16-34 y.","Rural Area","18","","","","3"
"FDP","1992","35-65 y.","Urban Area","95","0.0493584413446689","0.0402170535052306","0.0584998291841071","3"
"FDP","1992","35-65 y.","Rural Area","57","0.0497676285071875","0.0360399228699294","0.0634953341444455","3"
"NPD Combination","1992","66 and older","Urban Area","","","","","6"
"NPD Combination","1992","66 and older","Rural Area","","","","","6"
"NPD Combination","1992","35-65 y.","Rural Area","","","","","6"
"NPD Combination","1992","16-34 y.","Urban Area","","","","","6"
"NPD Combination","1992","35-65 y.","Urban Area","","","","","6"
"NPD Combination","1992","16-34 y.","Rural Area","","","","","6"
"Other","1992","66 and older","Rural Area","2","","","","8"
"Other","1992","16-34 y.","Urban Area","45","0.0364236157697242","0.0256612882932677","0.0471859432461807","8"
"Other","1992","66 and older","Urban Area","6","","","","8"
"Other","1992","35-65 y.","Rural Area","18","","","","8"
"Other","1992","16-34 y.","Rural Area","19","","","","8"
"Other","1992","35-65 y.","Urban Area","28","","","","8"
"PDS/Linke","1992","16-34 y.","Urban Area","13","","","","5"
"PDS/Linke","1992","35-65 y.","Rural Area","46","0.0340177334502414","0.0225745505922615","0.0454609163082213","5"
"PDS/Linke","1992","66 and older","Urban Area","7","","","","5"
"PDS/Linke","1992","66 and older","Rural Area","16","","","","5"
"PDS/Linke","1992","35-65 y.","Urban Area","30","0.00793039739854004","0.0041872100419528","0.0116735847551273","5"
"PDS/Linke","1992","16-34 y.","Rural Area","12","","","","5"
"SPD","1992","35-65 y.","Rural Area","370","0.379138721927181","0.348511618000099","0.409765825854264","2"
"SPD","1992","66 and older","Rural Area","84","0.39134446683692","0.328543043796329","0.454145889877512","2"
"SPD","1992","16-34 y.","Rural Area","174","0.392584340222656","0.347714774015352","0.437453906429959","2"
"SPD","1992","35-65 y.","Urban Area","1090","0.478817840246521","0.457736270247132","0.499899410245909","2"
"SPD","1992","66 and older","Urban Area","219","0.407086452120265","0.365299582113324","0.448873322127205","2"
"SPD","1992","16-34 y.","Urban Area","593","0.467833926681038","0.439169645896822","0.496498207465255","2"
"AfD","1993","35-65 y.","Rural Area","","","","","7"
"AfD","1993","16-34 y.","Urban Area","","","","","7"
"AfD","1993","16-34 y.","Rural Area","","","","","7"
"AfD","1993","35-65 y.","Urban Area","","","","","7"
"AfD","1993","66 and older","Urban Area","","","","","7"
"AfD","1993","66 and older","Rural Area","","","","","7"
"CDU/CSU","1993","66 and older","Urban Area","230","0.469849464226811","0.425658953458438","0.514039974995183","1"
"CDU/CSU","1993","66 and older","Rural Area","110","0.484804679420017","0.418156149911226","0.551453208928808","1"
"CDU/CSU","1993","16-34 y.","Rural Area","130","0.388505132439102","0.340006776495857","0.437003488382346","1"
"CDU/CSU","1993","35-65 y.","Rural Area","353","0.431681712850351","0.398597244792003","0.464766180908698","1"
"CDU/CSU","1993","16-34 y.","Urban Area","227","0.27071461186069","0.242607444518218","0.298821779203161","1"
"CDU/CSU","1993","35-65 y.","Urban Area","665","0.367930277595022","0.346753070600959","0.389107484589085","1"
"FDP","1993","66 and older","Rural Area","11","","","","3"
"FDP","1993","66 and older","Urban Area","20","","","","3"
"FDP","1993","16-34 y.","Rural Area","18","","","","3"
"FDP","1993","35-65 y.","Urban Area","87","0.0473158387753055","0.0379922916967628","0.0566393858538483","3"
"FDP","1993","35-65 y.","Rural Area","36","0.0397170260880765","0.0266723142224354","0.0527617379537177","3"
"FDP","1993","16-34 y.","Urban Area","31","0.046281592606012","0.0329915398623332","0.0595716453496908","3"
"NPD Combination","1993","66 and older","Rural Area","1","","","","6"
"NPD Combination","1993","35-65 y.","Rural Area","14","","","","6"
"NPD Combination","1993","66 and older","Urban Area","12","","","","6"
"NPD Combination","1993","16-34 y.","Rural Area","25","","","","6"
"NPD Combination","1993","16-34 y.","Urban Area","40","0.0390356727678118","0.02678395618084","0.0512873893547836","6"
"NPD Combination","1993","35-65 y.","Urban Area","47","0.026383850812312","0.0193455730884695","0.0334221285361544","6"
"Other","1993","16-34 y.","Urban Area","7","","","","8"
"Other","1993","66 and older","Rural Area","1","","","","8"
"Other","1993","35-65 y.","Rural Area","8","","","","8"
"Other","1993","66 and older","Urban Area","5","","","","8"
"Other","1993","16-34 y.","Rural Area","11","","","","8"
"Other","1993","35-65 y.","Urban Area","13","","","","8"
"PDS/Linke","1993","35-65 y.","Rural Area","49","0.0419752889883469","0.0285806282460235","0.0553699497306702","5"
"PDS/Linke","1993","16-34 y.","Rural Area","19","","","","5"
"PDS/Linke","1993","35-65 y.","Urban Area","34","0.0103809534872095","0.00592996911760537","0.0148319378568136","5"
"PDS/Linke","1993","16-34 y.","Urban Area","12","","","","5"
"PDS/Linke","1993","66 and older","Urban Area","11","","","","5"
"PDS/Linke","1993","66 and older","Rural Area","18","","","","5"
"SPD","1993","16-34 y.","Rural Area","137","0.324342966715857","0.277763166487513","0.3709227669442","2"
"SPD","1993","66 and older","Rural Area","73","0.334793269070917","0.271858898653333","0.397727639488501","2"
